Timestamp,X-coordinate,Y-coordinate
0.000,389.9339,1.823707
0.010,390.0161,2.127471
0.020,389.8015,2.851783
0.030,389.7415,2.756873
0.040,389.7494,3.248712
0.050,389.5811,3.639616
0.060,389.5419,4.226323
0.070,389.4368,4.684625
0.080,389.4395,5.050673
0.090,389.364,5.285018
0.100,389.2443,6.180673
0.110,389.1047,6.430738
0.120,389.1851,6.766171
0.130,389.1041,7.036496
0.140,389.1972,7.684753
0.150,389.0784,9.048029
0.160,389.0712,9.171207
0.170,389.0175,9.561228
0.180,389.0296,9.809783
0.190,389.0453,9.933773
0.200,388.9572,10.85047
0.210,388.8516,11.27124
0.220,388.8533,12.11652
0.230,388.9056,12.04307
0.240,388.8547,12.92972
0.250,388.8876,13.16081
0.260,388.8271,14.31846
0.270,388.7873,14.16781
0.280,388.759,14.25685
0.290,388.9342,15.11535
0.300,388.7852,15.59271
0.310,388.7868,16.75481
0.320,388.7171,17.21254
0.330,388.7582,17.11517
0.340,388.798,17.21283
0.350,388.6057,17.85634
0.360,388.6811,17.93093
0.370,388.6421,18.4065
0.380,388.6481,18.77428
0.390,388.6169,19.37752
0.400,388.6179,19.74792
0.410,388.5771,20.11557
0.420,388.6136,20.95496
0.430,388.6154,22.04323
0.440,388.4711,23.07324
0.450,388.4647,23.62376
0.460,388.4866,24.32767
0.470,388.5097,25.6296
0.480,388.4775,25.72434
0.490,388.3727,26.33333
0.500,388.3412,26.84398
0.510,388.4001,27.62157
0.520,388.2289,28.39537
0.530,388.2061,29.22963
0.540,388.0118,29.48084
0.550,388.0523,30.18655
0.560,388.0919,30.5494
0.570,388.0703,30.53277
0.580,388.0533,30.72672
0.590,388.1344,31.08994
0.600,388.0937,31.3476
0.610,388.0918,31.79777
0.620,388.0375,32.01505
0.630,388.0567,31.91694
0.640,387.9845,31.91425
0.650,388.0227,32.7585
0.660,387.9155,32.38131
0.670,387.9467,32.62006
0.680,387.9128,32.71501
0.690,387.9799,32.95107
