Timestamp,X-coordinate,Y-coordinate
0.000,24.37189,148.5557
0.010,24.44496,148.5443
0.020,24.75753,148.2342
0.030,24.55769,148.4117
0.040,24.73787,148.4149
0.050,24.61263,148.3867
0.060,24.7592,148.2632
0.070,24.58843,148.1421
0.080,24.83318,147.9165
0.090,24.8537,148.173
0.100,24.7541,147.8508
0.110,24.83153,148.4088
0.120,24.92591,148.3519
0.130,24.79817,148.1491
0.140,24.59982,148.4762
0.150,24.65721,148.391
0.160,24.7639,148.6503
0.170,24.61368,148.579
0.180,24.67231,148.4664
0.190,24.74817,148.1601
0.200,24.61935,148.4872
0.210,24.6057,148.4222
0.220,24.73431,148.6086
0.230,24.75703,148.6046
0.240,24.44232,148.7957
0.250,24.49436,148.9128
0.260,24.22081,149.2491
0.270,24.37072,148.9012
0.280,24.13917,149.3468
0.290,24.30854,149.2795
0.300,23.86128,149.4868
0.310,24.03043,149.28
0.320,24.05728,149.4302
0.330,24.49391,149.244
0.340,24.13412,148.9715
0.350,24.00114,149.047
0.360,24.06055,148.576
0.370,23.77489,148.4913
0.380,23.70661,148.6816
0.390,23.56675,148.5285
0.400,23.70288,148.9965
0.410,23.55121,148.4625
0.420,23.41764,148.9089
0.430,23.14429,148.713
0.440,23.29406,148.9439
0.450,23.42133,148.7512
0.460,23.41589,149.2916
0.470,23.36015,149.3401
0.480,23.21924,149.2606
0.490,22.80804,149.9586
0.500,23.13408,150.0319
0.510,23.09994,150.2145
0.520,22.76924,150.3532
0.530,22.70335,150.3785
0.540,22.91858,150.2581
0.550,23.14086,150.5888
0.560,22.97304,150.655
0.570,22.83697,151.0654
0.580,23.17282,151.1605
0.590,23.11613,151.8845
0.600,23.14543,153.3938
0.610,23.07905,155.3694
0.620,22.9833,157.0234
0.630,22.88263,159.2863
0.640,22.82972,160.958
0.650,22.48183,164.4489
0.660,22.23409,167.2343
0.670,22.07419,169.9968
0.680,21.49096,173.1837
0.690,21.15791,176.1898
0.700,20.69851,177.9157
0.710,21.01022,179.5064
0.720,21.23143,180.8407
0.730,20.90231,181.4604
0.740,21.19152,181.4314
0.750,21.1119,182.3302
0.760,21.61841,182.1495
0.770,21.59284,182.3456
0.780,21.52347,182.1424
0.790,21.80792,182.2928
0.800,21.37962,182.022
0.810,21.7166,181.932
0.820,21.87919,182.2179
0.830,22.03182,182.1125
0.840,21.86777,181.857
0.850,21.96207,181.1868
0.860,21.665,181.4659
0.870,21.81104,180.9311
0.880,21.40162,179.6677
0.890,21.62575,179.2216
0.900,21.3757,178.72
0.910,21.12979,178.3179
0.920,21.98601,177.1175
0.930,21.85883,176.6809
0.940,22.00501,175.7328
0.950,22.30797,175.0999
0.960,22.29789,174.5268
0.970,22.13846,173.3997
0.980,22.41657,173.0221
0.990,22.24486,172.1562
1.000,21.92226,171.2788
1.010,22.31773,170.4868
1.020,22.18471,169.2965
1.030,22.32128,168.2438
1.040,22.3776,167.9241
1.050,22.05247,167.2626
1.060,22.37071,166.402
1.070,22.46622,165.7077
1.080,22.46689,164.7706
1.090,22.64196,164.2945
1.100,22.72668,163.615
1.110,22.64722,163.3829
1.120,22.59957,162.9341
1.130,22.68039,162.741
1.140,22.72371,162.4734
1.150,22.7547,162.8145
1.160,22.66302,163.2818
1.170,22.77198,163.802
1.180,22.50964,164.4106
1.190,22.33648,165.5116
1.200,22.18822,166.5848
1.210,22.05617,167.8727
1.220,22.31455,168.2439
1.230,22.40658,169.1219
1.240,22.18217,169.4869
1.250,21.99047,170.0736
1.260,22.25367,170.3763
1.270,22.04068,170.6283
1.280,22.05276,170.8058
1.290,21.93468,170.7272
1.300,22.24215,171.4333
1.310,22.38157,171.7902
1.320,22.07203,171.7237
1.330,22.06817,171.6045
1.340,22.14976,171.8037
1.350,22.0071,171.4507
1.360,21.97219,171.6384
1.370,21.94117,170.9631
1.380,21.9492,170.916
1.390,21.83578,171.2623
1.400,21.93791,170.758
1.410,21.88993,170.6377
1.420,22.11114,170.6684
1.430,21.42732,170.5632
1.440,22.07608,170.499
1.450,21.81431,170.2364
1.460,22.20606,169.5628
1.470,22.22217,169.1599
1.480,21.73488,169.0056
1.490,21.96176,169.4014
1.500,21.75731,168.4181
1.510,21.8156,168.6396
1.520,21.82003,168.5064
1.530,21.97838,168.5009
1.540,21.94106,168.0692
1.550,21.83943,168.3747
1.560,21.46894,168.0691
1.570,21.59292,168.0491
1.580,21.41319,168.3447
1.590,21.42062,168.5375
1.600,21.14357,168.9182
1.610,21.42054,168.7809
1.620,21.28817,168.5418
1.630,21.59462,168.8511
1.640,21.25187,168.4077
1.650,21.66555,168.5123
1.660,21.21087,168.5494
1.670,21.26464,168.61
1.680,21.65854,168.9086
1.690,21.40773,169.1445
1.700,21.63145,168.6675
1.710,21.73147,168.1845
1.720,21.49662,168.7992
1.730,21.38699,168.7093
1.740,21.52674,168.553
1.750,21.80046,168.5233
1.760,21.51646,168.9002
1.770,21.39874,168.8502
1.780,21.62864,168.7486
1.790,21.63922,168.9928
1.800,21.29949,169.153
1.810,21.23663,169.2041
1.820,21.32316,169.1183
1.830,21.19446,169.3286
1.840,21.10903,169.1577
1.850,21.09002,169.0405
1.860,21.12592,168.6286
1.870,21.04216,168.5419
1.880,21.2031,168.5875
1.890,21.31972,168.4921
1.900,21.13544,168.7404
1.910,21.50489,168.0353
1.920,21.3578,168.2914
1.930,21.27717,168.0347
1.940,21.17886,168.0457
1.950,21.40753,167.4833
1.960,21.43514,167.9555
1.970,21.58719,167.4389
1.980,20.95043,167.0544
1.990,21.25138,167.2334
2.000,21.10536,166.9543
2.010,21.15141,166.6436
2.020,21.22065,166.5281
2.030,21.02253,166.3561
2.040,20.92426,166.2779
2.050,20.99077,166.179
2.060,20.99018,165.7763
2.070,21.31532,165.398
2.080,21.05896,165.2402
2.090,21.40959,165.0383
2.100,21.04117,164.8333
2.110,21.35221,164.4198
2.120,21.11966,164.0591
2.130,20.7914,163.7165
2.140,20.9041,163.7594
2.150,20.89517,163.5905
2.160,20.9725,162.9686
2.170,20.85122,163.2224
2.180,20.81503,162.9878
2.190,20.68697,163.0783
2.200,20.892,162.8888
2.210,20.87682,162.6559
2.220,20.42374,162.5981
2.230,20.7094,162.5798
2.240,20.61004,162.3332
2.250,20.71026,162.0691
2.260,20.65986,162.0547
2.270,20.55762,162.269
2.280,20.65919,161.7007
2.290,20.5157,161.9464
2.300,20.69665,162.0452
2.310,20.40309,161.4222
