Timestamp,X-coordinate,Y-coordinate
0.000,-378.3752,197.4119
0.010,-378.2036,197.4782
0.020,-378.374,196.9907
0.030,-378.3103,197.3085
0.040,-378.3118,197.3937
0.050,-378.1419,197.214
0.060,-378.2739,197.1389
0.070,-378.3049,196.9881
0.080,-378.3214,196.9229
0.090,-378.3257,197.0468
0.100,-378.3905,196.624
0.110,-378.3656,197.268
0.120,-378.3646,197.3258
0.130,-378.3191,197.1321
0.140,-378.2559,197.1311
0.150,-378.2523,197.5943
0.160,-378.1213,197.7341
0.170,-378.2681,197.6579
0.180,-378.2045,197.3722
0.190,-378.2774,196.9027
0.200,-378.2942,197.3067
0.210,-378.2037,197.1275
0.220,-378.2942,197.2435
0.230,-378.2452,197.333
0.240,-378.1481,197.3178
0.250,-378.2203,197.7688
0.260,-378.0329,198.0415
0.270,-378.0563,197.3926
0.280,-378.0113,197.6427
0.290,-378.0066,197.7114
0.300,-378.0533,197.6721
0.310,-378.0288,197.0159
0.320,-377.995,197.2396
0.330,-378.0921,197.1196
0.340,-378.0368,196.7468
0.350,-378.1359,196.0941
0.360,-378.0797,195.597
0.370,-378.3773,194.5028
0.380,-378.1373,194.7985
0.390,-378.1775,194.3307
0.400,-378.1854,194.8043
0.410,-378.1949,194.07
0.420,-378.2603,194.0996
0.430,-378.2168,193.5377
0.440,-378.2924,193.6128
0.450,-378.2446,193.5164
0.460,-378.3023,193.8459
0.470,-378.2641,194.311
0.480,-378.3368,193.5941
0.490,-378.3953,193.756
0.500,-378.2688,193.803
0.510,-378.3543,194.0313
0.520,-378.4078,193.579
0.530,-378.4351,193.585
0.540,-378.4753,193.8425
0.550,-378.367,194.2169
0.560,-378.3868,194.0832
0.570,-378.4061,194.4503
0.580,-378.4702,193.9685
0.590,-378.5089,193.4781
0.600,-378.4209,194.0844
0.610,-378.3593,194.1548
0.620,-378.2814,194.7127
0.630,-378.385,194.8926
0.640,-378.3958,195.0543
0.650,-378.2863,195.5972
0.660,-378.4127,196.1339
0.670,-378.3917,196.3444
0.680,-378.3882,197.0827
0.690,-378.3878,197.5747
0.700,-378.4731,197.1961
0.710,-378.3348,197.6041
0.720,-378.3656,197.6913
0.730,-378.2911,197.1648
0.740,-378.2925,197.0279
0.750,-378.4528,197.6724
0.760,-378.3639,196.838
0.770,-378.3652,196.8284
0.780,-378.3926,196.0753
0.790,-378.4431,196.3948
0.800,-378.3885,195.7168
0.810,-378.3784,196.0501
0.820,-378.4524,196.1808
0.830,-378.4002,196.5164
0.840,-378.4971,195.726
0.850,-378.335,195.3833
0.860,-378.4458,195.8878
0.870,-378.4209,195.7392
0.880,-378.4261,194.602
0.890,-378.4862,194.7759
0.900,-378.4677,193.9228
0.910,-378.4653,194.1453
0.920,-378.5309,194.0366
0.930,-378.4676,194.2691
0.940,-378.3117,193.7737
0.950,-378.3883,193.4138
0.960,-378.4761,193.3281
0.970,-378.3518,192.2676
0.980,-378.484,192.8251
0.990,-378.3862,192.46
1.000,-378.332,192.4169
1.010,-378.4003,192.089
1.020,-378.5168,191.7498
1.030,-378.3423,190.9087
1.040,-378.3056,191.2213
1.050,-378.4646,191.2512
1.060,-378.4546,190.4211
1.070,-378.4599,190.7049
1.080,-378.5187,190.0241
1.090,-378.5031,190.1808
1.100,-378.4885,189.5107
1.110,-378.4215,189.724
1.120,-378.5301,188.9212
1.130,-378.5592,188.8124
1.140,-378.5416,188.3592
1.150,-378.5101,188.4848
1.160,-378.3808,188.8403
1.170,-378.4967,188.4994
1.180,-378.4983,188.2137
1.190,-378.2503,188.5257
1.200,-378.3361,189.1832
1.210,-378.2648,189.7435
1.220,-378.355,188.9195
1.230,-378.2995,189.3703
1.240,-378.2829,189.0224
1.250,-378.2374,189.346
1.260,-378.2369,189.0572
1.270,-378.29,189.0818
1.280,-378.2263,189.2346
1.290,-378.2413,188.6844
1.300,-378.2484,189.4578
1.310,-378.226,189.8062
1.320,-378.3209,189.6286
1.330,-378.368,189.0035
1.340,-378.2945,189.2358
1.350,-378.3685,188.621
1.360,-378.4061,188.6561
1.370,-378.4856,188.0743
1.380,-378.4604,188.0995
1.390,-378.3205,188.8048
1.400,-378.381,188.4314
1.410,-378.4433,187.8382
1.420,-378.3139,188.2461
1.430,-378.4203,188.3777
1.440,-378.2964,188.7708
1.450,-378.3792,188.4257
1.460,-378.5716,188.0589
1.470,-378.4714,187.6649
1.480,-378.5042,187.6708
1.490,-378.467,188.2999
1.500,-378.4139,187.0181
1.510,-378.4484,187.5031
1.520,-378.4583,187.767
1.530,-378.3392,188.1419
1.540,-378.4251,187.2222
1.550,-378.3817,187.6699
1.560,-378.4434,187.2312
1.570,-378.4387,187.2021
1.580,-378.4587,187.3092
1.590,-378.5098,187.3854
1.600,-378.3991,187.9715
1.610,-378.4331,187.4346
1.620,-378.5714,187.1652
1.630,-378.5477,187.7935
1.640,-378.5659,186.651
1.650,-378.5414,187.1366
1.660,-378.5738,186.9624
1.670,-378.5881,187.2149
1.680,-378.5358,187.7273
1.690,-378.58,187.7747
1.700,-378.586,187.2307
1.710,-378.5669,187.0269
1.720,-378.4969,187.2289
1.730,-378.4749,187.1018
1.740,-378.5084,186.9451
1.750,-378.5436,187.2445
1.760,-378.4848,187.4272
1.770,-378.6138,187.0989
1.780,-378.5535,187.4775
1.790,-378.5436,187.8208
1.800,-378.446,188.0958
1.810,-378.5395,188.0961
1.820,-378.5536,188.1622
1.830,-378.4552,188.8541
1.840,-378.5949,188.3727
1.850,-378.4453,188.6768
1.860,-378.4255,187.9179
1.870,-378.453,188.4753
1.880,-378.464,188.5704
1.890,-378.5527,188.9919
1.900,-378.3722,189.4352
1.910,-378.4586,188.4297
1.920,-378.3766,188.9907
1.930,-378.3809,188.3052
1.940,-378.5122,188.7523
1.950,-378.3979,188.3169
1.960,-378.3865,189.2846
1.970,-378.3391,189.0175
1.980,-378.5256,188.1725
1.990,-378.4102,188.7024
2.000,-378.3427,188.9344
2.010,-378.4109,188.7213
2.020,-378.4066,188.6146
2.030,-378.4809,188.5353
2.040,-378.4677,188.9375
2.050,-378.4078,188.766
2.060,-378.5531,188.7046
2.070,-378.4148,188.9798
2.080,-378.4092,188.4984
2.090,-378.4111,188.706
2.100,-378.4347,188.4818
2.110,-378.469,188.4681
2.120,-378.5004,188.2288
2.130,-378.4652,187.8063
2.140,-378.4328,187.8716
2.150,-378.4343,187.9146
2.160,-378.3988,187.8545
2.170,-378.5449,187.465
2.180,-378.5138,187.3716
2.190,-378.5107,187.4321
2.200,-378.4675,187.5421
2.210,-378.5193,187.4348
2.220,-378.5739,186.8726
2.230,-378.4489,187.2465
2.240,-378.4854,186.969
2.250,-378.523,187.0134
2.260,-378.5222,187.0264
2.270,-378.4987,187.1035
2.280,-378.5228,186.6728
2.290,-378.5616,187.0595
2.300,-378.4325,187.2446
2.310,-378.6173,186.0366
2.320,-378.657,186.0033
2.330,-378.5225,186.4193
2.340,-378.6062,186.4064
2.350,-378.5995,185.5702
2.360,-378.5843,185.9253
2.370,-378.6314,185.9269
2.380,-378.6373,185.6151
2.390,-378.5443,186.082
2.400,-378.6006,186.1739
2.410,-378.6097,185.5081
2.420,-378.757,185.6948
2.430,-378.7573,185.2774
2.440,-378.743,185.5072
2.450,-378.7564,185.4462
2.460,-378.7388,184.6571
2.470,-378.7641,184.9217
2.480,-378.7729,184.7655
2.490,-378.7181,184.8723
2.500,-378.7368,185.1327
2.510,-378.8116,184.3626
2.520,-378.7279,184.3786
2.530,-378.8115,183.9944
2.540,-378.806,184.6572
2.550,-378.8324,184.7505
2.560,-378.8887,184.5186
2.570,-378.7531,184.5816
2.580,-378.8545,184.7365
2.590,-378.8809,184.8889
2.600,-378.9008,184.3793
2.610,-378.8282,184.3037
2.620,-378.8126,184.3037
2.630,-378.8258,185.0602
2.640,-378.8592,184.6896
2.650,-378.8271,184.3798
2.660,-378.9338,184.3814
2.670,-378.8655,184.534
2.680,-378.9363,184.0415
2.690,-378.8546,184.5026
