Timestamp,X-coordinate,Y-coordinate
0.000,-15.17573,-37.21411
0.010,-15.08497,-36.92623
0.020,-15.44376,-37.3049
0.030,-15.28069,-37.50412
0.040,-15.5085,-37.35634
0.050,-15.83533,-37.72143
0.060,-16.18547,-38.08022
0.070,-16.59627,-38.41663
0.080,-16.66049,-38.49566
0.090,-17.0709,-39.06558
0.100,-17.21728,-39.65088
0.110,-17.7148,-39.94165
0.120,-18.00519,-40.24025
0.130,-18.11207,-40.81953
0.140,-18.82984,-40.96037
0.150,-19.14409,-42.02887
0.160,-19.73625,-42.61513
0.170,-20.26708,-43.19205
0.180,-20.78679,-43.7501
0.190,-21.28304,-44.43626
0.200,-22.02639,-45.18454
0.210,-22.66638,-45.97112
0.220,-22.99635,-47.19375
0.230,-23.59889,-48.16553
0.240,-24.22739,-49.06346
0.250,-24.48982,-49.47758
0.260,-24.81983,-50.26004
0.270,-25.28773,-50.81966
0.280,-25.62567,-51.7718
0.290,-25.69952,-52.74428
0.300,-26.38214,-53.70791
0.310,-27.12709,-54.50473
0.320,-27.83598,-55.55884
0.330,-28.52907,-56.60934
0.340,-29.12657,-57.57558
0.350,-29.37106,-58.52435
0.360,-30.45082,-59.65106
0.370,-30.83764,-60.40804
0.380,-30.59744,-61.18636
0.390,-30.60582,-61.63968
0.400,-30.20687,-62.26448
0.410,-29.71412,-63.20373
0.420,-29.41558,-63.84467
0.430,-29.12738,-64.86001
0.440,-28.51811,-65.78362
0.450,-28.58492,-66.02399
0.460,-28.43292,-66.29382
0.470,-28.21795,-66.26555
0.480,-28.41729,-66.20143
0.490,-28.04605,-66.24747
0.500,-27.87142,-66.25247
0.510,-27.87516,-65.9442
0.520,-28.06532,-65.86712
0.530,-28.66813,-66.073
0.540,-29.25652,-66.22031
0.550,-29.52036,-66.96394
0.560,-29.39223,-69.02424
0.570,-28.83493,-73.50913
0.580,-28.54044,-77.32116
0.590,-27.4855,-82.15827
0.600,-27.61166,-85.25243
