Timestamp,X-coordinate,Y-coordinate
0.000,-369.4695,7.26877
0.010,-369.453,7.473732
0.020,-369.4756,7.203448
0.030,-369.4227,7.255668
0.040,-369.4435,7.260508
0.050,-369.3947,6.872999
0.060,-369.41,6.404082
0.070,-369.3508,6.463916
0.080,-369.4208,6.688038
0.090,-369.3911,6.165615
0.100,-369.3179,5.87061
0.110,-369.2138,5.603066
0.120,-369.4336,5.330149
0.130,-369.3608,5.224236
0.140,-369.2835,5.338837
0.150,-369.245,5.20697
0.160,-369.2978,4.702498
0.170,-369.2019,4.777509
0.180,-369.2528,4.613233
0.190,-369.2332,4.435052
0.200,-369.2208,4.40741
0.210,-369.2719,4.452086
0.220,-369.1087,4.418127
0.230,-369.0624,4.25804
0.240,-369.0992,4.313947
0.250,-369.1131,4.558329
0.260,-369.0388,4.408203
0.270,-369.1396,4.26334
0.280,-369.0809,4.258531
0.290,-369.09,3.854666
0.300,-369.1232,3.553414
0.310,-369.0348,3.436677
0.320,-369.0365,3.15012
0.330,-368.9923,2.814403
0.340,-368.9308,2.332932
0.350,-368.9343,2.109758
0.360,-368.8971,1.331882
0.370,-368.823,0.6646666
0.380,-368.7563,-0.1245025
0.390,-368.6437,-0.8861026
0.400,-368.5999,-2.03023
0.410,-368.6298,-3.571827
0.420,-368.4582,-4.737826
0.430,-368.4243,-6.7533
0.440,-368.3511,-8.535892
0.450,-368.3246,-8.902212
0.460,-368.3762,-9.67326
0.470,-368.3017,-9.968307
0.480,-368.2724,-10.14052
0.490,-368.242,-10.16584
0.500,-368.3,-10.26074
0.510,-368.2097,-9.69455
0.520,-368.1815,-9.977355
0.530,-368.2312,-10.16755
0.540,-368.4151,-11.18843
0.550,-368.7979,-12.56224
0.560,-369.7516,-15.7081
0.570,-370.6317,-22.50058
0.580,-371.6143,-28.3913
0.590,-372.6378,-35.38951
0.600,-373.5166,-39.4648
0.610,-374.0266,-40.98703
0.620,-374.243,-39.88221
0.630,-374.4853,-38.10243
0.640,-374.7528,-35.61093
0.650,-374.8341,-31.98991
0.660,-374.628,-28.31615
0.670,-374.6232,-24.28576
0.680,-374.6139,-18.8178
0.690,-374.6312,-14.48716
0.700,-374.9742,-10.58884
0.710,-375.2119,-8.129246
0.720,-375.4012,-7.368238
0.730,-375.6993,-7.827728
0.740,-375.6736,-9.654879
0.750,-375.9988,-13.54252
0.760,-376.3132,-19.14685
0.770,-376.1896,-23.94373
0.780,-375.9112,-28.262
0.790,-375.4439,-31.92494
0.800,-375.3549,-34.50089
0.810,-374.9884,-38.3815
0.820,-374.7981,-42.24527
0.830,-374.7675,-46.17335
0.840,-374.4651,-48.08612
0.850,-374.3952,-50.48872
0.860,-374.1894,-53.00243
0.870,-373.9437,-55.32072
0.880,-373.6179,-57.61403
0.890,-373.433,-59.411
0.900,-373.2448,-60.43191
0.910,-373.0333,-61.1167
0.920,-372.6935,-61.4059
0.930,-372.5247,-61.28452
0.940,-372.1165,-61.33393
0.950,-371.7451,-61.45191
0.960,-371.4229,-62.23843
0.970,-370.981,-62.21465
0.980,-370.5684,-61.4776
0.990,-370.1567,-60.93918
1.000,-369.911,-60.5261
1.010,-369.5033,-59.56872
1.020,-369.1719,-59.21175
1.030,-368.964,-58.2296
1.040,-368.8123,-58.48804
1.050,-368.5663,-58.15218
1.060,-368.4724,-58.10539
1.070,-368.2894,-57.65775
1.080,-368.1024,-57.8861
1.090,-367.8618,-57.8531
1.100,-368.0295,-58.71639
1.110,-367.729,-58.39932
1.120,-367.6391,-58.79434
1.130,-367.625,-58.71376
1.140,-367.6581,-58.83927
1.150,-367.731,-59.01704
1.160,-367.9929,-58.55776
1.170,-368.3908,-56.29877
1.180,-369.0828,-53.93302
1.190,-369.7286,-50.53696
1.200,-370.2591,-46.693
1.210,-370.7609,-43.4158
1.220,-370.9138,-39.6761
1.230,-371.2727,-37.57018
1.240,-371.5361,-35.84754
1.250,-371.7039,-33.06387
1.260,-371.7544,-30.75517
1.270,-371.8427,-29.73136
1.280,-371.7169,-28.32648
1.290,-371.6274,-27.34344
1.300,-371.5208,-26.1326
1.310,-371.2381,-24.02414
1.320,-370.951,-20.664
