Timestamp,X-coordinate,Y-coordinate
0.000,374.3749,-86.12361
0.010,374.473,-85.73524
0.020,374.3601,-86.31043
0.030,374.3142,-86.74477
0.040,374.4506,-86.51437
0.050,374.3054,-86.92985
0.060,374.3663,-87.26541
0.070,374.2753,-88.14677
0.080,374.2272,-88.56294
0.090,374.2605,-89.30507
0.100,374.3232,-90.27137
0.110,374.4071,-90.74998
0.120,374.3951,-91.12353
0.130,374.3235,-92.26231
0.140,374.1879,-92.88279
0.150,374.3951,-95.12543
0.160,374.3334,-95.9575
0.170,374.2925,-97.43385
0.180,374.2807,-98.58122
0.190,374.2467,-99.99037
0.200,374.0442,-101.7578
0.210,374.1397,-103.6973
0.220,374.3096,-106.4396
0.230,374.3842,-108.5589
0.240,374.4442,-110.7677
0.250,374.6063,-112.0547
0.260,374.7405,-113.7175
0.270,374.627,-114.8836
0.280,374.7406,-117.0864
0.290,374.6714,-118.7349
0.300,374.6247,-120.7036
0.310,374.465,-122.5605
0.320,374.345,-124.7605
0.330,374.2438,-126.9085
0.340,374.141,-128.6729
0.350,374.1732,-130.5832
0.360,373.7851,-132.4883
0.370,373.8646,-133.5362
0.380,373.7905,-134.2073
0.390,373.6617,-134.2963
0.400,373.666,-134.1542
0.410,373.6483,-134.175
0.420,373.6078,-134.1056
0.430,373.5884,-133.8276
0.440,373.5335,-133.5126
0.450,373.4859,-133.6257
0.460,373.4312,-133.2278
0.470,373.5284,-132.7704
0.480,373.3811,-132.4802
0.490,373.3209,-132.4132
0.500,373.3795,-132.2479
0.510,373.4487,-132.274
0.520,373.3476,-131.8295
0.530,373.4781,-132.2821
0.540,373.4413,-131.562
0.550,373.6003,-131.6026
0.560,373.7254,-132.1712
0.570,373.9717,-133.6226
0.580,374.3828,-134.7868
0.590,374.6306,-136.6457
0.600,375.0518,-138.5533
0.610,375.4154,-139.4309
0.620,375.6836,-140.0094
0.630,375.7786,-140.5792
0.640,375.8645,-140.2154
0.650,376.2439,-140.201
0.660,376.7297,-139.5372
0.670,376.7448,-139.3997
0.680,377.1191,-137.9633
0.690,377.3509,-137.7376
0.700,377.51,-137.2629
0.710,377.9469,-135.7202
0.720,378.2741,-133.915
0.730,378.3718,-130.6355
0.740,378.6338,-124.8646
0.750,378.6344,-118.7427
0.760,378.657,-114.0689
0.770,378.3527,-108.792
0.780,378.431,-104.3296
0.790,378.4707,-100.6084
0.800,378.3848,-97.68163
0.810,378.5691,-94.54617
0.820,378.8607,-90.05047
0.830,379.0876,-84.72479
0.840,379.132,-78.47208
0.850,379.5916,-73.42761
0.860,379.6586,-68.57269
0.870,379.7936,-63.86366
0.880,379.2672,-59.60464
0.890,378.8707,-56.69878
