Timestamp,X-coordinate,Y-coordinate
0.000,-14.84822,-52.93484
0.010,-14.43393,-51.42099
0.020,-13.84727,-49.39042
0.030,-13.55038,-47.98014
0.040,-12.78709,-46.53493
0.050,-12.54258,-44.80521
0.060,-12.0073,-43.1024
0.070,-11.54469,-41.34867
0.080,-11.46027,-40.11444
0.090,-10.98245,-38.80193
0.100,-10.95555,-37.44398
0.110,-10.51836,-35.74585
0.120,-9.891143,-34.01307
0.130,-9.946449,-33.09846
0.140,-9.95575,-31.8236
0.150,-9.381454,-30.68854
0.160,-9.097401,-29.39759
0.170,-8.429464,-28.68409
0.180,-8.358057,-27.60847
0.190,-8.197563,-26.82452
0.200,-7.766196,-26.03159
0.210,-7.979458,-25.34818
0.220,-7.424637,-24.54896
0.230,-7.476634,-23.94583
0.240,-7.313089,-23.56393
0.250,-7.11451,-23.0556
0.260,-6.940292,-22.85204
0.270,-6.591929,-22.61225
0.280,-6.599398,-22.36226
0.290,-6.450544,-22.04647
0.300,-6.297552,-21.92262
0.310,-6.080514,-21.82749
0.320,-5.982927,-21.73195
0.330,-5.908779,-21.73379
0.340,-5.658024,-21.66166
0.350,-5.694662,-21.96926
0.360,-5.515741,-21.90002
0.370,-5.462999,-22.25096
0.380,-5.34395,-22.45378
0.390,-5.09763,-22.89134
0.400,-4.748877,-23.25949
0.410,-4.371626,-23.41984
0.420,-4.127923,-23.91618
0.430,-3.610386,-24.36546
0.440,-3.249649,-24.92504
0.450,-3.254643,-25.02559
0.460,-3.330344,-25.12261
0.470,-3.275068,-25.35553
0.480,-3.455133,-25.18156
0.490,-3.464867,-25.52045
0.500,-3.597814,-25.54321
0.510,-3.854242,-25.28605
0.520,-3.679556,-25.23626
0.530,-3.82457,-25.25783
0.540,-4.170495,-25.25031
0.550,-4.027121,-25.33897
0.560,-4.181376,-25.43332
0.570,-4.318261,-25.48648
0.580,-4.511721,-25.73933
0.590,-4.558764,-25.46912
0.600,-4.709532,-25.85067
0.610,-4.758676,-25.90746
0.620,-4.677898,-25.8732
0.630,-4.835697,-25.91973
0.640,-5.007794,-26.25565
0.650,-5.050261,-26.23845
0.660,-5.094706,-26.28515
0.670,-5.135306,-26.22823
0.680,-5.217904,-26.65626
0.690,-5.148116,-26.80123
0.700,-5.4349,-26.56528
0.710,-5.733421,-27.09303
0.720,-6.182756,-27.44514
0.730,-6.491517,-27.5658
0.740,-6.856387,-27.86151
0.750,-7.122863,-28.10225
0.760,-7.41293,-28.4053
0.770,-7.721448,-28.46928
0.780,-8.223336,-28.80075
0.790,-8.753016,-29.37992
0.800,-9.194134,-29.78782
0.810,-9.481492,-29.97304
0.820,-9.678973,-30.56672
0.830,-9.691799,-30.86431
0.840,-10.18664,-31.14744
0.850,-10.19289,-31.54498
0.860,-10.55878,-32.12534
0.870,-10.82754,-32.937
0.880,-11.22569,-33.06738
0.890,-11.11851,-33.55308
0.900,-11.55859,-33.75144
0.910,-11.50924,-33.8456
0.920,-11.71983,-34.02382
0.930,-11.86435,-34.15525
0.940,-11.91118,-34.38865
0.950,-12.20866,-34.69239
0.960,-12.39845,-34.52807
0.970,-12.43351,-34.59409
0.980,-12.55104,-34.62112
0.990,-12.56633,-34.56668
1.000,-12.61665,-34.44882
1.010,-12.47453,-34.46154
1.020,-12.69448,-34.2284
1.030,-12.81016,-34.14305
1.040,-12.84755,-34.11817
1.050,-12.82081,-34.09581
1.060,-12.95967,-34.06532
1.070,-13.08319,-34.14547
1.080,-13.11899,-33.96084
1.090,-13.44092,-33.97876
1.100,-13.50504,-33.63805
1.110,-13.50755,-33.89503
1.120,-13.62082,-34.06186
1.130,-13.81931,-34.01378
1.140,-14.05977,-34.4626
1.150,-14.37352,-34.31769
1.160,-14.21921,-34.64089
1.170,-14.24203,-34.67289
1.180,-14.5035,-35.29358
1.190,-14.72464,-35.41987
1.200,-14.64835,-36.00583
1.210,-14.86342,-35.98655
1.220,-14.93016,-36.61085
1.230,-14.79413,-37.03275
1.240,-14.5613,-37.06625
1.250,-14.36795,-37.34929
1.260,-14.19008,-37.72552
1.270,-14.13795,-37.79582
1.280,-13.58309,-38.23469
1.290,-13.17475,-38.69191
1.300,-12.85825,-39.07957
1.310,-12.52098,-39.5524
1.320,-12.54147,-40.05259
1.330,-12.65453,-40.65501
1.340,-12.79149,-41.23801
1.350,-12.74264,-41.97061
1.360,-12.78552,-42.35396
1.370,-12.4623,-42.95853
1.380,-12.36842,-43.27965
1.390,-11.92581,-44.00212
1.400,-11.87632,-44.43039
1.410,-11.66553,-44.78062
1.420,-11.45953,-45.17369
1.430,-11.41911,-45.1586
1.440,-11.3086,-45.4745
1.450,-11.42815,-45.30095
1.460,-11.32769,-45.19741
1.470,-11.34453,-45.11766
1.480,-11.2721,-44.97353
1.490,-11.27193,-44.81352
1.500,-11.23191,-44.7709
1.510,-11.0785,-44.63092
1.520,-11.08287,-44.28238
1.530,-11.03891,-44.05764
1.540,-10.89418,-44.03031
1.550,-10.84819,-44.06627
1.560,-11.05534,-43.43991
1.570,-10.89405,-43.47298
1.580,-10.74463,-43.35259
1.590,-10.58014,-43.09684
1.600,-10.55586,-43.23894
1.610,-10.15806,-43.30416
1.620,-9.929451,-43.7689
1.630,-9.857771,-43.88319
1.640,-9.838787,-43.79599
1.650,-9.529488,-44.14627
1.660,-9.491592,-44.0679
1.670,-9.455853,-44.06166
1.680,-9.441202,-44.17519
1.690,-9.348128,-43.71119
1.700,-9.43972,-43.50227
1.710,-9.365005,-43.46674
1.720,-9.374131,-42.98782
1.730,-9.465705,-42.7796
1.740,-9.433692,-42.45208
1.750,-9.442327,-42.44867
1.760,-9.533241,-42.08218
1.770,-9.187284,-42.12104
1.780,-9.053493,-41.7434
1.790,-8.800568,-41.35241
1.800,-8.716032,-40.55686
1.810,-8.43656,-40.00032
1.820,-7.955369,-39.36361
1.830,-7.902346,-38.84789
1.840,-7.951842,-38.29969
1.850,-7.361097,-37.79366
1.860,-7.17673,-37.16404
1.870,-6.770371,-36.46383
1.880,-6.57513,-36.07025
1.890,-6.490731,-36.07653
1.900,-6.261904,-36.03548
1.910,-6.040911,-35.77642
1.920,-6.053799,-35.78782
1.930,-5.840118,-35.72192
1.940,-5.588093,-36.05248
1.950,-5.410188,-35.78728
1.960,-5.51632,-36.13932
1.970,-5.265017,-36.3556
1.980,-5.393402,-36.50652
1.990,-5.149949,-37.18266
2.000,-5.197962,-37.09568
2.010,-4.930932,-38.16828
2.020,-4.808578,-39.09578
2.030,-4.466277,-40.06706
2.040,-3.949931,-40.40313
2.050,-3.95276,-40.79675
2.060,-3.536052,-41.44647
2.070,-3.177206,-42.16574
2.080,-3.109774,-42.42275
2.090,-3.094822,-43.10385
2.100,-2.971006,-43.5369
2.110,-3.060905,-43.57085
2.120,-3.190337,-43.86464
2.130,-3.2641,-44.08044
2.140,-3.31555,-44.04095
