Timestamp,X-coordinate,Y-coordinate
0.000,-377.4946,15.08315
0.010,-377.5152,15.64121
0.020,-377.4336,16.02355
0.030,-377.4994,16.3979
0.040,-377.4739,16.89781
0.050,-377.5543,17.50966
0.060,-377.564,18.45149
0.070,-377.4709,19.88292
0.080,-377.5614,19.83743
0.090,-377.5432,20.5962
0.100,-377.5358,20.9763
0.110,-377.554,21.86541
0.120,-377.5299,22.20064
0.130,-377.4651,22.11404
0.140,-377.535,23.01492
0.150,-377.5298,23.53629
0.160,-377.5405,23.79404
0.170,-377.4151,24.39032
0.180,-377.4071,25.35272
0.190,-377.2774,25.65059
0.200,-377.3007,26.64335
0.210,-377.2357,27.29605
0.220,-377.121,28.03929
0.230,-377.1123,28.53219
0.240,-377.1111,28.8568
0.250,-377.0988,29.15361
0.260,-377.0362,29.55548
0.270,-377.03,29.83228
0.280,-377.0963,29.89461
0.290,-377.0673,30.26611
0.300,-376.9346,30.68742
0.310,-376.9962,30.89195
0.320,-376.9199,31.03507
0.330,-376.9183,31.02672
0.340,-376.7997,31.23544
0.350,-376.9724,31.04154
0.360,-376.8773,31.0365
0.370,-376.8645,30.86501
0.380,-376.9049,30.77328
0.390,-376.9166,30.21285
0.400,-376.8916,29.7312
0.410,-376.7777,29.90303
0.420,-376.8203,29.2769
0.430,-376.8109,28.64463
0.440,-376.8989,28.00933
0.450,-376.8282,28.14911
0.460,-376.8056,27.71814
0.470,-376.8509,27.59074
0.480,-376.7101,27.87069
0.490,-376.7187,27.67089
0.500,-376.6259,27.76643
0.510,-376.6096,27.97034
0.520,-376.6161,28.03319
0.530,-376.6095,28.23955
0.540,-376.5253,27.99856
0.550,-376.3579,28.11597
0.560,-376.3881,28.18238
0.570,-376.347,27.9423
0.580,-376.2684,27.77627
0.590,-376.2274,27.77441
0.600,-376.2425,27.47441
0.610,-376.1392,27.42659
0.620,-376.0223,27.81021
0.630,-375.9841,27.60946
0.640,-375.9173,27.52705
0.650,-375.8864,27.62609
0.660,-375.8168,27.81724
0.670,-375.797,28.20738
0.680,-375.8913,27.70518
0.690,-375.8371,27.68699
0.700,-375.7263,28.21351
0.710,-375.6587,28.01428
0.720,-375.6754,28.02521
0.730,-375.5579,28.23046
0.740,-375.5842,28.38602
0.750,-375.5401,28.66746
0.760,-375.4715,28.75241
0.770,-375.3701,29.05179
0.780,-375.3791,29.21811
0.790,-375.3109,29.33196
0.800,-375.296,29.25759
0.810,-375.2779,29.64798
0.820,-375.2372,29.37425
0.830,-375.2535,29.69649
0.840,-375.0528,29.73509
0.850,-375.0652,29.49587
0.860,-374.981,29.32537
0.870,-375.0362,29.11123
0.880,-374.9391,29.38669
0.890,-374.9648,29.26871
0.900,-374.9313,29.47611
0.910,-374.8481,29.26012
0.920,-374.876,29.57946
0.930,-374.8169,29.75659
0.940,-374.7603,29.74496
0.950,-374.8335,29.47316
0.960,-374.6532,29.75264
0.970,-374.6435,29.80135
0.980,-374.5949,29.94322
0.990,-374.4735,30.14213
1.000,-374.4428,30.43069
1.010,-374.3158,30.67021
1.020,-374.1235,30.90866
1.030,-374.1076,31.10169
1.040,-374.0681,31.23887
1.050,-373.904,31.6763
1.060,-373.8983,31.60025
1.070,-373.8259,31.46816
1.080,-373.7205,31.88286
1.090,-373.6984,32.00729
1.100,-373.6663,32.65296
1.110,-373.5775,32.35778
1.120,-373.6173,32.43795
1.130,-373.5272,32.55961
1.140,-373.5947,32.29397
1.150,-373.5344,32.63943
1.160,-373.4611,32.5902
1.170,-373.3356,32.60896
1.180,-373.3,32.36119
1.190,-373.2379,32.21773
1.200,-373.0775,31.51936
1.210,-372.9721,31.75287
1.220,-372.9535,31.43661
1.230,-372.9749,31.23377
1.240,-372.8689,31.48002
1.250,-372.9505,31.4749
1.260,-372.9144,31.46498
1.270,-372.9544,31.15011
1.280,-372.9165,31.09784
1.290,-372.8755,30.50497
1.300,-372.7589,29.90208
1.310,-372.5146,28.95962
1.320,-372.5679,27.97101
1.330,-372.5619,26.80377
1.340,-372.5681,25.69202
1.350,-372.6069,24.4102
1.360,-372.6988,23.5197
1.370,-372.9195,22.87337
1.380,-372.9719,21.97227
1.390,-373.1102,20.93453
1.400,-373.205,20.36861
1.410,-373.5063,19.52724
1.420,-373.6006,19.07349
1.430,-373.5443,18.83486
1.440,-373.5749,18.13336
1.450,-373.5919,18.29865
1.460,-373.6483,18.18635
1.470,-373.6711,17.91671
1.480,-373.6173,17.95542
1.490,-373.6844,17.76962
1.500,-373.6616,17.65028
1.510,-373.6418,17.46129
1.520,-373.5691,17.75399
1.530,-373.5477,17.78516
1.540,-373.6027,17.66805
1.550,-373.5783,17.23935
1.560,-373.5865,17.48344
1.570,-373.5837,17.34855
1.580,-373.5014,16.78141
1.590,-373.5703,16.56524
1.600,-373.6116,16.02582
1.610,-373.6355,15.62376
1.620,-373.71,14.44418
1.630,-373.7909,13.69414
1.640,-373.7032,13.26279
1.650,-373.8353,12.50568
1.660,-373.8267,12.16868
1.670,-373.8952,11.68413
1.680,-373.8533,11.17581
1.690,-373.8632,11.41135
1.700,-373.7946,11.56645
1.710,-373.8132,11.31589
1.720,-373.8309,12.01849
1.730,-373.826,11.89998
1.740,-373.7978,12.0898
1.750,-373.8021,12.09291
1.760,-373.8686,12.44127
1.770,-373.8806,12.36284
1.780,-373.7813,12.74463
1.790,-373.7115,13.13312
1.800,-373.7408,14.11596
1.810,-373.5854,14.51242
1.820,-373.6448,15.11055
1.830,-373.5863,15.7853
1.840,-373.575,16.48703
1.850,-373.5039,16.69306
1.860,-373.4834,17.80821
1.870,-373.4496,18.35802
1.880,-373.3895,18.71922
1.890,-373.3854,18.7723
1.900,-373.2652,18.64208
1.910,-373.3985,19.07886
1.920,-373.3463,18.94305
1.930,-373.3823,18.9684
1.940,-373.3243,18.5025
1.950,-373.3112,18.81049
1.960,-373.317,18.02173
1.970,-373.3569,17.42149
1.980,-373.4999,17.09146
1.990,-373.7354,15.85481
2.000,-373.9214,15.86962
2.010,-373.9477,14.47989
