Timestamp,X-coordinate,Y-coordinate
0.000,376.8212,-126.3964
0.010,376.5184,-123.6311
0.020,376.267,-119.5771
0.030,376.0808,-116.901
0.040,375.88,-114.1387
0.050,375.7359,-111.0922
0.060,375.745,-108.3937
0.070,375.5124,-106.1162
0.080,375.5173,-103.485
0.090,375.4729,-101.4238
0.100,375.2366,-98.98975
0.110,375.0876,-96.27198
0.120,374.9478,-92.85678
0.130,374.8464,-90.90608
0.140,374.6806,-89.20685
0.150,374.8203,-87.27787
0.160,374.8539,-84.82813
0.170,374.872,-83.81767
0.180,374.8746,-82.60511
0.190,374.9136,-81.29457
0.200,374.9067,-80.57933
0.210,374.9609,-79.94333
0.220,375.0273,-78.95164
0.230,375.0868,-78.25924
0.240,375.0963,-77.77237
0.250,375.1781,-77.00166
0.260,375.1474,-76.95768
0.270,375.2226,-76.66738
0.280,375.3053,-76.22816
0.290,375.322,-75.93369
0.300,375.3655,-76.09773
0.310,375.3761,-76.04514
0.320,375.4284,-75.98897
0.330,375.4448,-75.96529
0.340,375.5508,-75.99359
0.350,375.625,-76.41384
0.360,375.6089,-76.22823
0.370,375.7299,-76.76725
0.380,375.958,-77.07626
0.390,375.9122,-77.3082
0.400,376.0668,-77.48515
0.410,376.2538,-77.91959
0.420,376.3874,-78.22581
0.430,376.5295,-78.36124
0.440,376.7585,-78.76027
0.450,376.83,-79.12708
0.460,376.8965,-78.91861
0.470,376.9659,-79.24642
0.480,377.0737,-79.26766
0.490,377.2143,-79.76996
0.500,377.3495,-79.98459
0.510,377.3048,-79.74307
0.520,377.4467,-79.67551
0.530,377.4208,-79.96936
0.540,377.4329,-79.82178
0.550,377.5197,-80.11704
0.560,377.638,-80.43372
0.570,377.6003,-80.33558
0.580,377.6818,-80.75735
0.590,377.8161,-80.24637
0.600,377.8343,-80.7561
0.610,377.8758,-80.85768
0.620,377.9461,-81.18726
0.630,378.0158,-81.1368
0.640,378.0631,-81.80179
0.650,378.1319,-81.89626
0.660,378.123,-82.21111
0.670,378.1438,-82.51685
0.680,378.2615,-82.89578
0.690,378.3431,-83.17129
0.700,378.3194,-83.33569
0.710,378.2673,-84.29715
0.720,378.243,-85.15737
0.730,378.1202,-85.71226
0.740,378.098,-86.58434
0.750,378.0724,-87.45731
0.760,378.1953,-88.28841
0.770,378.2698,-88.8602
0.780,378.3623,-89.89
0.790,378.3779,-91.38704
0.800,378.6643,-92.34219
0.810,378.7562,-93.25175
0.820,378.87,-94.27753
0.830,379.0374,-95.26314
0.840,378.9343,-96.07722
0.850,379.0306,-96.65967
0.860,379.0053,-97.81563
0.870,379.0653,-99.36094
0.880,379.1329,-100.0968
0.890,379.317,-100.9658
0.900,379.287,-101.7593
0.910,379.3307,-101.7278
0.920,379.336,-102.5135
0.930,379.475,-103.0657
0.940,379.4845,-103.5679
0.950,379.6214,-104.0257
0.960,379.6223,-104.0906
0.970,379.6359,-104.2981
0.980,379.6785,-104.5686
0.990,379.8014,-104.7218
1.000,379.8114,-104.8156
1.010,379.9673,-105.1014
1.020,379.9409,-104.9895
1.030,380.0828,-105.0935
1.040,380.1003,-105.2158
1.050,380.2892,-105.7017
1.060,380.3549,-105.621
1.070,380.4293,-105.7194
1.080,380.4701,-105.8279
1.090,380.5984,-106.1524
1.100,380.6544,-106.1868
1.110,380.7747,-106.4429
1.120,381.002,-106.9579
1.130,381.0335,-107.0917
1.140,381.297,-107.8704
1.150,381.3801,-108.0967
1.160,381.5318,-108.7046
1.170,381.563,-108.8332
1.180,381.7256,-110.0067
1.190,381.8813,-110.2441
1.200,381.9543,-110.7226
1.210,382.0389,-111.0642
1.220,382.0404,-112.0608
1.230,382.1302,-112.6835
1.240,382.2587,-112.9802
1.250,382.2664,-113.4769
1.260,382.301,-114.2005
1.270,382.3742,-113.9849
1.280,382.3687,-114.6326
1.290,382.4129,-114.7925
1.300,382.4601,-114.8497
1.310,382.3822,-114.7082
1.320,382.481,-114.6884
1.330,382.4498,-114.7109
1.340,382.4586,-114.7673
1.350,382.4379,-114.8659
1.360,382.6212,-114.7239
1.370,382.5833,-115.1075
1.380,382.5943,-114.749
1.390,382.5664,-114.9271
1.400,382.5329,-115.1619
1.410,382.4957,-114.8326
1.420,382.5355,-115.072
1.430,382.4069,-114.7542
1.440,382.5542,-114.6302
1.450,382.3728,-114.4564
1.460,382.3061,-114.059
1.470,382.1873,-113.5809
1.480,382.2173,-113.3114
1.490,382.0082,-112.7271
1.500,381.9413,-112.4871
1.510,381.8085,-111.9164
1.520,381.6539,-111.4959
1.530,381.5152,-111.0261
1.540,381.5439,-110.7858
1.550,381.4655,-110.3719
1.560,381.2677,-109.3698
1.570,381.1207,-109.2122
1.580,381.0057,-108.2928
1.590,380.8882,-107.4397
1.600,380.7238,-107.111
1.610,380.6971,-106.6707
1.620,380.5765,-106.2587
1.630,380.4947,-105.6403
1.640,380.3894,-104.989
1.650,380.3855,-104.7806
1.660,380.2608,-104.2277
1.670,380.0615,-103.6434
1.680,380.0871,-103.3411
1.690,379.8137,-102.5608
1.700,379.854,-102.3402
1.710,379.8433,-101.9712
1.720,379.8716,-101.7355
1.730,379.7173,-101.1843
1.740,379.7734,-100.7127
1.750,379.6239,-100.6886
1.760,379.6203,-100.3197
1.770,379.5189,-100.1924
1.780,379.5177,-99.79347
1.790,379.5132,-99.33222
1.800,379.4829,-98.70068
1.810,379.4999,-97.91502
1.820,379.484,-97.0777
1.830,379.4668,-96.72089
1.840,379.4954,-96.35665
1.850,379.5727,-95.37438
1.860,379.5306,-95.19785
1.870,379.451,-94.20741
1.880,379.2816,-93.70399
1.890,379.376,-93.76159
1.900,379.334,-93.48305
1.910,379.3467,-93.32403
1.920,379.2942,-93.20919
1.930,379.356,-93.03918
1.940,379.3094,-93.15343
1.950,379.3502,-92.88707
1.960,379.3086,-92.80733
1.970,379.4103,-92.55552
1.980,379.3288,-92.52383
1.990,379.2878,-92.50123
2.000,379.3639,-92.33611
2.010,379.3269,-92.99092
2.020,379.4338,-93.17303
2.030,379.453,-93.54905
2.040,379.4948,-93.67441
2.050,379.4698,-93.85836
2.060,379.5894,-94.27509
2.070,379.7097,-94.46991
2.080,379.7255,-94.56693
2.090,379.8039,-95.3019
2.100,379.8951,-95.4622
2.110,379.8931,-95.30996
2.120,380.0422,-95.65121
2.130,380.0621,-95.94744
2.140,380.0267,-95.90361
2.150,380.1235,-95.88587
2.160,380.1682,-96.13528
2.170,380.2142,-96.17365
2.180,380.1646,-96.36402
2.190,380.0557,-96.76226
2.200,380.1895,-96.70056
2.210,380.1594,-96.6298
2.220,380.2163,-96.21351
2.230,380.219,-96.49149
2.240,380.2482,-96.24711
2.250,380.182,-96.03973
2.260,380.1925,-95.86912
2.270,380.1356,-96.06207
2.280,380.1564,-95.42522
2.290,380.0202,-95.49078
2.300,380.08,-95.30733
2.310,379.9949,-94.99574
2.320,379.9077,-94.76688
2.330,379.9111,-94.72531
2.340,379.8616,-94.71242
2.350,379.8504,-94.78397
2.360,379.8311,-94.72054
2.370,379.8451,-94.48676
2.380,379.8302,-94.45941
2.390,379.8322,-94.54417
2.400,379.6806,-94.16273
2.410,379.7883,-94.34386
2.420,379.8069,-94.02806
2.430,379.721,-93.47841
2.440,379.8786,-93.52395
2.450,379.8297,-93.32245
2.460,379.7928,-93.05956
2.470,379.8837,-93.0219
2.480,379.8686,-92.69603
2.490,379.8176,-92.31989
2.500,379.8532,-92.48136
2.510,379.8581,-92.2717
2.520,379.8492,-92.02713
2.530,379.9211,-91.7039
2.540,379.9454,-91.6439
