Timestamp,X-coordinate,Y-coordinate
0.000,-32.32328,51.54356
0.010,-32.13661,51.4128
0.020,-31.75176,51.76973
0.030,-31.74411,51.73357
0.040,-31.72218,51.68577
0.050,-31.58558,51.73566
0.060,-31.47788,51.93825
0.070,-31.46389,51.78353
0.080,-31.48224,51.89681
0.090,-31.03272,51.79078
0.100,-30.87655,51.58772
0.110,-30.79861,51.89622
0.120,-30.52726,51.58809
0.130,-30.01734,51.14734
0.140,-29.8131,50.80524
0.150,-29.61001,50.68073
0.160,-29.41518,50.46074
0.170,-29.26188,50.20039
0.180,-28.84699,49.8578
0.190,-28.56803,49.63068
0.200,-28.20308,49.26424
0.210,-27.5333,48.87715
0.220,-27.36605,48.35247
0.230,-26.86515,47.65928
0.240,-26.34968,47.18102
0.250,-26.13139,46.57657
0.260,-25.91094,46.32417
0.270,-25.74816,45.92772
0.280,-25.56585,45.62621
0.290,-25.13355,45.45059
0.300,-25.15394,45.01545
0.310,-25.04909,44.58743
0.320,-24.6108,43.95745
0.330,-24.48979,43.59635
0.340,-24.21684,43.25691
0.350,-24.05431,42.59538
0.360,-23.79141,42.05197
0.370,-23.66354,41.90537
0.380,-23.56677,41.51392
0.390,-23.42656,41.18151
0.400,-23.2977,41.1302
0.410,-23.13677,40.71019
0.420,-22.99868,40.32166
0.430,-22.70611,39.86098
0.440,-22.28865,39.5751
0.450,-22.13912,39.62416
0.460,-22.20454,39.03659
0.470,-21.95085,38.70327
0.480,-21.82458,38.72823
0.490,-21.38005,37.92559
0.500,-21.29459,37.93242
0.510,-21.20483,37.51364
0.520,-20.92476,37.16618
0.530,-20.87634,37.14671
0.540,-20.77182,36.88187
0.550,-20.35929,36.69044
0.560,-20.17239,36.26251
0.570,-20.24555,36.2383
0.580,-19.76013,35.79888
0.590,-19.73159,35.66706
0.600,-19.52784,35.44132
0.610,-19.2273,35.42013
0.620,-19.29567,35.02294
0.630,-19.02028,34.61551
0.640,-18.78912,34.29725
0.650,-18.51755,33.85238
0.660,-18.25424,33.56937
0.670,-18.20357,33.3926
0.680,-18.09267,33.28023
0.690,-17.80797,33.10818
0.700,-17.72041,32.86467
0.710,-17.51224,32.542
0.720,-17.4144,32.49105
0.730,-17.13032,32.37792
0.740,-17.03007,32.23315
0.750,-16.94623,32.12911
0.760,-16.78188,31.97606
0.770,-16.90689,31.90163
0.780,-16.66817,31.77996
0.790,-16.66172,31.32842
0.800,-16.65127,31.19628
0.810,-16.64469,31.1541
0.820,-16.51733,31.00109
0.830,-16.52606,30.4166
0.840,-16.67867,30.26794
0.850,-16.34978,29.58184
0.860,-16.2637,29.46037
0.870,-16.33389,29.15474
0.880,-16.48705,28.89863
0.890,-16.391,28.74196
0.900,-16.36826,28.47553
0.910,-16.30968,28.21203
0.920,-16.10445,28.11307
0.930,-16.04978,27.84579
0.940,-16.09589,27.851
0.950,-15.85586,27.80747
0.960,-15.8888,27.62688
0.970,-15.67136,27.3945
0.980,-15.63637,27.07848
0.990,-15.51871,27.11115
1.000,-15.68527,26.81824
1.010,-15.72927,26.80024
1.020,-15.64395,26.45941
1.030,-15.36859,26.15018
1.040,-15.38822,25.93716
1.050,-15.87189,25.68788
1.060,-15.73081,25.52252
1.070,-15.84606,25.54776
1.080,-15.75682,25.42122
1.090,-15.80565,25.20436
1.100,-15.60009,24.92635
1.110,-15.97772,24.82396
1.120,-15.71227,24.27489
1.130,-15.77631,24.2579
1.140,-15.79628,23.74461
1.150,-15.95565,23.43935
1.160,-16.02604,23.25843
1.170,-16.38559,22.84041
1.180,-16.25274,22.61149
1.190,-16.37388,21.89762
1.200,-16.58413,22.08224
1.210,-16.49473,21.55986
1.220,-16.49815,21.37255
1.230,-16.58048,20.8925
1.240,-16.88073,20.65581
1.250,-16.66162,20.24483
1.260,-16.93953,19.6655
1.270,-17.01783,19.33046
1.280,-17.19143,18.73961
1.290,-17.65303,18.34998
1.300,-17.74049,17.76039
1.310,-17.95188,16.81655
1.320,-18.25144,16.17809
1.330,-18.66154,15.26414
1.340,-18.81239,14.35012
1.350,-19.10007,13.60964
1.360,-19.26605,13.30327
1.370,-19.36154,12.80814
1.380,-19.45903,11.73124
1.390,-19.43259,10.83559
1.400,-19.8249,10.34349
1.410,-20.18569,9.438401
1.420,-20.05157,8.680237
1.430,-20.48215,7.801293
1.440,-20.96177,6.895385
1.450,-21.26264,6.306917
1.460,-21.18745,5.827006
1.470,-21.05678,5.433147
1.480,-21.34432,5.218507
1.490,-21.22923,4.792345
1.500,-21.0687,4.491422
1.510,-21.10537,4.227438
1.520,-20.91838,3.814792
1.530,-21.06436,3.598509
1.540,-20.71724,3.301163
1.550,-20.75124,2.702581
1.560,-20.93163,2.956511
1.570,-20.69604,2.754311
1.580,-20.93561,2.44734
1.590,-20.60209,2.433807
1.600,-20.51345,2.540844
1.610,-20.63646,2.435534
1.620,-20.48701,2.418732
1.630,-20.50258,2.277512
1.640,-20.3288,2.236176
1.650,-20.22955,2.187119
1.660,-20.19625,2.283797
1.670,-20.16587,2.195487
1.680,-20.08558,2.255978
