Timestamp,X-coordinate,Y-coordinate
0.000,-371.5717,87.83716
0.010,-371.4603,87.87222
0.020,-371.4449,88.13715
0.030,-371.4529,88.20634
0.040,-371.4868,88.05361
0.050,-371.5052,88.10206
0.060,-371.4374,88.35968
0.070,-371.432,88.13712
0.080,-371.4987,88.24842
0.090,-371.3874,88.16479
0.100,-371.502,87.93394
0.110,-371.4789,88.03183
0.120,-371.3389,87.97544
0.130,-371.2736,87.58307
0.140,-371.2414,87.03757
0.150,-371.2556,87.07828
0.160,-371.2254,86.91749
0.170,-371.2381,86.6153
0.180,-371.2892,86.31696
0.190,-371.2609,85.82284
0.200,-371.1645,85.58379
0.210,-370.9835,85.30216
0.220,-370.795,84.99654
0.230,-370.8745,84.66541
0.240,-370.8129,84.0301
0.250,-370.8176,83.51875
0.260,-370.7701,83.13681
0.270,-370.7003,82.88738
0.280,-370.7354,82.42379
0.290,-370.6681,82.1776
0.300,-370.8143,81.88329
0.310,-370.7438,81.3513
0.320,-370.8912,80.69806
0.330,-370.7942,80.13787
0.340,-370.8471,79.90392
0.350,-370.9603,79.13111
0.360,-370.946,78.66824
0.370,-370.9396,78.45184
0.380,-370.9563,78.26501
0.390,-371.0118,77.90037
0.400,-370.9565,77.94386
0.410,-370.9897,77.68947
0.420,-370.9289,77.43531
0.430,-370.9122,76.97958
0.440,-370.9507,76.58821
0.450,-370.973,76.74643
0.460,-371.0414,75.96777
0.470,-371.0914,75.74268
0.480,-371.1099,75.78857
0.490,-371.1145,74.93051
0.500,-371.0927,75.08244
0.510,-371.1777,74.77517
0.520,-371.1704,74.50481
0.530,-371.1644,74.82355
0.540,-371.2228,74.69544
0.550,-371.3734,74.62587
0.560,-371.4448,74.05908
0.570,-371.4402,74.04162
0.580,-371.4088,74.05548
0.590,-371.4034,73.96061
0.600,-371.4406,73.82761
0.610,-371.4263,74.02145
0.620,-371.4673,73.82134
0.630,-371.4553,73.70299
0.640,-371.4546,73.6325
0.650,-371.4332,73.43526
0.660,-371.4275,73.15213
0.670,-371.3688,73.06933
0.680,-371.391,73.23289
0.690,-371.2801,73.19917
0.700,-371.3671,73.06706
0.710,-371.3568,72.839
0.720,-371.2976,73.06117
0.730,-371.1394,73.20519
0.740,-371.2256,73.16953
0.750,-371.2334,73.15972
0.760,-371.1763,73.14793
0.770,-371.2028,73.20916
0.780,-371.2152,73.34389
0.790,-371.1286,72.92547
0.800,-371.1703,73.03985
0.810,-371.1839,73.17091
0.820,-371.1089,73.15498
0.830,-371.1281,72.71822
0.840,-371.1101,72.77597
0.850,-371.12,72.28622
0.860,-371.0834,72.24842
0.870,-370.9792,72.09563
0.880,-371.0674,71.90408
0.890,-371.0617,72.0717
0.900,-371.04,71.82561
0.910,-371.0206,71.69865
0.920,-370.9708,71.80191
0.930,-371.0128,71.58136
0.940,-371.0312,71.51365
0.950,-370.9134,71.37022
0.960,-370.9874,71.28705
0.970,-370.9462,70.83426
0.980,-370.9081,70.69019
0.990,-370.9456,70.75226
1.000,-370.961,70.25961
1.010,-370.9694,70.49094
1.020,-370.9429,70.15095
1.030,-370.9978,69.97296
1.040,-370.9357,69.83811
1.050,-371.0682,69.57989
1.060,-371.027,69.41393
1.070,-371.009,69.50085
1.080,-370.9764,69.55149
1.090,-371.0611,69.34296
1.100,-371.0448,69.00193
1.110,-371.0715,68.91888
1.120,-370.9626,68.47336
1.130,-370.9653,68.62751
1.140,-370.8743,68.29032
1.150,-371.0394,67.94108
1.160,-370.9951,67.87516
1.170,-370.9271,67.69803
1.180,-370.8906,67.6186
1.190,-370.9233,67.14867
1.200,-370.9625,67.39742
1.210,-370.9005,67.07426
1.220,-370.887,66.73865
1.230,-370.8922,66.60632
1.240,-370.9072,66.29592
1.250,-371.0344,65.86906
1.260,-370.9614,65.6661
1.270,-370.9779,65.73678
1.280,-371.0631,65.48155
1.290,-371.1328,65.32957
1.300,-371.164,65.12365
1.310,-371.2355,64.43002
1.320,-371.1984,64.3507
1.330,-371.3482,63.92561
1.340,-371.3773,63.60009
1.350,-371.4037,63.40298
1.360,-371.2982,63.40347
1.370,-371.4026,63.15432
1.380,-371.397,62.51974
1.390,-371.3747,62.462
1.400,-371.3551,62.27589
1.410,-371.4355,61.98227
1.420,-371.3977,61.83138
1.430,-371.489,61.49738
1.440,-371.4657,61.37662
1.450,-371.4385,61.39365
1.460,-371.4842,61.41632
1.470,-371.3972,61.01049
1.480,-371.4945,61.05845
1.490,-371.4576,61.06935
1.500,-371.4707,60.9808
1.510,-371.4482,60.67371
1.520,-371.4577,60.45685
1.530,-371.4603,60.61525
1.540,-371.349,60.14528
1.550,-371.4948,59.57205
1.560,-371.563,59.94352
1.570,-371.4975,59.84885
1.580,-371.4906,59.27177
1.590,-371.5067,59.38269
1.600,-371.5725,59.65477
1.610,-371.5274,59.59336
1.620,-371.5461,59.6482
1.630,-371.5356,59.2583
1.640,-371.5734,59.38507
1.650,-371.6202,59.20108
1.660,-371.5304,59.42263
1.670,-371.5533,59.21339
1.680,-371.5248,59.16549
1.690,-371.5767,59.28114
1.700,-371.5454,59.34575
1.710,-371.5172,59.3497
1.720,-371.5679,59.46719
1.730,-371.5345,59.22243
1.740,-371.5299,58.96476
1.750,-371.5647,59.1219
1.760,-371.5923,59.30233
1.770,-371.6004,59.03965
1.780,-371.5784,59.24704
1.790,-371.5481,59.4721
1.800,-371.5402,59.38696
1.810,-371.6775,59.44337
1.820,-371.5803,59.44034
1.830,-371.5792,59.6585
1.840,-371.5864,59.63686
1.850,-371.5533,59.79334
1.860,-371.5882,59.81398
1.870,-371.5502,59.69483
1.880,-371.6643,59.81437
1.890,-371.5753,60.12111
1.900,-371.562,60.48561
1.910,-371.5526,60.48016
1.920,-371.5458,60.53409
1.930,-371.4621,60.38607
1.940,-371.5009,60.59
1.950,-371.5655,60.57165
1.960,-371.603,60.41959
1.970,-371.6299,60.60197
1.980,-371.4933,60.59485
1.990,-371.5444,60.10386
2.000,-371.5767,60.2085
2.010,-371.5374,60.17628
2.020,-371.6031,60.15843
2.030,-371.5244,60.11222
2.040,-371.5289,59.88605
2.050,-371.5997,59.84042
2.060,-371.6946,59.54726
2.070,-371.6359,59.68842
2.080,-371.7066,59.56838
2.090,-371.5749,59.9086
2.100,-371.7101,59.52377
2.110,-371.6993,59.43657
2.120,-371.6909,59.22688
2.130,-371.7077,59.18241
2.140,-371.6873,59.23399
2.150,-371.721,59.30622
2.160,-371.7229,59.15834
2.170,-371.7132,58.99528
2.180,-371.6831,58.8087
2.190,-371.7528,58.75571
2.200,-371.7648,58.79743
2.210,-371.9042,58.10795
2.220,-371.8446,58.06196
2.230,-371.8321,58.01084
2.240,-371.9337,57.902
2.250,-371.8646,57.55108
2.260,-371.9036,57.35497
2.270,-371.9616,57.1489
2.280,-371.9654,57.11232
2.290,-371.9738,56.8292
2.300,-371.9795,56.69853
2.310,-372.0208,56.18624
2.320,-372.03,56.02809
2.330,-371.9256,55.62101
2.340,-372.0435,55.22738
2.350,-372.0207,55.0993
2.360,-371.937,54.82639
2.370,-372.0627,54.50779
2.380,-371.9751,54.23681
2.390,-372.0663,54.28567
2.400,-372.1188,53.98016
2.410,-372.1366,53.66881
2.420,-372.0981,53.73226
2.430,-372.1972,53.46865
2.440,-372.1428,53.39097
2.450,-372.1527,53.11641
2.460,-372.1507,53.01715
2.470,-372.1735,52.91858
2.480,-372.1704,52.66563
2.490,-372.2115,51.88032
2.500,-372.1306,51.99953
