Timestamp,X-coordinate,Y-coordinate
0.000,375.1198,7.954319
0.010,375.2516,7.640028
0.020,375.2873,8.19229
0.030,375.368,8.024035
0.040,375.3243,8.116181
0.050,375.2724,8.207859
0.060,375.3252,8.355556
0.070,375.3074,8.286527
0.080,375.3225,8.404764
0.090,375.3938,8.355603
0.100,375.3178,8.24501
0.110,375.2635,8.825636
0.120,375.3361,8.255383
0.130,375.3868,7.862582
0.140,375.3931,7.804796
0.150,375.3782,7.534896
0.160,375.4292,7.280905
0.170,375.3092,7.120142
0.180,375.4259,6.815645
0.190,375.4453,6.962394
0.200,375.4195,6.520666
0.210,375.437,6.139662
0.220,375.4187,5.375088
0.230,375.5133,4.374197
0.240,375.6802,4.173707
0.250,375.6344,3.516806
0.260,375.7089,3.452473
0.270,375.6929,2.915578
0.280,375.7151,2.846727
0.290,375.7117,2.844565
0.300,375.806,2.249387
0.310,375.7147,1.96709
0.320,375.7418,1.479727
0.330,375.8254,1.355701
0.340,375.932,0.9517073
0.350,375.826,0.4804538
0.360,375.7284,-0.08754033
0.370,375.8401,-0.1374019
0.380,375.8025,-0.7362092
0.390,375.868,-0.9999129
0.400,375.8043,-1.130813
0.410,375.8619,-1.706282
0.420,375.7676,-2.214689
0.430,375.8965,-2.629868
0.440,375.8625,-2.691654
0.450,375.8884,-2.733218
0.460,375.9385,-3.11462
0.470,375.9293,-3.506807
0.480,375.858,-3.467244
0.490,376.0494,-4.125898
0.500,376.0268,-4.264798
0.510,375.9941,-4.776075
0.520,376.0038,-5.149212
0.530,376.0539,-5.54698
0.540,376.0581,-5.935992
0.550,376.0818,-6.154471
0.560,376.1425,-6.380623
0.570,376.1371,-6.429188
0.580,376.1174,-7.269496
0.590,376.1417,-7.439613
0.600,376.2297,-7.727555
0.610,376.409,-7.941991
0.620,376.3402,-8.563904
0.630,376.3781,-9.236933
0.640,376.4105,-9.782149
0.650,376.4521,-10.44729
0.660,376.4562,-10.66878
0.670,376.5086,-10.95178
0.680,376.5044,-11.34271
0.690,376.4562,-11.60949
0.700,376.4415,-11.94349
0.710,376.4456,-12.32324
0.720,376.4887,-12.66707
0.730,376.5087,-13.01983
0.740,376.5471,-13.25482
0.750,376.5715,-13.44489
0.760,376.5662,-13.72128
0.770,376.5568,-13.97251
0.780,376.5637,-14.31906
0.790,376.6491,-14.827
0.800,376.7543,-15.23705
0.810,376.7999,-15.47344
0.820,376.8267,-15.75972
0.830,376.8534,-16.51089
0.840,376.9487,-16.94098
0.850,377.0339,-17.77052
0.860,377.0969,-17.97537
0.870,377.1198,-18.48511
0.880,377.1538,-18.8443
0.890,377.2122,-19.34411
0.900,377.2362,-19.63313
0.910,377.2135,-20.03285
0.920,377.335,-20.32464
0.930,377.3722,-20.62836
0.940,377.333,-20.54696
0.950,377.4052,-20.44253
0.960,377.3742,-20.72567
0.970,377.3936,-20.66587
0.980,377.3567,-21.16375
0.990,377.4013,-21.13357
1.000,377.387,-21.24471
1.010,377.4553,-21.55721
1.020,377.4205,-21.87621
1.030,377.4988,-22.26131
1.040,377.4162,-22.56404
1.050,377.3151,-22.89868
1.060,377.3435,-23.03578
1.070,377.3495,-23.11204
1.080,377.2662,-23.40553
1.090,377.3212,-23.63953
1.100,377.2982,-23.79353
1.110,377.1987,-24
1.120,377.2571,-24.61638
1.130,377.1393,-24.82445
1.140,377.1245,-25.54859
1.150,377.2476,-25.83978
1.160,377.1,-26.15432
1.170,376.9496,-26.92549
1.180,377.0549,-27.30317
1.190,377.1047,-28.32195
1.200,376.8965,-28.23302
1.210,376.9049,-28.9623
1.220,376.8354,-28.97891
1.230,376.6035,-29.83663
1.240,376.5632,-30.06588
1.250,376.6744,-30.39575
1.260,376.6343,-31.47434
1.270,376.6933,-32.28746
1.280,376.6278,-33.27887
1.290,376.3871,-34.02031
1.300,376.4196,-35.06207
1.310,376.4021,-36.33213
1.320,376.2563,-37.66701
1.330,376.1989,-39.21618
1.340,376.2188,-40.83199
1.350,376.2426,-42.26667
1.360,376.2019,-42.9786
1.370,376.1776,-43.75877
1.380,376.1317,-45.35685
1.390,376.1208,-47.18817
1.400,376.0929,-48.14642
1.410,376.1196,-49.84538
1.420,375.9881,-51.23207
1.430,375.8455,-52.82784
1.440,375.8373,-54.78184
1.450,375.895,-56.17062
1.460,375.9115,-57.18945
1.470,375.8079,-57.52472
1.480,375.7823,-58.113
1.490,375.6941,-58.98793
1.500,375.6804,-59.4697
1.510,375.6662,-59.69931
1.520,375.631,-60.26181
1.530,375.6859,-60.96106
1.540,375.6945,-60.96474
1.550,375.5951,-61.56091
1.560,375.6592,-61.50013
1.570,375.7344,-61.76655
1.580,375.6049,-61.83126
1.590,375.7415,-61.88943
1.600,375.6679,-61.91402
1.610,375.6691,-62.12001
1.620,375.6024,-62.15155
1.630,375.6681,-62.03016
1.640,375.6631,-62.19327
1.650,375.7468,-62.06096
1.660,375.6968,-62.10184
1.670,375.8106,-62.05766
1.680,375.7158,-61.83721
1.690,375.6188,-61.46149
1.700,375.5982,-61.39301
1.710,375.7037,-60.52667
1.720,375.6879,-60.31834
1.730,375.6847,-59.80534
1.740,375.6172,-58.60683
1.750,375.5563,-57.24317
1.760,375.6358,-56.11223
1.770,375.4092,-54.90387
1.780,375.2169,-53.35229
1.790,375.2118,-52.6342
1.800,375.0954,-51.23808
1.810,375.125,-50.36661
1.820,375.0184,-49.49033
1.830,374.9449,-49.15052
1.840,375.0968,-48.17593
1.850,374.9903,-47.18914
1.860,375.0656,-46.56483
1.870,374.9119,-45.4642
1.880,374.9984,-45.17533
1.890,375.041,-44.98097
1.900,375.062,-44.58786
1.910,375.0566,-44.33493
1.920,375.1054,-44.03515
1.930,375.0762,-44.10884
1.940,375.0185,-43.91714
1.950,375.0405,-43.70867
1.960,375.036,-43.53453
1.970,375.0545,-43.19452
1.980,375.045,-43.44928
1.990,375.0323,-43.5128
2.000,375.0666,-43.45427
2.010,375.0462,-43.28834
2.020,375.1196,-43.5648
2.030,375.1148,-43.42427
2.040,375.088,-43.45857
2.050,374.9583,-43.19833
2.060,375.169,-43.37991
2.070,375.1989,-43.17553
2.080,375.1535,-43.43769
2.090,375.1529,-43.14642
2.100,375.2596,-43.36905
2.110,375.223,-43.22942
2.120,375.1286,-42.91734
2.130,375.2021,-43.14706
2.140,375.0921,-42.78244
2.150,375.1789,-42.72132
2.160,375.2198,-42.99082
2.170,375.1452,-42.73109
2.180,375.1123,-42.56541
2.190,375.1576,-42.5781
2.200,375.1074,-42.91922
2.210,375.059,-42.73578
2.220,375.1107,-42.78383
2.230,375.1492,-42.56888
2.240,375.2017,-42.54808
2.250,375.1107,-42.4179
2.260,375.1711,-42.79164
2.270,375.2761,-42.77255
2.280,375.242,-42.59263
2.290,375.2501,-42.89506
2.300,375.2827,-42.82341
2.310,375.3501,-42.80153
2.320,375.3822,-42.76752
2.330,375.3662,-42.75138
2.340,375.4613,-43.08412
2.350,375.4832,-42.93953
2.360,375.4021,-42.89527
2.370,375.3615,-42.84717
2.380,375.4069,-43.42097
2.390,375.4205,-43.68532
2.400,375.4527,-43.59527
2.410,375.434,-43.86496
2.420,375.4319,-44.1212
2.430,375.4362,-43.91979
2.440,375.4537,-44.55308
2.450,375.4962,-44.83573
2.460,375.4312,-45.34933
2.470,375.3919,-45.26292
2.480,375.3596,-46.15274
