Timestamp,X-coordinate,Y-coordinate
0.000,375.167,-128.4173
0.010,375.5346,-131.8812
0.020,375.6981,-135.5179
0.030,376.0475,-139.1424
0.040,376.4746,-141.9245
0.050,376.7013,-143.2989
0.060,376.8015,-145.8252
0.070,376.8982,-147.2705
0.080,376.9821,-148.5464
0.090,377.0799,-149.5043
0.100,376.9234,-150.8205
0.110,376.8354,-153.0095
0.120,376.7242,-154.395
0.130,376.6219,-155.4909
0.140,376.5747,-156.6523
0.150,376.4761,-157.7189
0.160,376.3078,-159.4139
0.170,376.4051,-160.1046
0.180,376.4861,-160.8691
0.190,376.6023,-161.6046
0.200,376.716,-163.0339
0.210,376.8061,-163.5536
0.220,377.2003,-164.8341
0.230,377.3439,-165.4725
0.240,377.7054,-165.8151
0.250,377.9394,-166.8435
0.260,378.0928,-167.1573
0.270,378.3613,-168.0102
0.280,378.6592,-169.2128
0.290,379.1064,-169.9351
0.300,379.3668,-170.4753
0.310,379.4729,-171.0362
0.320,379.7582,-171.2116
0.330,380.0362,-171.366
0.340,380.1983,-171.4582
0.350,380.374,-171.3095
0.360,380.5579,-171.2691
0.370,380.6771,-171.0643
0.380,380.9078,-170.6698
0.390,381.2517,-169.9088
0.400,381.3665,-169.0552
0.410,381.7024,-168.3905
0.420,381.8343,-167.8136
0.430,381.9582,-167.0977
0.440,382.1791,-166.4258
0.450,382.2655,-166.1186
0.460,382.4273,-165.3515
0.470,382.3167,-165.3077
0.480,382.4635,-165.0984
0.490,382.4287,-164.1116
0.500,382.4301,-163.6346
0.510,382.3521,-162.5877
0.520,382.3772,-161.6259
0.530,382.5333,-160.4976
0.540,382.5278,-158.5442
0.550,382.555,-157.3316
0.560,382.3808,-155.1239
0.570,382.3662,-153.2828
0.580,382.2914,-150.8707
0.590,382.2427,-148.8441
0.600,382.3966,-147.3615
0.610,382.2314,-144.6149
0.620,382.1097,-142.5363
0.630,382.0086,-140.9596
0.640,381.9769,-138.4906
0.650,381.8654,-136.8394
0.660,381.8334,-134.6623
0.670,381.898,-133.3139
0.680,381.9066,-132.1669
0.690,382.0087,-131.1015
0.700,382.066,-129.8021
