Timestamp,X-coordinate,Y-coordinate
0.000,7.232454,1.939216
0.010,5.946423,2.23832
0.020,4.752012,2.647188
0.030,3.398953,3.149209
0.040,2.162838,3.84518
0.050,1.548969,4.656213
0.060,0.7079114,5.453613
0.070,0.3716012,6.212625
0.080,-0.1387494,7.661363
0.090,-0.6264054,8.94362
0.100,-0.8717828,10.41806
0.110,-0.9396417,12.0919
0.120,-1.21016,13.64851
0.130,-0.6920562,15.45518
0.140,-0.9965006,16.65044
0.150,-0.9312601,18.55972
0.160,-0.6420825,20.29066
0.170,0.05566091,21.98653
0.180,1.272991,23.29396
0.190,2.07745,24.46734
0.200,2.753504,25.33466
0.210,4.133393,26.61697
0.220,5.441364,27.95802
0.230,6.927432,29.3581
0.240,8.02417,30.51179
0.250,8.731115,31.90166
0.260,10.07101,33.20489
0.270,10.76913,34.17079
0.280,11.1691,35.37899
0.290,11.66297,35.68083
0.300,12.78948,36.41907
0.310,13.27211,36.65208
0.320,14.29972,36.80007
0.330,15.29424,37.28115
0.340,15.60739,37.56215
0.350,16.00949,38.01717
0.360,16.30053,38.14967
0.370,16.5796,38.29041
0.380,16.98963,38.33882
0.390,17.38957,38.15683
0.400,17.30822,38.38243
0.410,17.49907,38.14967
0.420,17.70989,38.2546
0.430,17.88362,38.38368
0.440,17.93399,38.37815
0.450,18.14975,38.27848
0.460,18.42869,37.89333
0.470,18.99229,37.94788
0.480,19.16407,37.94883
0.490,19.4846,38.20628
0.500,20.03023,37.92248
0.510,20.36699,38.06351
0.520,20.86228,38.07637
0.530,21.15394,38.1851
0.540,21.40537,38.1702
0.550,22.07524,38.27761
0.560,22.67716,38.23796
0.570,23.13608,38.30634
0.580,23.60223,38.52216
0.590,23.99891,38.59797
0.600,24.38538,38.53109
0.610,24.55042,38.53834
0.620,24.62152,38.52537
0.630,24.904,38.27294
0.640,25.03129,38.20663
0.650,24.86011,38.22445
0.660,25.08434,38.21469
0.670,24.90727,38.15498
0.680,24.94555,37.97905
0.690,24.85685,37.94112
0.700,24.56075,37.72255
0.710,23.90981,37.68413
0.720,23.62737,37.82343
0.730,23.43586,37.60878
0.740,23.27088,37.29307
0.750,22.88461,37.49582
0.760,22.20839,37.46778
0.770,21.42525,37.40912
0.780,20.55851,37.34974
0.790,19.41152,36.86355
0.800,18.26157,36.95256
0.810,17.26015,37.13192
0.820,16.2612,36.57352
0.830,15.50649,36.34369
0.840,14.97408,35.96433
0.850,14.59257,35.55204
0.860,14.50402,35.58614
0.870,14.68302,35.14501
0.880,14.42332,35.05376
0.890,13.94728,34.69258
0.900,14.11046,34.57984
0.910,13.73639,34.19685
0.920,13.60228,33.99003
0.930,13.69769,33.95803
0.940,13.8854,33.97437
0.950,13.9213,33.58577
0.960,13.47679,33.60503
0.970,13.54804,33.32067
0.980,13.31296,33.45874
0.990,13.59248,33.3153
1.000,13.36834,33.43993
