Timestamp,X-coordinate,Y-coordinate
0.000,-371.8009,26.09892
0.010,-371.9607,25.70784
0.020,-371.8619,25.91006
0.030,-371.8688,26.18803
0.040,-371.9649,26.68965
0.050,-371.8549,27.50168
0.060,-371.7941,28.25141
0.070,-371.7445,29.52237
0.080,-371.7495,31.41454
0.090,-371.6109,33.48126
0.100,-371.3293,35.49907
0.110,-371.274,37.74271
0.120,-371.3286,39.44953
0.130,-371.1121,41.23282
0.140,-371.225,42.65783
0.150,-371.3011,44.41385
0.160,-371.1897,45.38035
0.170,-371.0849,46.35543
0.180,-370.9976,47.69814
0.190,-370.9157,48.56197
0.200,-370.8022,49.07464
0.210,-370.7618,49.94382
0.220,-370.6487,50.47367
0.230,-370.7049,51.16804
0.240,-370.6789,52.13145
0.250,-370.7165,53.18204
0.260,-370.7712,54.04129
0.270,-370.7626,54.56673
0.280,-370.7614,55.5544
0.290,-370.6901,56.27579
0.300,-370.6764,56.77156
0.310,-370.6429,57.19864
0.320,-370.7421,57.402
0.330,-370.7412,57.86746
0.340,-370.7269,58.16992
0.350,-370.7924,58.53883
0.360,-370.8384,58.63302
0.370,-370.7431,58.54405
0.380,-370.7858,58.8016
0.390,-370.8349,58.4637
0.400,-370.7997,58.54273
0.410,-370.7759,58.61787
0.420,-370.9827,58.59282
0.430,-371.0299,58.55767
0.440,-371.0258,58.31838
0.450,-371.1755,57.91809
0.460,-371.2719,57.86225
0.470,-371.2661,57.78834
0.480,-371.3401,57.81892
0.490,-371.3324,57.91111
0.500,-371.4346,57.89581
0.510,-371.3909,57.80895
0.520,-371.4766,57.922
0.530,-371.548,57.71223
0.540,-371.6567,57.74294
0.550,-371.6412,57.77131
0.560,-371.7222,57.7636
0.570,-371.7313,57.84079
0.580,-371.8006,57.61707
0.590,-371.8427,57.69962
0.600,-371.9586,57.57647
0.610,-372.0706,57.44531
0.620,-372.0138,57.02136
0.630,-372.1323,57.19073
0.640,-372.152,56.64634
0.650,-372.3299,56.60549
0.660,-372.3196,56.202
0.670,-372.336,56.18382
0.680,-372.4403,55.71325
0.690,-372.4106,55.37878
