Timestamp,X-coordinate,Y-coordinate
0.000,26.63544,-93.38963
0.010,25.25943,-92.12529
0.020,23.98423,-91.74243
0.030,22.36012,-91.11775
0.040,20.31472,-91.43463
0.050,18.46304,-91.89643
0.060,16.74726,-91.8133
0.070,14.6431,-91.65142
0.080,12.90196,-91.45901
0.090,11.40598,-91.25813
0.100,9.567156,-90.52965
0.110,7.82073,-89.58094
0.120,6.364018,-88.92494
0.130,4.892177,-88.23907
0.140,2.817978,-86.88555
0.150,1.687277,-85.88444
0.160,0.06399828,-84.9873
0.170,-0.8863032,-83.49982
0.180,-2.148907,-82.63538
0.190,-3.137611,-81.77887
0.200,-3.644345,-80.47742
0.210,-4.382002,-79.71331
0.220,-4.668611,-78.51845
0.230,-5.301742,-77.07355
0.240,-5.764901,-74.86823
0.250,-6.473666,-72.64317
0.260,-7.08371,-70.279
0.270,-8.374901,-67.78927
0.280,-9.394234,-66.06383
0.290,-10.14756,-64.20413
0.300,-10.94236,-62.27996
0.310,-11.8626,-60.84907
0.320,-12.56941,-59.04176
0.330,-13.26271,-57.47051
0.340,-14.3401,-56.15577
0.350,-15.59908,-54.92177
0.360,-17.20617,-53.00459
0.370,-18.34359,-52.2485
0.380,-20.03117,-51.68119
0.390,-20.78684,-50.26902
0.400,-21.5743,-49.05745
0.410,-22.98262,-48.02882
0.420,-23.08003,-44.95708
0.430,-22.34996,-39.40519
0.440,-19.30079,-24.89842
0.450,-15.61981,1.976975
0.460,-9.16147,35.87829
0.470,-0.354882,69.9358
0.480,11.4326,102.3943
0.490,21.35597,133.2901
0.500,26.39425,158.7461
0.510,28.82224,174.3429
0.520,30.69199,186.7718
0.530,32.56387,197.785
0.540,33.78193,208.9379
0.550,34.50993,218.1446
0.560,34.20776,226.8514
0.570,32.41616,235.1444
0.580,31.1419,242.9126
0.590,27.33791,248.9747
0.600,25.61136,253.85
0.610,21.9856,256.1798
0.620,18.30525,258.0814
0.630,10.64136,257.4467
0.640,1.68443,253.9208
0.650,-6.748188,249.6291
0.660,-14.54548,242.7976
0.670,-15.24507,233.4141
0.680,-15.04409,208.9992
0.690,-31.92092,129.9275
0.700,-49.57697,20.48907
0.710,-45.57691,-44.90129
0.720,-40.13377,-76.70877
0.730,-36.31534,-92.47542
0.740,-37.20633,-102.3134
0.750,-42.06492,-110.2507
0.760,-49.63204,-116.2314
0.770,-56.2042,-122.1566
0.780,-61.86083,-127.7315
0.790,-67.61427,-131.1318
0.800,-75.55107,-133.5696
0.810,-80.60909,-136.3243
0.820,-85.76713,-140.6514
0.830,-91.29331,-146.0116
0.840,-95.21905,-151.6474
0.850,-97.54064,-158.5134
0.860,-100.0107,-165.8048
0.870,-101.2696,-173.4903
0.880,-102.7099,-179.9446
0.890,-104.4563,-186.5836
0.900,-105.4122,-191.5198
0.910,-106.5663,-198.5714
0.920,-108.7317,-203.7502
0.930,-111.2589,-209.1665
0.940,-114.8572,-215.3547
0.950,-119.2344,-221.121
0.960,-124.7776,-227.152
0.970,-130.5619,-234.3988
0.980,-136.7539,-241.1311
0.990,-143.0557,-249.1084
1.000,-149.5874,-256.4523
1.010,-155.1687,-262.5511
1.020,-158.8785,-266.8285
1.030,-164.0643,-271.2334
1.040,-168.5489,-275.5005
1.050,-173.6651,-277.6153
1.060,-178.4683,-279.1909
1.070,-183.1736,-280.3234
1.080,-187.8548,-280.8894
1.090,-191.8575,-280.7148
1.100,-195.181,-280.2748
1.110,-198.4099,-280.2682
1.120,-201.1747,-279.2361
1.130,-203.8905,-278.1839
1.140,-207.0832,-275.8135
1.150,-209.8766,-273.9216
1.160,-212.7411,-271.8806
1.170,-216.042,-268.2869
1.180,-217.3474,-266.3759
1.190,-218.9688,-263.7027
1.200,-220.1237,-262.011
1.210,-221.975,-260.82
1.220,-223.451,-260.9382
1.230,-225.3915,-260.8391
1.240,-227.6075,-260.3429
1.250,-229.6598,-260.2488
1.260,-230.7083,-258.8208
1.270,-230.4301,-258.6339
1.280,-221.1011,-256.6274
1.290,-217.8604,-262.0004
1.300,-212.4093,-271.6917
1.310,-203.8417,-280.8485
1.320,-192.5943,-284.543
1.330,-178.8848,-292.1486
1.340,-161.2993,-295.1321
1.350,-143.8131,-295.8552
1.360,-125.1942,-294.6734
1.370,-106.5207,-292.893
1.380,-89.25377,-290.0904
1.390,-74.29833,-289.2505
1.400,-61.15033,-287.5935
1.410,-50.90263,-287.1902
1.420,-41.1582,-283.8777
1.430,-33.05009,-281.0767
1.440,-25.93682,-276.7537
1.450,-18.02606,-272.5501
1.460,-9.637611,-264.6039
1.470,0.1678682,-254.545
1.480,10.51635,-241.2592
1.490,18.08061,-219.2104
1.500,22.97716,-188.6232
1.510,27.69125,-156.871
1.520,35.1534,-125.8569
1.530,41.30071,-99.09902
1.540,46.81355,-75.4254
1.550,52.55057,-54.17921
1.560,56.44723,-34.81783
1.570,61.02509,-15.69192
1.580,64.58124,0.1464801
1.590,66.9398,13.27344
1.600,67.73922,24.49611
1.610,65.75314,33.82814
1.620,63.68206,41.72419
1.630,61.6817,49.76888
1.640,59.67443,56.55317
1.650,57.85343,62.08523
1.660,56.70438,66.631
1.670,56.20614,70.12249
1.680,56.348,71.84988
1.690,57.0982,72.95332
1.700,57.67921,73.07931
1.710,58.03286,73.02367
1.720,57.69985,72.70602
1.730,56.78291,72.12179
1.740,52.31933,68.32171
1.750,46.70088,64.27357
1.760,41.59418,58.65246
1.770,35.58929,53.20383
1.780,30.77446,48.3531
1.790,26.31495,45.12817
1.800,22.23039,42.1678
1.810,18.15839,40.05258
1.820,14.39144,39.24493
1.830,10.93087,37.98149
1.840,6.903747,36.67826
1.850,3.120779,36.1478
1.860,-0.8758702,35.14104
1.870,-4.063616,32.87233
1.880,-7.997771,30.82855
1.890,-11.29794,28.88966
1.900,-15.26047,27.00142
1.910,-19.12446,24.34987
1.920,-22.43672,22.39798
1.930,-25.13744,20.83905
1.940,-27.57469,19.43326
1.950,-29.80669,17.65749
1.960,-31.72403,16.52742
1.970,-34.12408,15.47874
1.980,-35.82558,14.53857
1.990,-37.80249,13.90915
2.000,-39.31891,13.34508
2.010,-40.57558,13.22434
2.020,-42.50523,13.21482
2.030,-43.6862,13.36004
2.040,-45.22768,14.24759
2.050,-46.3526,15.05154
2.060,-47.75266,15.67772
2.070,-48.46566,16.98427
2.080,-49.42418,17.88052
2.090,-49.79136,19.04652
2.100,-50.09089,19.88866
2.110,-50.53051,21.36489
2.120,-50.84452,22.52525
2.130,-51.18966,23.98327
2.140,-51.44295,25.29765
2.150,-51.7957,27.39459
2.160,-52.24673,28.86329
2.170,-52.73972,30.33103
2.180,-52.90926,32.16398
2.190,-53.29602,33.80942
2.200,-53.77717,35.3816
2.210,-54.25992,37.26291
2.220,-54.33161,38.76548
2.230,-54.20585,40.17467
2.240,-54.25649,41.81136
2.250,-54.3274,42.87995
2.260,-54.40318,44.22347
2.270,-54.31748,45.083
2.280,-54.28345,46.20272
2.290,-54.36438,46.88903
2.300,-54.51889,47.93782
2.310,-54.34891,48.25922
2.320,-54.29614,48.94981
2.330,-53.97767,49.38437
2.340,-53.96393,50.0667
2.350,-53.85238,50.49266
2.360,-53.53636,51.34183
2.370,-53.2375,52.00074
2.380,-53.09372,52.85159
2.390,-52.66141,53.70973
2.400,-52.42779,54.86489
2.410,-51.64805,55.85039
2.420,-51.53507,56.75514
2.430,-50.8284,57.86518
2.440,-50.24908,58.73034
2.450,-49.23878,60.13487
2.460,-48.68186,61.0478
2.470,-47.6896,62.49349
2.480,-46.4893,62.98179
2.490,-45.62752,64.13785
2.500,-44.18172,64.71786
2.510,-42.57339,66.04884
2.520,-40.99723,67.36848
2.530,-39.25312,68.34214
2.540,-37.46238,69.6837
2.550,-34.67365,70.92894
2.560,-32.30712,71.92992
2.570,-29.90949,72.93339
2.580,-26.97901,73.79152
2.590,-24.48142,74.93503
2.600,-21.58788,75.46877
2.610,-19.35937,75.82058
2.620,-17.37142,75.86723
2.630,-15.46788,76.16747
2.640,-14.14044,75.50793
2.650,-12.51476,75.39598
2.660,-11.2587,75.21716
2.670,-10.16925,74.2882
2.680,-9.115114,73.91791
2.690,-8.49912,73.51424
2.700,-7.563068,72.8662
2.710,-6.9675,72.71973
2.720,-6.763538,72.24668
2.730,-6.550784,71.72327
2.740,-6.388423,70.98873
2.750,-5.918514,70.78321
2.760,-6.075291,70.61034
2.770,-6.28705,69.97579
2.780,-6.290122,69.6068
2.790,-6.441308,69.37464
2.800,-6.662668,68.74605
2.810,-7.133638,68.02735
2.820,-7.409062,67.42737
2.830,-7.573662,66.6881
2.840,-7.724953,65.86604
2.850,-7.92864,64.88223
2.860,-8.330234,64.15398
2.870,-8.504244,63.47059
2.880,-8.752894,62.45996
2.890,-9.511337,61.48323
2.900,-10.13714,60.66159
2.910,-10.54468,58.9034
2.920,-11.15972,57.38839
2.930,-11.75918,56.08663
2.940,-12.35349,54.96607
2.950,-13.08728,53.59576
2.960,-13.80063,52.38289
2.970,-14.41815,51.36441
2.980,-14.94827,50.49923
2.990,-15.91152,49.34095
3.000,-16.75201,48.85194
3.010,-17.62276,48.05727
3.020,-18.53422,47.3988
3.030,-19.00456,46.88992
3.040,-19.8624,46.61248
3.050,-20.61959,46.46365
3.060,-21.51482,45.91226
3.070,-22.30546,46.02192
3.080,-23.47047,46.08503
3.090,-25.29916,46.76832
3.100,-27.22149,47.50217
3.110,-29.65137,48.04375
3.120,-32.38059,49.06888
3.130,-35.35148,50.02817
3.140,-39.44125,50.81432
3.150,-42.98772,52.17688
3.160,-47.45007,54.20036
3.170,-51.51789,55.39504
3.180,-55.81617,57.2306
3.190,-60.40581,58.84021
3.200,-66.52093,61.23357
3.210,-72.55655,62.91743
3.220,-79.7039,65.17578
3.230,-85.28002,67.45224
3.240,-91.83293,69.73557
3.250,-97.70162,71.7653
3.260,-105.032,74.14253
3.270,-111.8824,76.65199
3.280,-117.956,79.90669
3.290,-123.9194,81.85368
3.300,-129.2661,84.03983
3.310,-133.6307,86.38931
3.320,-138.4384,87.88548
3.330,-141.9534,89.7658
3.340,-144.2875,90.64445
3.350,-146.6977,91.33975
3.360,-148.7716,92.12182
3.370,-150.7278,92.44177
3.380,-151.6714,92.30163
3.390,-152.0056,92.22947
3.400,-151.9601,92.00467
3.410,-151.9613,92.3857
3.420,-151.5654,92.24276
3.430,-151.3279,91.80602
3.440,-150.7642,91.68972
3.450,-149.8883,91.54499
3.460,-149.1926,90.91933
3.470,-148.0764,90.89916
3.480,-147.2742,90.75974
3.490,-146.4575,90.15314
3.500,-145.8502,89.45557
3.510,-145.1722,88.96456
3.520,-144.272,88.11703
3.530,-144.0041,87.67331
3.540,-143.292,87.46931
3.550,-142.7157,87.03697
3.560,-142.3485,87.10391
3.570,-141.9099,86.70689
3.580,-141.3695,86.4011
3.590,-141.1472,86.32938
3.600,-140.756,86.15266
3.610,-140.7673,85.71877
3.620,-140.3286,85.65194
3.630,-139.9546,85.31616
3.640,-139.8905,84.52425
3.650,-139.7246,84.24212
3.660,-139.7205,84.02238
3.670,-139.5145,83.16351
3.680,-139.4765,82.34396
3.690,-139.1557,81.65271
3.700,-138.9287,80.75916
3.710,-138.5024,80.21025
3.720,-137.9958,79.55874
3.730,-138.0124,78.568
3.740,-137.7077,77.18719
3.750,-137.9347,75.12
3.760,-138.0103,73.09917
3.770,-138.0049,69.77396
3.780,-138.7508,66.25048
3.790,-139.6103,61.10261
3.800,-141.0588,55.16894
3.810,-143.0554,48.51331
3.820,-143.7934,42.76538
3.830,-144.2336,36.65788
3.840,-142.7988,31.47654
3.850,-140.7822,27.21108
3.860,-136.9474,23.39979
3.870,-133.0727,21.35463
3.880,-128.8484,21.12054
3.890,-126.2981,22.31732
3.900,-124.2684,25.1376
3.910,-123.9326,31.71696
3.920,-121.9552,39.19864
3.930,-120.6369,44.93871
3.940,-118.376,47.37017
3.950,-118.5774,49.34334
3.960,-121.7732,50.93398
3.970,-128.4837,50.99881
3.980,-139.8763,49.62299
3.990,-155.2592,44.93763
4.000,-173.7079,37.08539
4.010,-201.2601,22.62151
4.020,-232.1935,4.814622
4.030,-267.7462,-15.96943
4.040,-304.1242,-37.35767
4.050,-333.9546,-57.9824
4.060,-340.9773,-66.5638
4.070,-341.3661,-71.62466
4.080,-341.6874,-76.64835
4.090,-343.3027,-81.01158
4.100,-344.9823,-84.48214
4.110,-345.9328,-86.869
4.120,-346.8688,-89.10541
4.130,-348.7663,-90.7275
4.140,-350.4959,-92.37943
4.150,-352.4648,-93.91384
4.160,-353.8284,-94.85147
4.170,-355.2936,-95.10597
4.180,-356.6975,-94.18179
4.190,-357.693,-92.20586
4.200,-358.4495,-89.80011
4.210,-359.1534,-86.87706
4.220,-359.7664,-83.13733
4.230,-360.9514,-79.65903
4.240,-361.0319,-74.68562
4.250,-360.8499,-68.29617
4.260,-360.6243,-61.4992
4.270,-359.5791,-53.41526
4.280,-358.8385,-45.2797
