Timestamp,X-coordinate,Y-coordinate
0.000,391.265,-64.90913
0.010,391.1498,-62.71637
0.020,391.3691,-61.95657
0.030,391.5218,-61.0554
0.040,391.4461,-61.0958
0.050,391.4761,-61.02265
0.060,391.3644,-60.74176
0.070,391.2027,-59.80936
0.080,391.1271,-59.20425
0.090,391.1755,-58.44965
0.100,391.248,-57.73211
0.110,391.2224,-55.74591
0.120,391.0074,-54.62235
0.130,390.9586,-53.20847
0.140,390.8244,-51.20133
0.150,390.7009,-49.3634
0.160,390.2757,-48.23286
0.170,390.1572,-46.5231
0.180,390.0763,-45.79383
0.190,389.7464,-45.3533
0.200,389.4387,-44.30075
0.210,389.0015,-43.2737
0.220,388.7148,-41.7881
0.230,388.6753,-40.34351
0.240,388.4234,-38.05363
0.250,388.2378,-35.32641
0.260,388.0877,-32.54446
0.270,388.0698,-29.26273
0.280,388.0449,-26.84101
0.290,387.9757,-24.53644
0.300,388.1401,-22.32505
0.310,388.4479,-20.22883
0.320,388.5088,-17.24907
0.330,388.9193,-14.74348
0.340,389.3859,-12.271
0.350,389.8192,-9.741407
0.360,389.9332,-6.298702
0.370,389.9741,-4.198762
0.380,390.1706,-0.7560471
0.390,390.6451,2.017647
0.400,391.0768,5.018793
0.410,391.7389,8.057888
0.420,393.0314,13.44464
0.430,395.241,19.63068
0.440,397.2697,31.41615
0.450,398.9369,51.03005
0.460,399.9484,75.89292
0.470,399.7975,101.3556
0.480,398.9564,124.3137
0.490,397.9852,145.8847
0.500,396.7984,168.1056
0.510,396.0314,183.9928
0.520,394.9183,196.3403
0.530,394.3223,207.1106
0.540,394.2969,219.1131
0.550,393.9222,227.4954
0.560,393.4289,234.7081
0.570,392.1566,242.5248
0.580,390.842,250.0779
0.590,389.0583,257.5314
0.600,387.3292,263.0952
0.610,385.1791,267.8807
0.620,382.8411,271.9753
0.630,381.0059,272.4413
0.640,379.1569,268.9994
0.650,378.5357,262.9051
0.660,376.5221,257.4379
0.670,377.1426,247.9381
0.680,379.1832,235.3629
0.690,382.2319,197.3841
0.700,383.0866,101.0045
0.710,382.8378,14.66897
0.720,383.3311,-35.48427
0.730,383.1853,-61.31967
0.740,382.7182,-75.6699
0.750,381.7412,-84.49979
0.760,380.2854,-91.07594
0.770,379.2945,-98.71632
0.780,377.9914,-104.9225
0.790,377.2916,-110.1855
0.800,376.6442,-111.6373
0.810,376.0554,-113.9043
0.820,375.9783,-118.3542
0.830,376.3277,-124.2114
0.840,377.0982,-130.9801
0.850,377.9806,-137.7541
0.860,379.2103,-148.3721
0.870,380.5266,-157.9981
0.880,381.8882,-165.8272
0.890,382.9489,-174.0751
0.900,383.9768,-179.991
0.910,384.4373,-188.1469
0.920,385.1371,-194.7994
0.930,385.8048,-203.0653
0.940,386.6435,-213.2993
0.950,387.2721,-223.4173
0.960,386.9495,-234.2307
0.970,386.765,-246.4367
0.980,386.0594,-259.0443
0.990,385.0397,-275.2393
1.000,383.2239,-290.9931
1.010,381.7099,-304.6528
1.020,380.5714,-315.151
1.030,378.5856,-327.0652
1.040,377.7779,-338.3102
1.050,376.0777,-345.6681
1.060,374.5045,-352.1283
1.070,372.6784,-356.8421
1.080,371.3281,-360.282
1.090,370.3152,-361.6454
1.100,369.9637,-364.057
1.110,369.6992,-368.5637
1.120,369.466,-370.0469
1.130,369.61,-369.8301
1.140,370.0402,-368.8313
1.150,370.181,-368.5928
1.160,370.8065,-368.5589
1.170,370.5061,-367.3677
1.180,371.1316,-366.308
1.190,371.5987,-366.0151
1.200,371.9888,-366.9294
1.210,371.7948,-368.1188
1.220,372.5595,-371.5237
1.230,372.4912,-374.7531
1.240,372.63,-375.006
1.250,373.5141,-377.4868
1.260,375.0775,-371.7372
1.270,377.3691,-363.0573
1.280,380.3546,-322.1902
1.290,380.5413,-299.3196
1.300,381.7741,-281.488
1.310,381.4611,-261.8986
1.320,380.9264,-236.6172
1.330,381.5441,-218.2585
1.340,382.528,-205.8291
1.350,383.0521,-197.0517
1.360,383.1161,-187.4851
1.370,382.5582,-181.6857
1.380,382.1969,-178.3019
1.390,382.3828,-178.8893
1.400,382.6508,-178.356
1.410,382.7384,-176.7436
1.420,382.9702,-173.9662
1.430,383.1455,-171.2471
1.440,383.2607,-169.079
1.450,383.5162,-167.3516
1.460,383.7697,-163.0117
1.470,384.1297,-160.3778
1.480,384.1414,-158.4388
1.490,384.0028,-154.2256
1.500,383.9803,-147.106
1.510,384.1547,-140.3631
1.520,384.2322,-132.8271
1.530,384.1161,-125.9524
1.540,384.2292,-118.006
1.550,384.2436,-110.302
1.560,384.1117,-101.5671
1.570,383.7181,-92.04637
1.580,383.5114,-82.61827
1.590,383.5484,-74.32426
1.600,383.2833,-66.50832
1.610,383.1046,-57.9255
1.620,382.9346,-51.1429
1.630,382.6927,-43.36126
1.640,382.5234,-36.8832
1.650,382.5951,-31.68331
1.660,382.6314,-27.64238
1.670,382.377,-24.71947
1.680,382.2155,-22.59225
1.690,382.1214,-20.43403
1.700,382.0154,-18.87247
1.710,381.9168,-18.14473
1.720,382.0375,-17.53381
1.730,382.1179,-17.06462
1.740,382.0526,-16.94965
1.750,382.0596,-16.7311
1.760,382.3038,-16.2104
1.770,382.7276,-15.5512
1.780,382.9502,-14.85986
1.790,383.352,-13.25839
1.800,383.8383,-11.94145
1.810,384.1588,-9.952042
1.820,384.4328,-6.548473
1.830,384.5468,-4.059042
1.840,384.4663,-2.025484
1.850,384.5612,1.108442
1.860,384.4684,3.785472
1.870,384.2682,5.816316
1.880,383.9067,8.14196
1.890,383.5863,10.39351
1.900,383.2495,12.32632
1.910,382.8933,13.24543
1.920,382.7635,13.47786
1.930,382.5768,13.886
1.940,382.1703,14.04023
1.950,381.9994,14.14401
1.960,381.6765,13.98127
1.970,381.4218,14.24099
1.980,381.1509,14.21539
1.990,380.898,14.2261
2.000,380.5656,14.65015
2.010,380.6401,14.88575
2.020,380.4189,15.295
2.030,380.4602,15.99428
2.040,380.5523,17.18351
2.050,380.6737,18.44916
2.060,380.6522,19.07239
2.070,380.7579,20.32089
2.080,380.7596,21.32882
2.090,380.814,22.1462
2.100,380.7187,22.72982
2.110,380.8014,23.61338
2.120,380.7343,24.44395
2.130,380.6926,25.48164
2.140,380.7986,26.51093
2.150,380.6813,28.13663
2.160,380.7747,29.47537
2.170,380.6439,31.29954
2.180,380.703,32.8926
2.190,380.7771,34.98348
