Timestamp,X-coordinate,Y-coordinate
0.000,-383.3775,21.2753
0.010,-383.4266,21.17403
0.020,-383.2532,21.01528
0.030,-383.3344,20.93094
0.040,-383.2881,20.92263
0.050,-383.1185,21.01267
0.060,-383.13,20.9764
0.070,-383.0713,21.09516
0.080,-383.1086,21.43019
0.090,-383.0381,21.75644
0.100,-383.0553,22.16467
0.110,-383.024,22.55964
0.120,-383.0628,22.95291
0.130,-382.8934,23.0458
0.140,-382.9172,23.12435
0.150,-382.9025,23.14402
0.160,-382.8845,23.3111
0.170,-382.927,23.28707
0.180,-383.0278,23.15707
0.190,-383.0313,22.61923
0.200,-383.0247,22.31358
0.210,-383.1329,22.08922
0.220,-383.038,21.62047
0.230,-383.2167,20.6719
0.240,-383.305,19.34383
0.250,-383.3335,18.74524
0.260,-383.4257,18.22354
0.270,-383.3738,17.47218
0.280,-383.3796,17.31156
0.290,-383.402,16.80298
0.300,-383.462,16.42999
0.310,-383.4078,16.12693
0.320,-383.3985,15.73249
0.330,-383.2597,15.3833
0.340,-383.194,15.34934
0.350,-382.9907,14.82316
0.360,-382.9236,14.80336
0.370,-382.7693,14.61946
0.380,-382.74,14.3518
0.390,-382.722,13.9141
0.400,-382.6045,13.86126
0.410,-382.4532,13.57184
0.420,-382.3777,13.5421
0.430,-382.0135,13.22685
0.440,-382.0502,13.13875
0.450,-381.8428,13.01385
0.460,-381.8149,12.71227
0.470,-381.7082,12.46862
0.480,-381.6283,12.84767
0.490,-381.5805,12.86688
0.500,-381.5395,13.11263
0.510,-381.5028,13.03253
0.520,-381.4794,13.07475
0.530,-381.4467,13.06318
0.540,-381.3675,13.36945
0.550,-381.331,13.37967
0.560,-381.2375,13.4169
0.570,-381.2191,13.29505
0.580,-381.2214,13.37622
0.590,-381.2436,13.6007
0.600,-381.2676,13.41921
0.610,-381.2419,13.52407
0.620,-381.2284,13.9361
0.630,-381.2819,13.71065
0.640,-381.3891,13.79443
0.650,-381.3289,13.97007
0.660,-381.4342,14.24214
0.670,-381.4555,14.24631
0.680,-381.4553,14.44977
0.690,-381.5109,14.57487
0.700,-381.5871,14.92808
0.710,-381.6295,14.77813
0.720,-381.7299,15.27974
0.730,-381.8062,15.25851
0.740,-381.7859,15.87657
0.750,-381.9053,16.08575
0.760,-381.8771,16.18857
0.770,-381.9239,16.4758
0.780,-381.9641,16.9837
0.790,-381.9787,17.12757
0.800,-382.0466,17.74551
0.810,-382.1745,17.75081
0.820,-382.282,17.87782
0.830,-382.3597,17.59755
0.840,-382.2579,17.91529
0.850,-382.2106,17.80474
0.860,-382.3341,17.47722
0.870,-382.3593,17.2808
0.880,-382.3553,17.70951
0.890,-382.422,17.31755
0.900,-382.4183,17.30496
0.910,-382.4446,17.31788
0.920,-382.5532,17.2325
0.930,-382.4413,17.35749
0.940,-382.5496,17.03935
0.950,-382.5672,17.42562
0.960,-382.5371,17.15462
0.970,-382.6653,16.94322
0.980,-382.6194,17.03547
0.990,-382.7088,16.63739
1.000,-382.8532,16.62826
1.010,-383.082,16.34035
1.020,-383.1801,16.03177
1.030,-383.2905,16.18624
1.040,-383.5103,15.86956
1.050,-383.6216,15.51414
1.060,-383.7044,15.58697
1.070,-383.9348,14.68277
1.080,-384.02,14.44914
1.090,-384.1119,14.12703
1.100,-384.1703,14.18866
1.110,-384.3071,13.87868
1.120,-384.3746,13.60011
1.130,-384.4714,13.55225
1.140,-384.5463,13.43027
1.150,-384.6515,13.33453
1.160,-384.5948,13.58386
1.170,-384.5703,13.17744
1.180,-384.6378,13.18968
1.190,-384.6265,13.24526
1.200,-384.6702,13.00048
1.210,-384.7332,12.74416
1.220,-384.6441,12.87095
1.230,-384.6458,12.73852
1.240,-384.6452,12.80351
1.250,-384.6836,12.8373
1.260,-384.6651,12.54228
1.270,-384.6447,12.62331
1.280,-384.5995,12.77882
1.290,-384.5601,12.8321
1.300,-384.5765,12.67824
1.310,-384.4812,12.62134
1.320,-384.4445,13.10369
1.330,-384.466,12.67623
1.340,-384.4595,12.87656
1.350,-384.3718,12.67512
1.360,-384.3187,12.36608
1.370,-384.3105,12.76122
1.380,-384.2155,12.57508
1.390,-384.2279,12.83735
1.400,-384.141,12.7905
1.410,-384.1066,12.58098
1.420,-384.0819,13.03681
1.430,-384.0267,13.21379
1.440,-383.9102,13.04904
1.450,-383.8903,13.10374
1.460,-383.7022,13.3953
1.470,-383.7154,13.27188
1.480,-383.5504,13.52451
1.490,-383.596,13.56496
1.500,-383.5725,13.33669
1.510,-383.4384,13.68442
1.520,-383.4355,13.67105
1.530,-383.3341,13.6382
1.540,-383.1891,13.6211
1.550,-383.1069,13.70668
1.560,-383.1242,13.77055
1.570,-382.9992,13.88264
1.580,-382.8948,14.11795
1.590,-382.9087,14.76274
1.600,-382.8484,15.12168
1.610,-382.8193,15.38677
1.620,-382.7625,15.96946
1.630,-382.6219,16.54485
1.640,-382.4629,16.93219
1.650,-382.4235,17.51021
1.660,-382.3895,17.76805
1.670,-382.2047,17.70618
1.680,-382.2575,18.19337
1.690,-382.1603,18.2998
1.700,-382.1252,18.6382
1.710,-382.1324,18.91382
1.720,-382.0968,19.13081
1.730,-382.1075,19.37014
1.740,-382.1094,19.69232
1.750,-382.0922,19.4508
1.760,-382.0458,19.80914
1.770,-382.0929,19.78953
1.780,-382.0561,20.27038
1.790,-382.0125,20.23553
1.800,-382.048,20.50709
1.810,-381.9865,20.39356
1.820,-382.0802,20.49142
1.830,-382.073,20.523
1.840,-381.9953,20.59433
1.850,-381.9541,20.86749
1.860,-381.9785,20.76615
1.870,-381.9276,20.65724
1.880,-381.884,20.43666
1.890,-381.8239,20.11877
1.900,-381.8721,19.59316
1.910,-381.8277,19.63865
1.920,-381.7228,18.66515
1.930,-381.558,17.61267
1.940,-381.6968,15.94417
1.950,-381.6145,14.73538
1.960,-381.56,12.39665
1.970,-381.4763,11.40022
1.980,-381.458,10.80454
1.990,-381.3746,9.836177
2.000,-381.4785,8.60571
2.010,-381.3067,7.538595
2.020,-381.1418,7.008691
2.030,-381.1353,5.823167
2.040,-381.0575,4.907151
2.050,-381.0874,3.855688
2.060,-381.2097,2.07455
2.070,-381.1818,0.8875575
2.080,-381.3341,-0.2367766
2.090,-381.3824,-0.8880258
2.100,-381.418,-1.798533
2.110,-381.3629,-2.468401
2.120,-381.3703,-3.108676
2.130,-381.3197,-3.4943
2.140,-381.3981,-4.425112
2.150,-381.3942,-5.211978
2.160,-381.3234,-5.474583
2.170,-381.2515,-5.598969
2.180,-381.2094,-6.0334
2.190,-381.2535,-6.343879
2.200,-381.1701,-6.088909
2.210,-381.191,-6.474118
2.220,-381.168,-6.598985
2.230,-381.1964,-6.357111
2.240,-381.2198,-6.576635
2.250,-381.2096,-6.514773
2.260,-381.2362,-6.604306
2.270,-381.1107,-6.832316
2.280,-381.1362,-6.590051
2.290,-381.1017,-6.66422
2.300,-381.0591,-6.630582
2.310,-381.1842,-6.684721
2.320,-381.1502,-6.298497
2.330,-381.1099,-5.830595
2.340,-381.0634,-5.527353
2.350,-381.0183,-4.853583
2.360,-380.9997,-4.303079
2.370,-380.9012,-3.259341
2.380,-380.8051,-2.421561
2.390,-380.7759,-1.760551
2.400,-380.6922,-0.6879345
2.410,-380.469,0.6420691
2.420,-380.4467,0.675228
2.430,-380.4663,1.814177
2.440,-380.2364,2.242
2.450,-380.1586,3.554567
2.460,-380.1809,4.225543
2.470,-380.197,4.680376
2.480,-380.1076,5.147085
2.490,-380.1651,5.493992
2.500,-380.1453,5.82731
2.510,-380.114,5.992426
2.520,-380.0065,6.270735
2.530,-379.9334,6.327098
2.540,-380.0066,6.605112
2.550,-379.989,6.370489
2.560,-379.9704,6.368544
2.570,-379.849,6.302241
2.580,-379.9539,5.985743
2.590,-379.9229,5.917025
2.600,-379.9605,5.380613
2.610,-379.9617,4.897179
2.620,-379.9992,4.269633
2.630,-380.0455,4.088094
2.640,-380.0049,3.233396
2.650,-379.9497,2.579464
2.660,-379.9086,1.516024
2.670,-379.9639,0.01933983
2.680,-379.9958,-1.135662
2.690,-380.2078,-2.079463
2.700,-380.4718,-3.875566
2.710,-380.4574,-4.628062
2.720,-380.6121,-5.822079
2.730,-380.5994,-6.833504
2.740,-380.7333,-8.770324
2.750,-380.7727,-9.70372
2.760,-380.8016,-11.71605
2.770,-380.7819,-12.9497
2.780,-380.715,-14.98884
2.790,-380.7408,-15.92323
2.800,-380.6245,-17.10974
2.810,-380.6849,-17.68602
2.820,-380.6494,-19.66901
2.830,-380.6632,-20.56963
2.840,-380.659,-21.46173
2.850,-380.6333,-22.66169
2.860,-380.6897,-24.00263
2.870,-380.6611,-24.74368
2.880,-380.5923,-25.64389
2.890,-380.6193,-26.38726
2.900,-380.5541,-27.05324
