Sensor nummer,29,30,31,32,33,34,40,41,42,43,44,45,46,47,51,52,53,54,55,56,57,58,59,62,63,64,65,66,67,68,69,70,71,72,74,75,76,77,78,79,80,81,82,83,84,86,87,88,89,90,91,92,93,94,95,96,98,99,100,101,102,103,104,105,106,107,110,111,112,113,114,115,116,117,118,119,122,123,124,125,126,127,128,129,130,131,135,136,137,138,139,140,141,142,143,147,148,149,150,151,152,153,154,155,159,160,161,162,163,164,165,166,167,171,172,173,174,175,176,177,178,179,183,184,185,186,187,188,189,190,191,195,196,197,198,199,200,201,202,208,209,210,211,212,213,214,221,222,223,224,225,Sync
Minimum,6.130987,4.629521,4.129032,8.633431,19.64418,12.01173,2.064516,0.06256109,0,0,2.815249,5.880743,14.26393,8.57087,0,0,2.189638,3.378299,2.377322,0,0.9384164,4.316716,0,0,5.567937,6.944282,11.76149,6.443793,6.005865,8.633431,6.193548,6.130987,11.5738,1.876833,1.814272,6.506354,6.193548,7.945259,5.693059,3.628544,5.192571,6.005865,6.25611,9.321603,2.189638,5.004888,6.506354,3.002933,5.004888,3.315738,4.441838,3.128055,5.067449,4.692082,7.069404,0.06256109,2.127077,4.504399,4.129032,3.691105,0.7507331,1.501466,2.001955,3.816227,3.065494,0,3.002933,3.253177,0.7507331,0.5004888,0.7507331,0.688172,0,1.000978,3.128055,0.9384164,0,5.004888,2.377322,3.691105,4.191593,2.001955,0.8132942,3.378299,4.754643,0.9384164,3.565982,2.31476,7.131965,6.881721,5.442815,6.005865,4.942327,4.754643,0,4.066471,1.1261,3.816227,2.502444,2.940372,0,6.756598,6.130987,1.876833,7.257087,5.693059,8.258064,12.51222,10.07234,6.068426,12.57478,6.318671,0.4379277,6.631476,9.947214,10.88563,14.07625,8.508309,10.00978,11.261,12.63734,4.441838,7.069404,5.505376,4.254155,6.756598,5.067449,4.56696,10.69795,15.26491,8.132942,0,2.127077,4.254155,5.380254,5.442815,10.69795,10.26002,14.51417,4.692082,12.13685,4.00391,4.00391,4.817204,10.4477,8.695992,4.879766,1.1261,0.06256109,1.438905,0,0
Maximum,6.318671,5.255132,4.254155,10.26002,20.77028,13.95112,2.252199,0.4379277,0,0,4.316716,6.443793,15.89052,11.88661,0,0.1251222,3.065494,5.004888,3.691105,0.6256109,2.377322,5.255132,0.6256109,0,6.506354,8.508309,14.26393,8.633431,9.947214,10.51026,9.509287,9.446725,14.07625,4.316716,2.815249,8.508309,8.320625,10.32258,10.19746,6.005865,8.195503,8.320625,8.883676,11.19844,4.129032,6.756598,7.882698,4.692082,6.506354,5.630498,8.070381,5.442815,7.820137,7.695014,9.321603,0.8758553,3.565982,5.192571,4.692082,4.817204,2.752688,2.815249,4.316716,5.004888,4.254155,0.1876833,4.316716,4.504399,1.564027,0.9384164,1.376344,1.313783,0.3128055,2.752688,3.753666,2.001955,0,5.755621,3.002933,4.879766,4.629521,3.128055,1.564027,4.191593,5.13001,2.064516,4.441838,2.752688,8.070381,7.695014,5.567937,6.193548,5.442815,5.13001,0.1251222,5.067449,2.87781,4.504399,3.315738,3.253177,0,9.446725,6.694037,2.127077,8.57087,7.319648,10.63539,13.38807,10.76051,7.507331,13.45063,7.131965,1.438905,8.070381,12.19941,14.70186,16.01564,11.07331,12.07429,12.63734,14.76442,5.630498,9.69697,6.193548,5.943304,10.63539,9.259042,5.818182,11.44868,21.14565,10.82307,1.68915,4.56696,7.257087,11.07331,13.07527,14.13881,14.13881,18.58064,7.569892,15.20235,8.258064,9.759531,7.257087,14.01369,16.57869,8.00782,2.87781,2.189638,1.564027,0,0
20% Averarge,6.25611,5.067449,4.191593,9.759531,20.45748,13.38807,2.189638,0.1876833,0,0,3.816227,6.25611,15.39003,11.32356,0,0.06256109,2.87781,4.504399,3.315738,0.1876833,1.876833,5.004888,0.2502444,0,6.25611,8.00782,13.76344,8.070381,9.196481,10.07234,8.57087,8.633431,13.32551,3.628544,2.502444,8.070381,7.757576,9.634409,9.259042,5.380254,7.257087,7.757576,8.383186,10.63539,3.44086,6.318671,7.44477,4.441838,6.193548,5.13001,7.257087,4.56696,7.006843,6.756598,8.57087,0.688172,3.253177,4.942327,4.504399,4.316716,2.189638,2.377322,3.753666,4.754643,3.878788,0.06256109,4.00391,3.941349,1.188661,0.688172,1.1261,1.063539,0.1251222,2.127077,3.565982,1.751711,0,5.380254,2.752688,4.316716,4.441838,2.690127,1.063539,3.941349,5.067449,1.626588,4.129032,2.439883,7.569892,7.44477,5.442815,6.068426,5.255132,4.879766,0,4.692082,2.001955,3.941349,2.627566,3.002933,0,8.320625,6.318671,1.939394,7.820137,6.318671,9.008798,12.76246,10.38514,7.069404,13.20039,6.81916,0.8132942,7.319648,10.76051,12.82502,15.01466,9.634409,11.32356,12.01173,13.95112,5.067449,8.57087,5.818182,5.13001,8.946237,6.25611,5.13001,11.07331,18.14272,9.634409,1.1261,2.752688,5.567937,7.632453,8.445747,12.6999,12.19941,16.14076,5.567937,13.20039,5.755621,5.755621,5.630498,12.26197,12.3871,5.818182,1.751711,1.000978,1.438905,0,1
0.000,6.318671,5.13001,4.254155,9.884653,20.52004,13.45063,2.189638,0.1876833,0,0,4.00391,6.318671,15.39003,11.44868,0,0.06256109,3.002933,4.754643,3.503421,0.1876833,2.127077,5.067449,0.2502444,0,6.318671,8.132942,14.13881,8.383186,9.822092,10.32258,9.008798,9.13392,13.5132,3.941349,2.690127,8.320625,8.195503,10.1349,10.00978,5.630498,7.507331,7.945259,8.695992,10.88563,3.628544,6.631476,7.632453,4.692082,6.443793,5.442815,7.820137,4.817204,7.382209,7.006843,8.758554,0.8132942,3.503421,5.192571,4.629521,4.504399,2.439883,2.502444,4.00391,4.879766,4.066471,0,4.191593,3.941349,1.376344,0.7507331,1.251222,1.188661,0.1876833,2.189638,3.628544,1.814272,0,5.442815,2.87781,4.629521,4.504399,2.940372,1.000978,4.066471,5.13001,1.751711,4.316716,2.439883,7.757576,7.507331,5.442815,6.068426,5.380254,4.942327,0,4.942327,2.31476,3.816227,2.502444,3.065494,0,8.695992,6.381232,1.939394,8.00782,6.381232,8.946237,12.76246,10.4477,7.319648,13.32551,6.944282,0.7507331,7.44477,10.88563,12.6999,15.13978,9.759531,11.44868,12.07429,14.13881,5.067449,9.008798,5.880743,5.442815,9.321603,6.193548,5.255132,11.07331,18.26784,9.69697,0,2.690127,5.693059,7.569892,8.320625,13.13783,12.3871,16.20332,5.505376,13.13783,5.880743,5.505376,5.755621,12.51222,12.44966,5.630498,1.751711,0.6256109,1.501466,0,1
0.010,6.318671,5.13001,4.254155,9.947214,20.5826,13.45063,2.189638,0.1876833,0,0,3.941349,6.318671,15.39003,11.51124,0,0.06256109,3.002933,4.754643,3.503421,0.1876833,2.064516,5.067449,0.2502444,0,6.381232,8.132942,14.13881,8.383186,9.822092,10.32258,9.008798,9.13392,13.5132,4.00391,2.690127,8.320625,8.195503,10.1349,10.00978,5.567937,7.507331,8.00782,8.695992,10.88563,3.628544,6.631476,7.695014,4.692082,6.443793,5.442815,7.820137,4.817204,7.382209,7.006843,8.758554,0.8132942,3.503421,5.192571,4.629521,4.504399,2.439883,2.502444,4.00391,4.879766,4.066471,0,4.191593,3.941349,1.376344,0.7507331,1.251222,1.188661,0.1876833,2.189638,3.628544,1.876833,0,5.442815,2.87781,4.692082,4.504399,2.940372,1.000978,4.066471,5.13001,1.751711,4.316716,2.439883,7.820137,7.507331,5.505376,6.068426,5.380254,4.942327,0,4.942327,2.31476,3.816227,2.502444,3.065494,0,8.758554,6.381232,1.939394,8.00782,6.381232,9.008798,12.82502,10.4477,7.319648,13.32551,7.006843,0.7507331,7.44477,10.88563,12.6999,15.13978,9.822092,11.44868,12.07429,14.13881,5.13001,9.008798,5.880743,5.442815,9.321603,6.193548,5.255132,11.07331,18.26784,9.69697,0,2.690127,5.693059,7.569892,8.320625,13.13783,12.32454,16.20332,5.505376,13.20039,5.880743,5.505376,5.755621,12.51222,12.44966,5.630498,1.751711,0.6256109,1.501466,0,1
0.020,6.318671,5.13001,4.254155,9.884653,20.5826,13.45063,2.189638,0.1876833,0,0,3.941349,6.318671,15.39003,11.51124,0,0.06256109,3.002933,4.754643,3.503421,0.1876833,2.064516,5.067449,0.2502444,0,6.318671,8.132942,14.07625,8.445747,9.822092,10.32258,9.008798,9.13392,13.5132,4.00391,2.690127,8.320625,8.195503,10.1349,9.947214,5.567937,7.507331,7.945259,8.758554,10.88563,3.628544,6.631476,7.632453,4.692082,6.443793,5.442815,7.882698,4.754643,7.382209,7.006843,8.758554,0.8132942,3.503421,5.192571,4.629521,4.504399,2.439883,2.565005,4.00391,4.879766,4.066471,0,4.191593,4.129032,1.376344,0.7507331,1.251222,1.188661,0.1876833,2.189638,3.628544,1.814272,0,5.567937,2.87781,4.629521,4.504399,2.940372,1.000978,4.066471,5.13001,1.68915,4.316716,2.439883,7.757576,7.507331,5.505376,6.068426,5.380254,4.942327,0.06256109,4.942327,2.31476,3.816227,2.565005,3.065494,0,8.758554,6.381232,1.939394,8.00782,6.381232,9.008798,12.82502,10.4477,7.382209,13.32551,7.006843,0.7507331,7.44477,10.88563,12.6999,15.13978,9.822092,11.51124,12.07429,14.20137,5.13001,9.008798,5.880743,5.442815,9.321603,6.193548,5.255132,11.07331,18.26784,9.634409,0,2.752688,5.693059,7.569892,8.320625,13.07527,12.32454,16.20332,5.567937,13.20039,5.880743,5.505376,5.755621,12.51222,12.44966,5.693059,1.751711,0.6256109,1.501466,0,1
0.030,6.318671,5.13001,4.254155,9.947214,20.52004,13.45063,2.189638,0.1876833,0,0,3.941349,6.381232,15.39003,11.51124,0,0.06256109,3.002933,4.817204,3.44086,0.1876833,2.064516,5.067449,0.2502444,0,6.381232,8.132942,14.13881,8.383186,9.822092,10.32258,9.008798,9.13392,13.57576,4.00391,2.690127,8.320625,8.195503,10.1349,10.00978,5.567937,7.507331,8.00782,8.758554,10.88563,3.628544,6.631476,7.695014,4.692082,6.443793,5.442815,7.820137,4.817204,7.382209,7.006843,8.758554,0.8132942,3.503421,5.192571,4.629521,4.504399,2.439883,2.502444,4.00391,4.879766,4.066471,0,4.191593,4.129032,1.376344,0.7507331,1.251222,1.188661,0.1876833,2.189638,3.628544,1.876833,0,5.505376,2.87781,4.692082,4.504399,2.940372,1.000978,4.066471,5.13001,1.68915,4.316716,2.439883,7.820137,7.44477,5.505376,6.068426,5.380254,5.004888,0.06256109,4.942327,2.31476,3.816227,2.502444,3.065494,0,8.758554,6.381232,2.001955,8.00782,6.381232,8.946237,12.82502,10.4477,7.382209,13.38807,6.944282,0.7507331,7.44477,10.88563,12.6999,15.13978,9.822092,11.51124,12.07429,14.13881,5.13001,9.008798,5.880743,5.442815,9.321603,6.193548,5.255132,11.13587,18.26784,9.69697,0,2.752688,5.693059,7.632453,8.383186,13.13783,12.32454,16.20332,5.567937,13.13783,5.880743,5.505376,5.755621,12.51222,12.44966,5.693059,1.751711,0.6256109,1.501466,0,1
0.040,6.318671,5.13001,4.254155,9.884653,20.5826,13.45063,2.252199,0.1876833,0,0,3.941349,6.381232,15.39003,11.51124,0,0.06256109,3.002933,4.754643,3.503421,0.1876833,2.064516,5.067449,0.2502444,0,6.381232,8.132942,14.13881,8.383186,9.822092,10.32258,9.008798,9.13392,13.5132,4.00391,2.690127,8.320625,8.195503,10.1349,10.00978,5.567937,7.507331,8.00782,8.758554,10.88563,3.691105,6.631476,7.632453,4.692082,6.443793,5.442815,7.820137,4.817204,7.382209,7.006843,8.758554,0.8132942,3.503421,5.192571,4.629521,4.504399,2.439883,2.565005,4.00391,4.879766,4.066471,0,4.191593,3.941349,1.376344,0.7507331,1.251222,1.188661,0.1876833,2.189638,3.628544,1.814272,0,5.567937,2.87781,4.692082,4.504399,2.940372,1.000978,4.066471,5.13001,1.68915,4.316716,2.502444,7.820137,7.44477,5.505376,6.068426,5.380254,5.004888,0.06256109,4.942327,2.31476,3.816227,2.502444,3.065494,0,8.758554,6.381232,1.939394,8.00782,6.381232,9.008798,12.82502,10.4477,7.382209,13.32551,6.944282,0.7507331,7.44477,10.88563,12.6999,15.13978,9.822092,11.44868,12.07429,14.13881,5.13001,9.008798,5.943304,5.442815,9.321603,6.193548,5.255132,11.07331,18.3304,9.69697,0,2.752688,5.755621,7.632453,8.383186,13.13783,12.3871,16.20332,5.567937,13.13783,5.880743,5.505376,5.755621,12.51222,12.44966,5.693059,1.751711,0.6256109,1.501466,0,1
0.050,6.318671,5.13001,4.254155,9.884653,20.5826,13.45063,2.189638,0.1876833,0,0,3.941349,6.318671,15.39003,11.51124,0,0.06256109,3.002933,4.754643,3.44086,0.1876833,2.127077,5.067449,0.2502444,0,6.381232,8.132942,14.13881,8.383186,9.822092,10.32258,9.008798,9.13392,13.5132,4.00391,2.690127,8.383186,8.195503,10.1349,10.00978,5.567937,7.507331,8.00782,8.758554,10.88563,3.691105,6.631476,7.632453,4.692082,6.443793,5.442815,7.882698,4.817204,7.382209,7.006843,8.821115,0.8132942,3.503421,5.192571,4.629521,4.504399,2.439883,2.565005,4.00391,4.879766,4.066471,0,4.191593,3.878788,1.376344,0.7507331,1.251222,1.188661,0.1876833,2.189638,3.628544,1.876833,0,5.505376,2.87781,4.629521,4.504399,2.940372,1.000978,4.066471,5.13001,1.68915,4.316716,2.439883,7.757576,7.507331,5.442815,6.130987,5.380254,5.004888,0.06256109,4.942327,2.31476,3.816227,2.565005,3.065494,0,8.758554,6.381232,2.001955,8.00782,6.381232,9.008798,12.82502,10.38514,7.382209,13.38807,7.006843,0.7507331,7.507331,10.88563,12.6999,15.13978,9.822092,11.44868,12.07429,14.13881,5.13001,9.008798,5.880743,5.442815,9.321603,6.193548,5.255132,11.13587,18.26784,9.69697,0,2.690127,5.755621,7.632453,8.383186,13.07527,12.32454,16.20332,5.567937,13.20039,5.880743,5.505376,5.755621,12.51222,12.44966,5.693059,1.751711,0.6256109,1.501466,0,1
