Timestamp,X-coordinate,Y-coordinate
0.000,-364.9596,85.79998
0.010,-364.9556,86.59439
0.020,-364.9885,85.98763
0.030,-365.083,86.06924
0.040,-365.0801,85.97765
0.050,-365.0672,86.30499
0.060,-364.9403,86.59131
0.070,-365.0164,86.38799
0.080,-365.0713,86.55125
0.090,-365.0384,86.56181
0.100,-365.0341,86.81509
0.110,-365.0899,86.7338
0.120,-365.0397,86.81423
0.130,-365.1001,86.97789
0.140,-365.011,87.18092
0.150,-365.0074,87.20972
0.160,-364.886,87.45354
0.170,-365.0098,87.01671
0.180,-364.9514,87.51401
0.190,-364.9242,87.65762
0.200,-364.989,88.11561
0.210,-364.973,87.831
0.220,-365.0069,87.85068
0.230,-364.9636,87.99371
0.240,-364.992,87.689
0.250,-364.9971,87.83105
0.260,-365.0681,87.81067
0.270,-364.9926,87.47445
0.280,-364.9951,88.25805
0.290,-365.0656,87.87213
0.300,-365.0288,87.78117
0.310,-365.1224,87.78175
0.320,-365.0432,87.99458
0.330,-365.0349,88.14697
0.340,-365.1659,87.76182
0.350,-365.1907,87.823
0.360,-365.2619,87.81319
0.370,-365.2248,87.69111
0.380,-365.3481,87.12521
0.390,-365.4131,86.93494
0.400,-365.3616,87.18661
0.410,-365.4369,87.32952
0.420,-365.3214,87.2971
0.430,-365.4347,87.48133
0.440,-365.437,87.63445
0.450,-365.5393,87.51272
0.460,-365.4369,88.01833
0.470,-365.3306,87.90703
0.480,-365.3704,88.11888
0.490,-365.3365,88.05866
0.500,-365.3533,88.48415
0.510,-365.3856,88.6956
0.520,-365.4425,88.27219
0.530,-365.4205,88.14143
0.540,-365.4401,88.32331
0.550,-365.4593,88.09232
0.560,-365.5052,87.90176
0.570,-365.4785,88.30385
0.580,-365.5316,87.78233
0.590,-365.4211,88.12395
0.600,-365.5604,87.76374
0.610,-365.4961,87.73492
0.620,-365.566,87.52593
0.630,-365.5969,87.33696
0.640,-365.689,86.93689
0.650,-365.8472,86.90116
0.660,-365.8141,86.93227
0.670,-365.9618,87.05497
0.680,-366.019,87.03824
0.690,-366.1662,85.97948
0.700,-366.2793,85.50871
0.710,-366.3142,85.50253
0.720,-366.3739,85.52289
0.730,-366.4702,85.73666
0.740,-366.3875,85.59041
0.750,-366.5408,85.40141
0.760,-366.5652,85.49319
0.770,-366.6504,85.40149
0.780,-366.7285,85.36069
0.790,-367.1708,85.26353
0.800,-367.2021,85.245
0.810,-367.114,85.39025
0.820,-367.2148,85.73759
0.830,-367.2874,85.77164
0.840,-367.349,85.65853
0.850,-367.302,85.72479
0.860,-367.2461,85.84369
0.870,-367.4691,85.72353
0.880,-367.4357,86.60174
0.890,-367.3116,86.69217
0.900,-367.2494,86.68608
0.910,-367.3071,86.62025
0.920,-367.2037,86.9088
0.930,-367.291,86.99583
0.940,-367.0241,87.52007
0.950,-367.112,87.43634
0.960,-367.1959,87.80754
0.970,-367.1711,88.10293
0.980,-367.1125,88.17963
0.990,-367.2816,87.7812
1.000,-367.1103,88.02871
1.010,-367.0621,88.21857
1.020,-367.1617,87.99192
1.030,-367.0075,88.53161
1.040,-367.0419,88.21957
1.050,-366.9513,88.16332
1.060,-366.7089,89.25977
1.070,-366.442,89.28683
1.080,-366.1505,89.1358
1.090,-365.8939,88.87139
1.100,-365.6316,88.50526
1.110,-365.4237,88.10178
1.120,-365.1611,88.35547
1.130,-364.9696,87.78278
1.140,-364.6562,86.57896
1.150,-364.4519,86.28709
1.160,-364.4707,85.46013
1.170,-364.3269,84.97762
1.180,-364.1345,84.46101
1.190,-363.914,83.80817
1.200,-364.0078,83.16858
1.210,-363.8821,82.2502
1.220,-363.4512,81.77762
1.230,-363.1771,80.87723
1.240,-362.8778,80.5295
1.250,-362.4561,80.17809
1.260,-362.0913,79.43121
1.270,-361.78,79.10791
1.280,-361.4427,78.59592
1.290,-361.1236,78.15422
1.300,-360.9004,78.15899
1.310,-360.3563,78.12533
1.320,-359.7733,79.16882
1.330,-358.7005,79.73577
1.340,-357.4334,81.98141
1.350,-356.3867,83.24221
1.360,-355.6585,83.82851
1.370,-354.7223,85.24606
1.380,-353.8845,86.77694
1.390,-353.0175,87.01962
1.400,-352.0128,88.28083
1.410,-351.4859,88.281
1.420,-350.7278,88.4317
1.430,-350.3715,89.11553
1.440,-349.6412,89.87621
1.450,-349.338,89.94316
1.460,-348.7767,90.28519
1.470,-348.5021,90.60006
1.480,-348.2529,91.16434
1.490,-347.9424,91.30157
1.500,-347.6728,91.33292
