Timestamp,X-coordinate,Y-coordinate
0.000,371.9546,-24.59189
0.010,371.9695,-24.49406
0.020,372.059,-24.84885
0.030,372.0343,-24.70623
0.040,371.995,-24.88352
0.050,371.9414,-24.85786
0.060,371.8474,-24.52456
0.070,371.9949,-24.84403
0.080,372.0056,-24.93686
0.090,371.9817,-25.09366
0.100,371.9984,-25.13574
0.110,372.003,-25.25924
0.120,372.0246,-25.36561
0.130,371.9994,-25.2583
0.140,372.0276,-25.58896
0.150,372.0465,-25.65369
0.160,372.0789,-25.63083
0.170,372.04,-25.52257
0.180,372.0611,-25.98259
0.190,372.085,-25.83632
0.200,372.0849,-26.23422
0.210,372.0147,-26.01426
0.220,371.9939,-26.17318
0.230,372.0008,-25.96457
0.240,372.0563,-26.50377
0.250,372.1125,-26.23093
0.260,372.1406,-25.84467
0.270,372.0837,-26.06854
0.280,372.0317,-26.18422
0.290,372.1392,-26.4112
0.300,372.0593,-26.52002
0.310,372.0522,-26.11005
0.320,372.0916,-26.43863
0.330,372.0817,-26.28131
0.340,372.1651,-26.42815
0.350,372.1184,-26.89352
0.360,372.1678,-26.27317
0.370,372.1125,-26.4474
0.380,372.2127,-26.32161
0.390,372.0656,-26.48423
0.400,372.1789,-26.37487
0.410,372.2092,-26.49168
0.420,372.1966,-26.17091
0.430,372.0928,-26.41168
0.440,372.0719,-26.18713
0.450,372.1452,-26.00146
0.460,372.2148,-26.34858
0.470,372.1404,-26.37935
0.480,372.1798,-26.46774
0.490,372.1419,-26.32353
0.500,372.1525,-26.30264
0.510,372.0662,-26.50644
0.520,372.1089,-26.36221
0.530,372.0676,-26.14215
0.540,372.095,-26.45896
0.550,372.1049,-25.80088
0.560,372.1223,-26.058
0.570,372.0668,-26.28111
0.580,372.1637,-26.42902
0.590,372.0866,-26.29534
0.600,372.0788,-26.50455
0.610,372.0453,-26.43458
0.620,372.1019,-26.11263
0.630,372.0557,-26.19927
0.640,372.0374,-26.35416
0.650,372.182,-26.27856
0.660,372.0782,-26.15684
0.670,372.0851,-26.41364
0.680,372.128,-26.49874
0.690,372.1701,-26.50131
0.700,372.1313,-26.47608
0.710,372.0943,-25.99707
0.720,372.022,-26.07587
0.730,372.0592,-26.21568
0.740,372.1061,-26.07478
0.750,372.0023,-26.27245
0.760,372.0249,-26.45148
0.770,372.057,-26.16446
0.780,372.0087,-26.1961
0.790,371.9713,-26.28868
0.800,371.9713,-26.32809
0.810,372.0261,-26.37157
0.820,371.9434,-26.12018
0.830,371.9939,-26.24154
0.840,371.9146,-26.12892
0.850,371.9792,-26.25139
0.860,371.894,-26.24452
0.870,371.854,-26.26358
0.880,371.8153,-25.9788
0.890,371.8427,-26.38434
0.900,371.8365,-26.18373
0.910,371.8314,-26.64672
0.920,371.7075,-26.3521
0.930,371.7421,-26.79538
0.940,371.6438,-26.86531
0.950,371.6266,-26.64101
0.960,371.6541,-26.76117
0.970,371.5805,-26.88989
0.980,371.7372,-26.67445
0.990,371.8049,-26.87211
1.000,371.6344,-26.88634
1.010,371.5722,-26.70588
1.020,371.6555,-27.02358
1.030,371.538,-26.88456
1.040,371.5406,-27.03529
1.050,371.525,-26.93824
1.060,371.579,-27.08259
1.070,371.5437,-27.27597
1.080,371.6114,-27.35211
1.090,371.5894,-27.45353
1.100,371.5463,-27.48243
1.110,371.5498,-27.51921
1.120,371.6501,-27.42269
1.130,371.5886,-27.39603
1.140,371.6139,-27.57876
1.150,371.5981,-27.6998
1.160,371.5379,-27.79504
1.170,371.5625,-27.54631
1.180,371.4575,-27.92336
1.190,371.5322,-28.01498
1.200,371.575,-28.25937
1.210,371.5018,-28.35604
1.220,371.5573,-28.23506
1.230,371.5419,-28.22047
1.240,371.6122,-28.17362
1.250,371.6055,-28.2259
1.260,371.5728,-28.37849
1.270,371.6263,-28.3116
1.280,371.5688,-28.20843
1.290,371.5639,-28.44552
1.300,371.6082,-28.32687
1.310,371.6309,-28.52693
1.320,371.6763,-28.61365
1.330,371.5437,-28.50042
1.340,371.5976,-28.58604
1.350,371.5182,-28.52496
1.360,371.6168,-28.06819
1.370,371.6666,-28.54647
1.380,371.6392,-28.59356
1.390,371.6312,-28.65796
1.400,371.5942,-28.47012
1.410,371.5882,-28.37436
1.420,371.5948,-28.4559
1.430,371.6434,-28.61619
1.440,371.5652,-28.25008
1.450,371.6726,-28.60591
1.460,371.5521,-28.4305
1.470,371.6119,-28.60107
1.480,371.5269,-28.48516
1.490,371.5756,-28.83537
1.500,371.6011,-28.48536
1.510,371.6235,-28.49721
1.520,371.5744,-28.35143
1.530,371.5533,-28.15219
1.540,371.6666,-28.75403
1.550,371.74,-27.68347
1.560,371.5587,-28.26571
1.570,371.674,-28.51783
1.580,371.5978,-28.30018
1.590,371.6397,-28.17453
1.600,371.5636,-28.64996
1.610,371.6617,-28.14251
1.620,371.6475,-28.07811
1.630,371.6193,-28.09774
1.640,371.6679,-28.39865
1.650,371.5227,-28.39111
1.660,371.5171,-28.8008
1.670,371.6345,-28.17933
1.680,371.6678,-28.41866
1.690,371.6793,-28.52968
1.700,371.6586,-28.38378
1.710,371.6259,-28.8307
1.720,371.572,-28.62848
1.730,371.5918,-28.45114
1.740,371.6721,-28.33228
1.750,371.6171,-28.59406
1.760,371.6618,-28.80371
