Timestamp,X-coordinate,Y-coordinate
0.000,-63.62907,-74.22081
0.010,-63.89104,-74.13555
0.020,-63.64304,-74.5772
0.030,-63.80716,-74.70694
0.040,-63.78909,-74.43759
0.050,-63.96201,-74.61452
0.060,-63.99085,-74.66421
0.070,-63.94596,-74.73959
0.080,-63.77884,-74.75893
0.090,-64.01568,-74.8289
0.100,-64.05869,-74.91769
0.110,-63.77392,-74.77795
0.120,-63.74601,-74.66006
0.130,-63.84625,-74.59956
0.140,-63.78602,-74.75429
0.150,-63.85091,-74.67275
0.160,-63.92856,-74.68693
0.170,-63.69058,-74.33669
0.180,-63.63191,-74.22312
0.190,-63.53937,-74.15945
0.200,-63.4085,-73.98064
0.210,-63.4267,-73.65858
0.220,-63.44578,-73.57101
0.230,-63.07647,-73.49569
0.240,-63.03595,-72.98978
0.250,-63.18744,-72.99289
0.260,-63.08929,-72.76685
0.270,-62.69997,-72.62469
0.280,-62.68861,-72.34826
0.290,-62.34579,-72.35041
0.300,-62.47528,-71.74951
0.310,-62.12434,-72.01052
0.320,-62.21303,-71.21
0.330,-61.93079,-70.81484
0.340,-61.84201,-70.33711
0.350,-61.32831,-69.66674
0.360,-60.81022,-69.535
0.370,-60.29598,-68.86163
0.380,-60.21572,-68.58454
0.390,-59.80251,-68.1149
0.400,-59.58966,-67.53885
0.410,-59.08576,-67.27573
0.420,-58.8838,-66.79404
0.430,-58.65149,-66.27493
0.440,-58.6125,-66.14803
0.450,-58.24187,-65.89812
0.460,-58.05563,-65.57899
0.470,-57.7276,-65.13481
0.480,-57.67868,-65.02399
0.490,-57.58685,-64.82619
0.500,-57.26968,-64.61911
0.510,-57.12499,-64.3082
0.520,-57.03972,-63.89824
0.530,-57.05178,-63.47263
0.540,-57.06832,-63.03048
0.550,-57.2582,-62.36675
0.560,-56.94093,-61.54519
0.570,-56.97357,-61.13406
0.580,-56.69997,-60.67031
0.590,-56.44645,-59.74939
0.600,-56.59998,-58.5985
0.610,-56.96843,-57.64096
0.620,-56.48898,-56.90718
0.630,-56.52843,-56.40857
0.640,-56.77061,-55.71764
0.650,-57.04739,-54.65205
0.660,-56.84709,-53.72243
0.670,-56.92715,-52.98851
0.680,-56.68001,-52.51293
0.690,-56.51755,-51.92321
0.700,-56.16786,-51.39344
0.710,-56.19161,-50.7769
0.720,-55.83487,-50.56499
0.730,-55.87555,-50.28553
0.740,-55.94793,-50.03296
0.750,-55.75235,-49.6742
0.760,-55.52438,-49.80118
0.770,-55.82547,-49.01149
0.780,-55.73164,-48.83455
0.790,-55.49137,-48.59993
0.800,-55.50797,-48.28775
0.810,-55.38155,-47.76035
0.820,-55.04242,-47.04329
0.830,-54.63822,-46.5752
0.840,-54.6678,-45.64645
0.850,-54.3942,-44.67152
0.860,-53.94699,-43.71369
0.870,-53.49207,-43.24828
0.880,-53.20546,-42.50247
0.890,-52.82447,-41.8287
0.900,-52.32854,-41.52491
0.910,-52.16832,-40.49247
0.920,-51.60143,-39.74654
0.930,-51.26783,-39.36167
0.940,-50.85343,-38.91887
0.950,-50.79387,-38.30785
0.960,-50.72972,-38.03262
0.970,-50.36696,-38.00481
0.980,-50.16478,-37.45084
0.990,-49.94882,-37.06803
1.000,-49.43734,-36.82773
1.010,-49.14677,-36.60114
1.020,-49.07712,-36.35241
1.030,-48.60576,-36.05415
1.040,-48.30859,-35.68604
1.050,-48.34103,-35.31099
1.060,-47.76923,-35.30943
1.070,-47.34325,-34.62112
1.080,-46.72813,-34.23681
1.090,-46.34418,-34.10144
1.100,-45.73619,-33.8081
1.110,-45.63875,-33.65828
1.120,-44.94238,-33.20128
1.130,-44.53906,-32.82174
1.140,-44.00246,-32.82964
1.150,-43.40144,-32.25661
1.160,-42.92776,-31.80423
1.170,-42.34853,-31.57024
1.180,-41.38607,-30.92129
1.190,-40.63776,-30.921
1.200,-39.68217,-30.89217
1.210,-39.0712,-30.62298
1.220,-38.28674,-31.21607
1.230,-37.63656,-31.22775
1.240,-37.29427,-31.01647
1.250,-37.05484,-30.61506
1.260,-36.60386,-30.4624
1.270,-36.3389,-30.59791
1.280,-35.90573,-30.52091
1.290,-35.57388,-30.1888
1.300,-35.12644,-30.38152
1.310,-35.14205,-29.91087
1.320,-34.80717,-29.76705
1.330,-34.41047,-29.39219
1.340,-34.18024,-29.39325
1.350,-33.8105,-29.4366
1.360,-33.40953,-29.56322
1.370,-33.35944,-29.13613
1.380,-33.10272,-29.23239
1.390,-32.8545,-29.34694
1.400,-32.61628,-29.24211
1.410,-32.1434,-29.62373
1.420,-32.3592,-29.04246
1.430,-31.90322,-29.71625
