Timestamp,X-coordinate,Y-coordinate
0.000,-55.29,59.00302
0.010,-54.58483,59.33624
0.020,-53.98481,59.55192
0.030,-53.88351,59.49428
0.040,-53.18821,59.7523
0.050,-52.68501,59.89071
0.060,-52.07822,60.27678
0.070,-51.51661,60.40954
0.080,-51.1312,60.57542
0.090,-50.60457,60.93077
0.100,-50.09304,61.44743
0.110,-49.46199,61.23599
0.120,-48.6156,61.73956
0.130,-48.13968,61.57288
0.140,-47.7275,61.70628
0.150,-46.72145,61.44523
0.160,-45.93127,61.03061
0.170,-45.16228,61.53943
0.180,-44.11536,60.77608
0.190,-43.37533,61.2637
0.200,-42.43462,61.24159
0.210,-41.78332,61.17864
0.220,-40.86945,61.5218
0.230,-39.71257,62.4859
0.240,-38.55572,62.76672
0.250,-37.78337,63.08432
0.260,-36.70597,64.13686
0.270,-35.31182,64.26279
0.280,-34.15387,65.00396
0.290,-33.35677,65.69663
0.300,-32.452,65.65431
0.310,-31.34626,65.20861
0.320,-30.7098,65.80253
0.330,-29.8979,65.71345
0.340,-28.75775,66.76823
0.350,-27.90181,66.62038
0.360,-26.80093,66.85494
0.370,-25.90644,67.68358
0.380,-24.48248,67.83546
0.390,-23.32162,68.54449
0.400,-22.51838,69.27049
0.410,-21.30389,69.71989
0.420,-20.41965,70.48162
0.430,-19.20456,70.90329
0.440,-18.48686,71.27483
0.450,-17.49348,71.69579
0.460,-16.44221,72.47723
0.470,-16.08805,72.616
0.480,-15.58253,72.87128
0.490,-14.75382,73.22502
0.500,-14.26121,73.00046
0.510,-13.66964,72.77496
0.520,-13.15983,72.45882
0.530,-12.32703,72.26162
0.540,-11.6149,71.31952
0.550,-10.91609,71.02983
0.560,-10.30455,70.29324
0.570,-9.287574,69.90082
0.580,-8.966236,69.561
0.590,-8.253282,68.49451
0.600,-7.434584,68.15356
0.610,-6.650406,67.84587
0.620,-6.21131,67.3373
0.630,-5.43292,66.92821
0.640,-5.190431,66.66068
0.650,-4.605381,65.87674
0.660,-4.35879,65.91032
0.670,-3.795799,65.34746
0.680,-3.350974,65.26318
0.690,-2.876084,64.82918
0.700,-2.842637,64.67204
0.710,-2.415923,63.94206
0.720,-2.247315,63.86129
0.730,-1.835296,63.7494
0.740,-1.642194,63.82538
0.750,-1.381501,62.99965
0.760,-1.075598,63.1819
0.770,-1.342555,62.62657
0.780,-1.106082,62.17955
0.790,-0.9334521,61.83888
0.800,-0.8545404,61.21503
0.810,-0.7654743,60.87465
0.820,-0.2697299,60.3035
0.830,-0.3034536,60.14523
