Timestamp,X-coordinate,Y-coordinate
0.000,-370.2727,21.05324
0.010,-370.2081,21.43724
0.020,-370.1219,21.89906
0.030,-370.0371,21.4803
0.040,-370.0266,21.6629
0.050,-369.9915,21.57001
0.060,-369.9061,21.86985
0.070,-369.7369,21.85546
0.080,-369.6168,22.32715
0.090,-369.6638,22.35477
0.100,-369.5737,22.63962
0.110,-369.4542,22.52456
0.120,-369.3054,23.09093
0.130,-369.1742,22.75437
0.140,-369.1575,22.96857
0.150,-369.0541,23.07112
0.160,-368.9226,22.51606
0.170,-368.9418,23.5326
0.180,-368.8546,22.74322
0.190,-368.8526,23.82449
0.200,-368.8486,24.14373
0.210,-368.7584,24.18897
0.220,-368.6639,24.70967
0.230,-368.4893,26.45269
0.240,-368.398,26.92282
0.250,-368.4359,27.81714
0.260,-368.4322,29.27482
0.270,-368.4115,30.01842
0.280,-368.2637,31.2753
0.290,-368.2499,32.46222
0.300,-368.2663,32.732
0.310,-368.1746,32.16961
0.320,-368.1867,33.42731
0.330,-368.2142,33.64478
0.340,-368.204,35.02822
0.350,-368.2717,35.48941
0.360,-368.3414,36.1097
0.370,-368.3137,37.24125
0.380,-368.3032,37.66323
0.390,-368.3064,38.79212
0.400,-368.4355,39.80127
0.410,-368.2247,40.84533
0.420,-368.2321,41.90936
0.430,-368.1919,42.60387
0.440,-368.0365,43.26787
0.450,-367.9935,44.36538
0.460,-367.7737,45.84154
0.470,-367.8918,46.09129
0.480,-367.9163,46.21827
0.490,-367.9395,46.8582
0.500,-367.9083,46.4949
0.510,-367.9419,46.72529
0.520,-367.9476,46.37677
0.530,-368.0324,46.24791
0.540,-368.0746,45.68994
0.550,-368.0691,45.39925
0.560,-368.0962,45.37445
0.570,-368.0062,45.04025
0.580,-368.1335,44.97548
0.590,-368.0185,43.79066
0.600,-368.0548,43.67211
0.610,-367.9298,44.10071
0.620,-367.934,43.34371
0.630,-367.8744,43.57605
0.640,-367.9185,43.41198
0.650,-367.8089,42.52269
0.660,-367.7127,43.16587
0.670,-367.7413,42.39217
0.680,-367.7642,42.58058
0.690,-367.8007,42.38343
0.700,-367.8452,42.32247
0.710,-367.8495,41.70874
0.720,-367.8349,41.70908
0.730,-367.8502,41.72387
0.740,-367.8242,42.34314
0.750,-367.9234,41.52016
0.760,-367.8426,42.05951
0.770,-367.9729,41.35457
0.780,-368.0413,40.96208
0.790,-367.8986,41.19786
0.800,-367.9886,40.26988
0.810,-368.0453,40.25056
0.820,-368.0134,39.75028
0.830,-368.0606,39.21873
0.840,-368.1741,39.13184
0.850,-367.9766,39.48623
0.860,-368.0242,39.56127
0.870,-368.1877,39.07122
0.880,-368.0589,39.37415
0.890,-368.1018,39.29847
0.900,-368.1711,38.66667
0.910,-368.2638,38.44352
0.920,-368.221,38.27251
0.930,-368.1878,38.32122
0.940,-368.247,37.18379
0.950,-368.2732,36.89351
0.960,-368.3256,36.52376
0.970,-368.3735,35.54305
0.980,-368.5709,35.30712
0.990,-368.5426,33.82134
1.000,-368.6519,34.16209
1.010,-368.7699,32.79318
1.020,-368.666,33.03147
1.030,-368.7039,32.60351
1.040,-368.7015,32.41636
1.050,-368.7888,31.625
1.060,-368.8854,30.47863
1.070,-368.7417,29.83859
1.080,-368.7653,29.84804
1.090,-368.7915,29.81645
1.100,-368.7233,29.68567
1.110,-368.8007,28.87639
1.120,-368.7843,28.38269
1.130,-368.6552,28.821
1.140,-368.6434,28.29009
1.150,-368.7562,27.12553
1.160,-368.6605,27.18909
1.170,-368.7096,26.33946
1.180,-368.4995,26.31426
1.190,-368.6117,25.88488
1.200,-368.5677,24.67827
1.210,-368.4378,23.92079
1.220,-368.5872,22.41174
1.230,-368.502,22.31512
1.240,-368.4977,20.8507
1.250,-368.334,20.05331
1.260,-368.2625,19.73466
1.270,-368.1826,19.85502
1.280,-368.2805,18.57053
1.290,-368.2763,18.58473
1.300,-368.3281,16.73467
1.310,-368.2139,16.43924
1.320,-368.2282,15.99824
1.330,-368.2043,14.43923
1.340,-367.9458,14.04986
1.350,-367.7693,12.88677
1.360,-367.8084,11.6915
1.370,-367.7425,9.751549
1.380,-367.6243,8.708804
1.390,-367.4456,8.43691
1.400,-367.508,6.451594
1.410,-367.5034,5.26124
1.420,-367.4137,4.247703
1.430,-367.2431,4.02103
1.440,-367.2813,2.744679
1.450,-367.2798,1.469753
1.460,-367.4033,1.027854
1.470,-367.4526,-0.2478852
1.480,-367.502,-1.263328
1.490,-367.5364,-1.737845
1.500,-367.5056,-2.236331
1.510,-367.5349,-1.943729
1.520,-367.6143,-3.453753
1.530,-367.7611,-4.423237
1.540,-367.8371,-4.236643
1.550,-367.8295,-4.591483
1.560,-368.0164,-5.614867
1.570,-368.089,-5.668755
1.580,-368.1116,-6.086527
1.590,-368.3077,-6.796626
1.600,-368.4878,-7.373946
1.610,-368.4481,-8.216078
1.620,-368.5706,-9.169819
1.630,-368.9673,-11.19664
1.640,-369.2504,-12.48976
1.650,-369.3361,-13.18197
1.660,-369.543,-14.34771
1.670,-369.6929,-16.0913
1.680,-369.8183,-17.21573
1.690,-370.0559,-17.87247
1.700,-370.3112,-19.60432
1.710,-370.5199,-20.85966
1.720,-370.6605,-21.6339
1.730,-370.8842,-23.10443
1.740,-371.1695,-25.1741
1.750,-371.2296,-26.99991
1.760,-371.5807,-28.77355
1.770,-371.6753,-30.55933
1.780,-371.8745,-32.36076
1.790,-372.0882,-34.37558
1.800,-372.2419,-35.77031
1.810,-372.4768,-37.76047
1.820,-372.6431,-39.10482
1.830,-372.6479,-40.7927
1.840,-372.7557,-42.10843
1.850,-372.8258,-43.78288
1.860,-373.0332,-45.12597
