Timestamp,X-coordinate,Y-coordinate
0.000,363.7604,109.4911
0.010,363.8169,109.5765
0.020,363.8911,109.3222
0.030,363.8922,109.7272
0.040,363.996,109.905
0.050,363.8687,110.1974
0.060,363.9398,110.5492
0.070,363.9158,110.7414
0.080,363.9502,110.4243
0.090,363.8066,111.0353
0.100,363.8992,111.7357
0.110,363.9563,111.2497
0.120,363.9771,111.4641
0.130,364.0221,111.4102
0.140,364.1221,111.3411
0.150,364.1233,110.3568
0.160,364.1066,109.9249
0.170,364.2908,109.603
0.180,364.394,108.6199
0.190,364.3463,108.1634
0.200,364.2628,107.4639
0.210,364.2153,107.108
0.220,364.1427,107.0057
0.230,364.2905,106.7637
0.240,364.2591,106.5406
0.250,364.2271,105.9625
0.260,364.3467,106.2846
0.270,364.2888,105.3438
0.280,364.524,105.2508
0.290,364.6703,105.1964
0.300,364.6593,104.586
0.310,364.7823,104.0643
0.320,364.7425,103.7395
0.330,364.7981,103.1263
0.340,364.9523,103.5822
0.350,365.0214,102.558
0.360,365.0501,102.1291
0.370,365.0763,102.4446
0.380,365.2999,102.0411
0.390,365.2459,102.0556
0.400,365.4024,102.3181
0.410,365.4318,101.9083
0.420,365.3732,102.1739
0.430,365.5411,102.1024
0.440,365.538,102.044
0.450,365.5602,101.5646
0.460,365.4449,101.4295
0.470,365.4079,101.3794
0.480,365.3872,101.6905
0.490,365.3626,101.6023
0.500,365.1647,101.4381
0.510,365.1801,100.6318
0.520,365.1219,100.268
0.530,365.06,99.86098
0.540,364.935,98.39359
0.550,364.9094,98.00041
0.560,364.8039,96.41808
0.570,364.7826,95.8253
0.580,364.7444,95.14203
0.590,364.6718,94.10201
0.600,364.5916,93.40932
0.610,364.5864,92.24549
0.620,364.5748,91.93209
0.630,364.5516,90.76637
0.640,364.4478,90.35228
0.650,364.2887,89.5967
0.660,364.2751,88.98527
0.670,364.1747,88.55662
0.680,364.162,88.13873
0.690,364.0775,87.39972
0.700,363.8566,87.1255
0.710,363.9025,86.22922
0.720,363.8192,86.04253
0.730,363.8111,85.75275
0.740,363.803,85.26439
0.750,363.725,84.39502
0.760,363.5948,84.18353
0.770,363.5222,83.79613
0.780,363.5491,83.26518
0.790,363.3107,82.32685
0.800,363.2296,81.98619
0.810,363.0983,81.30693
0.820,363.1022,80.61239
0.830,363.0082,80.81878
0.840,363.0674,80.25432
0.850,362.8736,80.06786
0.860,362.7718,80.09759
0.870,362.6721,79.50693
0.880,362.6495,79.67271
0.890,362.5894,79.23772
0.900,362.4971,79.37041
0.910,362.4827,79.31719
0.920,362.3578,78.88885
0.930,362.2546,78.26435
0.940,362.2283,78.79633
0.950,362.1628,78.56265
0.960,362.1628,78.48788
0.970,362.0936,78.08581
0.980,361.9966,77.72247
0.990,362.0391,77.31644
1.000,361.927,77.17289
1.010,361.8704,77.10475
1.020,361.7706,77.03142
1.030,361.6895,77.05127
1.040,361.685,76.79498
1.050,361.7523,76.29404
1.060,361.4829,75.91071
1.070,361.5468,76.09927
1.080,361.4049,75.92788
1.090,361.2574,75.32587
1.100,361.1215,75.15937
1.110,361.0323,74.72285
1.120,361.0543,74.70279
1.130,360.9713,74.83819
1.140,360.8755,74.44812
1.150,360.7579,74.10719
1.160,360.7908,73.54128
1.170,360.7451,73.78547
1.180,360.6867,73.33434
1.190,360.5717,73.42544
1.200,360.614,72.86803
1.210,360.4088,73.5173
1.220,360.4151,73.25066
1.230,360.4583,73.28178
1.240,360.2868,72.69825
1.250,360.345,72.45415
1.260,360.2478,72.25028
1.270,360.2865,72.01382
1.280,360.2575,71.45076
1.290,360.2907,70.7725
1.300,360.401,70.49526
1.310,360.4341,69.91456
1.320,360.5164,69.42032
1.330,360.6868,69.10861
1.340,360.7185,68.08805
1.350,360.7841,67.89825
1.360,360.7033,67.34067
1.370,360.7188,66.80898
1.380,360.6814,66.41726
1.390,360.7309,66.54113
1.400,360.7208,66.08189
1.410,360.7321,66.18746
1.420,360.582,66.08656
1.430,360.4781,66.02274
1.440,360.2268,66.42917
1.450,360.1207,66.28131
1.460,360.0003,65.72588
1.470,359.6957,66.0895
1.480,359.3626,65.80194
1.490,358.9075,65.60216
1.500,358.4164,65.878
1.510,358.349,65.34578
1.520,358.1683,64.82499
1.530,357.9518,63.74463
1.540,357.8481,62.97294
1.550,357.6733,60.76621
1.560,357.5347,59.75275
1.570,357.6001,56.73916
1.580,357.6132,54.16971
1.590,357.3883,51.35134
1.600,357.2224,49.16748
1.610,357.1938,47.2997
1.620,356.8789,45.68972
1.630,356.5807,43.83774
1.640,356.0645,41.75283
1.650,355.622,39.90729
1.660,355.1152,38.55484
1.670,354.9759,37.42177
1.680,354.5839,36.70295
1.690,354.4041,35.86079
1.700,354.0908,35.41721
1.710,353.8504,34.78399
1.720,353.628,34.3647
1.730,353.4132,34.44904
1.740,353.0598,33.9846
1.750,352.738,33.52169
1.760,352.4936,32.72872
1.770,352.0815,32.27279
1.780,351.9271,31.16625
1.790,351.5874,29.85243
1.800,351.3517,28.59771
1.810,350.8555,26.94754
1.820,350.7469,25.88587
1.830,350.7006,23.97191
1.840,350.5049,22.96354
1.850,350.0883,21.58944
1.860,350.0649,21.04539
1.870,349.8889,19.75802
1.880,349.7761,19.14619
1.890,349.7442,18.5274
1.900,349.5667,18.3195
1.910,349.6273,18.07175
1.920,349.6354,18.63061
1.930,349.5008,18.78403
1.940,349.3407,19.76735
1.950,349.4568,19.64617
1.960,349.3456,19.91892
1.970,349.4766,21.13952
1.980,349.3873,22.26875
1.990,349.182,23.39316
2.000,349.3575,24.72645
2.010,349.0585,25.38762
2.020,348.877,26.79794
2.030,348.7829,27.62585
2.040,348.7404,28.36848
2.050,348.61,29.11327
2.060,348.4023,30.44102
2.070,348.1592,31.47589
2.080,347.8782,32.8891
2.090,347.7987,33.24718
2.100,347.5783,34.45791
2.110,347.3163,34.25142
2.120,347.1659,34.95767
2.130,346.8625,35.79258
2.140,346.5005,36.4024
2.150,346.3904,37.008
2.160,346.3773,37.57432
2.170,346.2886,37.70405
2.180,346.3226,37.80672
2.190,346.2617,38.0812
2.200,346.3082,38.1085
2.210,346.4316,38.23852
2.220,346.3464,37.91187
2.230,346.4515,37.10001
2.240,346.5038,36.6102
2.250,346.7053,35.69558
2.260,346.691,34.81929
2.270,346.8998,34.51749
2.280,346.8935,33.23939
2.290,346.9674,31.90149
2.300,347.1448,31.3015
2.310,347.0835,30.27725
2.320,347.2475,28.75337
2.330,347.2557,27.84047
2.340,347.2702,26.91634
2.350,347.3864,25.69249
2.360,347.4102,24.88112
2.370,347.4192,23.96662
2.380,347.5028,23.45986
2.390,347.6593,23.32742
2.400,347.7688,23.43597
2.410,347.7927,22.67461
2.420,347.8051,23.09014
2.430,347.8355,23.91683
2.440,347.9181,23.94588
2.450,348.0075,23.75726
2.460,347.9791,23.66172
2.470,348.0294,24.09204
2.480,348.0895,23.68412
2.490,348.1685,23.92019
2.500,348.1769,24.21317
2.510,348.3195,24.17458
2.520,348.4509,25.18644
2.530,348.3778,26.00224
2.540,348.4619,26.15992
2.550,348.3074,27.26829
2.560,348.2821,27.79904
2.570,348.184,28.74162
2.580,348.2459,29.80175
2.590,348.3489,30.49965
2.600,348.2575,31.51564
2.610,348.2662,31.64787
2.620,348.263,31.86273
2.630,348.2977,32.40295
2.640,348.1898,33.89341
2.650,348.2573,34.26443
2.660,348.1733,34.77131
2.670,348.078,36.39823
2.680,348.2614,36.18477
2.690,348.2712,38.32431
2.700,348.4834,39.85186
2.710,348.4761,41.04919
2.720,348.6312,42.47111
2.730,348.5384,43.41087
2.740,348.6862,44.98738
2.750,348.5981,45.88104
2.760,348.6454,46.66046
2.770,348.6464,47.11885
2.780,348.6638,48.20238
2.790,348.5562,49.6401
2.800,348.5113,51.58979
2.810,348.3146,53.50275
2.820,348.3502,55.82307
2.830,348.1297,57.86493
2.840,347.9653,61.11108
2.850,347.9322,64.64273
2.860,347.9763,67.97889
2.870,347.9081,70.55519
2.880,347.9086,71.41571
2.890,347.9576,73.08788
2.900,348.0005,74.03068
2.910,347.964,75.48425
2.920,347.9358,76.79523
2.930,348.081,76.63913
2.940,348.0632,77.5603
2.950,348.0457,77.51631
2.960,348.1223,77.67945
2.970,348.2249,77.568
2.980,348.1991,77.82862
2.990,348.3637,77.55471
3.000,348.4799,77.54775
3.010,348.5289,76.70995
3.020,348.5463,76.24224
3.030,348.6846,75.44498
3.040,348.825,75.03979
3.050,348.7736,74.13481
3.060,348.9431,72.58968
3.070,349.1533,70.75999
3.080,349.2142,69.26992
3.090,349.4798,66.73383
3.100,349.8049,65.7014
3.110,349.6892,63.82065
3.120,349.9755,62.08541
3.130,350.1235,60.91519
3.140,350.1345,59.03061
3.150,350.3176,58.40971
3.160,350.4491,57.39775
3.170,350.2577,55.84291
3.180,350.2247,55.08208
3.190,350.2186,53.82942
3.200,350.2794,52.94542
3.210,350.4248,52.8596
3.220,350.4756,51.87114
3.230,350.6196,50.57854
3.240,351.002,50.23296
3.250,351.0847,50.29977
3.260,351.4229,49.34463
3.270,351.5407,48.38567
3.280,351.5585,48.79924
3.290,351.5025,47.5906
3.300,351.5551,47.40666
3.310,351.6503,46.90588
3.320,351.5147,45.96798
3.330,351.7444,45.1415
3.340,351.6809,44.11331
3.350,351.7699,43.60544
3.360,351.7483,43.37352
3.370,351.89,42.0866
3.380,352.0947,41.08569
3.390,352.0714,40.59708
3.400,352.0202,39.89068
3.410,352.2757,38.3055
3.420,352.2179,37.43106
3.430,352.2374,36.5993
3.440,352.2004,35.87853
3.450,352.3215,34.98255
3.460,352.2073,33.90631
3.470,352.3011,33.58575
3.480,352.1936,32.77565
3.490,352.2589,32.47287
3.500,352.189,31.72185
3.510,352.1006,31.47109
3.520,352.1911,30.62369
3.530,352.1596,29.97795
3.540,352.3935,28.45317
3.550,352.3618,27.54489
3.560,352.3444,26.28415
3.570,352.4544,23.60752
3.580,352.5412,22.97364
3.590,352.538,21.56468
3.600,352.5837,21.06931
