Timestamp,X-coordinate,Y-coordinate
0.000,-16.77776,50.14605
0.010,-18.54778,49.00791
0.020,-20.51542,49.25268
0.030,-22.45839,48.35649
0.040,-25.29048,48.56998
0.050,-28.54192,48.74068
0.060,-32.08553,49.32523
0.070,-36.44772,49.69118
0.080,-42.36049,49.43242
0.090,-47.71735,47.99127
0.100,-54.54933,45.923
0.110,-60.54115,43.06588
0.120,-66.40072,40.11805
0.130,-72.21371,35.53387
0.140,-77.45049,33.03144
0.150,-81.92603,30.43114
0.160,-86.28219,27.65883
0.170,-90.41312,24.50643
0.180,-94.95618,21.87192
0.190,-97.85748,19.35936
0.200,-100.669,17.26833
0.210,-102.5506,14.84695
0.220,-104.0127,12.26354
0.230,-104.3949,10.39847
0.240,-105.1324,9.76351
0.250,-104.9765,9.6387
0.260,-104.2133,11.07037
0.270,-103.5916,12.47033
0.280,-103.1726,15.34547
0.290,-102.6792,18.81042
0.300,-102.1791,22.88315
0.310,-101.2919,27.1356
0.320,-99.99752,32.04531
0.330,-98.71073,37.28241
0.340,-95.97506,42.77688
0.350,-93.35548,47.19858
0.360,-91.67524,50.51898
0.370,-89.7851,51.80296
0.380,-87.13496,51.01458
0.390,-85.02916,50.64596
0.400,-82.99313,50.95418
0.410,-80.85238,52.17452
0.420,-78.24461,55.43218
0.430,-75.01064,60.29391
0.440,-70.7627,67.08336
0.450,-66.18295,73.87174
0.460,-61.10311,79.12014
0.470,-55.54655,84.8075
0.480,-50.09187,87.65039
0.490,-43.15932,90.0028
0.500,-36.68576,93.60651
0.510,-30.11737,96.37161
0.520,-23.25764,98.88756
0.530,-15.7156,102.8116
0.540,-9.618741,104.2912
0.550,-3.470353,105.0009
0.560,1.946135,105.4598
0.570,6.642272,106.8295
0.580,10.81042,106.5999
0.590,15.00434,104.9071
0.600,18.06064,103.2186
0.610,20.57925,101.1713
0.620,21.66619,99.84695
0.630,22.07251,98.54172
0.640,22.65718,96.33197
0.650,21.91976,94.42358
0.660,20.69628,92.62993
0.670,19.03598,91.57879
0.680,17.42553,91.01559
0.690,15.21686,91.00838
0.700,13.1214,91.09315
0.710,10.89639,91.14098
0.720,7.908654,92.55263
0.730,4.826585,93.10651
0.740,1.661801,93.18244
0.750,-1.336133,92.57773
0.760,-3.293292,91.68165
0.770,-5.014612,90.40328
0.780,-6.050695,88.15781
0.790,-7.447976,85.4855
0.800,-8.389709,83.40605
0.810,-9.04363,81.52783
0.820,-9.589976,79.30844
0.830,-10.29815,77.74938
0.840,-10.09803,75.98634
0.850,-9.787554,74.70355
0.860,-9.098366,74.12658
0.870,-8.366549,73.7172
0.880,-6.704722,74.48486
0.890,-3.598774,75.57481
0.900,0.3890227,76.31466
0.910,6.203474,77.97071
0.920,12.81715,77.97528
0.930,20.82336,76.34183
0.940,30.53962,74.20335
0.950,40.01924,71.04929
0.960,49.8913,65.65679
