Timestamp,X-coordinate,Y-coordinate
0.000,-365.9923,54.93638
0.010,-366.014,53.18257
0.020,-366.0437,51.96292
0.030,-366.1701,49.06926
0.040,-366.1517,46.67178
0.050,-366.4253,43.1632
0.060,-366.6399,41.05868
0.070,-366.7043,38.1231
0.080,-366.9993,35.91644
0.090,-367.0529,33.68608
0.100,-367.3699,30.5332
0.110,-367.673,27.02467
0.120,-368.1143,23.68502
0.130,-368.8802,18.05984
0.140,-369.5751,15.14878
0.150,-370.0743,11.96517
0.160,-370.9961,9.070718
0.170,-371.8451,6.08717
0.180,-372.685,3.427476
0.190,-373.4423,0.5386829
0.200,-373.8831,-1.402112
0.210,-374.0757,-3.0312
0.220,-374.5777,-4.454994
0.230,-374.9311,-5.424768
0.240,-375.0926,-5.260404
0.250,-375.1805,-4.501413
0.260,-375.2257,-2.977003
0.270,-375.3093,-1.744738
0.280,-375.122,0.9007549
0.290,-375.2058,4.040354
0.300,-375.2226,8.409949
0.310,-375.3308,13.15163
0.320,-375.1914,17.97145
0.330,-375.2615,23.4413
0.340,-374.779,28.98872
0.350,-374.2018,33.86632
0.360,-374.0515,36.36487
0.370,-374.0007,35.54245
0.380,-373.5703,31.90307
0.390,-373.3219,29.06115
0.400,-373.2784,27.74498
0.410,-373.1097,28.16465
0.420,-373.2125,32.20842
0.430,-373.1325,38.76919
0.440,-372.8197,48.52839
0.450,-372.4189,58.7845
0.460,-371.9174,67.95769
0.470,-371.6918,78.68794
0.480,-371.5154,85.98164
0.490,-371.09,94.33127
0.500,-370.7109,104.0137
0.510,-370.425,114.624
0.520,-370.5687,125.5182
0.530,-370.6172,139.5692
0.540,-370.5143,149.1469
0.550,-370.3184,157.7177
0.560,-370.4975,166.7548
0.570,-370.5099,175.7784
0.580,-370.8738,183.7259
0.590,-371.4964,188.8202
0.600,-371.4802,192.1015
0.610,-371.7106,193.5764
0.620,-372.1598,194.3327
0.630,-372.6564,194.3883
0.640,-372.9546,192.4934
0.650,-373.2702,188.9522
0.660,-373.3512,184.1721
0.670,-373.4827,180.0294
0.680,-373.6551,176.5947
0.690,-373.9666,173.0315
0.700,-374.3134,170.3629
0.710,-374.8926,167.0547
0.720,-375.2231,164.0828
0.730,-376.0135,159.4655
0.740,-376.8138,154.911
0.750,-377.6978,149.2833
0.760,-379.0065,144.3435
0.770,-379.9871,139.638
0.780,-381.2255,134.2381
0.790,-382.5051,128.1976
0.800,-383.4482,123.3689
0.810,-384.151,119.8239
0.820,-384.7969,115.3601
0.830,-385.2433,112.5615
0.840,-385.5606,109.5682
0.850,-385.8802,106.9548
0.860,-386.0988,106.4393
0.870,-386.4093,106.6927
0.880,-386.3991,110.1878
0.890,-386.2814,115.9792
0.900,-386.2341,124.1591
0.910,-386.0232,135.2723
0.920,-385.0541,144.7238
0.930,-383.5873,152.3501
0.940,-381.3882,160.7092
0.950,-378.9234,166.5616
0.960,-376.6056,171.0742
0.970,-375.0303,176.1809
0.980,-372.539,178.5975
0.990,-370.2765,178.9059
1.000,-368.7121,179.4525
1.010,-367.9427,177.1736
1.020,-367.229,175.5628
1.030,-366.0908,175.8822
1.040,-365.0205,175.548
1.050,-364.4194,173.874
1.060,-364.1296,171.9506
1.070,-363.4322,169.5678
1.080,-362.9514,167.4894
1.090,-362.4856,165.9023
1.100,-362.0295,165.0897
1.110,-361.7512,163.1538
1.120,-361.3989,162.8663
1.130,-361.2115,162.7417
1.140,-361.0162,161.203
1.150,-361.1398,160.0588
1.160,-361.3224,157.2364
1.170,-361.3177,154.1312
1.180,-361.5072,149.5466
1.190,-361.7291,143.2497
1.200,-362.1171,137.6678
1.210,-362.5718,129.7566
1.220,-362.7368,123.028
1.230,-363.0769,113.1663
1.240,-363.1653,104.7782
1.250,-363.1366,95.10575
1.260,-363.3181,87.44048
1.270,-363.5165,79.3102
1.280,-363.6756,70.83444
1.290,-363.8148,60.94135
1.300,-364.133,52.43455
1.310,-364.4927,43.12643
1.320,-364.9475,35.16501
1.330,-365.4659,26.00452
1.340,-366.1559,17.19449
1.350,-367.1263,9.656549
1.360,-368.1865,1.769217
1.370,-369.2992,-4.980755
1.380,-370.8687,-11.16299
1.390,-372.3705,-18.04743
1.400,-373.6325,-24.9531
1.410,-374.662,-28.7904
1.420,-375.7431,-33.45762
1.430,-376.7924,-36.85007
1.440,-377.6899,-39.56416
1.450,-378.1194,-40.27256
1.460,-378.4259,-41.11716
1.470,-378.7056,-41.37739
1.480,-378.7715,-40.92239
1.490,-378.88,-40.47908
1.500,-378.9053,-39.42735
1.510,-378.9148,-37.98648
1.520,-378.8555,-36.04886
1.530,-378.4243,-32.65162
1.540,-378.226,-28.43137
1.550,-377.6798,-22.7548
1.560,-377.1989,-17.29055
1.570,-376.7014,-12.67425
1.580,-375.9989,-7.63368
1.590,-375.5489,-3.737413
1.600,-375.1775,-0.6076993
1.610,-374.636,1.597509
1.620,-374.2063,3.618237
1.630,-373.9976,4.502052
1.640,-373.7422,4.634707
1.650,-373.6062,4.630243
1.660,-373.4604,4.800707
1.670,-373.3842,4.892142
1.680,-373.4391,4.61946
1.690,-373.4036,4.72579
1.700,-373.5045,4.545485
1.710,-373.666,3.666136
1.720,-373.8178,1.827278
1.730,-373.8551,-0.2415025
1.740,-374.2102,-3.379396
1.750,-374.3521,-7.329015
