Timestamp,X-coordinate,Y-coordinate
0.000,369.6793,44.84485
0.010,370.3202,44.33583
0.020,370.7711,46.18354
0.030,371.4268,47.53968
0.040,372.0918,50.78294
0.050,372.2386,55.35641
0.060,372.2516,59.31606
0.070,372.1749,64.00423
0.080,372.0662,66.68661
0.090,371.8089,66.78468
0.100,371.553,66.88591
0.110,370.9771,65.60368
0.120,370.6147,63.92036
0.130,370.2888,61.59781
0.140,369.5931,60.39757
0.150,369.1503,59.33833
0.160,368.8539,57.3733
0.170,368.4529,54.53843
0.180,367.784,52.60328
0.190,367.7543,51.15766
0.200,367.4265,49.25623
0.210,366.9551,45.76085
0.220,366.2453,41.32133
0.230,365.9132,37.90606
0.240,365.4344,35.95164
0.250,364.5269,34.2084
0.260,363.6052,35.31879
0.270,362.6496,36.862
0.280,361.502,40.02687
0.290,360.0634,43.88956
0.300,358.6991,47.31288
0.310,357.2819,50.53624
0.320,355.7264,55.35178
0.330,354.7449,59.97745
0.340,353.6316,65.01204
0.350,352.9481,68.38538
0.360,352.3273,72.77461
0.370,351.8874,77.07188
0.380,351.5377,80.28368
0.390,351.4341,83.32446
0.400,351.2222,85.67102
0.410,351.4008,87.68549
0.420,351.7086,89.28377
0.430,351.9139,91.11833
0.440,352.201,93.06547
0.450,352.3843,94.49317
0.460,352.8273,93.98585
0.470,353.1716,92.71897
0.480,353.4223,89.74533
0.490,353.6613,84.76504
0.500,353.7486,81.44185
0.510,353.9272,75.77344
0.520,354.1892,69.94617
0.530,354.6165,64.45574
0.540,355.0312,58.9689
0.550,355.6638,53.39256
0.560,356.4472,47.1177
0.570,357.0883,42.76294
0.580,358.062,36.43161
0.590,359.0216,30.21767
0.600,359.4644,25.31928
0.610,360.0244,21.21399
0.620,360.3943,18.5801
0.630,360.6845,16.3212
0.640,360.9911,14.09307
0.650,360.9967,13.31709
0.660,360.9723,13.57952
0.670,360.8011,14.56507
0.680,360.5148,15.93832
0.690,360.0712,18.32794
0.700,359.5572,20.21183
0.710,359.0697,22.62907
0.720,358.3409,27.12745
0.730,357.6107,31.63615
0.740,356.9125,35.24178
0.750,356.3116,38.6917
0.760,355.809,41.34811
0.770,355.5905,43.05502
0.780,355.2616,43.78016
0.790,355.2029,44.18627
0.800,354.9956,44.687
0.810,354.9486,44.3666
0.820,354.7985,44.29624
0.830,354.6022,43.8699
0.840,354.5912,43.36811
0.850,354.5215,43.46277
0.860,354.4435,42.96743
0.870,354.5404,42.06193
0.880,354.6645,40.5051
0.890,354.7998,37.73437
0.900,354.7273,32.46545
0.910,354.9868,27.01587
0.920,355.4597,20.49216
0.930,356.0974,13.32766
0.940,356.9396,5.658494
0.950,357.6624,-1.36834
0.960,358.4405,-10.60742
0.970,359.3786,-19.91438
0.980,360.5749,-29.76685
0.990,361.3863,-39.37631
1.000,362.3912,-47.94809
1.010,363.4948,-56.29131
1.020,364.8221,-62.85329
1.030,365.5855,-67.43559
1.040,366.3111,-72.36129
1.050,367.1295,-76.81828
1.060,367.6726,-80.3279
1.070,368.2607,-82.3966
1.080,368.636,-83.61755
1.090,369.2132,-84.86552
1.100,369.6969,-86.91373
1.110,370.4437,-87.03536
1.120,371.2478,-87.65818
1.130,371.8353,-86.84068
1.140,372.4473,-83.03619
1.150,372.9533,-79.01843
1.160,373.1169,-75.55264
1.170,373.3464,-71.91737
1.180,373.2659,-67.76294
1.190,373.3879,-63.42194
1.200,373.1649,-59.82467
1.210,372.9265,-55.6885
1.220,372.8343,-52.42778
1.230,372.5229,-51.28013
1.240,372.3991,-50.24119
1.250,372.2908,-49.16618
1.260,372.115,-48.80363
1.270,372.3604,-50.99887
1.280,372.5552,-52.27327
1.290,373.3864,-52.26848
1.300,374.0457,-51.00685
1.310,374.1006,-47.37356
1.320,374.3413,-41.54415
1.330,374.0385,-35.69086
1.340,373.6847,-29.528
1.350,373.0327,-23.03522
1.360,372.081,-16.64125
1.370,370.9411,-8.923653
1.380,369.8277,-2.951353
1.390,368.8352,3.341776
1.400,367.7795,7.51793
1.410,367.3358,13.33427
1.420,366.6513,19.32647
1.430,366.0844,25.5558
1.440,365.4509,31.60282
1.450,364.6613,38.52142
1.460,364.2356,43.94859
1.470,363.6193,48.82186
1.480,363.2943,53.59007
1.490,362.7316,55.83925
1.500,362.3575,58.95214
1.510,361.9703,60.87709
1.520,361.7552,63.29523
1.530,361.767,65.41244
1.540,361.5057,67.27734
1.550,361.6653,71.02944
1.560,361.8932,73.43884
1.570,362.0374,73.49332
1.580,362.4786,73.67105
1.590,362.9726,73.12976
1.600,363.5702,72.18271
1.610,364.1731,69.7881
1.620,364.7818,67.42973
1.630,365.6147,63.2429
1.640,366.5464,58.75099
1.650,367.3381,55.57467
1.660,368.3268,52.1454
1.670,369.23,48.15614
1.680,370.2026,43.72585
1.690,371.2619,41.54936
1.700,371.7834,39.29239
1.710,372.3622,37.82129
1.720,372.5411,38.03543
1.730,373.1391,39.99345
1.740,373.0948,42.70584
1.750,372.9175,45.50864
1.760,372.313,51.13092
1.770,371.407,55.38512
1.780,369.6768,60.70642
1.790,368.1413,64.64554
1.800,366.1361,68.69373
1.810,364.1201,71.06697
1.820,361.8713,74.58427
1.830,359.4879,78.64017
1.840,357.3911,80.76403
1.850,355.0805,82.42579
1.860,353.0716,83.14236
1.870,350.7437,84.16158
1.880,349.1319,84.12794
1.890,348.0321,82.6438
1.900,347.3248,81.59846
1.910,345.9546,77.38154
1.920,345.5363,71.6137
1.930,345.1373,67.09014
1.940,344.9757,63.56467
1.950,344.7895,62.15468
1.960,344.5529,61.39341
1.970,344.1659,61.83436
1.980,344.0322,63.28969
1.990,343.9655,64.55512
2.000,344.2321,65.5487
2.010,344.2836,66.00056
2.020,344.7256,67.27471
2.030,344.9516,67.4075
2.040,345.5286,67.16854
2.050,346.2817,67.23418
2.060,347.6018,67.56334
2.070,348.6281,68.90122
2.080,349.6671,69.81911
2.090,351.0589,69.54262
2.100,352.2833,70.03478
2.110,353.8946,71.17736
2.120,355.043,71.91016
2.130,356.2084,71.30461
2.140,357.0731,69.10266
2.150,358.1431,66.73198
2.160,359.1195,63.22672
2.170,359.6076,59.54892
2.180,360.1318,54.26408
2.190,360.8007,49.25631
2.200,361.2146,44.33584
2.210,361.4995,37.20228
2.220,361.896,31.77839
2.230,362.304,27.32108
2.240,362.8123,21.45375
2.250,363.3838,15.78645
2.260,363.7648,10.31138
2.270,364.1106,4.363745
2.280,364.5796,-0.6795661
2.290,365.0686,-6.366814
2.300,365.5158,-11.9283
2.310,365.7332,-18.15224
2.320,366.205,-24.30607
2.330,366.8486,-32.95832
2.340,367.682,-40.62819
2.350,368.2655,-49.97357
2.360,369.0149,-56.32418
2.370,369.7411,-62.22663
2.380,370.3388,-66.21081
2.390,371.2357,-69.70587
2.400,372.0301,-72.41019
2.410,372.8282,-74.59317
2.420,373.7243,-76.39796
2.430,374.4117,-77.60587
2.440,375.0595,-77.89642
2.450,375.4196,-77.37776
2.460,375.6081,-77.14331
2.470,375.7067,-76.05431
2.480,375.6014,-73.12199
2.490,375.2534,-68.67747
2.500,374.6975,-63.93153
2.510,374.2167,-59.94298
2.520,373.7601,-56.12083
2.530,373.0245,-52.63989
2.540,372.5911,-49.40281
2.550,372.2825,-44.67402
2.560,371.9658,-40.11489
2.570,371.4371,-34.99733
2.580,370.7817,-30.85475
2.590,370.1467,-25.71372
2.600,369.4256,-21.67344
2.610,368.9025,-17.21981
2.620,368.5333,-12.88806
2.630,367.7858,-7.595091
2.640,367.2567,-3.925256
2.650,366.9527,0.5089268
2.660,366.3485,6.043457
2.670,365.6604,10.56452
2.680,365.0685,15.29901
2.690,364.6755,18.72539
2.700,364.1234,23.86641
2.710,363.8713,29.19806
2.720,363.6145,37.55501
2.730,363.6157,46.27482
2.740,363.2094,56.05641
2.750,362.9862,68.75523
2.760,362.5128,80.66019
2.770,362.3803,93.62335
2.780,361.7617,102.0926
2.790,360.8695,107.8241
2.800,360.0509,110.8024
2.810,359.2333,113.4324
2.820,358.635,114.9391
2.830,358.3886,115.6583
2.840,357.8942,116.3515
2.850,357.5,117.5528
2.860,357.1149,119.1286
2.870,357.1317,120.5569
2.880,356.946,123.2553
2.890,356.9949,124.2711
2.900,356.7163,126.2047
2.910,356.6364,126.3839
2.920,356.4949,127.2717
2.930,356.6183,125.7792
2.940,356.6663,124.2504
2.950,356.5546,121.5084
2.960,356.6299,119.0299
2.970,356.7269,116.1515
2.980,356.5159,111.5723
2.990,356.5608,107.5905
3.000,356.6807,104.2978
3.010,357.1805,99.23314
3.020,357.5799,96.22979
3.030,357.9162,94.18642
3.040,358.2793,90.70864
3.050,358.8958,89.00668
3.060,359.7474,86.76628
3.070,360.5747,85.30795
3.080,361.0891,83.83833
3.090,362.1038,81.20479
3.100,362.7761,78.73941
3.110,363.7709,76.65186
3.120,364.4357,74.66129
3.130,365.0157,72.15828
3.140,365.5872,68.02386
