Timestamp,X-coordinate,Y-coordinate
0.000,-56.81571,-179.7309
0.010,-56.36161,-180.6419
0.020,-56.00548,-180.7619
0.030,-55.51661,-181.1119
0.040,-55.42674,-180.9111
0.050,-54.68292,-180.8514
0.060,-54.79202,-180.5797
0.070,-53.68282,-179.8818
0.080,-53.24749,-179.7351
0.090,-52.9482,-179.6496
0.100,-52.64266,-179.9854
0.110,-51.53063,-179.4642
0.120,-51.2763,-179.2335
0.130,-50.47343,-179.3892
0.140,-50.04695,-179.9503
0.150,-49.51573,-180.175
0.160,-49.0246,-180.7639
0.170,-48.38033,-180.5281
0.180,-47.73755,-181.1187
0.190,-47.38704,-181.2083
0.200,-46.88303,-181.4795
0.210,-46.2737,-181.7774
0.220,-45.61823,-181.7035
0.230,-44.87455,-182.2662
0.240,-44.05444,-181.791
0.250,-43.89722,-181.9221
0.260,-42.91477,-181.4044
0.270,-41.99585,-180.7168
0.280,-41.91809,-179.9271
0.290,-41.11523,-178.6721
0.300,-40.44231,-177.6931
0.310,-40.24239,-177.032
0.320,-39.74113,-177.0963
0.330,-39.43289,-177.3237
0.340,-39.24092,-176.5003
0.350,-39.43039,-176.6974
0.360,-39.54676,-177.0326
0.370,-38.99231,-176.8639
0.380,-38.95869,-177.1667
0.390,-38.57571,-176.8709
0.400,-38.45936,-176.9492
0.410,-38.38893,-176.8395
0.420,-37.99092,-176.9706
0.430,-37.57226,-176.6691
0.440,-37.42769,-176.4236
0.450,-37.50564,-176.0839
0.460,-37.25695,-175.6573
0.470,-36.9325,-174.6945
0.480,-37.00502,-173.736
0.490,-37.5088,-172.3864
0.500,-37.36452,-171.311
0.510,-37.57626,-169.7529
0.520,-37.93144,-168.0886
0.530,-38.18358,-167.1416
0.540,-39.08884,-164.9997
0.550,-38.86676,-163.1267
0.560,-39.59608,-162.0252
0.570,-39.77385,-160.9573
0.580,-39.9152,-158.9955
0.590,-40.16157,-157.9396
0.600,-39.90525,-156.4532
0.610,-40.22833,-155.4077
0.620,-40.32927,-155.1557
0.630,-40.36067,-154.2633
0.640,-40.47828,-153.7801
0.650,-40.47223,-153.6386
0.660,-40.41975,-153.3667
0.670,-40.51587,-153.5305
0.680,-40.96865,-153.5088
