Timestamp,X-coordinate,Y-coordinate
0.000,-370.9697,-132.129
0.010,-371.1381,-133.0357
0.020,-371.2004,-133.9748
0.030,-371.2824,-134.3629
0.040,-371.3192,-134.3544
0.050,-371.396,-135.3355
0.060,-371.4132,-135.3143
0.070,-371.3879,-135.099
0.080,-371.5737,-135.1274
0.090,-371.5618,-135.7596
0.100,-371.5071,-136.6724
0.110,-371.4221,-136.5329
0.120,-371.4484,-136.782
0.130,-371.5149,-137.4725
0.140,-371.4964,-137.8433
0.150,-371.5619,-137.9029
0.160,-371.4994,-138.0821
0.170,-371.4895,-138.1558
0.180,-371.5114,-138.2936
0.190,-371.5624,-137.8897
0.200,-371.593,-138.3763
0.210,-371.5721,-138.7623
0.220,-371.5687,-138.7242
0.230,-371.5201,-139.3854
0.240,-371.602,-139.0125
0.250,-371.5881,-139.5955
0.260,-371.5802,-139.6212
0.270,-371.4796,-139.9426
0.280,-371.6153,-140.2159
0.290,-371.5804,-139.5112
0.300,-371.4743,-139.3741
0.310,-371.5714,-139.3102
0.320,-371.5898,-139.8742
0.330,-371.463,-139.7338
0.340,-371.476,-138.8566
0.350,-371.5806,-139.2813
0.360,-371.5226,-139.06
0.370,-371.486,-138.4978
0.380,-371.5866,-139.0834
0.390,-371.6591,-138.5424
0.400,-371.5851,-138.2533
0.410,-371.7108,-138.1656
0.420,-371.6703,-138.3536
0.430,-371.6701,-138.3859
0.440,-371.6443,-137.9881
0.450,-371.7766,-137.9769
0.460,-371.7242,-137.7532
0.470,-371.598,-136.6005
0.480,-371.7268,-135.2545
0.490,-371.7032,-133.489
0.500,-371.645,-132.1345
0.510,-371.5834,-129.5352
0.520,-371.5705,-127.218
0.530,-371.5953,-125.6066
0.540,-371.7921,-122.465
0.550,-371.5792,-118.9864
0.560,-371.5093,-117.298
0.570,-371.6094,-115.337
0.580,-371.5114,-112.1839
0.590,-371.5093,-110.1294
0.600,-371.5882,-107.8975
0.610,-371.5367,-106.1557
0.620,-371.5631,-105.2832
0.630,-371.5563,-103.9677
0.640,-371.7238,-103.3321
0.650,-371.7032,-102.7688
0.660,-371.7847,-102.7462
0.670,-371.7484,-103.1277
0.680,-371.8441,-102.7694
0.690,-371.9284,-103.7826
0.700,-372.1102,-104.5449
0.710,-372.1881,-105.0484
0.720,-372.2822,-105.7936
0.730,-372.4079,-106.8786
0.740,-372.3821,-107.5667
0.750,-372.3469,-107.7306
0.760,-372.408,-109.1694
0.770,-372.4865,-109.3968
0.780,-372.381,-109.6432
0.790,-372.3611,-111.4133
0.800,-372.389,-112.5282
0.810,-372.204,-113.997
0.820,-372.2337,-115.715
0.830,-372.6428,-117.8584
0.840,-372.8509,-120.8701
0.850,-373.1257,-126.9565
0.860,-373.3028,-133.3975
0.870,-373.824,-142.4624
0.880,-374.9723,-157.9178
0.890,-376.5234,-179.1454
0.900,-378.2283,-204.9033
0.910,-379.4112,-230.9785
0.920,-381.2661,-255.4689
0.930,-381.8475,-282.9419
0.940,-382.706,-305.1437
0.950,-383.6999,-323.4701
0.960,-384.7249,-332.3502
0.970,-385.8182,-340.5288
0.980,-386.4197,-346.1356
0.990,-387.2123,-348.7665
1.000,-387.5257,-350.8631
1.010,-388.2522,-354.1752
1.020,-388.918,-356.0886
1.030,-389.5023,-357.6078
1.040,-389.6185,-359.7742
1.050,-389.9201,-360.9167
1.060,-390.3223,-363.0236
1.070,-390.6401,-364.0314
1.080,-390.7014,-364.757
1.090,-390.8182,-364.9825
1.100,-390.6499,-364.8607
1.110,-390.6018,-364.7784
1.120,-390.607,-365.2191
1.130,-390.8235,-364.1274
1.140,-390.9679,-364.5909
1.150,-390.7299,-364.1679
1.160,-390.5677,-363.1647
1.170,-389.7033,-361.0835
1.180,-389.2625,-353.4499
1.190,-389.3808,-328.1906
1.200,-387.0442,-303.8979
1.210,-385.1525,-281.1518
1.220,-382.7915,-259.8509
1.230,-380.8879,-243.356
1.240,-379.7605,-228.2177
1.250,-378.6832,-216.3509
1.260,-378.0261,-205.4882
1.270,-377.7659,-197.0735
1.280,-377.5597,-189.213
1.290,-377.4294,-180.432
1.300,-377.3422,-172.9019
1.310,-377.3745,-163.3195
1.320,-377.3283,-156.0912
1.330,-377.4126,-148.4841
1.340,-376.9734,-141.412
1.350,-376.5508,-133.5506
1.360,-376.4524,-126.0159
1.370,-376.3254,-120.0322
1.380,-376.1562,-111.8119
1.390,-376.1283,-104.8833
1.400,-375.7249,-97.48776
1.410,-375.2767,-91.32272
1.420,-374.7598,-83.36762
1.430,-374.5819,-75.88225
1.440,-374.5145,-69.27213
1.450,-374.2022,-61.63651
1.460,-373.6602,-54.11327
1.470,-373.2943,-46.60117
1.480,-372.9294,-39.77387
1.490,-372.689,-34.07355
1.500,-372.4165,-28.62381
1.510,-372.0743,-22.94571
1.520,-371.8142,-17.52831
1.530,-371.5976,-11.9616
1.540,-371.3346,-5.888195
1.550,-371.3017,-2.037576
1.560,-371.2749,1.811006
1.570,-371.4129,4.598893
1.580,-371.1181,7.178749
1.590,-371.0811,8.560345
1.600,-371.0258,9.311652
1.610,-371.1051,11.33297
1.620,-371.1659,11.82523
1.630,-371.1624,13.44874
1.640,-371.1893,14.0567
1.650,-371.1595,14.67991
1.660,-371.1395,16.09784
1.670,-370.9879,17.04728
1.680,-370.997,18.02354
1.690,-371.0828,18.51359
1.700,-371.0504,19.04432
1.710,-371.1621,19.41217
1.720,-371.1229,19.1041
1.730,-370.9864,18.57965
1.740,-371.0796,17.63129
1.750,-371.1613,17.80693
1.760,-371.212,17.65286
1.770,-371.1229,17.29024
1.780,-371.0587,16.938
1.790,-371.1814,17.31216
1.800,-370.9419,17.1534
1.810,-371.0883,17.42133
1.820,-371.3728,18.81955
1.830,-371.34,21.92737
1.840,-371.3524,25.76739
1.850,-371.2895,32.63484
1.860,-371.3491,42.80776
1.870,-371.4053,55.33772
