Timestamp,X-coordinate,Y-coordinate
0.000,378.5509,-245.6994
0.010,378.3509,-246.3871
0.020,378.1831,-245.2124
0.030,378.2108,-245.3251
0.040,377.896,-244.7747
0.050,377.8755,-243.0159
0.060,377.6854,-242.4084
0.070,377.6538,-240.6819
0.080,377.4726,-240.0928
0.090,377.5149,-238.9472
0.100,377.3814,-238.3978
0.110,377.369,-237.0251
0.120,377.5046,-236.0854
0.130,377.6147,-235.2823
0.140,377.8805,-236.0049
0.150,378.1412,-236.3098
0.160,378.4671,-237.3453
0.170,378.8768,-236.5583
0.180,379.2408,-237.5945
0.190,379.3923,-238.2377
0.200,379.686,-238.1039
0.210,379.8587,-238.1259
0.220,380.106,-237.8387
0.230,380.4143,-238.0965
0.240,380.5606,-237.2467
0.250,380.8252,-236.7819
0.260,380.7662,-235.2669
0.270,380.7278,-233.0297
0.280,380.3593,-230.7893
0.290,380.2119,-228.6003
0.300,379.9996,-226.3617
0.310,379.7736,-224.8508
0.320,379.7114,-224.1446
0.330,379.5726,-224.7604
0.340,379.677,-223.9656
0.350,379.8092,-223.9239
0.360,379.804,-224.9996
0.370,379.8571,-225.1944
0.380,379.9241,-225.1255
0.390,380.0002,-225.0372
0.400,379.9731,-225.5544
0.410,379.9222,-225.3744
0.420,379.8525,-225.328
0.430,379.8427,-224.4993
0.440,379.8557,-224.4119
0.450,379.6635,-223.6413
0.460,379.6591,-222.9051
0.470,379.5867,-222.1056
0.480,379.6478,-221.6368
0.490,379.3975,-220.9107
0.500,379.3107,-220.1438
0.510,379.267,-219.9449
0.520,379.2745,-219.196
0.530,379.2209,-219.14
0.540,379.1488,-218.4696
0.550,379.1973,-218.5904
0.560,379.2139,-218.4621
0.570,379.2508,-218.5642
0.580,379.3088,-218.1776
0.590,379.1561,-218.4429
0.600,379.2412,-217.8129
0.610,379.2248,-217.7634
0.620,379.2781,-218.3343
0.630,379.2683,-217.9885
0.640,379.2679,-217.7065
0.650,379.16,-218.085
0.660,379.2231,-217.4729
0.670,379.1374,-217.3881
0.680,379.0544,-217.9188
0.690,378.8744,-217.5756
0.700,378.9217,-217.5797
0.710,378.7976,-217.8
0.720,378.7388,-217.7276
0.730,378.7631,-218.0305
0.740,378.9125,-219.6224
0.750,378.847,-219.7538
0.760,378.9223,-220.2918
0.770,378.7298,-221.6393
0.780,378.5826,-223.0402
0.790,378.7293,-224.7656
0.800,378.8838,-227.2272
0.810,378.9041,-230.9552
0.820,378.853,-236.2419
0.830,379.1529,-244.2547
0.840,379.8773,-255.8751
0.850,380.9522,-268.5666
0.860,382.1509,-283.4211
0.870,383.1176,-300.352
0.880,384.362,-315.6829
0.890,384.9136,-329.8012
0.900,385.593,-343.4187
0.910,385.6682,-355.4469
0.920,386.2296,-367.5679
0.930,387.2086,-373.2347
0.940,387.5683,-379.8349
0.950,387.6062,-384.7317
0.960,387.791,-389.6013
0.970,388.0865,-394.3965
0.980,388.054,-398.7756
0.990,387.9547,-400.79
1.000,388.0182,-402.7344
1.010,388.0322,-403.4965
1.020,388.1935,-405.3662
1.030,387.9851,-407.2485
1.040,387.9874,-407.9092
1.050,387.9359,-408.9633
1.060,387.726,-409.3177
1.070,387.5181,-409.119
1.080,387.3342,-409.2874
1.090,387.3082,-408.7013
1.100,387.0134,-409.8972
1.110,386.8989,-410.0806
1.120,386.7919,-409.9799
1.130,386.3683,-408.9933
1.140,386.0422,-409.0547
1.150,385.5391,-407.6408
1.160,385.3962,-407.3895
1.170,385.0215,-405.5352
1.180,384.7629,-405.0919
1.190,384.9612,-402.9725
1.200,384.9931,-402.6702
1.210,385.198,-401.5306
1.220,385.3202,-399.0722
1.230,385.5373,-395.4322
1.240,385.7496,-384.553
1.250,385.3523,-367.2926
1.260,384.4789,-348.5403
1.270,382.6183,-329.6387
1.280,380.5596,-309.8583
1.290,378.8582,-290.7835
1.300,376.2271,-273.4397
1.310,374.5676,-258.1157
1.320,373.278,-245.6767
1.330,372.274,-234.2295
1.340,371.3217,-223.6878
1.350,371.1322,-214.4265
1.360,371.2992,-205.4805
1.370,371.2501,-196.239
1.380,371.2072,-187.1308
1.390,371.1116,-178.6021
1.400,371.5509,-170.8595
1.410,371.4927,-161.7152
1.420,371.5443,-153.173
1.430,371.5207,-144.9495
1.440,371.3106,-136.9491
1.450,371.4151,-127.0394
1.460,371.3615,-117.4169
1.470,371.1787,-108.9471
1.480,371.4226,-99.21413
1.490,371.2153,-89.19527
1.500,371.2446,-81.5075
1.510,370.9704,-72.04719
1.520,370.6238,-63.99788
1.530,370.3116,-57.91225
1.540,370.5092,-51.34861
1.550,370.6681,-47.38317
1.560,370.6067,-41.90099
1.570,370.5394,-38.90564
1.580,370.5128,-34.93633
1.590,370.7096,-32.12519
1.600,370.8455,-30.1328
1.610,370.7961,-26.54557
1.620,370.8578,-24.48842
1.630,370.9075,-22.9596
1.640,370.9591,-20.48189
1.650,371.0509,-19.03831
