Timestamp,X-coordinate,Y-coordinate
0.000,-1.449953,22.73052
0.010,-1.614776,21.79486
0.020,-1.90398,20.95388
0.030,-1.941189,20.33389
0.040,-2.417317,19.60055
0.050,-2.511254,18.8495
0.060,-2.90088,17.58097
0.070,-3.565355,16.41885
0.080,-4.267795,14.84321
0.090,-4.859246,13.53115
0.100,-5.463305,12.04721
0.110,-5.757273,10.59426
0.120,-6.357004,9.011987
0.130,-7.085737,6.817848
0.140,-7.855721,5.152398
0.150,-8.960411,2.98499
0.160,-10.11174,1.239747
0.170,-10.59376,-0.2694275
0.180,-11.61777,-1.97844
0.190,-12.063,-3.415375
0.200,-13.21424,-4.937898
0.210,-13.91516,-6.679937
0.220,-14.10576,-7.515397
0.230,-14.65201,-9.673352
0.240,-14.83552,-10.54151
0.250,-15.40865,-11.56194
0.260,-15.99303,-12.40101
0.270,-16.28597,-13.24221
0.280,-16.72638,-14.05101
0.290,-16.81267,-14.87813
0.300,-17.1779,-15.33713
0.310,-17.66315,-16.57511
0.320,-17.80053,-16.65839
0.330,-17.88529,-17.07545
0.340,-17.84986,-17.57472
0.350,-17.86294,-17.74077
0.360,-18.04677,-17.84388
0.370,-18.24666,-18.15678
0.380,-18.28025,-18.4638
0.390,-18.21152,-18.56977
0.400,-18.48974,-18.96406
0.410,-18.58472,-19.44745
0.420,-18.74176,-19.41801
0.430,-19.20577,-19.71585
0.440,-19.3059,-19.98774
0.450,-19.37621,-20.19546
0.460,-19.73376,-20.70028
0.470,-19.9705,-20.89936
0.480,-20.10794,-21.59602
0.490,-20.22697,-21.87235
0.500,-20.58516,-22.09979
0.510,-20.84848,-22.38173
0.520,-21.11763,-22.72472
0.530,-21.32232,-23.00929
0.540,-21.58565,-23.43873
0.550,-21.7137,-23.26291
0.560,-22.1642,-23.30913
0.570,-22.26199,-23.16379
0.580,-22.75621,-23.62824
0.590,-23.26033,-23.80572
0.600,-23.70721,-23.69263
0.610,-24.48273,-24.06887
0.620,-24.98979,-24.15721
0.630,-25.3498,-24.77435
0.640,-25.80256,-24.9802
0.650,-26.39902,-25.88422
0.660,-26.89255,-26.4509
0.670,-27.72769,-26.77702
0.680,-27.69833,-27.78704
0.690,-28.50205,-28.48616
0.700,-29.3757,-29.2794
0.710,-30.00811,-30.06118
0.720,-30.59653,-31.28513
0.730,-31.45542,-32.86009
0.740,-31.80873,-34.01436
0.750,-32.21567,-35.68263
0.760,-32.32266,-37.29005
0.770,-32.20211,-39.24982
0.780,-32.12106,-40.91808
0.790,-32.07036,-42.73138
0.800,-32.00258,-44.09222
0.810,-31.58004,-46.16341
0.820,-31.22368,-47.45718
0.830,-30.70905,-49.3739
0.840,-30.43052,-50.44167
0.850,-30.13036,-51.87697
0.860,-29.40324,-53.08469
0.870,-29.2075,-53.71749
0.880,-28.66185,-54.70614
0.890,-28.35555,-55.9096
0.900,-28.11386,-56.10457
0.910,-27.47431,-57.36012
0.920,-27.60543,-57.48684
0.930,-27.0963,-57.88453
0.940,-26.98243,-58.33581
0.950,-26.87764,-58.64244
0.960,-26.77284,-58.97652
0.970,-26.53515,-59.30936
0.980,-26.32417,-59.48687
0.990,-26.40471,-59.66235
1.000,-26.26821,-59.84032
1.010,-26.26074,-59.90097
1.020,-25.999,-59.72602
1.030,-26.40505,-59.8277
1.040,-26.43968,-60.12672
1.050,-26.17399,-60.39275
1.060,-26.05337,-60.71019
1.070,-26.14168,-60.36338
1.080,-26.30931,-60.47086
1.090,-26.27115,-60.15941
1.100,-26.04324,-60.09052
1.110,-26.09786,-59.83836
1.120,-26.03393,-59.83827
1.130,-26.15147,-59.39576
1.140,-26.22294,-59.34182
1.150,-26.44153,-59.33286
1.160,-26.36751,-59.30429
1.170,-26.01279,-58.53197
1.180,-25.77329,-58.70111
1.190,-25.55277,-58.30289
1.200,-25.58533,-58.07571
1.210,-25.27298,-58.00242
1.220,-25.20418,-57.75708
1.230,-24.9484,-57.297
1.240,-24.78359,-57.33829
1.250,-24.70075,-57.20374
1.260,-24.44702,-56.49189
1.270,-24.41372,-56.65332
1.280,-24.37318,-56.84229
1.290,-23.67745,-56.34311
1.300,-23.60573,-56.27883
1.310,-23.47594,-55.71725
1.320,-23.48518,-55.65889
1.330,-23.59583,-55.55761
1.340,-23.4015,-55.6991
1.350,-23.15262,-55.47311
1.360,-23.29893,-55.31016
1.370,-23.28072,-54.97257
1.380,-23.27346,-54.92648
1.390,-23.06952,-54.81354
1.400,-23.08334,-54.1215
1.410,-23.08301,-53.95029
1.420,-22.74914,-53.50302
1.430,-22.5201,-53.14152
1.440,-22.79731,-52.5704
1.450,-22.63512,-52.32717
1.460,-22.68819,-51.92986
1.470,-22.61433,-51.77813
1.480,-22.47015,-51.48674
1.490,-22.58718,-50.99096
1.500,-22.45016,-50.79138
1.510,-22.02584,-50.25268
1.520,-22.10746,-49.82473
1.530,-22.13202,-49.44523
1.540,-21.97577,-48.91732
1.550,-22.11455,-48.6813
1.560,-22.02178,-48.26768
1.570,-21.90911,-48.15661
1.580,-21.85217,-47.58672
1.590,-22.01675,-47.54672
1.600,-21.77778,-46.91919
1.610,-21.55839,-46.99203
1.620,-21.19247,-46.78162
1.630,-20.82843,-46.61889
1.640,-21.13194,-46.60815
1.650,-21.14406,-46.98988
1.660,-20.92109,-47.21798
1.670,-20.71581,-47.06314
1.680,-20.87606,-47.31553
1.690,-20.88233,-47.40975
1.700,-21.07708,-47.85545
1.710,-21.13495,-47.94799
1.720,-21.43795,-48.03856
1.730,-21.25511,-47.72955
1.740,-21.5143,-47.78907
1.750,-21.56746,-48.08066
1.760,-21.48208,-47.72823
1.770,-21.50435,-47.62356
1.780,-21.42923,-47.28554
1.790,-21.31318,-47.03207
1.800,-21.28231,-46.97453
1.810,-21.24219,-46.73536
1.820,-21.17885,-46.14101
1.830,-21.55969,-46.00325
1.840,-21.473,-45.76728
1.850,-21.79913,-45.28453
1.860,-21.8817,-44.98358
1.870,-21.93073,-44.94842
1.880,-22.14518,-44.75005
1.890,-22.85896,-44.36942
1.900,-22.91949,-44.4264
1.910,-23.06423,-44.50533
1.920,-23.51861,-44.38482
1.930,-23.82978,-44.33021
1.940,-23.95966,-44.20575
1.950,-24.21381,-43.97824
1.960,-24.70007,-43.49071
1.970,-24.89315,-42.7658
1.980,-25.15497,-42.55083
1.990,-25.56656,-41.56734
2.000,-26.07731,-41.34947
2.010,-25.87074,-40.61189
2.020,-26.36319,-39.90519
2.030,-26.15802,-39.41484
2.040,-26.39611,-38.81037
2.050,-26.41103,-38.32047
2.060,-26.23056,-38.07606
2.070,-26.21111,-37.43663
2.080,-26.13461,-36.75352
2.090,-25.89572,-36.31665
2.100,-25.52088,-35.69328
2.110,-25.35763,-35.31976
2.120,-24.73637,-34.44449
2.130,-24.26651,-33.86443
2.140,-23.94287,-33.28124
2.150,-23.56416,-32.75051
2.160,-23.1123,-32.29593
2.170,-22.38695,-31.88453
2.180,-22.03681,-31.70282
2.190,-21.4936,-31.16924
2.200,-20.88698,-30.50714
2.210,-20.0878,-30.06993
2.220,-19.9059,-29.86588
2.230,-19.29224,-29.36162
2.240,-18.38477,-28.77974
2.250,-17.65897,-28.24266
2.260,-17.11269,-27.99365
2.270,-16.53466,-27.84503
2.280,-16.09043,-27.74713
2.290,-15.89612,-27.49721
2.300,-15.50431,-27.77857
2.310,-15.4028,-28.00598
2.320,-15.30268,-27.90902
2.330,-15.14899,-28.3658
2.340,-14.9807,-28.75004
2.350,-15.04593,-29.33143
2.360,-14.93738,-29.71489
2.370,-15.12409,-30.47326
2.380,-14.78045,-30.97985
2.390,-14.33828,-31.48482
2.400,-14.53538,-31.79023
2.410,-14.21513,-32.24105
2.420,-14.15636,-32.32967
2.430,-13.94049,-32.51583
2.440,-13.51665,-32.86386
2.450,-13.21649,-32.81323
2.460,-13.07452,-33.03649
2.470,-12.94118,-33.1518
2.480,-12.80046,-33.38977
2.490,-12.32828,-33.8057
2.500,-12.21595,-33.68325
2.510,-11.83135,-33.83741
2.520,-11.81415,-34.37924
2.530,-11.44731,-34.30021
2.540,-11.28988,-34.68601
2.550,-11.28793,-34.4544
2.560,-10.8496,-34.56483
2.570,-10.46965,-34.27656
2.580,-10.01223,-34.41738
2.590,-10.00928,-34.32525
2.600,-10.08499,-34.61502
2.610,-9.97237,-34.75913
2.620,-9.918891,-34.83003
2.630,-9.786036,-35.22387
2.640,-9.975041,-34.87308
2.650,-9.789919,-35.44356
2.660,-9.931474,-35.88318
2.670,-10.10468,-36.21259
2.680,-9.928637,-36.92715
2.690,-10.05162,-37.55347
2.700,-9.990119,-37.853
2.710,-9.908334,-38.50374
2.720,-9.733146,-39.34663
2.730,-9.919174,-39.79742
2.740,-9.739827,-40.31093
2.750,-9.868141,-40.8217
2.760,-10.12915,-41.1044
2.770,-10.0776,-41.7656
2.780,-10.02772,-42.41545
2.790,-10.1978,-42.92118
2.800,-10.08385,-43.43285
2.810,-10.12779,-43.66132
2.820,-10.13925,-43.69837
