Timestamp,X-coordinate,Y-coordinate
0.000,-373.9071,67.68542
0.010,-373.8644,66.08363
0.020,-374.0216,64.85555
0.030,-373.9792,63.97402
0.040,-374.1006,63.04524
0.050,-374.0184,61.87857
0.060,-373.9712,60.15236
0.070,-374.1114,58.45873
0.080,-374.044,56.4778
0.090,-374.1191,54.63354
0.100,-374.0371,52.78793
0.110,-374.0149,51.02786
0.120,-373.9183,49.55355
0.130,-373.87,46.91887
0.140,-373.9078,45.22314
0.150,-373.8456,42.91019
0.160,-373.9983,40.92678
0.170,-374.033,38.59353
0.180,-374.1198,36.49865
0.190,-373.8742,34.69411
0.200,-373.7902,32.75048
0.210,-373.878,30.32762
0.220,-373.8541,29.08239
0.230,-373.8991,25.82995
0.240,-373.9401,24.42184
0.250,-373.968,23.04557
0.260,-373.9614,22.07236
0.270,-373.9602,20.7929
0.280,-374.0199,20.33082
0.290,-373.9536,19.23256
0.300,-374.0753,18.50214
0.310,-374.0656,16.86309
0.320,-374.1552,16.88163
0.330,-374.1324,16.45275
0.340,-374.1386,16.08499
0.350,-374.1087,15.8324
0.360,-374.032,15.64149
0.370,-373.988,15.31391
0.380,-373.9562,15.04561
0.390,-374.091,14.57886
0.400,-373.9954,14.1079
0.410,-374.0139,13.98711
0.420,-374.0292,13.58898
0.430,-374.0104,13.44713
0.440,-373.9961,12.97401
0.450,-373.9199,12.77558
0.460,-373.8828,12.31302
0.470,-373.7979,11.84946
0.480,-373.7245,11.08762
0.490,-373.683,11.03705
0.500,-373.7031,10.6361
0.510,-373.7645,10.31229
0.520,-373.5464,9.86961
0.530,-373.6671,9.550817
0.540,-373.587,8.977565
0.550,-373.4883,8.833614
0.560,-373.5119,8.646189
0.570,-373.4266,8.615053
0.580,-373.3834,8.030654
0.590,-373.3817,7.916744
0.600,-373.2865,8.058544
0.610,-373.3488,7.463438
0.620,-373.2441,7.201303
0.630,-373.2467,6.345385
0.640,-373.268,6.301411
0.650,-373.4045,5.350144
0.660,-373.303,5.085455
0.670,-373.2737,5.342466
0.680,-373.311,4.428227
0.690,-373.261,3.550975
0.700,-373.2844,3.428651
0.710,-373.2724,3.197266
