Timestamp,X-coordinate,Y-coordinate
0.000,365.6464,50.04257
0.010,365.5637,49.39515
0.020,365.5364,48.50665
0.030,365.487,48.27339
0.040,365.431,47.71888
0.050,365.4583,47.28423
0.060,365.4199,46.85116
0.070,365.4345,46.66476
0.080,365.4366,46.46613
0.090,365.4328,46.17627
0.100,365.415,46.04409
0.110,365.4109,46.11591
0.120,365.3666,45.99129
0.130,365.299,46.18162
0.140,365.1776,45.95053
0.150,365.212,46.26202
0.160,365.1906,46.56269
0.170,365.1697,46.72394
0.180,365.0349,47.39318
0.190,364.8609,48.12935
0.200,364.8284,48.53729
0.210,364.5908,49.53303
0.220,364.4897,50.02429
0.230,364.4862,51.04982
0.240,364.4874,51.40317
0.250,364.4422,52.07257
0.260,364.2752,53.00859
0.270,364.3625,53.59381
0.280,364.1762,54.10018
0.290,364.087,55.00611
0.300,363.9583,55.69954
0.310,364.0991,55.7772
0.320,364.0558,56.92668
0.330,363.9689,57.77765
0.340,363.9737,58.25535
0.350,363.8659,58.99345
0.360,363.8855,60.16475
0.370,363.8424,61.26863
0.380,363.7089,61.62152
0.390,363.7892,62.66125
0.400,363.6604,64.18437
0.410,363.5879,65.57645
0.420,363.5366,67.23512
0.430,363.4659,68.596
0.440,363.3435,69.59232
0.450,363.1774,71.65529
0.460,363.0939,73.0565
0.470,363.0902,74.56989
0.480,362.9261,75.92262
0.490,362.9042,76.53174
0.500,363.0461,77.17701
0.510,362.8744,77.49405
0.520,362.9478,78.09304
0.530,362.8626,78.52663
0.540,362.8282,78.71427
0.550,362.9715,78.4757
0.560,362.9451,78.77118
0.570,363.0623,78.36358
0.580,363.0102,78.33148
0.590,363.0284,78.0643
0.600,363.0823,77.97612
0.610,363.169,77.86869
0.620,363.1284,77.90595
0.630,363.1176,77.73685
0.640,363.2299,77.40643
0.650,363.2535,77.47865
0.660,363.195,77.4298
0.670,363.1868,77.40865
0.680,363.2106,77.01331
0.690,363.3631,76.72512
0.700,363.3711,76.76589
0.710,363.3392,76.72115
0.720,363.4119,76.72865
0.730,363.321,76.40872
0.740,363.3461,76.02477
0.750,363.446,76.13234
0.760,363.4348,75.77836
0.770,363.4046,75.47713
0.780,363.4809,74.61482
0.790,363.4496,74.20331
0.800,363.4429,74.12401
0.810,363.5098,73.55598
0.820,363.5971,73.50372
0.830,363.6228,73.35909
0.840,363.6335,72.99078
0.850,363.6663,72.91227
0.860,363.6954,72.12975
0.870,363.725,72.649
0.880,363.8164,72.41601
0.890,363.8094,72.22246
0.900,363.82,72.18771
0.910,363.7985,72.33679
0.920,363.771,71.96141
0.930,363.8653,72.08434
0.940,363.8545,71.54845
0.950,363.8025,71.73341
0.960,363.9098,71.17783
0.970,363.8912,70.75872
0.980,364.0238,70.32624
0.990,364.01,69.77031
1.000,364.0079,69.16451
1.010,364.073,68.72703
1.020,364.081,67.83876
1.030,364.2001,67.3414
1.040,364.2899,66.64665
1.050,364.164,66.14055
1.060,364.3645,65.71014
1.070,364.2734,65.61981
1.080,364.2246,64.82732
1.090,364.3293,64.66145
1.100,364.3487,64.48551
1.110,364.3182,64.16088
1.120,364.2586,64.00229
1.130,364.3045,63.47842
1.140,364.3195,62.95672
1.150,364.293,62.45089
1.160,364.2853,61.8515
1.170,364.2284,61.62934
1.180,364.3667,61.28263
1.190,364.4038,60.62049
1.200,364.3968,59.79159
1.210,364.3646,59.51471
1.220,364.3664,59.05305
1.230,364.3722,57.95872
1.240,364.4215,57.1995
1.250,364.4761,56.54203
1.260,364.5301,56.19998
1.270,364.5807,55.22728
1.280,364.6566,53.87202
1.290,364.6566,53.64146
1.300,364.8101,52.11563
1.310,364.8925,51.41425
1.320,364.8491,50.77068
1.330,364.958,49.32795
1.340,365.0921,48.93368
1.350,365.19,47.76825
1.360,365.051,47.14984
1.370,365.1866,46.22321
1.380,365.2744,46.10633
1.390,365.2141,45.33326
