Timestamp,X-coordinate,Y-coordinate
0.000,-35.78403,13.88985
0.010,-35.89185,13.93917
0.020,-35.43641,13.60324
0.030,-35.29026,13.16539
0.040,-35.2356,13.40555
0.050,-35.02496,12.83543
0.060,-34.90837,12.56201
0.070,-34.49688,12.14842
0.080,-34.42929,12.52867
0.090,-34.32657,12.14311
0.100,-34.17851,11.93107
0.110,-33.82055,11.59515
0.120,-33.52387,11.59282
0.130,-33.32365,11.52323
0.140,-32.87279,11.54269
0.150,-32.62083,12.04965
0.160,-32.05045,12.42286
0.170,-31.74562,13.07463
0.180,-31.20873,13.29583
0.190,-31.01169,13.79917
0.200,-30.69494,14.21908
0.210,-30.31546,15.00583
0.220,-30.20132,16.00747
0.230,-29.68326,16.52429
0.240,-29.60468,17.21387
0.250,-29.45262,17.57491
0.260,-28.95424,18.16759
0.270,-28.49562,18.67916
0.280,-28.07458,19.91831
0.290,-28.04086,20.26169
0.300,-27.32072,21.0194
0.310,-27.02525,22.04276
0.320,-26.8254,23.02611
0.330,-26.30756,24.05793
0.340,-25.88275,25.19432
0.350,-25.28152,26.81818
0.360,-24.4905,28.31065
0.370,-23.76459,30.21063
0.380,-23.15061,32.31585
0.390,-22.60691,34.61995
0.400,-21.5175,36.87925
0.410,-20.97276,39.65842
0.420,-20.34888,42.02962
0.430,-20.168,43.70521
0.440,-19.56447,45.77259
0.450,-19.06028,47.69338
0.460,-19.09019,49.17629
0.470,-18.82291,50.43742
0.480,-18.48974,51.65363
0.490,-18.55319,52.77602
0.500,-18.34129,54.01702
0.510,-18.10891,55.229
0.520,-17.88471,55.89363
0.530,-17.89871,56.56773
0.540,-17.75127,57.31755
0.550,-17.78304,58.11135
0.560,-17.78911,58.50412
0.570,-17.55851,58.73762
0.580,-17.80606,59.03625
0.590,-17.56188,59.05714
0.600,-17.801,58.87267
0.610,-17.74584,59.17996
0.620,-17.88525,59.08669
0.630,-18.04712,59.24137
0.640,-17.84254,58.97496
0.650,-17.96694,58.823
0.660,-17.99745,58.52327
0.670,-18.02696,58.34481
0.680,-18.26606,57.79174
0.690,-18.41006,57.50601
0.700,-18.4867,57.47148
0.710,-18.43904,57.49159
0.720,-18.64742,57.43104
0.730,-18.70049,56.99715
0.740,-18.77779,56.73149
0.750,-19.05441,56.41072
0.760,-19.32419,56.27254
0.770,-19.20144,56.27102
0.780,-19.12776,56.0747
0.790,-19.2641,55.86667
0.800,-19.33352,55.88991
0.810,-19.34599,55.55298
0.820,-19.63591,55.52688
0.830,-19.4953,55.26287
0.840,-19.35129,55.11255
0.850,-19.67767,55.00454
0.860,-19.60379,54.74665
0.870,-19.49641,54.54818
0.880,-19.6774,54.67516
0.890,-19.68135,54.31034
0.900,-19.60312,54.12837
0.910,-19.92805,54.0057
0.920,-19.72552,53.76498
0.930,-19.46661,53.09199
0.940,-19.4172,52.73008
0.950,-19.10407,52.21451
0.960,-18.88379,51.32525
0.970,-18.64769,50.74735
0.980,-18.65246,50.51718
0.990,-18.52202,50.12772
1.000,-18.5666,50.12372
1.010,-18.67004,50.07625
1.020,-18.51752,50.35222
1.030,-18.64345,50.39083
1.040,-18.38282,50.96205
1.050,-18.27469,52.39714
1.060,-18.78606,54.03957
1.070,-18.81003,55.25231
1.080,-19.15797,57.40231
1.090,-19.84385,59.66524
1.100,-20.77306,61.38303
1.110,-21.3982,63.10892
1.120,-21.77354,63.53541
1.130,-21.82277,64.18982
1.140,-21.93706,64.32899
1.150,-21.6138,64.47625
1.160,-21.51361,64.37558
1.170,-21.41498,63.96095
1.180,-21.05292,62.63596
1.190,-20.70762,62.02569
1.200,-20.61675,60.7013
1.210,-20.21991,58.92492
1.220,-20.00129,57.59058
1.230,-19.97178,55.47849
1.240,-19.7567,53.15863
1.250,-19.86136,50.7754
1.260,-20.28486,49.5448
1.270,-19.98127,48.6058
1.280,-19.74762,47.39582
1.290,-19.86948,47.0764
1.300,-19.73118,46.5105
1.310,-19.33578,45.70021
1.320,-18.97237,44.47395
1.330,-18.46823,42.87923
1.340,-17.81145,40.66565
1.350,-17.59079,39.03454
1.360,-17.0551,37.21857
1.370,-16.45619,36.61151
1.380,-16.67092,36.38923
1.390,-16.66657,37.09158
1.400,-16.65407,38.36571
1.410,-16.28893,40.0867
1.420,-15.95972,42.425
1.430,-16.04444,45.05496
1.440,-16.2611,46.8618
1.450,-16.28115,49.11812
1.460,-16.40953,50.38091
1.470,-16.51117,51.0241
