Timestamp,X-coordinate,Y-coordinate
0.000,366.148,-32.83702
0.010,366.1115,-32.84579
0.020,366.2318,-33.32747
0.030,366.2202,-33.20452
0.040,366.1587,-33.30829
0.050,366.0917,-33.49903
0.060,365.9879,-33.85157
0.070,365.9901,-34.11136
0.080,366.006,-33.81541
0.090,366.0034,-34.26834
0.100,365.9575,-34.5565
0.110,365.8984,-34.38271
0.120,365.8874,-34.15785
0.130,365.8495,-34.15444
0.140,365.6816,-34.13956
0.150,365.6279,-33.22536
0.160,365.6146,-32.71421
0.170,365.421,-32.23391
0.180,365.5273,-32.15873
0.190,365.5526,-31.80844
0.200,365.412,-31.5615
0.210,365.3642,-31.37013
0.220,365.4403,-30.42873
0.230,365.3517,-30.16173
0.240,365.3888,-30.20805
0.250,365.3571,-30.12148
0.260,365.3936,-29.87681
0.270,365.4039,-29.51706
0.280,365.2701,-28.84382
0.290,365.2442,-28.52041
0.300,365.2477,-28.01254
0.310,365.3242,-27.1892
0.320,365.3515,-26.58587
0.330,365.2167,-25.0058
0.340,365.1988,-23.49356
0.350,365.2283,-21.06765
0.360,365.2617,-18.57636
0.370,365.0536,-15.11568
0.380,365.0525,-11.04811
0.390,364.8022,-6.641323
0.400,364.5357,-2.263731
0.410,364.3291,2.186721
0.420,364.2197,6.638641
0.430,363.9812,9.92752
0.440,364.0119,13.95752
0.450,363.9602,17.36219
0.460,363.7864,20.51142
0.470,363.7572,23.02828
0.480,363.6948,25.42812
0.490,363.4884,27.61573
0.500,363.4226,30.01342
0.510,363.3925,32.03514
0.520,363.493,34.01902
0.530,363.2797,35.07029
0.540,363.5021,36.72763
0.550,363.5622,38.24339
0.560,363.6322,39.29812
0.570,363.6007,39.91066
0.580,363.6644,40.68364
0.590,363.7289,40.69394
0.600,363.6837,40.78571
0.610,363.7485,41.47087
0.620,363.7159,41.26494
0.630,363.8324,41.6322
0.640,363.8333,41.29926
0.650,363.8755,41.0788
0.660,363.9453,40.94038
0.670,364.0028,40.79891
0.680,363.999,40.49916
0.690,364.0599,40.38206
0.700,364.1236,40.47432
0.710,364.1934,40.07217
0.720,364.2023,40.07037
0.730,364.1993,39.70235
0.740,364.281,39.44551
0.750,364.179,38.91596
0.760,364.248,38.55553
0.770,364.2212,38.68548
0.780,364.3087,38.71064
0.790,364.3296,38.36047
0.800,364.3661,38.00399
0.810,364.3372,37.71914
0.820,364.2441,37.45871
0.830,364.1259,37.01007
0.840,364.2566,36.70081
0.850,364.3505,36.5675
0.860,364.2254,36.37584
0.870,364.2969,35.77871
0.880,364.2883,35.59634
0.890,364.3368,35.033
0.900,364.3654,34.50846
0.910,364.2749,34.46667
0.920,364.3544,33.89555
0.930,364.4389,32.75351
0.940,364.3471,32.22676
0.950,364.4024,31.37754
0.960,364.3977,30.2957
0.970,364.4491,29.45388
0.980,364.4342,28.55604
0.990,364.3889,28.11048
1.000,364.4341,27.90422
1.010,364.3989,27.76445
1.020,364.4018,27.75114
1.030,364.4863,27.81524
1.040,364.5373,27.56398
1.050,364.7943,28.39681
1.060,364.8283,29.2539
1.070,364.9695,29.88034
1.080,365.2775,31.50513
1.090,365.3251,33.74623
1.100,365.5445,35.04198
1.110,365.6107,36.31047
1.120,365.8076,36.54443
1.130,365.9758,36.83067
1.140,366.0334,37.11092
1.150,366.0976,36.82595
1.160,366.1406,36.7151
1.170,366.1693,35.84407
1.180,366.2336,34.34956
1.190,366.3745,33.47005
1.200,366.5083,31.97863
1.210,366.4256,29.61232
1.220,366.3581,28.45886
1.230,366.2464,26.32148
1.240,366.161,23.82976
1.250,366.0613,22.22236
1.260,365.8888,21.41611
1.270,365.8949,20.64108
1.280,365.8507,19.46375
1.290,365.7957,19.19204
1.300,365.7859,18.48013
1.310,365.6739,17.67634
1.320,365.7972,16.45231
1.330,365.6388,14.66833
1.340,365.5572,12.38715
1.350,365.6188,10.32906
1.360,365.672,7.76996
1.370,365.6993,6.818939
1.380,365.671,6.646263
1.390,365.6486,7.069569
1.400,365.441,8.005308
1.410,365.3663,9.120902
1.420,365.395,10.09233
1.430,365.4285,12.00477
1.440,365.4694,13.19127
1.450,365.4542,14.48141
1.460,365.3903,15.3743
1.470,365.5056,15.09902
1.480,365.558,15.29522
1.490,365.5798,14.41984
1.500,365.6041,13.51153
1.510,365.6199,12.75605
1.520,365.7393,11.26409
1.530,365.9144,9.389006
1.540,365.9538,8.190917
1.550,366.0126,6.130439
1.560,365.9415,3.828583
1.570,365.9834,2.1807
1.580,366.039,0.4804911
1.590,366.096,-1.056635
1.600,366.0966,-2.171061
1.610,366.0782,-3.164764
1.620,366.0686,-3.640461
1.630,366.03,-4.711287
1.640,366.1171,-6.165382
1.650,366.1607,-7.009393
1.660,366.2042,-7.60423
1.670,366.1628,-7.847349
1.680,366.1687,-8.15624
1.690,366.2292,-9.484679
1.700,366.342,-9.490299
1.710,366.392,-10.82047
1.720,366.5266,-11.52096
1.730,366.2673,-12.07715
1.740,366.2895,-13.43132
1.750,366.203,-15.09846
1.760,366.3294,-15.62646
1.770,366.2566,-16.32637
1.780,366.3671,-17.0071
1.790,366.1925,-17.45541
1.800,366.2724,-18.09584
1.810,366.2412,-18.90503
1.820,366.2492,-19.58112
1.830,366.3185,-20.13583
1.840,366.2513,-19.95504
1.850,366.284,-20.55902
1.860,366.2857,-20.63321
1.870,366.2512,-21.20118
1.880,366.2478,-21.80358
1.890,366.3133,-21.86569
1.900,366.2177,-22.82922
1.910,366.2682,-23.40216
1.920,366.3485,-23.3982
1.930,366.2275,-23.94337
1.940,366.216,-24.88185
1.950,366.2783,-25.38629
1.960,366.1839,-25.60101
1.970,366.1145,-26.04866
1.980,366.1375,-26.76978
1.990,366.1782,-26.7317
2.000,366.1723,-26.80453
2.010,366.0626,-27.16224
2.020,366.1763,-27.29559
2.030,366.0973,-27.1033
2.040,366.0699,-27.12545
2.050,366.0596,-27.20784
2.060,366.097,-27.64426
2.070,366.1151,-27.6471
2.080,366.0076,-27.69182
2.090,365.9508,-27.65447
2.100,366.0872,-27.88044
2.110,365.9813,-27.92057
2.120,366.0137,-27.49701
