Timestamp,X-coordinate,Y-coordinate
0.000,-381.2121,152.4547
0.010,-381.1023,154.3603
0.020,-380.9954,155.7526
0.030,-380.9248,157.2027
0.040,-380.9239,158.1582
0.050,-380.8623,158.7705
0.060,-380.5994,160.1218
0.070,-380.5716,160.7623
0.080,-380.3184,161.3136
0.090,-380.508,161.9891
0.100,-380.2928,162.5709
0.110,-380.2623,163.3165
0.120,-380.0521,163.7972
0.130,-380.002,164.0498
0.140,-380.018,164.5598
0.150,-379.9947,164.3198
0.160,-379.9926,164.6315
0.170,-379.8755,165.0807
0.180,-379.874,165.0227
0.190,-379.8718,165.0356
0.200,-379.8081,164.9652
0.210,-379.6894,165.1707
0.220,-379.6603,164.7607
0.230,-379.6526,164.0557
0.240,-379.6701,162.7902
0.250,-379.5965,162.5127
0.260,-379.4883,161.9356
0.270,-379.5026,160.4891
0.280,-379.3092,159.3145
0.290,-379.2265,158.3022
0.300,-379.1826,157.0353
0.310,-379.0901,155.586
0.320,-379.2408,154.2207
0.330,-379.1984,152.8585
0.340,-379.1015,150.8171
0.350,-379.0899,149.9992
0.360,-378.9728,147.8165
0.370,-378.9928,145.684
0.380,-378.8742,144.0189
0.390,-378.8634,142.3192
0.400,-378.7335,140.7911
0.410,-378.8834,138.5725
0.420,-378.9958,136.2823
0.430,-378.879,134.3663
0.440,-378.9097,132.8835
0.450,-378.9934,131.1535
0.460,-379.149,129.4053
0.470,-379.0936,127.6891
0.480,-379.1323,126.384
0.490,-379.23,124.2738
0.500,-379.1882,122.5251
0.510,-379.2511,121.5102
0.520,-379.3613,119.6656
0.530,-379.2703,117.6307
0.540,-379.3709,115.9506
0.550,-379.3868,113.6925
0.560,-379.5236,111.2247
0.570,-379.3149,108.9212
0.580,-379.4499,106.3586
0.590,-379.4437,104.4152
0.600,-379.4211,102.1889
0.610,-379.5703,99.87061
0.620,-379.5014,98.4866
0.630,-379.4533,96.47523
0.640,-379.323,94.1628
0.650,-379.2712,92.83163
0.660,-379.3776,91.19767
0.670,-379.2996,90.12947
0.680,-379.2053,87.46145
0.690,-379.234,85.33672
0.700,-379.2066,83.794
0.710,-379.166,81.37081
0.720,-379.0888,78.36606
0.730,-378.8614,75.74757
0.740,-378.8056,73.46222
0.750,-378.7234,70.69006
0.760,-378.7698,67.7442
0.770,-378.7883,65.12013
0.780,-378.5928,63.32126
0.790,-378.5131,61.04732
0.800,-378.5929,59.44994
0.810,-378.5516,57.20064
0.820,-378.4466,55.64825
0.830,-378.3441,53.73724
0.840,-378.3531,52.01879
0.850,-378.2544,50.23963
0.860,-378.2955,49.9994
0.870,-378.2277,48.3785
0.880,-378.1451,47.35244
0.890,-377.8681,46.39952
0.900,-376.8037,45.99499
0.910,-375.5649,46.86329
0.920,-373.5689,48.48967
0.930,-370.2721,49.73657
0.940,-367.1484,51.55091
0.950,-364.0974,53.42804
0.960,-360.6999,55.03135
0.970,-358.0149,56.25329
0.980,-355.7578,58.51333
0.990,-353.7566,59.869
1.000,-351.8655,59.44727
1.010,-350.1687,61.89951
1.020,-348.6201,64.17998
1.030,-347.2543,64.77517
1.040,-345.7294,65.56487
1.050,-344.3443,66.64347
1.060,-342.777,67.2606
1.070,-341.4795,68.75748
1.080,-340.267,68.10153
1.090,-338.806,68.54875
1.100,-337.6976,69.98659
1.110,-336.2352,69.36154
1.120,-335.111,69.65022
1.130,-333.7342,68.60487
1.140,-332.1962,68.24057
1.150,-330.8746,68.54116
1.160,-329.3798,69.39635
1.170,-328.0003,69.87721
1.180,-326.5593,69.83121
1.190,-325.295,69.64046
1.200,-323.9196,69.32769
1.210,-322.5654,69.44579
1.220,-321.637,68.58636
1.230,-320.6643,67.78691
1.240,-319.8103,66.75919
1.250,-319.0661,66.49754
1.260,-318.001,65.76822
1.270,-317.0817,65.29482
1.280,-316.8154,64.22427
1.290,-316.0624,62.81853
1.300,-315.4964,62.2252
1.310,-314.7919,60.95428
1.320,-314.1019,60.66042
1.330,-313.4283,59.65912
1.340,-313.0063,59.00251
1.350,-312.518,57.99476
1.360,-312.1619,55.66122
1.370,-312.2263,53.09042
1.380,-311.5195,49.11537
1.390,-311.0116,43.42254
1.400,-310.3486,38.60478
1.410,-310.0283,31.60511
1.420,-310.0229,23.91831
1.430,-309.4587,18.1274
1.440,-309.1629,13.19115
1.450,-309.1346,10.23998
1.460,-308.5543,6.663456
1.470,-308.067,3.946475
1.480,-307.8851,1.9762
1.490,-307.1093,1.16634
1.500,-306.809,0.6323575
1.510,-306.0177,0.1077697
1.520,-305.1577,0.3120451
1.530,-304.8424,2.81091
1.540,-304.4731,2.372767
1.550,-303.9123,3.101163
1.560,-303.8559,3.521265
1.570,-303.9566,3.21583
1.580,-304.0389,3.578292
1.590,-304.4615,2.117106
1.600,-304.3332,0.296114
1.610,-304.9175,-2.872739
1.620,-305.268,-3.586384
1.630,-305.548,-4.261809
1.640,-305.8542,-5.218393
1.650,-305.889,-6.175034
1.660,-305.9004,-6.98947
1.670,-305.9706,-7.399442
1.680,-305.8364,-7.815401
1.690,-306.0617,-8.3689
1.700,-305.9471,-10.3954
1.710,-305.8049,-11.86505
1.720,-305.8639,-14.10784
1.730,-305.7654,-16.09461
1.740,-305.8221,-17.44923
1.750,-305.7333,-18.4546
1.760,-305.8662,-18.57328
1.770,-305.8947,-18.81855
1.780,-305.841,-18.98621
1.790,-305.7938,-18.94177
1.800,-306.0305,-17.37589
1.810,-305.8815,-16.12917
1.820,-306.0054,-14.53658
1.830,-306.1414,-14.09333
1.840,-306.7346,-12.28419
1.850,-307.4684,-10.41231
1.860,-308.9181,-9.478398
1.870,-311.2912,-5.704894
1.880,-313.4141,-3.760973
1.890,-318.1135,-5.972876
1.900,-324.3585,-8.290232
1.910,-330.7337,-9.234881
1.920,-337.2039,-6.243957
1.930,-342.5872,-0.6275787
1.940,-346.9106,1.751631
1.950,-350.599,6.413476
1.960,-353.8433,11.23725
1.970,-356.2656,14.90038
1.980,-358.0641,19.25162
1.990,-359.2284,25.02423
2.000,-360.3464,27.87903
2.010,-361.2646,32.76919
2.020,-362.1988,37.39173
2.030,-362.6266,41.66212
2.040,-363.0486,46.20696
2.050,-363.5129,49.36073
2.060,-364.1419,52.22748
2.070,-364.4167,54.57122
2.080,-364.7319,56.70437
2.090,-365.2032,57.53785
2.100,-365.4967,58.70263
2.110,-365.7284,59.82084
2.120,-366.0913,60.22514
2.130,-366.33,60.29374
2.140,-366.561,60.15517
2.150,-366.6967,59.972
2.160,-366.7753,59.88973
2.170,-366.9049,59.3149
2.180,-367.3033,58.7354
2.190,-367.4399,58.37169
2.200,-367.6947,57.36599
2.210,-367.7959,56.80037
2.220,-367.8398,56.07972
2.230,-367.904,56.07972
2.240,-367.9768,55.57704
2.250,-368.1992,55.35277
2.260,-368.3507,54.79164
2.270,-368.4444,54.50423
2.280,-368.5465,53.9159
2.290,-368.6826,53.15124
2.300,-368.9593,52.73785
2.310,-369.1128,51.09187
2.320,-369.2533,50.38437
2.330,-369.3273,49.51979
2.340,-369.4373,48.89225
2.350,-369.6978,47.9478
2.360,-369.7863,46.83093
2.370,-370.0139,46.12029
2.380,-370.1136,45.10611
2.390,-370.247,44.05302
2.400,-370.1679,43.29758
2.410,-370.3931,42.10709
2.420,-370.5945,41.05262
2.430,-370.8845,39.26609
2.440,-370.995,38.60039
2.450,-371.1628,37.54335
2.460,-371.3785,37.22694
2.470,-371.4677,36.84843
2.480,-371.7677,36.08113
2.490,-371.8326,35.76991
2.500,-371.8979,35.56404
2.510,-372.0763,35.24778
2.520,-372.1562,35.26102
2.530,-372.4388,35.51841
2.540,-372.4814,35.49842
2.550,-372.4637,35.6815
2.560,-372.5297,35.69601
2.570,-372.571,35.89994
2.580,-372.6898,36.11079
2.590,-372.7414,36.18001
2.600,-372.7369,36.13235
2.610,-372.7646,36.25559
2.620,-372.7028,36.2715
2.630,-372.754,36.20281
2.640,-372.6284,36.00402
2.650,-372.6086,36.10738
2.660,-372.7039,36.42381
2.670,-372.6604,36.22393
2.680,-372.6447,36.16566
2.690,-372.7023,36.27266
2.700,-372.6266,35.87627
2.710,-372.5299,35.59556
2.720,-372.5417,35.50647
2.730,-372.3708,35.46254
2.740,-372.3881,35.05891
2.750,-372.4356,34.89829
2.760,-372.4105,34.95698
2.770,-372.2993,34.81668
2.780,-372.2113,34.38295
2.790,-372.174,34.62189
2.800,-372.1754,34.36194
2.810,-372.1596,33.95324
2.820,-372.0273,33.63675
2.830,-372.0428,32.96147
2.840,-372.0732,32.34815
2.850,-371.9782,32.11623
2.860,-371.9822,31.39526
2.870,-371.8779,29.91175
2.880,-371.9229,29.33859
2.890,-371.7469,27.84488
2.900,-371.5358,26.74065
2.910,-371.4077,25.43874
2.920,-371.3504,23.96857
2.930,-371.424,22.23886
2.940,-371.4911,20.4974
2.950,-371.3163,20.369
2.960,-371.2759,18.72747
2.970,-371.4325,18.53061
2.980,-371.3997,17.1989
2.990,-371.3974,16.18608
3.000,-371.507,15.19199
3.010,-371.5256,14.21269
3.020,-371.6125,13.07926
3.030,-371.6789,11.68795
3.040,-371.6563,10.7405
3.050,-371.7957,9.745501
3.060,-371.8449,8.721344
3.070,-371.8482,8.154334
3.080,-372.0761,7.204239
3.090,-372.1532,6.113091
3.100,-372.1687,4.576464
3.110,-372.1977,3.136639
3.120,-372.4245,2.043972
3.130,-372.4482,0.4666487
3.140,-372.583,-1.819375
3.150,-372.7617,-3.052688
3.160,-372.9268,-4.585969
3.170,-372.8904,-6.533047
3.180,-372.9561,-7.885786
3.190,-373.0967,-10.25329
3.200,-373.2588,-12.32245
3.210,-373.4596,-13.86362
3.220,-373.575,-16.08035
3.230,-373.8417,-17.79074
3.240,-374.0292,-20.03507
3.250,-374.0774,-21.38034
3.260,-374.3635,-22.65012
3.270,-374.5319,-23.45445
