Timestamp,X-coordinate,Y-coordinate
0.000,-356.7378,72.7946
0.010,-356.6697,72.95774
0.020,-356.6483,73.10411
0.030,-356.7006,73.91965
0.040,-356.7954,73.60009
0.050,-356.8044,74.38058
0.060,-356.7764,74.38499
0.070,-356.8781,73.85007
0.080,-356.7364,74.46748
0.090,-356.8568,74.26323
0.100,-356.8727,74.06413
0.110,-356.7765,73.60384
0.120,-356.8247,74.07462
0.130,-356.8513,74.23505
0.140,-356.9211,73.93542
0.150,-356.8795,74.04086
0.160,-356.8755,74.12725
0.170,-356.9397,73.8488
0.180,-356.9249,73.35188
0.190,-356.9195,73.64726
0.200,-356.9262,73.21084
0.210,-356.8178,73.48386
0.220,-356.8716,73.42991
0.230,-356.8822,73.06318
0.240,-356.8782,73.03619
0.250,-356.8437,72.90485
0.260,-356.8344,72.95618
0.270,-356.8394,72.3298
0.280,-356.8076,72.46172
0.290,-356.9196,72.25487
0.300,-356.8931,71.65327
0.310,-356.8357,71.39818
0.320,-356.8131,71.63955
0.330,-356.7933,71.55235
0.340,-356.8918,71.16693
0.350,-356.8144,71.37363
0.360,-356.8922,70.74755
0.370,-356.8906,71.10441
0.380,-356.996,70.55353
0.390,-356.9626,70.36596
0.400,-357.0123,69.95119
0.410,-356.8948,69.95965
0.420,-356.8976,69.40624
0.430,-356.9362,69.59599
0.440,-356.911,69.41025
0.450,-356.9497,69.25846
0.460,-356.9644,68.57677
0.470,-356.9831,68.44563
0.480,-356.9696,68.32178
0.490,-356.975,67.89667
0.500,-357.0084,68.21467
0.510,-356.9322,67.70292
0.520,-356.9952,67.34161
0.530,-357.0193,67.50678
0.540,-357.0017,67.41515
0.550,-357.0994,67.13277
0.560,-357.0338,67.16727
0.570,-357.0431,67.24689
0.580,-357.0004,67.79199
0.590,-356.9832,67.5685
0.600,-356.935,67.49464
0.610,-356.9967,67.84261
0.620,-356.9349,67.79407
0.630,-356.9337,67.572
0.640,-356.9818,67.48558
0.650,-356.9911,67.36925
0.660,-356.9564,67.67297
0.670,-356.9685,67.56734
0.680,-356.9577,67.55662
0.690,-356.9015,67.62559
0.700,-356.8723,67.30865
0.710,-357.0353,67.24992
0.720,-357.0352,67.16392
0.730,-357.0152,67.35361
0.740,-356.9725,67.33136
0.750,-356.9984,67.21621
0.760,-357.1033,66.87705
0.770,-356.9846,67.07254
0.780,-356.998,67.4938
0.790,-357.0646,67.24337
0.800,-356.9218,67.28383
0.810,-356.9964,67.16553
0.820,-356.9326,67.45378
0.830,-357.0099,67.21362
0.840,-357.0553,67.09157
0.850,-357.11,67.17363
0.860,-357.018,67.03804
0.870,-357.0511,67.43741
0.880,-357.0552,67.13365
0.890,-356.9926,67.46191
0.900,-356.9713,67.1303
0.910,-357.0284,67.4005
0.920,-357.0351,67.18356
0.930,-356.9177,67.60983
0.940,-357.0031,67.71877
0.950,-356.9539,67.82658
0.960,-357.0203,68.31451
0.970,-357.0018,68.10542
0.980,-357.0511,68.31396
0.990,-357.0537,68.46945
1.000,-356.9898,68.65961
1.010,-357.0432,68.83044
1.020,-356.935,69.17277
1.030,-357.1348,69.43475
1.040,-357.0562,69.78442
1.050,-356.9909,69.89536
1.060,-356.8334,70.39563
1.070,-356.9415,70.327
1.080,-356.8907,71.18766
1.090,-356.9227,71.26517
1.100,-356.8838,72.77631
1.110,-356.7834,72.83145
1.120,-356.8424,73.43707
1.130,-356.7086,73.87516
1.140,-356.6083,74.90404
1.150,-356.5832,76.01549
1.160,-356.5231,76.83967
1.170,-356.373,77.77023
1.180,-356.4096,79.00753
1.190,-356.2979,80.22108
1.200,-356.3073,81.33432
1.210,-356.2602,81.64362
1.220,-356.2552,82.67078
1.230,-356.2466,83.33797
1.240,-356.2144,84.12926
1.250,-356.2556,84.69464
1.260,-356.2375,84.7721
1.270,-356.238,85.27136
1.280,-356.3278,85.77542
1.290,-356.3842,85.62663
1.300,-356.3615,86.27898
1.310,-356.3794,86.48395
1.320,-356.3743,86.73048
1.330,-356.3477,87.08241
1.340,-356.3727,87.18912
1.350,-356.3701,87.46705
1.360,-356.4144,88.12881
1.370,-356.3689,87.75529
1.380,-356.4184,87.77676
1.390,-356.4118,88.41725
1.400,-356.4213,88.27869
1.410,-356.4323,88.12939
1.420,-356.3875,88.7056
1.430,-356.4521,88.47089
1.440,-356.4682,88.09732
1.450,-356.3792,88.13001
1.460,-356.4185,88.0454
1.470,-356.5034,88.17284
1.480,-356.4465,88.40731
