Timestamp,X-coordinate,Y-coordinate
0.000,-9.484657,39.45119
0.010,-9.457365,39.47407
0.020,-9.408957,40.37075
0.030,-9.228728,40.56924
0.040,-8.906463,41.10597
0.050,-8.825002,41.60151
0.060,-8.900719,41.95554
0.070,-8.637479,42.04101
0.080,-8.784538,42.71196
0.090,-8.924316,42.55963
0.100,-8.754045,42.74701
0.110,-8.520867,43.2656
0.120,-8.191432,43.80482
0.130,-8.399574,44.5619
0.140,-8.369414,44.65683
0.150,-8.30898,45.06321
0.160,-8.138095,45.37727
0.170,-7.998506,45.62876
0.180,-7.915305,46.03349
0.190,-7.922264,46.21381
0.200,-7.907302,46.49201
0.210,-7.932131,46.74839
0.220,-8.118272,46.793
0.230,-7.795236,47.17683
0.240,-8.12817,47.20068
0.250,-8.055318,47.25375
0.260,-8.032251,47.65854
0.270,-8.053932,47.99202
0.280,-8.253862,47.95264
0.290,-8.274844,48.23023
0.300,-8.491302,48.0554
0.310,-8.296288,48.4831
0.320,-8.463262,48.63907
0.330,-8.531696,48.82908
0.340,-8.627742,48.56148
0.350,-8.429431,48.94374
0.360,-8.656148,48.92383
0.370,-8.665981,49.44958
0.380,-8.808625,49.25325
0.390,-8.950849,49.14286
0.400,-8.838537,49.90489
0.410,-8.774066,49.8317
0.420,-8.991034,50.08081
0.430,-8.93255,49.85288
0.440,-9.144192,50.02699
0.450,-8.921494,50.23172
0.460,-9.043269,50.50918
0.470,-9.163815,50.61575
0.480,-9.18044,50.48948
0.490,-9.040432,50.62691
0.500,-9.036631,50.67056
0.510,-9.139328,50.58311
0.520,-9.028687,50.76586
0.530,-9.18927,50.77889
0.540,-9.088662,50.80842
0.550,-9.233317,50.89742
0.560,-9.286431,51.00368
0.570,-9.211947,51.08702
0.580,-9.298166,51.05521
0.590,-9.238194,51.29532
0.600,-9.200043,51.18013
0.610,-9.519591,51.28196
0.620,-9.288754,51.48043
0.630,-9.557104,51.58331
0.640,-9.312426,51.51734
0.650,-9.32207,51.52877
0.660,-9.407102,51.70309
0.670,-9.669353,51.85664
0.680,-9.382301,51.73921
0.690,-9.499339,51.67887
0.700,-9.403026,52.36757
0.710,-9.694778,52.48684
0.720,-9.641238,52.48818
0.730,-9.850873,52.65199
0.740,-9.80873,52.48696
0.750,-9.799854,52.66842
0.760,-10.02722,52.60592
0.770,-9.715795,52.63221
0.780,-9.598772,52.65344
0.790,-9.761791,53.03908
0.800,-9.66571,52.94711
0.810,-9.838667,52.85957
0.820,-9.786488,52.89061
0.830,-9.928475,53.20942
0.840,-9.64955,53.22516
0.850,-9.629152,53.24172
0.860,-9.624095,53.19918
0.870,-10.05174,53.34639
0.880,-9.823159,53.25733
0.890,-9.792073,53.07261
0.900,-9.930606,53.05873
0.910,-9.89769,53.59914
0.920,-9.866106,53.40929
0.930,-9.805959,53.16611
0.940,-10.15055,53.1498
0.950,-10.10989,53.33873
0.960,-9.991895,53.25411
0.970,-10.23727,53.10901
0.980,-9.916144,53.05454
0.990,-10.1282,53.38166
1.000,-10.12162,53.36968
1.010,-10.10097,53.33738
1.020,-10.09119,53.22673
1.030,-10.13332,53.20102
1.040,-9.812294,53.33493
1.050,-10.14206,53.39256
1.060,-9.914978,53.49513
1.070,-10.11488,53.17756
1.080,-10.34177,53.04391
1.090,-10.06265,53.33889
1.100,-10.18764,53.19445
1.110,-10.07195,53.17051
1.120,-10.26628,53.304
1.130,-10.18065,53.40035
1.140,-10.44202,53.18622
1.150,-10.41088,53.05787
1.160,-10.42209,53.19242
1.170,-10.46896,52.93123
1.180,-10.4945,53.13087
1.190,-10.75554,52.94778
1.200,-10.8102,52.94218
1.210,-10.70206,52.76517
1.220,-10.66773,52.82658
1.230,-10.93052,52.55477
1.240,-10.60887,52.53312
1.250,-10.72173,52.20779
1.260,-10.93242,52.33067
1.270,-10.94938,52.34083
1.280,-10.79812,52.10516
1.290,-10.76468,52.11064
1.300,-11.03338,51.8354
1.310,-11.40297,51.85717
1.320,-11.03141,51.74437
1.330,-11.12555,51.78976
1.340,-11.07394,51.61543
1.350,-11.39457,51.42292
1.360,-11.2663,51.12623
1.370,-11.44342,51.13804
1.380,-11.27532,50.76933
1.390,-11.23331,50.62896
1.400,-11.10411,50.97841
1.410,-11.3348,50.59215
1.420,-11.39891,50.49606
1.430,-11.48369,50.48883
1.440,-11.45771,50.52177
1.450,-11.39495,50.15083
1.460,-11.50803,50.29293
1.470,-11.49146,50.34436
1.480,-11.64009,50.08004
1.490,-11.48973,50.1204
1.500,-11.4494,49.82734
1.510,-11.75598,49.63555
1.520,-11.6418,49.65816
1.530,-11.37484,49.55888
1.540,-11.77716,49.48462
1.550,-11.47808,49.17977
1.560,-11.65868,49.25312
1.570,-11.58938,48.65588
1.580,-11.66296,49.03358
1.590,-11.23757,48.5494
1.600,-11.30355,48.64022
1.610,-11.4415,48.55708
1.620,-11.26972,48.87178
1.630,-11.45179,48.36766
1.640,-11.27455,48.54467
1.650,-11.18565,48.44026
1.660,-11.17282,48.01086
1.670,-11.17418,47.86474
1.680,-10.93204,47.64531
1.690,-10.97219,47.29612
1.700,-10.7948,47.57655
1.710,-10.85053,46.96652
