Timestamp,X-coordinate,Y-coordinate
0.000,350.789,38.40918
0.010,350.9794,38.47364
0.020,350.9856,38.76409
0.030,351.0297,38.78883
0.040,351.0222,38.89387
0.050,350.977,39.03677
0.060,351.0462,39.04593
0.070,351.0244,39.4395
0.080,351.0972,39.78143
0.090,351.0069,39.93509
0.100,351.0881,40.25753
0.110,351.0745,40.68364
0.120,351.1166,40.65196
0.130,351.0631,40.59318
0.140,351.1088,41.30604
0.150,351.1552,41.70322
0.160,351.1669,41.53504
0.170,351.213,41.98009
0.180,351.162,42.55023
0.190,351.3978,43.02753
0.200,351.3417,43.1345
0.210,351.3786,43.91604
0.220,351.3374,44.24896
0.230,351.3785,44.06758
0.240,351.3665,44.62158
0.250,351.3634,45.02019
0.260,351.3513,45.63672
0.270,351.4318,46.49292
0.280,351.4974,47.5792
0.290,351.5183,48.39338
0.300,351.4642,49.28894
0.310,351.4859,50.32587
0.320,351.5205,51.23885
0.330,351.4957,53.03349
0.340,351.4058,54.34269
0.350,351.4343,55.32531
0.360,351.4846,55.97891
0.370,351.5091,57.04979
0.380,351.4749,57.28951
0.390,351.4968,58.10894
0.400,351.425,58.27886
0.410,351.4056,58.53644
0.420,351.4254,58.93405
0.430,351.4013,59.57892
0.440,351.4469,59.35167
0.450,351.4413,59.88635
0.460,351.5028,60.12409
0.470,351.418,59.79993
0.480,351.4323,60.34545
0.490,351.4233,60.28128
0.500,351.4441,60.31638
0.510,351.3649,59.87645
0.520,351.341,60.13067
0.530,351.3485,60.04608
0.540,351.2516,60.82983
0.550,351.2876,60.77241
0.560,351.2395,60.74002
0.570,351.2915,60.60784
0.580,351.2394,60.70787
0.590,351.3055,61.65051
0.600,351.2643,61.348
0.610,351.3184,61.95139
0.620,351.2168,61.46965
0.630,351.3867,61.87246
0.640,351.2728,62.43476
0.650,351.2694,63.30314
0.660,351.3582,64.5422
0.670,351.2393,65.52111
0.680,351.2026,66.46045
0.690,351.1664,67.80733
0.700,351.0624,69.01144
0.710,351.1228,70.19826
0.720,351.0812,70.41951
0.730,351.0345,71.15666
0.740,350.9979,72.38409
0.750,350.948,73.57038
0.760,350.8461,73.78519
0.770,350.7129,74.35152
0.780,350.7741,74.71433
0.790,350.7597,74.83884
0.800,350.6964,75.42696
0.810,350.6732,76.05479
0.820,350.6297,75.91396
0.830,350.7038,75.92774
0.840,350.7167,75.96722
0.850,350.6595,76.3174
0.860,350.7366,76.58224
0.870,350.6916,76.50919
0.880,350.6912,76.81066
0.890,350.6632,76.5541
0.900,350.6621,76.99735
0.910,350.5483,76.95432
0.920,350.4928,76.838
0.930,350.4276,77.09427
0.940,350.3513,76.98754
0.950,350.3463,77.07138
0.960,350.3262,76.74246
0.970,350.319,77.11343
0.980,350.182,76.51794
0.990,350.0883,76.58437
1.000,349.9904,76.20035
1.010,350.0167,75.96008
1.020,349.8855,75.34735
1.030,349.9881,75.14332
1.040,349.9989,75.12744
1.050,350.0282,74.19893
1.060,349.9937,74.34013
1.070,350.0872,73.79179
1.080,350.2006,73.02462
1.090,350.2113,72.1871
