Timestamp,X-coordinate,Y-coordinate
0.000,156.2194,-247.7122
0.010,155.1148,-248.2607
0.020,153.1745,-249.362
0.030,152.0457,-251.1745
0.040,150.8354,-252.7444
0.050,148.8427,-254.9014
0.060,147.2804,-256.7683
0.070,144.2506,-257.3416
0.080,142.0211,-258.8814
0.090,140.0996,-260.385
0.100,137.9405,-262.6479
0.110,135.9015,-263.3862
0.120,132.8976,-264.0505
0.130,130.8909,-265.3259
0.140,127.3274,-266.2841
0.150,124.2208,-267.1463
0.160,120.6709,-268.1668
0.170,117.8309,-268.9894
0.180,114.5345,-270.0271
0.190,112.0908,-271.0169
0.200,109.0191,-272.2835
0.210,106.6831,-274.1902
0.220,102.9931,-275.4789
0.230,99.48204,-276.5914
0.240,95.07034,-277.7756
0.250,90.25282,-278.0351
0.260,85.38826,-278.7208
0.270,80.56885,-279.1732
0.280,75.17745,-279.5581
0.290,68.5033,-279.8734
0.300,62.255,-278.2801
0.310,55.72477,-277.9076
0.320,49.0141,-276.2415
0.330,42.80709,-276.0484
0.340,36.40889,-274.2169
0.350,30.40316,-271.7924
0.360,26.03665,-268.7442
0.370,20.8911,-265.5186
0.380,17.29895,-262.6847
0.390,12.20308,-259.8508
0.400,7.420353,-257.8914
0.410,3.870214,-254.2564
0.420,-0.1598384,-251.2375
0.430,-3.693312,-246.7012
0.440,-6.702873,-243.1274
0.450,-9.342962,-240.8232
0.460,-12.2584,-238.018
0.470,-14.89827,-236.1327
0.480,-16.58095,-233.9162
0.490,-18.19487,-231.1402
0.500,-20.25727,-228.6823
0.510,-21.67938,-226.4984
0.520,-22.6325,-224.5601
0.530,-24.00542,-222.78
0.540,-25.84326,-221.3721
0.550,-26.48771,-220.0634
0.560,-27.6696,-219.0672
0.570,-28.44697,-217.9113
0.580,-29.81561,-216.79
0.590,-31.12601,-215.3386
0.600,-31.99312,-213.9992
0.610,-32.95144,-212.6616
0.620,-33.88935,-211.1868
0.630,-35.27343,-210.9155
0.640,-36.59211,-210.5403
0.650,-38.28765,-209.9347
0.660,-39.88316,-210.5452
0.670,-41.96753,-211.1843
0.680,-44.00956,-212.1532
0.690,-46.1231,-213.2202
0.700,-48.55178,-215.3703
0.710,-50.34833,-216.9149
0.720,-52.15623,-219.0478
0.730,-54.20265,-220.6419
0.740,-56.21193,-222.2149
0.750,-58.09996,-224.2607
0.760,-58.97992,-230.7183
0.770,-59.21635,-236.2837
0.780,-59.36689,-241.0984
0.790,-59.36014,-245.6253
0.800,-59.2219,-249.82
0.810,-58.53175,-252.0478
0.820,-58.07023,-254.0974
0.830,-57.22267,-255.1279
0.840,-56.02489,-254.4886
0.850,-55.38429,-253.653
0.860,-55.14094,-251.0478
0.870,-54.67385,-248.0316
0.880,-54.85104,-243.2834
0.890,-54.94671,-238.6165
0.900,-54.2194,-231.5147
0.910,-53.70604,-224.5233
0.920,-53.06722,-217.0768
0.930,-52.06482,-207.3318
0.940,-50.98423,-199.8539
0.950,-49.45258,-193.0829
0.960,-48.71169,-186.2035
0.970,-47.52617,-179.0578
0.980,-46.62008,-173.6272
0.990,-45.98195,-168.5918
1.000,-45.64819,-164.3682
1.010,-44.16719,-159.7989
1.020,-43.91565,-156.5576
1.030,-43.08595,-152.4329
1.040,-41.6845,-149.1284
1.050,-40.80029,-145.5728
1.060,-40.056,-142.1876
1.070,-38.97989,-139.4767
1.080,-37.94992,-137.2498
1.090,-37.1669,-135.3464
1.100,-36.33184,-133.6759
1.110,-35.13045,-131.8345
1.120,-34.04711,-130.6786
1.130,-32.79679,-128.6626
1.140,-32.00513,-127.4442
1.150,-31.22911,-126.5512
1.160,-30.59529,-125.1905
1.170,-30.10791,-123.7497
1.180,-29.66712,-122.3846
1.190,-29.253,-120.5322
1.200,-29.0156,-118.6208
1.210,-29.1625,-117.6059
1.220,-29.40632,-116.2305
1.230,-29.17338,-115.3987
1.240,-29.42556,-114.4218
1.250,-29.36312,-113.5843
1.260,-30.03995,-112.4077
1.270,-30.43339,-111.5707
1.280,-30.70225,-110.8816
1.290,-31.06215,-109.4445
1.300,-31.15651,-108.5436
1.310,-31.46135,-107.9253
1.320,-31.7595,-106.9949
1.330,-31.84537,-106.3223
1.340,-31.97335,-105.2739
1.350,-32.38706,-104.5723
1.360,-32.49914,-103.9361
1.370,-33.10514,-102.8588
1.380,-33.35555,-101.831
1.390,-33.48864,-101.1795
1.400,-33.59287,-100.3088
1.410,-33.35521,-99.70992
1.420,-33.81945,-98.79323
1.430,-33.23845,-97.99883
1.440,-33.04087,-97.17665
1.450,-33.04277,-96.37791
1.460,-33.0458,-95.75439
1.470,-32.57159,-94.88139
1.480,-32.31832,-93.64978
1.490,-32.10434,-93.16565
1.500,-31.8745,-92.02959
1.510,-31.68161,-90.86256
1.520,-31.49836,-90.33692
1.530,-31.57487,-89.49418
1.540,-31.3646,-88.68806
1.550,-31.18088,-87.5423
1.560,-30.80155,-86.37319
1.570,-30.55715,-85.20234
1.580,-30.08361,-84.18947
1.590,-29.95139,-83.64607
1.600,-29.74233,-82.78542
1.610,-29.58382,-82.03717
1.620,-29.29712,-81.26511
1.630,-29.07146,-80.74583
1.640,-28.87349,-80.08639
1.650,-28.56103,-79.75834
1.660,-28.36166,-79.18316
1.670,-28.29482,-78.60315
1.680,-28.39839,-78.44524
1.690,-28.24349,-77.79661
1.700,-28.08721,-77.54185
1.710,-28.11459,-77.13117
1.720,-28.2241,-76.90086
1.730,-28.33666,-76.42841
1.740,-28.16759,-76.15641
1.750,-28.01698,-75.67004
1.760,-28.04629,-75.42497
1.770,-28.03633,-74.95394
1.780,-27.98189,-74.28649
1.790,-28.06255,-74.17556
1.800,-28.04666,-73.55272
1.810,-27.9551,-73.05522
1.820,-27.68565,-72.69514
1.830,-27.6781,-72.27555
1.840,-27.47891,-72.06773
1.850,-27.10041,-71.45338
1.860,-27.18129,-71.11865
1.870,-27.23903,-70.64024
1.880,-27.00046,-70.0274
1.890,-27.05841,-69.47262
1.900,-26.80143,-69.1602
1.910,-26.49576,-68.92567
1.920,-26.62644,-68.54789
1.930,-26.71846,-67.91962
1.940,-26.37529,-67.62277
1.950,-25.86977,-66.9286
1.960,-25.66502,-66.64856
1.970,-25.60995,-66.18106
1.980,-25.64591,-65.98626
1.990,-25.79009,-65.41113
2.000,-25.6123,-64.8811
2.010,-25.64468,-64.88333
2.020,-25.59057,-64.51857
2.030,-25.45778,-64.14925
2.040,-25.35444,-63.81873
2.050,-25.21704,-63.37968
2.060,-25.38526,-63.06215
2.070,-25.07186,-62.9236
2.080,-25.25522,-62.416
2.090,-25.13561,-62.39738
2.100,-25.18265,-62.05166
2.110,-25.53381,-61.60197
2.120,-25.72286,-60.79817
2.130,-25.83162,-60.69044
2.140,-25.7883,-60.581
2.150,-26.02611,-60.11139
2.160,-26.12444,-60.06797
2.170,-26.26582,-59.72826
2.180,-26.42136,-59.25869
2.190,-26.01084,-59.16199
2.200,-25.92401,-58.57124
2.210,-25.90664,-57.77281
2.220,-25.5279,-57.23001
2.230,-25.2228,-56.94455
2.240,-25.46053,-56.78989
2.250,-25.21319,-56.19537
2.260,-24.80926,-56.51818
2.270,-24.49789,-56.32139
2.280,-24.55006,-55.95611
2.290,-24.32801,-55.56869
2.300,-24.15219,-55.32679
2.310,-24.09051,-55.28543
2.320,-23.9915,-55.24465
2.330,-23.8639,-54.43272
2.340,-23.70672,-53.78248
2.350,-23.76367,-53.81425
2.360,-23.70952,-53.52122
2.370,-23.8489,-53.0789
2.380,-23.89843,-52.83615
2.390,-23.92068,-52.46786
2.400,-23.96356,-52.15971
2.410,-23.93214,-52.09217
2.420,-24.18319,-51.8782
2.430,-24.17239,-51.51314
2.440,-24.06512,-51.30671
2.450,-24.12134,-51.39034
2.460,-23.89785,-51.05404
2.470,-23.73586,-50.8733
2.480,-23.76843,-50.01105
2.490,-23.8597,-49.79682
2.500,-23.60975,-49.29869
2.510,-23.26548,-48.93125
2.520,-23.21256,-48.50971
2.530,-23.11249,-48.05859
2.540,-22.6195,-47.02523
2.550,-22.57545,-46.59184
2.560,-21.95992,-46.46859
2.570,-21.76305,-45.62938
2.580,-22.18037,-45.35316
2.590,-21.76643,-44.69273
2.600,-21.62481,-44.71684
2.610,-21.15766,-44.57718
2.620,-20.44074,-44.90652
2.630,-19.93194,-45.2737
2.640,-19.43163,-46.25241
2.650,-18.03102,-48.16533
2.660,-17.31091,-48.6906
2.670,-16.69963,-49.09612
2.680,-16.85859,-49.2131
2.690,-16.69888,-48.41018
2.700,-16.92921,-48.00861
2.710,-17.07379,-47.33493
2.720,-16.88596,-46.45672
2.730,-17.24453,-45.12264
2.740,-17.59711,-44.34978
2.750,-17.30583,-43.56873
2.760,-17.32354,-42.83289
2.770,-16.8686,-41.90688
2.780,-17.34491,-40.2117
2.790,-17.12835,-39.15566
2.800,-17.05148,-37.90901
2.810,-17.04959,-36.38009
2.820,-17.28544,-34.88395
2.830,-16.71093,-33.38493
2.840,-16.62547,-31.39561
2.850,-16.08531,-29.84658
2.860,-16.00791,-28.151
2.870,-15.72139,-26.38142
2.880,-15.35758,-24.46788
2.890,-14.87553,-22.61433
2.900,-14.34755,-20.54297
2.910,-13.90728,-18.69384
2.920,-13.78329,-17.37618
2.930,-13.04857,-15.23438
2.940,-12.55572,-13.39146
2.950,-12.4972,-11.93731
2.960,-12.56989,-10.28594
2.970,-12.7368,-9.077468
2.980,-12.53652,-8.184774
2.990,-12.35938,-6.502171
3.000,-12.42297,-5.189718
3.010,-12.44415,-4.143248
3.020,-12.26562,-3.008539
3.030,-12.46896,-1.693913
3.040,-12.13174,-1.318916
3.050,-12.3927,-0.6211331
3.060,-12.69148,0.01787963
3.070,-12.64615,0.1891257
3.080,-12.57707,0.6820126
3.090,-12.83989,1.059976
3.100,-12.76422,1.05162
3.110,-13.05115,1.166681
3.120,-13.37204,1.686315
3.130,-13.48166,1.531114
3.140,-13.88199,1.674835
3.150,-13.74795,1.654561
3.160,-14.08982,1.801881
3.170,-14.0784,1.769736
3.180,-14.22182,1.735954
3.190,-14.59994,2.027492
3.200,-14.91048,1.962306
3.210,-14.84622,1.729544
3.220,-15.16356,1.594677
3.230,-15.8053,1.609002
3.240,-16.3718,1.197198
3.250,-16.95086,1.024532
3.260,-17.15247,0.6882229
3.270,-17.02026,-0.01974612
3.280,-17.41537,-0.76164
3.290,-18.25069,-1.055881
3.300,-19.09053,-2.221318
3.310,-19.55954,-2.758538
3.320,-19.98266,-4.443973
3.330,-20.58453,-6.048038
3.340,-21.0596,-8.084058
3.350,-21.35295,-10.30711
3.360,-21.71983,-12.37943
3.370,-22.53081,-14.41328
3.380,-23.1105,-16.73383
3.390,-23.49816,-18.81607
3.400,-24.06334,-21.18524
3.410,-25.2358,-23.40688
3.420,-25.95202,-24.9443
3.430,-27.11795,-26.6248
3.440,-27.80892,-27.86847
3.450,-28.75471,-29.49154
3.460,-29.36835,-31.05314
3.470,-30.05869,-32.64544
3.480,-30.69924,-33.89234
3.490,-31.24195,-34.58037
3.500,-31.67483,-35.61225
3.510,-31.9725,-36.12801
3.520,-32.02691,-36.71531
3.530,-32.24503,-37.08736
3.540,-32.75397,-37.45803
3.550,-33.24548,-37.72178
3.560,-33.3155,-37.24614
3.570,-33.39022,-37.32173
3.580,-33.13927,-36.61129
3.590,-33.15728,-35.77503
3.600,-33.11894,-35.20324
3.610,-32.66745,-34.2361
3.620,-32.35118,-33.25057
3.630,-32.11995,-32.41394
3.640,-31.63548,-31.4472
3.650,-31.5298,-30.04032
3.660,-31.33548,-29.05935
3.670,-30.86538,-28.43282
3.680,-30.44896,-27.56721
3.690,-29.63228,-26.82766
3.700,-29.15024,-25.73952
3.710,-28.5929,-24.81697
3.720,-27.80877,-23.90315
3.730,-27.4536,-22.05139
3.740,-26.99942,-21.45109
3.750,-26.87458,-20.13398
3.760,-26.4349,-19.27257
3.770,-25.81,-17.86156
3.780,-25.19947,-16.85112
3.790,-23.88792,-15.80738
3.800,-22.93381,-14.27787
3.810,-22.63858,-12.43592
3.820,-21.67083,-11.17846
3.830,-20.97557,-9.411098
3.840,-20.40401,-6.064203
3.850,-19.23665,-3.38907
3.860,-18.71875,-1.271036
3.870,-17.87053,1.010185
3.880,-17.07182,3.542403
3.890,-16.28823,5.552595
3.900,-15.58591,7.635748
3.910,-15.0695,9.617472
3.920,-14.56721,10.91028
3.930,-13.82314,12.172
3.940,-13.35836,13.03123
3.950,-12.70891,14.03216
3.960,-12.41412,14.6688
3.970,-12.07169,15.53734
3.980,-11.16938,16.26798
3.990,-11.05935,15.97826
4.000,-10.70961,16.33895
4.010,-10.30378,16.48118
4.020,-9.87318,16.31672
4.030,-9.406616,16.20462
4.040,-9.437353,16.33043
4.050,-9.203469,16.38404
4.060,-9.072686,16.26714
4.070,-8.694697,16.09764
4.080,-8.404073,15.98875
4.090,-8.445587,16.25005
4.100,-8.267184,15.93509
4.110,-8.21536,15.86516
4.120,-8.529422,15.23878
4.130,-8.414705,14.70395
4.140,-8.261803,14.06565
4.150,-7.81549,13.30539
4.160,-7.977387,11.48192
4.170,-7.814975,10.63613
4.180,-8.287085,8.331502
4.190,-8.827852,6.349615
4.200,-10.15018,3.158511
4.210,-11.06847,-0.6481829
4.220,-12.46246,-4.211544
4.230,-13.4319,-7.366767
4.240,-14.27987,-10.09607
4.250,-15.76071,-12.82148
4.260,-16.78553,-14.49963
4.270,-17.63714,-15.04501
4.280,-18.60047,-15.99562
4.290,-18.72638,-16.16735
4.300,-19.16372,-16.69564
4.310,-19.90316,-17.30115
4.320,-20.0411,-17.64483
4.330,-20.13405,-18.3576
4.340,-20.58166,-18.62579
4.350,-20.59522,-19.14629
4.360,-20.4992,-19.87195
4.370,-20.52266,-20.04033
4.380,-20.13999,-20.3836
4.390,-19.88734,-20.75352
4.400,-19.58205,-21.37803
4.410,-19.03599,-21.26047
4.420,-19.20829,-21.4206
4.430,-19.04113,-21.64408
4.440,-18.86294,-22.1135
4.450,-18.79111,-22.31328
4.460,-18.76604,-22.25239
4.470,-18.75295,-22.63092
4.480,-18.63677,-22.7569
4.490,-18.48318,-23.19156
4.500,-18.25839,-22.92917
4.510,-18.1156,-23.08291
4.520,-18.08135,-22.97101
4.530,-17.93138,-23.27213
4.540,-17.82242,-23.29832
4.550,-17.83584,-23.21702
4.560,-17.76469,-23.36569
4.570,-17.51179,-23.80859
4.580,-17.36933,-24.13275
4.590,-17.12432,-24.36082
4.600,-16.69608,-24.23641
4.610,-16.63855,-24.15822
4.620,-16.45307,-24.46139
4.630,-16.10821,-24.71245
4.640,-16.47175,-24.95919
4.650,-16.42126,-24.59466
4.660,-16.43377,-24.86637
4.670,-16.10128,-24.85766
4.680,-15.91946,-24.76601
4.690,-15.7905,-24.7515
4.700,-15.60991,-24.93307
4.710,-15.37437,-25.28635
4.720,-15.12957,-25.3713
4.730,-15.07721,-25.65233
4.740,-14.91493,-25.822
4.750,-14.64104,-25.79492
4.760,-14.2515,-25.57517
4.770,-13.98986,-25.51194
4.780,-14.05815,-25.51796
