Timestamp,X-coordinate,Y-coordinate
0.000,-343.6274,-204.8542
0.010,-344.4912,-210.0823
0.020,-345.3305,-216.5537
0.030,-346.3922,-225.6686
0.040,-347.4295,-234.2004
0.050,-349.1566,-242.8887
0.060,-350.1734,-250.5095
0.070,-351.8494,-254.8145
0.080,-352.6882,-260.7907
0.090,-354.0267,-267.6926
0.100,-354.9944,-274.2763
0.110,-355.7776,-277.8144
0.120,-356.4405,-279.8331
0.130,-357.184,-283.8141
0.140,-357.9985,-285.1328
0.150,-358.5419,-286.8796
0.160,-359.436,-288.8525
0.170,-359.9915,-289.8127
0.180,-360.6174,-290.4414
0.190,-361.0814,-291.1916
0.200,-361.7444,-291.1049
0.210,-362.0861,-291.99
0.220,-362.4711,-291.7113
0.230,-362.7852,-291.6684
0.240,-363.1763,-290.6964
0.250,-364.0919,-288.9692
0.260,-364.422,-286.9036
0.270,-364.4973,-285.6861
0.280,-364.7675,-285.0539
0.290,-365.2629,-283.8559
0.300,-365.753,-281.3817
0.310,-365.8359,-280.3286
0.320,-366.3492,-279.6244
0.330,-366.7665,-277.0518
0.340,-367.4178,-272.9455
0.350,-367.4438,-268.2067
0.360,-367.6934,-263.4086
0.370,-368.1672,-259.5244
0.380,-368.8004,-256.7326
0.390,-369.7173,-252.263
0.400,-369.8356,-247.7669
0.410,-370.3823,-243.0903
0.420,-370.9656,-239.1515
0.430,-371.2809,-233.4768
0.440,-371.4556,-228.3919
0.450,-371.7399,-226.2463
0.460,-372.1727,-223.0033
0.470,-372.4037,-220.8097
0.480,-372.3014,-217.9286
0.490,-372.4283,-215.5421
0.500,-372.2779,-212.6013
0.510,-372.3264,-210.3232
0.520,-372.1323,-207.5507
0.530,-372.3219,-205.4402
0.540,-372.0711,-203.2686
0.550,-372.0306,-201.2556
0.560,-372.0048,-199.8998
0.570,-371.5684,-197.7936
0.580,-371.7046,-195.9843
0.590,-371.5972,-193.4611
0.600,-371.0386,-190.8637
0.610,-370.7459,-188.207
0.620,-370.4765,-185.4978
0.630,-370.3859,-184.2034
0.640,-370.0563,-182.6514
0.650,-369.8152,-180.8895
0.660,-369.4928,-180.0324
0.670,-369.3204,-178.399
0.680,-369.1546,-177.469
0.690,-369.3138,-176.8629
0.700,-369.4268,-176.7376
0.710,-369.4499,-176.5629
0.720,-369.5722,-176.1564
0.730,-369.9146,-176.7779
0.740,-370.3101,-177.3803
0.750,-371.0416,-178.8381
0.760,-372.3608,-186.8434
0.770,-373.5746,-194.4391
0.780,-374.6392,-201.2447
0.790,-375.6024,-207.911
0.800,-376.4089,-214.6785
0.810,-377.0238,-218.0498
0.820,-377.48,-221.5392
0.830,-377.8653,-223.1839
0.840,-377.777,-223.0573
0.850,-377.7379,-222.2631
0.860,-377.4339,-219.4943
0.870,-377.08,-216.2862
0.880,-376.4561,-210.3171
0.890,-375.6219,-203.9208
0.900,-374.6067,-195.9907
0.910,-373.7281,-186.6506
0.920,-372.2064,-177.1149
0.930,-370.6966,-164.8463
0.940,-369.7952,-156.641
0.950,-368.7395,-147.657
0.960,-367.801,-139.318
0.970,-367.18,-132.1424
0.980,-366.7266,-126.0615
0.990,-366.4514,-120.9507
1.000,-366.3165,-116.1229
1.010,-365.7167,-111.169
1.020,-365.598,-107.6493
1.030,-365.4654,-102.6386
1.040,-365.0528,-99.34526
1.050,-364.801,-94.826
1.060,-364.4482,-90.67455
1.070,-364.1689,-87.41486
1.080,-364.0167,-84.59164
1.090,-363.9555,-82.49029
1.100,-364.0306,-80.21168
1.110,-363.8608,-78.43732
1.120,-363.6144,-77.09165
1.130,-363.4934,-75.34904
1.140,-363.4869,-74.31598
1.150,-363.3423,-73.53123
1.160,-363.2259,-72.06631
1.170,-362.927,-70.79535
1.180,-363.0463,-70.05513
1.190,-363.0321,-68.52408
1.200,-362.9495,-66.78526
1.210,-363.0125,-65.62938
1.220,-363.0006,-64.51476
1.230,-363.0359,-63.65415
1.240,-363.2464,-63.03432
1.250,-363.1596,-62.16574
1.260,-363.2671,-60.91457
1.270,-363.4112,-59.79102
1.280,-363.4002,-58.87095
1.290,-363.5946,-57.0239
1.300,-363.5655,-55.99466
1.310,-363.6594,-55.39009
1.320,-363.7089,-54.46769
1.330,-363.7028,-53.83638
1.340,-363.9212,-52.85022
1.350,-363.9505,-52.18224
1.360,-364.1117,-51.5351
1.370,-364.0563,-50.84501
1.380,-364.143,-49.95336
1.390,-364.1465,-49.19917
1.400,-364.1147,-48.54211
1.410,-363.9944,-47.57512
1.420,-364.144,-46.79119
1.430,-363.9135,-45.4889
1.440,-363.9538,-44.3769
1.450,-363.9308,-43.57503
1.460,-363.9026,-42.69912
1.470,-363.9261,-41.79312
1.480,-363.8792,-40.41077
1.490,-363.7227,-39.45723
1.500,-363.6454,-38.41784
1.510,-363.5738,-37.16187
1.520,-363.4993,-36.60647
1.530,-363.4384,-35.51983
1.540,-363.3823,-34.43193
1.550,-363.4536,-33.29593
1.560,-363.2931,-32.0057
1.570,-363.1957,-30.41459
1.580,-363.0548,-29.52466
1.590,-362.8979,-28.86017
1.600,-362.9326,-27.7189
1.610,-362.8146,-26.89802
1.620,-362.7861,-25.97372
1.630,-362.7896,-25.30418
1.640,-362.7383,-24.77857
1.650,-362.7127,-24.47342
1.660,-362.5937,-23.9265
1.670,-362.597,-23.50162
1.680,-362.5565,-23.11206
1.690,-362.6082,-22.68545
1.700,-362.636,-22.39791
1.710,-362.5211,-22.00126
1.720,-362.6604,-21.69983
1.730,-362.5288,-21.2065
1.740,-362.5078,-21.00395
1.750,-362.4191,-20.36921
1.760,-362.4619,-19.88364
1.770,-362.4603,-19.31905
1.780,-362.3979,-18.51252
1.790,-362.2888,-18.35707
1.800,-362.254,-17.43837
1.810,-362.1998,-16.77731
1.820,-362.0898,-16.28852
1.830,-362.1985,-16.02688
1.840,-362.0996,-15.63698
1.850,-361.9485,-14.79321
1.860,-362.0141,-14.57956
1.870,-362.0304,-14.16016
1.880,-361.9801,-13.50373
1.890,-361.8629,-12.7037
1.900,-361.7249,-12.38217
1.910,-361.5755,-11.98697
1.920,-361.6875,-11.51102
1.930,-361.5778,-10.74828
1.940,-361.5328,-10.41192
1.950,-361.4477,-9.314492
1.960,-361.4663,-8.919258
1.970,-361.3739,-8.415666
1.980,-361.2742,-8.192941
1.990,-361.4185,-7.478131
2.000,-361.3969,-6.574184
2.010,-361.3834,-6.368285
2.020,-361.3304,-6.118043
2.030,-361.2028,-5.404635
2.040,-361.2065,-5.243209
2.050,-361.186,-4.618253
2.060,-361.1183,-4.413367
2.070,-361.2175,-3.979481
2.080,-361.182,-3.613368
2.090,-361.0646,-3.593088
2.100,-361.0142,-2.972272
2.110,-360.8289,-2.479538
2.120,-360.7538,-1.527856
2.130,-360.6194,-1.599472
2.140,-360.4472,-1.455153
2.150,-360.2437,-1.032483
2.160,-360.2976,-1.088657
2.170,-360.1247,-0.8395978
2.180,-360.148,-0.2485719
2.190,-360.0221,-0.5801468
2.200,-359.8981,0.1786761
2.210,-359.9416,0.6937865
2.220,-360.1348,1.116397
2.230,-360.3997,1.227605
2.240,-360.7922,0.8089957
2.250,-360.6296,1.61097
2.260,-360.8137,0.7540123
2.270,-360.7799,0.7222179
2.280,-360.6823,1.074738
2.290,-360.7328,1.220198
2.300,-360.5335,1.197527
2.310,-360.61,1.238507
2.320,-360.8367,0.8484661
2.330,-360.7005,1.74564
2.340,-360.5908,2.038565
2.350,-360.6922,1.792518
2.360,-360.7083,2.41858
2.370,-360.7268,3.097647
2.380,-360.7654,3.541737
2.390,-360.6865,3.966058
2.400,-360.7403,4.290845
2.410,-360.7452,4.114759
2.420,-360.6808,4.375412
2.430,-360.694,4.635939
2.440,-360.693,5.255839
2.450,-360.6571,5.150555
2.460,-360.5504,5.436137
2.470,-360.6425,5.724491
