Timestamp,X-coordinate,Y-coordinate
0.000,434.0414,-271.5333
0.010,433.9917,-269.5716
0.020,433.6211,-267.8192
0.030,433.3035,-265.5669
0.040,432.8192,-263.2391
0.050,432.4055,-261.7415
0.060,432.0245,-260.3508
0.070,431.7025,-258.8058
0.080,431.6358,-257.7636
0.090,431.3528,-256.0777
0.100,430.9129,-255.7366
0.110,430.5891,-254.7387
0.120,430.0046,-254.468
0.130,429.5836,-254.0115
0.140,429.2949,-254.5565
0.150,428.7915,-254.6967
0.160,428.4176,-254.9073
0.170,428.1648,-255.4652
0.180,428.0799,-256.556
0.190,428.1165,-257.5424
0.200,428.413,-259.5139
0.210,428.6986,-261.963
0.220,428.7967,-264.117
0.230,428.7636,-265.8518
0.240,428.7688,-268.3666
0.250,428.2671,-269.9005
0.260,427.8779,-272.4904
0.270,426.8463,-274.106
0.280,425.5681,-275.1811
0.290,423.5524,-276.6137
0.300,420.9476,-275.6808
0.310,418.3456,-275.825
0.320,415.5363,-273.2564
0.330,412.9176,-275.1415
0.340,410.4571,-275.3946
0.350,408.3195,-275.1985
0.360,406.2874,-273.8972
0.370,404.7756,-271.433
0.380,402.8952,-268.6289
0.390,401.1813,-267.5788
0.400,399.42,-268.4116
0.410,398.18,-266.021
0.420,397.1349,-264.187
0.430,396.074,-261.0833
0.440,395.3062,-259.3681
0.450,394.43,-257.0643
0.460,393.6811,-254.9528
0.470,393.0715,-253.6186
0.480,392.6049,-252.3067
0.490,392.3655,-249.2185
0.500,391.8351,-247.5076
0.510,391.5188,-245.5591
0.520,391.0847,-244.6949
0.530,390.8922,-243.4343
0.540,390.6465,-243.1495
0.550,390.4213,-242.7555
0.560,390.3925,-242.3385
0.570,390.3111,-242.4636
0.580,390.1577,-242.3476
0.590,390.1823,-242.4104
0.600,390.2617,-242.8126
0.610,390.3628,-243.3074
0.620,390.5065,-243.5775
0.630,390.687,-244.8691
0.640,391.0355,-246.3043
0.650,391.4301,-247.5823
0.660,392.0313,-250.5286
0.670,392.4627,-254.6937
0.680,392.6935,-258.7377
0.690,393.0907,-262.6295
0.700,393.258,-268.5634
0.710,393.5836,-273.0524
0.720,393.8978,-279.3217
0.730,394.0563,-282.9216
0.740,393.9035,-286.4647
0.750,393.5556,-289.8172
0.760,393.4684,-294.0634
0.770,393.0361,-296.4836
0.780,392.6321,-298.2357
0.790,392.2235,-299.4802
0.800,391.793,-299.7885
0.810,391.7828,-300.1174
0.820,391.5527,-299.9285
0.830,391.6534,-299.8472
0.840,391.7361,-298.2293
0.850,391.8575,-297.204
0.860,391.7964,-294.8044
0.870,392.0973,-292.0225
0.880,392.3493,-289.124
0.890,392.7045,-287.0504
0.900,393.1079,-281.1136
0.910,393.7176,-277.4732
0.920,394.1658,-273.0783
0.930,394.919,-266.9315
0.940,395.8358,-260.4176
0.950,396.1279,-256.477
0.960,396.4586,-251.6148
0.970,397.1067,-244.3163
0.980,397.3752,-239.6019
0.990,397.8036,-234.5652
1.000,397.9158,-231.1033
1.010,398.1172,-226.6881
1.020,398.1356,-223.7666
1.030,398.3116,-220.6107
1.040,398.6444,-216.9178
1.050,398.774,-214.4214
1.060,398.9012,-211.8934
1.070,399.0246,-209.6
1.080,398.8512,-207.791
1.090,398.8596,-205.8711
1.100,398.6461,-204.6428
1.110,398.5698,-202.2825
1.120,398.6427,-201.0331
1.130,398.4177,-198.1812
1.140,398.4595,-196.4369
1.150,398.2853,-195.1208
1.160,398.1707,-193.6685
1.170,397.9023,-191.8497
