Timestamp,X-coordinate,Y-coordinate
0.000,-30.73814,-40.04742
0.010,-30.71859,-41.39291
0.020,-30.90769,-42.58833
0.030,-30.96523,-43.78874
0.040,-30.70801,-45.04914
0.050,-30.75261,-45.52068
0.060,-31.10432,-46.95221
0.070,-31.47688,-47.76395
0.080,-31.48454,-48.72657
0.090,-31.33624,-50.08294
0.100,-31.37951,-50.8917
0.110,-31.5549,-51.82967
0.120,-31.71339,-52.68122
0.130,-32.09771,-53.66671
0.140,-32.056,-54.47963
0.150,-31.95823,-55.05758
0.160,-31.91602,-55.47385
0.170,-31.99151,-56.01005
0.180,-32.02397,-56.67669
0.190,-32.44191,-57.22536
0.200,-32.84621,-57.38085
0.210,-32.89811,-57.65876
0.220,-32.98102,-57.79361
0.230,-33.09327,-57.74329
0.240,-32.93764,-57.80582
0.250,-33.28895,-57.7832
0.260,-33.17446,-57.5806
0.270,-32.98521,-57.67319
0.280,-33.01098,-57.51382
0.290,-32.8436,-57.35408
0.300,-32.63183,-56.94256
0.310,-32.58022,-56.9399
0.320,-32.31159,-56.74959
0.330,-32.06083,-56.30938
0.340,-31.86241,-56.30615
0.350,-31.54599,-55.69001
0.360,-31.23268,-55.17859
0.370,-30.82628,-54.66599
0.380,-30.35357,-54.43362
0.390,-30.29346,-54.21904
0.400,-30.01839,-53.65505
0.410,-30.1701,-53.20639
0.420,-30.14969,-52.75365
0.430,-30.12543,-52.22903
0.440,-29.81223,-51.45648
0.450,-29.87999,-50.87435
0.460,-29.57219,-49.90398
0.470,-29.51662,-48.91233
0.480,-29.26887,-48.23408
0.490,-28.83248,-47.10204
0.500,-28.78039,-46.18383
0.510,-28.54007,-44.75872
0.520,-28.72432,-43.69884
0.530,-28.62331,-43.04427
0.540,-28.7263,-42.08956
0.550,-28.44773,-41.0897
0.560,-28.57,-39.97118
0.570,-28.17972,-39.20672
0.580,-28.13252,-38.51659
0.590,-28.05111,-37.74221
0.600,-27.62496,-36.78173
0.610,-27.3283,-35.55618
0.620,-27.50624,-34.16542
0.630,-27.13399,-33.18489
0.640,-27.00642,-31.8665
0.650,-26.74157,-29.8426
0.660,-25.99881,-28.55286
0.670,-25.53691,-27.21549
0.680,-25.05148,-25.63042
0.690,-24.35472,-24.62504
0.700,-23.83518,-23.09283
0.710,-23.04219,-21.60546
