Timestamp,X-coordinate,Y-coordinate
0.000,-367.4152,-6.84187
0.010,-367.571,-8.092372
0.020,-367.5666,-8.558769
0.030,-367.5811,-9.648461
0.040,-367.5757,-10.56463
0.050,-367.5154,-10.77141
0.060,-367.741,-12.15438
0.070,-367.8384,-12.76928
0.080,-367.7501,-13.54186
0.090,-367.7863,-14.63752
0.100,-367.8599,-15.40065
0.110,-367.8701,-16.01209
0.120,-367.9559,-16.91082
0.130,-368.0434,-17.8094
0.140,-368.063,-18.61776
0.150,-368.1846,-19.28024
0.160,-368.1231,-19.65833
0.170,-368.1852,-20.23969
0.180,-368.1,-20.78053
0.190,-368.3474,-21.5241
0.200,-368.3249,-21.89816
0.210,-368.3047,-22.28289
0.220,-368.3738,-22.67432
0.230,-368.3075,-22.4717
0.240,-368.3058,-22.69691
0.250,-368.2704,-22.68399
0.260,-368.261,-22.3908
0.270,-368.2126,-22.38169
0.280,-368.288,-22.216
0.290,-368.2446,-22.04063
0.300,-368.2791,-22.01984
0.310,-368.2483,-21.99215
0.320,-368.2408,-21.8174
0.330,-368.1683,-21.14354
0.340,-368.154,-21.35551
0.350,-368.0582,-20.43195
0.360,-368.1082,-20.1572
0.370,-367.9762,-19.50239
0.380,-367.9648,-19.17052
0.390,-367.9852,-19.27438
0.400,-367.9179,-18.61407
0.410,-367.9094,-18.14197
0.420,-367.9591,-17.77367
0.430,-367.9114,-17.71611
0.440,-367.9711,-17.06995
0.450,-368.1194,-16.49831
0.460,-368.0146,-15.90396
0.470,-368.0165,-14.72828
0.480,-368.0037,-14.20283
0.490,-367.9365,-13.38695
0.500,-367.9103,-12.54247
0.510,-367.7351,-11.04957
0.520,-367.7316,-10.33978
0.530,-367.6766,-9.545727
0.540,-367.6399,-8.845282
0.550,-367.53,-8.228147
0.560,-367.4981,-7.45481
0.570,-367.4026,-6.607274
0.580,-367.3541,-6.018162
0.590,-367.4311,-5.745657
0.600,-367.3127,-4.781086
0.610,-367.179,-3.452345
0.620,-367.2133,-2.421165
0.630,-367.1438,-1.704542
0.640,-367.0095,-0.4773194
0.650,-367.006,1.986783
0.660,-366.8631,3.057795
0.670,-366.7129,4.498518
0.680,-366.6228,6.288084
0.690,-366.4678,7.591404
0.700,-366.4022,9.075233
0.710,-366.2734,10.67864
0.720,-366.3757,11.98104
0.730,-366.1776,13.26685
0.740,-366.2411,15.11341
0.750,-366.1354,16.41197
0.760,-366.1878,18.30399
0.770,-366.1207,19.9145
0.780,-366.156,21.00824
0.790,-366.1228,21.60151
0.800,-366.1575,22.50944
0.810,-366.0495,23.83427
0.820,-366.1629,25.19374
0.830,-366.0633,26.21566
0.840,-366.0589,26.94144
0.850,-366.0727,27.88865
0.860,-365.9222,29.10294
0.870,-366.0764,29.43109
0.880,-366.1548,30.83543
0.890,-366.1544,31.60753
0.900,-366.0216,32.34829
0.910,-366.0774,33.52321
0.920,-366.0898,34.63906
0.930,-366.165,35.40048
