Timestamp,X-coordinate,Y-coordinate
0.000,379.8683,-80.54441
0.010,379.6772,-81.9638
0.020,379.652,-84.08781
0.030,379.6189,-85.43104
0.040,379.4605,-87.03733
0.050,379.4022,-87.843
0.060,379.3417,-89.37965
0.070,379.2516,-90.49567
0.080,379.2281,-91.70097
0.090,379.492,-93.3642
0.100,379.4853,-94.22863
0.110,379.5677,-95.61425
0.120,379.6108,-96.43901
0.130,379.6109,-97.61063
0.140,379.6363,-98.41936
0.150,379.8146,-98.87371
0.160,379.8291,-99.3363
0.170,379.8075,-99.82468
0.180,379.6916,-100.6519
0.190,379.7362,-101.0332
0.200,379.7298,-101.0179
0.210,379.6311,-101.1688
0.220,379.8101,-101.0174
0.230,379.867,-101.1954
0.240,379.9063,-101.0255
0.250,379.8315,-101.0698
0.260,379.9316,-100.9638
0.270,379.8954,-101.1397
0.280,379.9308,-100.9882
0.290,379.8892,-100.8096
0.300,380.0939,-99.88499
0.310,379.9833,-99.89354
0.320,380.0214,-99.62676
0.330,380.0914,-99.43154
0.340,380.1018,-99.12143
0.350,380.1905,-98.8297
0.360,380.2538,-97.95651
0.370,380.2036,-97.53505
0.380,380.2929,-97.3252
0.390,380.2603,-96.70354
0.400,380.2835,-96.20435
0.410,380.1836,-95.80972
0.420,380.2639,-95.25178
0.430,380.2729,-94.16106
0.440,380.2778,-93.15753
0.450,380.2789,-92.55975
0.460,380.2487,-91.07471
0.470,380.1766,-90.286
0.480,380.0684,-89.35846
0.490,380.0602,-87.75581
0.500,379.9709,-86.73158
0.510,379.7932,-85.33882
0.520,379.6629,-83.88506
0.530,379.6991,-83.38663
0.540,379.5083,-82.13359
0.550,379.5197,-80.62715
0.560,379.3165,-79.10334
0.570,379.2862,-78.36436
0.580,379.1198,-77.53257
0.590,379.0063,-76.11935
0.600,379.0402,-75.09207
0.610,378.8476,-73.92539
0.620,378.6476,-72.11889
0.630,378.6464,-70.75471
0.640,378.5383,-69.30651
0.650,378.5404,-67.75391
0.660,378.4009,-66.05557
0.670,378.3436,-64.75819
0.680,378.1217,-63.30537
0.690,378.1511,-62.5286
0.700,377.9621,-60.8228
0.710,377.7259,-59.30145
0.720,377.6021,-58.60732
0.730,377.5882,-57.52413
0.740,377.4562,-56.85707
0.750,377.362,-56.25323
0.760,377.4724,-55.76591
0.770,377.4497,-54.92237
0.780,377.4861,-54.0403
0.790,377.3605,-53.51357
0.800,377.4128,-52.77544
0.810,377.3589,-51.84998
0.820,377.3474,-51.41148
0.830,377.2245,-50.64309
0.840,377.2452,-49.8649
0.850,377.204,-48.85088
0.860,377.2908,-47.84415
0.870,377.1831,-47.19393
0.880,377.0579,-46.70852
0.890,377.1111,-46.29947
0.900,376.9729,-45.23398
0.910,376.9423,-44.49776
0.920,376.9608,-43.12242
0.930,376.8836,-42.09767
0.940,376.8577,-41.49364
0.950,376.8346,-40.38122
0.960,376.7776,-38.76653
0.970,376.7587,-37.25216
0.980,376.6635,-35.82273
0.990,376.5103,-34.11508
1.000,376.4107,-32.2923
1.010,376.2716,-30.94076
1.020,376.2298,-29.13673
1.030,376.1722,-27.50385
1.040,376.0443,-26.46589
1.050,376.0418,-25.27613
1.060,375.9533,-23.79847
1.070,375.9716,-22.68894
1.080,375.9721,-22.14547
1.090,375.8562,-21.46612
1.100,375.8399,-20.48767
1.110,375.8367,-19.65022
1.120,375.8382,-19.32888
1.130,375.8976,-18.9463
1.140,375.9438,-18.79011
1.150,375.8969,-18.75895
1.160,375.8283,-18.19308
1.170,375.8508,-18.00832
1.180,375.9586,-17.95806
1.190,375.8059,-17.48686
1.200,375.7336,-17.24884
1.210,375.7035,-16.85814
1.220,375.7012,-16.76367
1.230,375.6749,-16.44828
1.240,375.6928,-16.33225
1.250,375.7445,-16.56279
1.260,375.7446,-16.13153
1.270,375.7525,-16.24844
1.280,375.7814,-16.01643
1.290,375.6961,-15.28749
1.300,375.7268,-15.19349
1.310,375.7511,-15.26662
1.320,375.7234,-15.11093
1.330,375.5587,-14.54932
1.340,375.5717,-14.40843
1.350,375.5436,-14.24923
1.360,375.5426,-13.96602
1.370,375.4791,-13.43804
1.380,375.525,-13.43447
1.390,375.4461,-13.24669
1.400,375.403,-12.47146
1.410,375.4572,-12.09401
1.420,375.329,-11.64926
1.430,375.3389,-11.77735
1.440,375.288,-11.28964
1.450,375.2725,-10.72229
1.460,375.1834,-10.58424
1.470,375.1926,-10.5837
1.480,375.179,-10.45488
1.490,375.1683,-10.76648
1.500,375.1562,-10.34059
1.510,375.1147,-10.22484
1.520,375.112,-9.86713
1.530,374.9824,-9.999337
1.540,375.0913,-9.634825
1.550,375.0243,-9.266954
1.560,375.0123,-9.014312
1.570,375.0114,-8.574119
1.580,374.9607,-8.305458
1.590,375.0206,-7.935608
1.600,374.9529,-7.884767
1.610,375.0695,-7.02374
1.620,375.1874,-6.903155
1.630,375.131,-6.479562
1.640,375.0476,-6.150376
1.650,375.192,-5.866531
1.660,375.2371,-5.510183
1.670,375.3676,-5.096391
1.680,375.5294,-5.056122
1.690,375.5589,-4.625181
1.700,375.4697,-4.448517
1.710,375.6201,-4.622845
1.720,375.7767,-4.347938
1.730,375.8002,-3.977557
1.740,375.8589,-3.760007
1.750,375.9523,-3.42862
1.760,375.9398,-3.177814
1.770,375.9839,-3.16021
1.780,375.9625,-2.975258
1.790,375.9636,-3.119553
1.800,376.0577,-3.111951
1.810,376.1691,-3.450593
1.820,376.3451,-3.665978
1.830,376.4283,-4.036016
1.840,376.4917,-3.898439
1.850,376.8009,-4.07481
1.860,377.0107,-3.926471
1.870,377.1347,-4.168716
1.880,377.1571,-4.541656
1.890,377.3789,-4.63832
1.900,377.4659,-4.841172
1.910,377.6208,-4.955091
1.920,377.959,-5.29783
1.930,378.0779,-5.436824
1.940,378.239,-6.019217
1.950,378.3848,-6.06764
1.960,378.5625,-6.510795
1.970,378.5873,-6.938675
1.980,378.6775,-7.16159
1.990,378.7897,-7.172922
2.000,379.0143,-8.072507
2.010,379.2085,-7.704973
2.020,379.2983,-7.626507
2.030,379.5285,-7.102329
2.040,379.736,-7.263921
2.050,379.8861,-6.430368
2.060,380.1364,-6.383727
2.070,380.3958,-6.44486
2.080,380.5815,-6.205979
2.090,380.8419,-6.493695
2.100,381.1447,-6.227142
2.110,381.5101,-7.122105
2.120,381.558,-7.745766
2.130,381.7741,-8.120267
2.140,381.9513,-8.675697
2.150,382.0222,-9.362355
2.160,382.1579,-10.16459
2.170,382.3134,-11.06696
2.180,382.3048,-12.5743
2.190,382.3897,-13.14717
2.200,382.4667,-14.77069
2.210,382.4852,-16.05823
2.220,382.5979,-17.23384
2.230,382.8302,-19.23545
2.240,382.834,-20.67459
2.250,382.7687,-22.20701
2.260,382.6722,-23.53208
2.270,382.7619,-24.39615
2.280,382.7829,-25.03619
2.290,382.8546,-25.81171
2.300,382.9204,-26.23648
2.310,382.8892,-26.74587
2.320,382.9667,-26.99037
2.330,383.0258,-27.69069
2.340,383.0392,-27.70899
2.350,383.0733,-28.32949
2.360,383.1153,-28.86465
2.370,383.0621,-29.54609
2.380,383.1292,-29.71702
2.390,383.1228,-30.21062
2.400,383.236,-30.81496
2.410,383.2841,-31.34422
2.420,383.3554,-31.93118
2.430,383.5586,-32.10717
2.440,383.6568,-32.85147
2.450,383.7348,-33.52442
