Timestamp,X-coordinate,Y-coordinate
0.000,-12.89832,4.231767
0.010,-12.70178,3.653464
0.020,-13.03622,3.141878
0.030,-13.34321,2.323801
0.040,-13.42556,1.89553
0.050,-13.58123,1.084187
0.060,-13.3979,0.7311281
0.070,-13.48099,0.5653611
0.080,-13.42605,0.01874311
0.090,-13.31355,-0.3852028
0.100,-13.39613,-0.8607928
0.110,-13.25636,-1.043714
0.120,-13.57615,-1.692824
0.130,-13.53104,-2.15384
0.140,-13.56945,-2.193674
0.150,-13.59338,-2.723545
0.160,-13.62752,-3.077733
0.170,-13.84657,-3.666044
0.180,-13.78197,-4.048273
0.190,-13.8505,-4.164238
0.200,-14.07425,-4.56285
0.210,-14.05157,-4.706042
0.220,-14.04184,-4.817239
0.230,-14.23969,-5.112405
0.240,-14.29038,-5.47914
0.250,-14.17528,-5.758354
0.260,-14.24797,-5.969652
0.270,-14.33186,-6.284075
0.280,-14.52316,-6.512458
0.290,-14.65735,-6.615489
0.300,-14.55212,-6.890079
0.310,-14.51696,-6.879204
0.320,-14.31308,-7.133991
0.330,-14.67055,-7.102926
0.340,-14.52901,-7.298095
0.350,-14.3409,-7.824375
0.360,-14.43471,-7.991242
0.370,-14.40606,-8.429726
0.380,-14.1016,-8.501254
0.390,-13.92187,-8.768812
0.400,-13.85347,-9.155563
0.410,-13.89756,-9.234962
0.420,-13.92217,-9.237601
0.430,-13.83641,-9.856912
0.440,-13.76661,-9.836032
0.450,-13.52057,-10.33822
0.460,-13.37141,-10.88007
0.470,-13.28721,-10.93078
0.480,-13.37342,-11.10137
0.490,-13.50649,-11.30957
0.500,-13.40447,-11.58737
0.510,-13.56737,-11.91952
0.520,-13.58241,-12.07006
0.530,-13.75746,-12.37113
0.540,-13.72786,-12.5081
0.550,-13.95748,-12.39974
0.560,-13.68413,-12.51908
0.570,-13.80985,-12.89635
0.580,-13.52616,-13.11186
0.590,-13.52877,-13.01675
0.600,-13.84317,-13.38573
0.610,-13.78134,-13.51258
0.620,-13.56854,-13.59991
0.630,-13.54828,-13.93843
0.640,-13.43915,-14.28876
0.650,-13.54674,-14.33552
0.660,-13.38773,-14.48217
0.670,-13.53283,-14.59408
0.680,-13.2182,-14.73273
0.690,-13.01494,-14.98004
0.700,-13.12152,-15.22783
0.710,-12.78826,-15.6023
0.720,-12.62969,-15.90692
0.730,-12.50147,-16.15436
0.740,-12.31716,-16.66013
0.750,-12.20198,-16.99872
0.760,-11.91682,-17.22744
0.770,-11.92366,-17.30773
0.780,-11.85203,-17.76285
0.790,-11.87732,-18.04578
0.800,-11.6927,-18.36174
0.810,-11.68539,-18.72196
0.820,-11.20502,-19.519
0.830,-11.28805,-19.96479
0.840,-10.99579,-20.54167
0.850,-10.92871,-20.90966
0.860,-10.82209,-21.36265
0.870,-11.12874,-22.12784
0.880,-11.09906,-22.6854
0.890,-10.93023,-23.29357
0.900,-10.77735,-23.91342
0.910,-10.65411,-24.77284
0.920,-10.53683,-25.4543
0.930,-10.5638,-26.20959
0.940,-10.39735,-27.45435
0.950,-10.60827,-28.46665
0.960,-10.81023,-29.28897
0.970,-10.79213,-30.24235
0.980,-10.91852,-31.00402
0.990,-11.11585,-31.80038
1.000,-11.57299,-33.05975
1.010,-11.8351,-34.38261
1.020,-11.63988,-35.59393
