Timestamp,X-coordinate,Y-coordinate
0.000,-377.4936,32.68475
0.010,-377.5871,32.25175
0.020,-377.5634,31.98875
0.030,-377.6563,31.58657
0.040,-377.6389,31.49425
0.050,-377.7113,30.84417
0.060,-377.531,31.0865
0.070,-377.5688,30.96817
0.080,-377.6521,30.62866
0.090,-377.6439,30.35006
0.100,-377.6504,30.14697
0.110,-377.6085,30.24005
0.120,-377.6435,29.94331
0.130,-377.63,29.55933
0.140,-377.6836,29.90373
0.150,-377.5554,29.3146
0.160,-377.5914,29.38917
0.170,-377.5823,28.93179
0.180,-377.579,28.74132
0.190,-377.5554,28.88539
0.200,-377.6707,28.48241
0.210,-377.5499,28.7106
0.220,-377.5757,28.75282
0.230,-377.5981,28.5062
0.240,-377.5605,27.97421
0.250,-377.6523,27.99445
0.260,-377.4857,27.7809
0.270,-377.498,27.34144
0.280,-377.4562,27.33393
0.290,-377.5421,27.37384
0.300,-377.4809,27.21272
0.310,-377.3741,27.51154
0.320,-377.3233,27.16279
0.330,-377.4113,27.13934
0.340,-377.2288,27.0301
0.350,-377.2253,26.50241
0.360,-377.2224,26.54519
0.370,-377.1699,26.16002
0.380,-377.1449,26.45621
0.390,-377.1171,26.00702
0.400,-377.0597,25.73918
0.410,-377.085,25.74151
0.420,-377.0262,25.81311
0.430,-377.0008,25.1517
0.440,-377.0263,25.23851
0.450,-376.9995,24.49489
0.460,-376.9227,24.02697
0.470,-376.8577,24.06521
0.480,-376.9455,23.85083
0.490,-376.9483,23.94609
0.500,-376.832,23.45137
0.510,-376.8434,23.03837
0.520,-376.795,22.85829
0.530,-376.7552,22.60289
0.540,-376.7629,22.38766
0.550,-376.7053,22.7501
0.560,-376.7209,22.57903
0.570,-376.7743,22.33556
0.580,-376.8064,22.47521
0.590,-376.7107,22.66716
0.600,-376.7274,22.32661
0.610,-376.7603,22.40715
0.620,-376.7475,22.36179
0.630,-376.7847,22.155
0.640,-376.8539,22.02143
0.650,-376.8013,22.02797
0.660,-376.8605,21.98347
0.670,-376.804,21.87698
0.680,-376.8541,22.07158
0.690,-376.8892,21.72162
0.700,-376.9566,21.52056
0.710,-377.0389,21.42834
0.720,-377.1512,20.92823
0.730,-377.2083,20.64875
0.740,-377.2026,20.00593
0.750,-377.2513,19.5698
0.760,-377.2352,19.44097
0.770,-377.3797,19.37716
0.780,-377.3235,19.02163
0.790,-377.3365,18.70839
0.800,-377.2996,18.50694
0.810,-377.3618,18.54191
0.820,-377.2517,18.03195
0.830,-377.3176,17.44602
0.840,-377.3085,17.65981
0.850,-377.3417,17.39301
0.860,-377.3846,17.03906
0.870,-377.4832,16.46016
0.880,-377.4234,16.51159
0.890,-377.4201,16.30146
0.900,-377.2765,15.7217
0.910,-377.3358,15.27341
0.920,-377.1119,15.04035
0.930,-377.2139,14.75607
0.940,-377.1299,14.0142
0.950,-377.1339,13.96424
0.960,-377.1626,13.88724
0.970,-377.153,13.72939
0.980,-377.0147,13.23872
0.990,-376.8857,13.1751
1.000,-376.8675,12.66382
1.010,-376.84,11.96076
1.020,-376.6753,11.16385
1.030,-376.6559,11.00563
1.040,-376.4954,10.22433
1.050,-376.5204,9.091429
1.060,-376.4758,7.864929
1.070,-376.2815,6.486901
1.080,-376.1083,3.263834
1.090,-376.0373,-0.9465805
1.100,-375.9371,-4.846516
1.110,-376.0534,-8.504886
1.120,-376.2838,-10.04783
1.130,-376.1469,-10.40034
1.140,-376.0016,-9.921629
1.150,-375.9228,-9.107483
1.160,-375.7013,-8.056707
1.170,-375.6193,-6.045593
1.180,-375.3425,-3.3235
1.190,-375.34,-1.817661
1.200,-375.2483,0.6647069
1.210,-375.2468,3.01302
1.220,-375.1205,5.393378
1.230,-375.2327,7.763144
1.240,-375.2925,9.630457
1.250,-375.3803,10.94579
1.260,-375.2956,12.24452
1.270,-375.2996,12.63497
1.280,-374.9645,12.02982
1.290,-374.9726,9.717408
1.300,-374.6434,6.02415
1.310,-374.6692,-0.1638027
1.320,-374.7041,-5.633576
1.330,-374.5333,-9.178242
1.340,-374.5783,-11.75481
1.350,-374.5791,-12.78056
1.360,-374.7538,-13.2118
1.370,-374.7586,-13.07829
1.380,-374.7893,-12.93811
1.390,-374.7392,-11.36774
1.400,-374.6023,-10.50761
1.410,-374.7746,-9.096774
1.420,-374.9808,-8.106906
1.430,-375.0825,-6.970338
1.440,-375.1924,-4.878638
1.450,-375.4922,-2.390859
1.460,-375.7598,-1.350986
1.470,-375.8304,0.5517689
1.480,-376.2115,1.878641
1.490,-376.3231,3.06406
1.500,-376.622,3.626709
1.510,-376.7499,4.360761
1.520,-376.9031,4.988766
1.530,-376.8033,4.677613
1.540,-376.8931,4.922942
1.550,-376.9389,4.215188
1.560,-377.0359,3.944418
1.570,-377.1102,3.779479
1.580,-377.1689,3.548392
1.590,-377.2715,3.154788
1.600,-377.3506,2.678906
1.610,-377.4954,2.147789
1.620,-377.4312,1.723458
1.630,-377.463,1.734435
1.640,-377.4354,1.37936
1.650,-377.5642,0.8429228
1.660,-377.5901,0.8193401
1.670,-377.6012,0.6254741
1.680,-377.5131,1.183458
1.690,-377.6249,0.7394853
1.700,-377.5437,1.324673
1.710,-377.4189,1.335102
1.720,-377.6588,1.851368
1.730,-377.8021,2.070466
1.740,-377.9062,2.572708
1.750,-377.9476,2.742373
1.760,-377.9917,2.465749
1.770,-378.0373,2.408633
1.780,-378.1386,2.531319
1.790,-378.1681,2.959914
1.800,-378.2743,2.596381
1.810,-378.1999,2.558582
1.820,-378.2929,2.190242
1.830,-378.2171,2.239471
1.840,-378.2166,1.796386
1.850,-378.3073,1.484203
1.860,-378.3995,0.6330614
1.870,-378.4649,-0.01295597
1.880,-378.3465,-0.6357187
1.890,-378.4095,-1.389605
1.900,-378.6352,-2.453222
1.910,-378.8027,-3.926133
1.920,-378.8952,-4.937364
1.930,-378.9802,-6.11761
1.940,-379.1928,-7.014067
1.950,-379.4763,-8.014464
1.960,-379.4854,-8.652966
1.970,-379.5638,-9.382472
1.980,-379.7761,-9.830387
1.990,-379.741,-10.49992
2.000,-379.8841,-11.21685
2.010,-379.9722,-11.28417
2.020,-380.1665,-11.51727
2.030,-380.2561,-12.19071
2.040,-380.2716,-12.17802
2.050,-380.1579,-12.59625
2.060,-380.1426,-12.42255
2.070,-380.0932,-12.60092
2.080,-379.9927,-12.02636
2.090,-379.8206,-11.53221
2.100,-379.7952,-11.35301
2.110,-379.7099,-10.56383
2.120,-379.6076,-8.974063
2.130,-379.4277,-7.854796
2.140,-379.2804,-7.125335
2.150,-379.1996,-5.930923
2.160,-379.0814,-4.731505
2.170,-379.0348,-3.33425
2.180,-378.9261,-2.34774
2.190,-378.7431,-1.177226
2.200,-378.7548,-1.162585
2.210,-378.6786,-0.3561351
2.220,-378.6837,-0.4773091
2.230,-378.4331,0.8047851
2.240,-378.5035,0.9525259
2.250,-378.4928,1.085089
2.260,-378.4314,1.856426
2.270,-378.3698,2.5301
2.280,-378.2398,2.947
2.290,-378.2133,3.559371
2.300,-378.2221,4.365752
2.310,-378.2204,5.076654
2.320,-377.9995,5.889235
2.330,-378.0762,6.110917
2.340,-378.054,7.035386
2.350,-378.001,7.447887
2.360,-378.0894,7.649342
2.370,-378.1184,7.649833
2.380,-377.9413,8.259594
2.390,-377.8864,9.166147
2.400,-377.8267,9.400547
2.410,-377.7388,10.0585
2.420,-377.7361,11.3348
2.430,-377.6277,12.94094
2.440,-377.5774,13.55794
2.450,-377.6344,14.74059
2.460,-377.6229,15.34938
2.470,-377.5236,16.8412
2.480,-377.3968,18.02804
2.490,-377.3758,18.81805
2.500,-377.1922,19.90123
2.510,-377.1692,20.67774
2.520,-376.9488,22.33885
2.530,-376.936,23.10054
2.540,-376.8834,23.88524
2.550,-376.9153,25.20104
2.560,-376.6454,26.0192
2.570,-376.7611,27.10254
2.580,-376.7205,27.58205
2.590,-376.6053,28.12547
2.600,-376.6612,28.41397
2.610,-376.6685,29.02146
2.620,-376.7535,29.25367
2.630,-376.6396,30.17602
2.640,-376.6538,30.14935
2.650,-376.6692,30.26054
2.660,-376.6993,30.67494
2.670,-376.7123,30.72867
2.680,-376.7277,30.59472
2.690,-376.7586,30.8583
2.700,-376.7159,30.78992
2.710,-376.7919,30.51293
2.720,-376.6519,31.33338
2.730,-376.6827,31.27882
2.740,-376.5901,31.60653
2.750,-376.5852,31.68646
2.760,-376.5996,31.89708
2.770,-376.6164,32.20382
2.780,-376.6629,32.12794
2.790,-376.6212,32.43744
2.800,-376.6665,32.6585
2.810,-376.6213,32.56254
2.820,-376.5182,32.88613
2.830,-376.6546,33.26743
2.840,-376.6166,33.74359
2.850,-376.7476,33.92439
2.860,-376.7573,34.49181
2.870,-376.6792,34.41101
2.880,-376.6444,34.69297
2.890,-376.547,34.9535
2.900,-376.5409,35.27453
2.910,-376.4951,36.0071
2.920,-376.5616,36.27596
2.930,-376.641,36.73976
2.940,-376.6107,36.98222
2.950,-376.5078,37.21334
2.960,-376.6495,37.66901
2.970,-376.651,38.03704
2.980,-376.648,37.75914
2.990,-376.6688,37.62407
3.000,-376.6655,37.75116
3.010,-376.6838,37.62827
3.020,-376.7241,37.41206
3.030,-376.8131,36.66418
3.040,-376.7,37.00008
3.050,-376.7319,36.02415
3.060,-376.7537,35.79475
3.070,-376.8499,35.43779
3.080,-376.7429,34.38256
3.090,-376.7296,33.10123
3.100,-376.837,31.85569
3.110,-376.8019,30.73554
3.120,-376.7712,29.44753
3.130,-376.5164,28.10782
3.140,-376.6301,26.70979
3.150,-376.5435,25.28726
3.160,-376.5786,23.44279
3.170,-376.574,22.26136
3.180,-376.5823,21.30745
3.190,-376.5812,20.08938
3.200,-376.7135,18.17952
3.210,-376.6999,16.56654
3.220,-376.8934,14.97749
3.230,-376.9849,13.95757
3.240,-377.1254,13.12214
