Timestamp,X-coordinate,Y-coordinate
0.000,379.8091,-26.41509
0.010,379.6803,-27.09992
0.020,379.7041,-27.93763
0.030,379.7432,-29.25013
0.040,379.7043,-30.05316
0.050,379.805,-31.06687
0.060,379.835,-32.0501
0.070,379.888,-32.28254
0.080,379.9715,-33.04278
0.090,380.0757,-33.57191
0.100,379.9907,-34.34852
0.110,380.0355,-34.81229
0.120,380.0423,-35.89684
0.130,379.9955,-36.43018
0.140,380.043,-36.89142
0.150,380.0502,-37.37445
0.160,380.0233,-38.19283
0.170,380.144,-38.97531
0.180,380.1865,-39.55727
0.190,380.2114,-39.97239
0.200,380.2268,-40.39869
0.210,380.2965,-40.95872
0.220,380.2858,-41.23091
0.230,380.1956,-41.60631
0.240,380.2745,-41.81441
0.250,380.3004,-42.38972
0.260,380.3305,-42.63226
0.270,380.3243,-42.82525
0.280,380.3083,-43.33363
0.290,380.3793,-43.6163
0.300,380.4187,-44.00373
0.310,380.5332,-44.32114
0.320,380.4594,-44.43163
0.330,380.4313,-44.40004
0.340,380.4552,-44.68189
0.350,380.4405,-45.16843
0.360,380.502,-45.58817
0.370,380.572,-46.09111
0.380,380.5373,-46.50106
0.390,380.5168,-46.53618
0.400,380.632,-47.05543
0.410,380.632,-47.2298
0.420,380.5728,-47.3185
0.430,380.633,-47.88329
0.440,380.5643,-47.91066
0.450,380.6454,-48.11216
0.460,380.6368,-48.71148
0.470,380.5674,-48.84182
0.480,380.5794,-48.97424
0.490,380.6138,-49.54119
0.500,380.6949,-49.58324
0.510,380.7085,-49.86052
0.520,380.6734,-49.98369
0.530,380.5925,-50.36588
0.540,380.636,-50.41526
0.550,380.629,-50.63472
0.560,380.5768,-50.63593
0.570,380.6006,-51.18063
0.580,380.5237,-51.71312
0.590,380.4842,-51.72991
0.600,380.3064,-52.17498
0.610,380.3522,-52.51534
0.620,380.2776,-52.59826
0.630,380.2046,-53.06416
0.640,380.2171,-53.62053
0.650,380.0996,-53.74138
0.660,380.0362,-53.95269
0.670,379.9948,-54.10278
0.680,379.9775,-54.52882
0.690,379.9473,-54.61562
0.700,379.9092,-54.92506
0.710,380.0317,-55.53736
0.720,379.9717,-55.57955
0.730,379.9074,-55.75294
0.740,379.8742,-56.07006
0.750,379.7899,-56.26619
0.760,379.7704,-56.54259
0.770,379.7356,-56.62293
0.780,379.7384,-57.17619
0.790,379.7392,-57.4306
0.800,379.7541,-57.83618
0.810,379.6418,-58.59974
0.820,379.5877,-59.60852
0.830,379.715,-59.92806
0.840,379.8069,-61.29713
0.850,379.7974,-61.75387
0.860,379.7582,-62.2805
0.870,379.9202,-63.31689
0.880,379.9827,-64.53144
0.890,379.9317,-65.52172
0.900,379.9817,-66.17214
0.910,380.0478,-67.44239
0.920,380.0382,-68.60016
0.930,380.0975,-69.85801
0.940,380.2556,-71.62769
0.950,380.248,-73.71416
0.960,380.3056,-75.38363
0.970,380.3985,-77.19421
0.980,380.4246,-78.29785
0.990,380.5086,-79.95497
1.000,380.5042,-82.13566
1.010,380.6449,-84.21437
1.020,380.6769,-85.8462
1.030,380.7386,-88.56728
1.040,380.9101,-91.16048
1.050,380.738,-93.87647
1.060,380.7998,-97.67626
1.070,380.6856,-100.0526
1.080,380.8264,-103.2028
1.090,380.9769,-106.4454
1.100,380.8579,-108.181
1.110,380.8248,-110.8565
1.120,380.7624,-111.0052
1.130,380.8564,-111.3407
1.140,380.7762,-111.4927
1.150,380.811,-111.0803
1.160,380.7901,-110.5584
1.170,380.7762,-109.2063
1.180,380.833,-108.5743
1.190,380.7874,-108.1202
1.200,380.8726,-106.9859
1.210,380.7687,-106.0563
1.220,380.7732,-105.7439
1.230,380.7719,-105.3612
1.240,380.7556,-105.0576
1.250,380.7201,-104.9575
1.260,380.86,-105.2704
1.270,380.9208,-105.8198
1.280,380.8338,-106.6555
1.290,380.8286,-107.2393
1.300,380.8181,-107.7172
1.310,380.9326,-107.6546
1.320,380.9817,-107.3406
1.330,381.1433,-106.441
1.340,381.2683,-104.7554
1.350,381.271,-102.8976
1.360,381.5032,-100.8662
1.370,381.5339,-98.0643
1.380,381.5874,-93.95153
1.390,381.5752,-90.42712
1.400,381.5422,-85.56957
1.410,381.5353,-80.44583
1.420,381.5464,-75.51557
1.430,381.1848,-70.69023
1.440,380.9913,-65.83652
1.450,380.9251,-61.19008
1.460,380.9214,-58.03551
1.470,380.8985,-54.61136
1.480,381.0641,-51.66576
1.490,381.2347,-48.47367
1.500,381.1822,-46.22445
1.510,381.1129,-44.2658
1.520,381.2979,-41.41576
1.530,381.3115,-39.77976
1.540,381.215,-38.27236
1.550,381.2415,-36.72128
1.560,381.2411,-35.68472
1.570,381.2289,-35.15199
1.580,381.1608,-34.67997
1.590,381.2331,-34.37197
1.600,381.204,-34.50233
1.610,381.1098,-34.16175
1.620,381.141,-34.40946
1.630,381.0743,-34.54192
1.640,381.1985,-34.76702
1.650,381.1556,-35.11668
1.660,381.2012,-34.9439
1.670,381.1443,-35.2722
1.680,381.153,-35.50926
1.690,381.0893,-35.43272
1.700,381.1319,-35.24741
