Timestamp,X-coordinate,Y-coordinate
0.000,-403.4949,-114.1424
0.010,-403.5186,-113.0922
0.020,-403.4729,-112.1594
0.030,-403.5197,-110.9846
0.040,-403.3229,-109.7628
0.050,-403.2209,-108.9406
0.060,-403.1174,-108.7209
0.070,-403.0385,-108.0361
0.080,-402.9798,-107.3638
0.090,-402.788,-106.9729
0.100,-402.7086,-106.8603
0.110,-402.6093,-106.9535
0.120,-402.4679,-106.6847
0.130,-402.3741,-106.7337
0.140,-402.1544,-106.7317
0.150,-402.028,-106.6334
0.160,-401.9154,-107.0294
0.170,-401.7497,-107.2772
0.180,-401.6489,-107.773
0.190,-401.4373,-108.0592
0.200,-401.3176,-108.5859
0.210,-401.3069,-108.8754
0.220,-401.1463,-109.4695
0.230,-401.0764,-109.8832
0.240,-401.0175,-110.5242
0.250,-400.8472,-110.8789
0.260,-400.8344,-111.2218
0.270,-400.8175,-111.8732
0.280,-400.7574,-112.1331
0.290,-400.6285,-112.5235
0.300,-400.5147,-112.7538
0.310,-400.5218,-112.6718
0.320,-400.4936,-112.6454
0.330,-400.4121,-112.7193
0.340,-400.4086,-112.7124
0.350,-400.355,-112.4669
0.360,-400.3666,-112.4688
0.370,-400.2983,-112.4377
0.380,-400.0835,-111.7752
0.390,-400.0187,-111.244
0.400,-399.8859,-110.6696
0.410,-399.774,-110.2256
0.420,-399.5814,-109.0602
0.430,-399.4763,-108.5811
0.440,-399.2245,-107.4344
0.450,-398.9635,-106.5923
0.460,-398.6539,-105.6169
0.470,-398.5238,-105.2032
0.480,-398.2378,-104.3534
0.490,-398.0808,-103.842
0.500,-397.8123,-103.3039
0.510,-397.6123,-102.7998
0.520,-397.4149,-102.3784
0.530,-397.2823,-102.0412
0.540,-397.1077,-101.8234
0.550,-396.9654,-101.2541
0.560,-396.9055,-101.2758
0.570,-396.7747,-100.9284
0.580,-396.676,-100.5578
0.590,-396.5892,-100.5395
0.600,-396.4924,-100.1275
0.610,-396.3356,-100.0081
0.620,-396.3362,-99.91566
0.630,-396.214,-99.38548
0.640,-396.2007,-99.80591
0.650,-396.12,-99.4539
0.660,-396.085,-99.01958
0.670,-396.0933,-98.96903
0.680,-396.1051,-99.11073
0.690,-396.1391,-99.17007
0.700,-396.1032,-99.01493
0.710,-396.1961,-98.96917
0.720,-396.1832,-98.74584
0.730,-396.2298,-98.60459
0.740,-396.366,-98.93291
0.750,-396.4344,-98.99198
0.760,-396.6896,-99.12425
0.770,-396.8358,-99.50238
0.780,-397.1037,-99.70232
0.790,-397.3123,-99.88375
0.800,-397.541,-99.93728
0.810,-397.822,-100.0093
0.820,-397.998,-99.55035
0.830,-398.2167,-99.72681
0.840,-398.4224,-99.68063
0.850,-398.6304,-99.67149
0.860,-398.8566,-99.64851
0.870,-399.0946,-99.76549
0.880,-399.2444,-99.9692
0.890,-399.4174,-100.0002
0.900,-399.5986,-100.2982
0.910,-399.8092,-100.5298
0.920,-399.9562,-100.7845
0.930,-400.1293,-100.9219
0.940,-400.3232,-101.3491
0.950,-400.5309,-101.3327
0.960,-400.6804,-101.7644
0.970,-400.8231,-102.6207
0.980,-400.9666,-102.6536
0.990,-401.1329,-103.1563
1.000,-401.3983,-103.6772
1.010,-401.6922,-104.1947
1.020,-401.8531,-104.632
1.030,-402.0901,-105.2007
1.040,-402.2453,-105.895
1.050,-402.4395,-106.5749
1.060,-402.526,-106.9101
1.070,-402.8397,-108.0688
1.080,-403.0525,-108.8135
1.090,-403.2734,-109.6365
1.100,-403.4895,-110.3107
1.110,-403.6021,-110.967
1.120,-403.8607,-111.7702
1.130,-404.1635,-112.2338
1.140,-404.3447,-112.8203
1.150,-404.5352,-113.5904
