Timestamp,X-coordinate,Y-coordinate
0.000,-343.6392,-158.3981
0.010,-345.3127,-158.4997
0.020,-346.8635,-159.1183
0.030,-349.0595,-159.6938
0.040,-349.5957,-159.9021
0.050,-350.19,-159.7757
0.060,-350.6354,-160.1596
0.070,-350.9789,-160.6654
0.080,-351.5433,-160.9229
0.090,-351.7516,-160.7825
0.100,-351.7311,-160.6111
0.110,-351.6425,-160.7916
0.120,-350.945,-160.1574
0.130,-351.0164,-159.9196
0.140,-349.3437,-159.7112
0.150,-345.5262,-160.9303
0.160,-341.8019,-162.4937
0.170,-327.2313,-161.9607
0.180,-315.8688,-159.0854
0.190,-310.0144,-160.243
0.200,-292.9021,-161.4037
0.210,-271.1198,-163.098
0.220,-246.565,-164.3932
0.230,-222.1367,-164.7563
0.240,-192.8758,-166.2908
0.250,-163.6052,-166.4287
0.260,-133.0254,-164.6979
0.270,-100.1622,-161.9938
0.280,-66.48906,-162.3175
0.290,-32.36193,-157.0514
0.300,3.917778,-152.7792
0.310,39.15864,-147.6154
0.320,77.07469,-142.7736
0.330,112.1916,-140.0628
0.340,148.0587,-137.8985
0.350,180.1487,-136.951
0.360,202.2305,-140.9442
0.370,224.6458,-149.2192
0.380,242.4115,-157.6625
0.390,259.0105,-166.7677
0.400,274.1234,-177.7659
0.410,284.6445,-185.67
0.420,289.4694,-190.1045
0.430,293.7346,-193.7087
0.440,296.9927,-197.6326
0.450,299.9878,-200.0872
0.460,302.8972,-203.2917
0.470,306.0216,-205.5458
0.480,307.5622,-207.0508
0.490,309.7701,-209.2465
0.500,311.7045,-210.3676
0.510,313.5585,-211.9942
0.520,315.9077,-213.6276
0.530,314.4292,-214.3031
0.540,303.1016,-211.4806
0.550,284.7755,-202.0137
0.560,278.511,-201.8088
0.570,272.0654,-206.9138
0.580,255.0226,-208.0027
0.590,238.3913,-207.7671
0.600,222.3955,-207.9681
0.610,206.5208,-206.8948
0.620,193.2926,-205.9084
0.630,182.0695,-203.7234
0.640,172.0667,-201.0185
0.650,162.4119,-197.3662
0.660,153.6136,-195.1763
0.670,146.3478,-192.1727
0.680,138.8675,-188.9852
0.690,132.4172,-186.4407
0.700,126.3031,-183.8235
0.710,120.6601,-182.06
0.720,115.4082,-180.3647
0.730,111.3346,-178.6235
0.740,107.5347,-177.18
0.750,103.26,-175.636
0.760,99.05215,-174.7253
0.770,96.01529,-173.5741
0.780,92.6832,-172.0564
0.790,89.87804,-171.545
0.800,86.21976,-170.1145
0.810,83.04324,-168.8127
0.820,79.93346,-168.0258
0.830,76.35944,-166.3103
0.840,72.9938,-165.5175
0.850,70.99227,-164.1455
0.860,68.43816,-163.0928
0.870,66.30257,-161.4364
0.880,64.09981,-160.1074
0.890,62.13721,-158.9621
0.900,60.07492,-157.3089
0.910,58.306,-156.1167
0.920,56.38515,-154.6257
0.930,54.40978,-153.0633
0.940,52.74947,-151.1809
0.950,51.21896,-149.3538
0.960,49.64353,-147.3847
0.970,48.72599,-145.9671
0.980,47.63588,-144.9171
0.990,46.18348,-143.083
1.000,44.6221,-141.8935
1.010,43.63872,-140.5791
1.020,41.93575,-139.2204
1.030,39.82454,-137.7941
1.040,38.16824,-136.2305
1.050,36.66853,-135.0344
1.060,35.41963,-133.0137
1.070,33.80169,-131.4906
1.080,32.2899,-129.7028
1.090,30.98171,-127.8905
1.100,29.41637,-126.104
1.110,27.88229,-124.0876
1.120,26.17271,-122.007
1.130,24.88306,-120.1638
1.140,22.95294,-118.0298
1.150,20.93108,-115.6189
1.160,19.08712,-113.7884
1.170,17.02679,-110.9957
1.180,15.6826,-108.899
1.190,14.2355,-106.9833
1.200,13.18375,-105.8293
1.210,11.92045,-104.4534
1.220,10.95777,-102.8653
1.230,9.959824,-101.2884
1.240,8.836568,-99.45167
1.250,8.142402,-98.43528
1.260,7.136241,-97.77102
1.270,6.6439,-96.87229
1.280,6.066733,-96.25673
1.290,5.577834,-95.777
1.300,4.651481,-95.23746
1.310,4.108111,-94.5734
1.320,3.239056,-94.427
1.330,2.381183,-93.64252
1.340,1.660035,-92.99293
1.350,0.945176,-92.8704
1.360,-0.2574267,-92.77177
1.370,-1.261657,-92.70981
1.380,-1.759046,-92.48299
1.390,-2.427839,-92.50204
1.400,-3.205922,-92.38284
1.410,-3.543936,-91.89919
1.420,-4.402402,-91.71669
1.430,-4.809286,-91.47492
1.440,-4.917699,-91.52779
1.450,-5.545519,-91.36253
1.460,-5.908115,-91.21877
1.470,-6.605381,-90.84165
1.480,-6.75264,-90.68108
1.490,-7.078536,-90.70701
1.500,-7.355992,-90.68597
1.510,-7.7486,-90.50843
1.520,-7.870664,-90.33087
1.530,-8.394408,-90.30676
1.540,-8.43919,-90.24114
1.550,-8.73873,-90.06879
1.560,-9.108328,-90.27164
1.570,-9.250235,-90.17313
1.580,-9.769464,-90.35816
1.590,-9.970383,-90.16216
1.600,-10.34479,-90.32079
1.610,-10.53009,-90.11101
1.620,-11.52321,-90.03815
1.630,-12.23289,-89.59026
1.640,-12.95412,-89.44135
1.650,-13.75613,-88.79574
1.660,-14.67635,-87.9744
1.670,-15.18558,-87.63036
1.680,-16.22799,-86.81744
1.690,-16.88672,-85.81863
1.700,-17.72851,-85.05597
1.710,-18.57846,-83.82468
1.720,-18.49725,-82.87603
1.730,-19.05815,-81.67947
1.740,-19.35608,-80.6675
1.750,-19.45267,-79.53469
1.760,-19.88671,-78.87133
1.770,-20.21825,-77.86349
1.780,-20.52654,-76.69127
1.790,-20.84585,-75.88577
1.800,-20.91167,-75.36583
1.810,-21.21552,-74.49919
1.820,-21.26789,-73.50944
1.830,-21.46946,-73.14792
1.840,-21.30589,-72.16977
1.850,-21.60526,-71.71307
1.860,-21.79802,-71.4811
1.870,-21.96971,-70.93781
1.880,-22.11036,-70.15197
1.890,-22.43434,-69.11951
1.900,-22.96101,-68.91231
1.910,-23.44377,-67.81548
1.920,-24.0154,-66.52605
1.930,-24.31637,-66.12099
1.940,-25.04501,-65.03813
1.950,-25.7782,-64.11872
1.960,-26.05304,-63.39338
1.970,-26.44134,-61.50391
1.980,-27.1747,-60.40711
1.990,-27.62209,-59.22665
2.000,-28.08666,-57.99758
2.010,-29.06471,-56.99396
2.020,-29.65435,-55.85845
2.030,-30.28979,-54.99351
2.040,-31.04744,-53.73536
2.050,-31.67791,-52.76249
2.060,-32.15812,-52.28496
2.070,-32.57644,-51.95105
2.080,-33.20433,-51.29298
2.090,-33.80841,-50.619
2.100,-34.50602,-49.52328
2.110,-34.99239,-49.39075
2.120,-35.59825,-48.67539
2.130,-36.02444,-48.11671
2.140,-36.3564,-47.5327
2.150,-36.64482,-46.96568
2.160,-37.0819,-45.84922
2.170,-37.41268,-45.5583
2.180,-37.68875,-44.95197
2.190,-37.69108,-44.31765
2.200,-37.9892,-43.61645
2.210,-38.12401,-43.39558
2.220,-38.27555,-42.60387
2.230,-38.38135,-41.84416
2.240,-38.89745,-40.61887
2.250,-39.33866,-40.06916
2.260,-39.21191,-39.59967
2.270,-38.98835,-38.58566
2.280,-39.02726,-37.98887
2.290,-39.10063,-37.14086
2.300,-39.31391,-36.44917
2.310,-39.55257,-35.77496
2.320,-39.5581,-34.97796
2.330,-39.56519,-34.64529
2.340,-39.51009,-33.69209
2.350,-39.66977,-33.00318
2.360,-39.92943,-32.42932
2.370,-39.62461,-31.87037
2.380,-39.98732,-31.22144
2.390,-40.20557,-30.85367
2.400,-40.22342,-29.89565
2.410,-40.43357,-28.75422
2.420,-40.59394,-28.33532
2.430,-40.91136,-27.58612
2.440,-40.75735,-27.24099
2.450,-40.97419,-26.53624
2.460,-41.02339,-26.11126
2.470,-41.30027,-25.81248
2.480,-41.35859,-25.65403
2.490,-41.77452,-25.09254
2.500,-42.00397,-24.6775
2.510,-41.91447,-24.35002
2.520,-42.03475,-24.24236
2.530,-42.16204,-24.00169
2.540,-42.37421,-23.35705
2.550,-42.64553,-23.18516
2.560,-42.59033,-22.83484
2.570,-42.94042,-22.33659
2.580,-43.15877,-21.97473
2.590,-42.91067,-21.66613
2.600,-43.00544,-21.72558
2.610,-43.19158,-21.01464
2.620,-43.44761,-20.49619
2.630,-43.52211,-20.01427
2.640,-43.05643,-19.14333
2.650,-42.8145,-18.55938
2.660,-42.69791,-18.25487
2.670,-42.53931,-17.56669
2.680,-42.25646,-16.93817
2.690,-41.84075,-16.58101
2.700,-41.87582,-16.35535
2.710,-41.65982,-15.97161
2.720,-41.42768,-15.24317
2.730,-40.9668,-14.79537
2.740,-40.99291,-14.39936
2.750,-40.88147,-14.07922
2.760,-40.56517,-13.56225
2.770,-40.36159,-13.24045
2.780,-40.01362,-12.79229
2.790,-39.55448,-12.03037
2.800,-39.31503,-11.72793
2.810,-39.10219,-11.03092
2.820,-38.80724,-10.59614
2.830,-38.30294,-10.03091
2.840,-38.44813,-9.576545
2.850,-38.54736,-9.137405
2.860,-38.41957,-8.882027
2.870,-38.67987,-8.369728
2.880,-38.61779,-8.079021
2.890,-38.82412,-7.773636
2.900,-38.83512,-7.652487
2.910,-39.16575,-7.21539
2.920,-39.36664,-6.607585
2.930,-39.81791,-6.209661
2.940,-40.0685,-6.206711
2.950,-40.43797,-6.03579
2.960,-40.98979,-5.361339
2.970,-41.17325,-5.369169
2.980,-41.41589,-5.213502
2.990,-41.80468,-4.783928
3.000,-41.89729,-4.56466
3.010,-42.42347,-4.479643
3.020,-43.11029,-3.737879
3.030,-43.18289,-3.532243
3.040,-43.77042,-3.007565
3.050,-43.9663,-2.321204
3.060,-44.75285,-2.091777
3.070,-44.79784,-1.643653
3.080,-45.07585,-0.763113
3.090,-45.13831,-0.6298807
3.100,-45.3984,-0.1909141
3.110,-45.44337,0.4177922
3.120,-45.34435,1.061567
3.130,-45.10339,1.679253
3.140,-44.89033,2.112324
3.150,-44.54947,2.717454
3.160,-44.34259,3.141165
3.170,-44.08226,3.667232
3.180,-43.63717,4.497594
3.190,-43.3099,4.888696
3.200,-42.83929,5.168079
3.210,-42.54259,5.751979
3.220,-41.99995,6.222678
3.230,-41.70641,7.120558
3.240,-40.99691,7.706583
3.250,-40.52493,8.087426
3.260,-40.19293,8.817584
3.270,-39.85766,9.028497
3.280,-39.59044,9.302183
3.290,-39.29636,9.677729
3.300,-39.03281,10.05102
3.310,-38.76352,10.67586
3.320,-38.54422,10.98079
3.330,-38.29113,11.75784
3.340,-37.94504,12.20833
3.350,-37.7986,12.72416
3.360,-37.48786,12.87943
3.370,-37.35586,13.37979
