Timestamp,X-coordinate,Y-coordinate
0.000,380.3131,-71.84152
0.010,380.3882,-71.67841
0.020,380.4937,-71.7114
0.030,380.5456,-71.21026
0.040,380.8086,-71.25754
0.050,380.8979,-71.1706
0.060,380.8427,-71.17944
0.070,381.0045,-70.74072
0.080,380.9707,-70.26458
0.090,381.1673,-70.17042
0.100,381.1247,-69.58128
0.110,381.2227,-68.76991
0.120,381.25,-68.55917
0.130,381.1197,-68.04559
0.140,381.2285,-67.52681
0.150,381.1411,-67.30025
0.160,381.2816,-66.91396
0.170,381.241,-66.65178
0.180,381.3333,-66.78751
0.190,381.3993,-66.78734
0.200,381.4088,-66.29528
0.210,381.5323,-66.28095
0.220,381.4247,-66.38795
0.230,381.5234,-66.47258
0.240,381.4299,-65.91998
0.250,381.6049,-66.34208
0.260,381.5994,-65.60971
0.270,381.6499,-65.75297
0.280,381.6176,-65.72163
0.290,381.6714,-65.56615
0.300,381.6819,-65.87366
0.310,381.6416,-65.85285
0.320,381.7671,-65.83525
0.330,381.7861,-65.77823
0.340,381.8799,-65.73413
0.350,381.9164,-65.9354
0.360,381.9387,-65.73658
0.370,381.8382,-65.86382
0.380,381.8653,-65.66909
0.390,381.8986,-66.05972
0.400,381.9976,-65.6306
0.410,382.0662,-65.91637
0.420,382.0884,-65.97285
0.430,382.1545,-66.30704
0.440,382.1786,-66.42541
0.450,382.1007,-66.19617
0.460,382.1846,-66.03727
0.470,382.2652,-65.85727
0.480,382.3834,-66.08397
0.490,382.4462,-66.13229
0.500,382.5712,-65.99895
0.510,382.5587,-65.86103
0.520,382.6508,-66.06174
0.530,382.6063,-65.70406
0.540,382.7005,-66.07507
0.550,382.6907,-66.12473
0.560,382.8828,-65.81001
0.570,382.9812,-65.61896
0.580,383.1139,-65.61693
0.590,383.2219,-65.69492
0.600,383.5479,-65.75183
0.610,383.9542,-65.40503
0.620,384.3433,-64.82831
0.630,384.5763,-64.72215
0.640,385.1,-64.48317
0.650,385.557,-65.00513
0.660,386.0413,-65.29597
0.670,386.3448,-65.13611
0.680,386.7829,-64.74972
0.690,387.0975,-64.12997
0.700,387.3858,-63.90438
0.710,387.6113,-63.51847
0.720,387.9347,-63.22529
0.730,388.1582,-63.31569
0.740,388.2696,-63.26012
0.750,388.2524,-62.95471
0.760,388.4325,-63.0334
0.770,388.4783,-62.75652
0.780,388.4523,-62.77801
0.790,388.5024,-62.87688
0.800,388.6491,-63.05118
0.810,388.6007,-63.10434
0.820,388.5981,-63.03131
0.830,388.6271,-63.11299
0.840,388.5407,-62.90656
0.850,388.6718,-63.17489
0.860,388.7088,-62.93049
0.870,388.6609,-63.07447
0.880,388.6973,-62.74098
0.890,388.7967,-63.02314
