Timestamp,X-coordinate,Y-coordinate
0.000,-397.6704,-42.69205
0.010,-397.4388,-42.8372
0.020,-397.2133,-43.08717
0.030,-397.0458,-43.3853
0.040,-396.89,-44.7014
0.050,-396.787,-45.82979
0.060,-396.5895,-47.63332
0.070,-396.46,-48.94939
0.080,-396.2572,-50.38396
0.090,-395.9898,-52.3573
0.100,-395.601,-55.11982
0.110,-395.3189,-60.3207
0.120,-395.235,-64.29958
0.130,-395.2067,-67.17625
0.140,-394.9811,-69.37482
0.150,-394.8611,-71.93985
0.160,-394.3002,-72.91314
0.170,-394.0494,-74.58289
0.180,-393.9308,-76.21523
0.190,-393.7451,-78.88287
0.200,-393.7642,-81.69527
0.210,-393.6208,-84.33578
0.220,-393.401,-85.83558
0.230,-393.3922,-88.82137
0.240,-393.3455,-91.09807
0.250,-393.2251,-93.47075
0.260,-393.367,-95.30982
0.270,-393.3353,-96.20458
0.280,-393.3122,-97.42318
0.290,-393.2187,-97.93412
0.300,-393.2273,-99.16563
0.310,-393.2145,-99.36488
0.320,-393.1662,-99.79091
0.330,-393.2135,-99.91394
0.340,-393.3945,-100.4844
0.350,-393.2527,-100.8833
0.360,-393.2953,-101.5846
0.370,-393.1812,-101.1947
0.380,-393.373,-102.4205
0.390,-393.4207,-102.289
0.400,-393.2511,-102.7271
0.410,-393.2778,-102.8157
0.420,-393.2253,-103.106
0.430,-393.2094,-103.251
0.440,-393.4412,-103.0538
0.450,-393.2718,-102.942
0.460,-393.3543,-103.2828
0.470,-393.4714,-103.0251
0.480,-393.4789,-103.7727
0.490,-393.4825,-103.3456
0.500,-393.4589,-103.7956
0.510,-393.4901,-103.3209
0.520,-393.4176,-103.3714
0.530,-393.4447,-102.7666
0.540,-393.444,-102.6612
0.550,-393.6064,-102.9575
0.560,-393.5588,-102.9926
0.570,-393.687,-103.2841
0.580,-393.6539,-102.9097
0.590,-393.833,-102.4653
0.600,-393.8936,-101.9905
0.610,-393.7817,-101.8132
0.620,-393.8259,-101.7632
0.630,-393.9198,-101.8028
0.640,-393.9992,-101.5556
0.650,-394.1181,-100.8505
0.660,-394.058,-100.0252
0.670,-394.2542,-99.88452
0.680,-394.2378,-99.02862
0.690,-394.2051,-98.35265
0.700,-394.248,-97.53201
0.710,-394.4606,-97.09859
0.720,-394.5283,-96.96621
0.730,-394.5018,-96.08971
0.740,-394.492,-95.22789
0.750,-394.6816,-94.88332
0.760,-394.8076,-94.5479
0.770,-394.8259,-93.29637
0.780,-394.7165,-92.74393
0.790,-394.7933,-92.0279
0.800,-394.9045,-91.77208
0.810,-394.8341,-91.29028
0.820,-394.8116,-89.90512
0.830,-394.8683,-90.15314
0.840,-394.8486,-89.54622
0.850,-394.9027,-89.17697
0.860,-394.9471,-89.36332
0.870,-394.8922,-88.6661
0.880,-394.9332,-88.8569
0.890,-394.8744,-88.07294
0.900,-394.8465,-87.73333
0.910,-394.7235,-87.39419
0.920,-394.7885,-86.91319
0.930,-394.6743,-85.60696
0.940,-394.6923,-84.96626
0.950,-394.5692,-83.67052
0.960,-394.4548,-82.73202
0.970,-394.5482,-81.83044
0.980,-394.3528,-80.62811
0.990,-394.2212,-79.83471
1.000,-394.1623,-79.01225
1.010,-394.1404,-78.39757
1.020,-394.139,-77.65954
1.030,-394.1233,-76.90321
1.040,-394.1642,-76.60783
1.050,-394.1603,-75.67435
1.060,-394.0197,-75.67638
1.070,-394.0649,-74.92907
1.080,-393.8273,-74.4195
1.090,-393.7812,-74.07087
1.100,-393.7897,-73.43267
1.110,-393.7553,-73.60955
1.120,-393.6633,-73.22645
1.130,-393.5736,-72.29779
1.140,-393.5386,-72.42033
1.150,-393.4909,-72.39352
1.160,-393.377,-72.0581
1.170,-393.3849,-71.92761
1.180,-393.4556,-72.06311
1.190,-393.3718,-71.52642
1.200,-393.3109,-71.87514
1.210,-393.4055,-71.34529
1.220,-393.4326,-71.45815
1.230,-393.3619,-71.65561
1.240,-393.3449,-71.69139
1.250,-393.4004,-71.7637
1.260,-393.4269,-71.37569
1.270,-393.4185,-71.28092
1.280,-393.3229,-71.19714
1.290,-393.2667,-71.73386
1.300,-393.3414,-70.8947
1.310,-393.3761,-71.56287
1.320,-393.3633,-71.19394
1.330,-393.324,-71.04585
1.340,-393.3218,-71.57419
1.350,-393.2842,-71.24281
1.360,-393.218,-72.05518
1.370,-393.2088,-72.20585
1.380,-393.245,-71.93417
1.390,-393.287,-72.38184
1.400,-393.1489,-72.22741
1.410,-393.0871,-72.58077
1.420,-393.191,-72.67131
1.430,-393.1263,-72.8942
1.440,-393.1471,-73.20824
1.450,-393.0943,-73.29234
1.460,-393.0253,-73.97922
1.470,-393.1169,-74.12881
1.480,-393.2036,-74.82777
1.490,-393.1995,-75.36729
1.500,-393.2204,-75.64144
1.510,-393.2477,-75.32169
1.520,-393.2068,-75.83263
1.530,-393.2404,-75.80391
1.540,-393.1924,-76.05128
1.550,-393.2827,-75.87089
1.560,-393.2504,-76.71253
