Timestamp,X-coordinate,Y-coordinate
0.000,379.8449,-54.54364
0.010,379.748,-54.13906
0.020,379.5658,-54.65422
0.030,379.6516,-55.08858
0.040,379.5856,-55.15462
0.050,379.5232,-55.70445
0.060,379.5544,-55.91234
0.070,379.5606,-56.49616
0.080,379.4872,-57.00414
0.090,379.4845,-57.02987
0.100,379.4825,-57.2208
0.110,379.4828,-57.73355
0.120,379.4657,-58.80618
0.130,379.6066,-59.05099
0.140,379.5289,-59.79529
0.150,379.5372,-60.40961
0.160,379.6962,-60.74063
0.170,379.8415,-61.65139
0.180,380.0016,-62.45163
0.190,380.1153,-62.62783
0.200,380.2939,-62.94312
0.210,380.519,-63.71986
0.220,380.6511,-64.30883
0.230,380.8764,-65.01757
0.240,381.0369,-65.38091
0.250,381.0498,-66.06574
0.260,381.1204,-65.95092
0.270,381.1249,-66.55072
0.280,381.283,-66.68245
0.290,381.3476,-67.43049
0.300,381.4536,-67.72964
0.310,381.4701,-67.80527
0.320,381.6014,-68.40916
0.330,381.5731,-68.26502
0.340,381.6183,-68.53767
0.350,381.6282,-68.91707
0.360,381.662,-69.29075
0.370,381.6934,-69.46883
0.380,381.7713,-70.27026
0.390,381.7704,-70.23639
0.400,381.831,-70.22562
0.410,381.7682,-70.1862
0.420,381.7792,-70.28413
0.430,381.8604,-70.48973
0.440,381.7717,-70.37679
0.450,381.7761,-70.2647
0.460,381.6903,-70.73918
0.470,381.9024,-71.2924
0.480,381.8828,-71.46146
0.490,381.8533,-71.4766
0.500,381.8317,-71.51147
0.510,381.8412,-71.94136
0.520,381.8865,-72.24142
0.530,381.8919,-72.47103
0.540,381.8565,-72.84517
0.550,381.7451,-72.96945
0.560,381.836,-73.11488
0.570,381.7777,-73.43755
0.580,381.7324,-73.59578
0.590,381.6964,-73.83021
0.600,381.7393,-74.16167
0.610,381.7413,-74.30079
0.620,381.6884,-74.51482
0.630,381.6972,-74.70731
0.640,381.8116,-74.71062
0.650,381.6938,-74.86672
0.660,381.5844,-75.03023
0.670,381.4443,-74.74668
0.680,381.5501,-75.02177
0.690,381.5494,-75.20872
0.700,381.5034,-75.35418
0.710,381.4836,-75.48981
0.720,381.4364,-75.35985
0.730,381.4563,-75.1591
0.740,381.3384,-75.24092
0.750,381.2656,-75.34303
0.760,381.2731,-74.95576
0.770,381.1885,-74.83353
0.780,381.1619,-75.03556
0.790,381.1053,-74.90741
0.800,381.0519,-74.92668
0.810,380.9968,-74.95265
0.820,380.9876,-74.9668
0.830,381.0473,-74.89204
0.840,380.9916,-75.1358
0.850,380.9772,-75.3465
0.860,380.9727,-75.84441
0.870,381.0238,-75.58437
0.880,380.9976,-75.78158
0.890,381.0461,-75.67681
0.900,381,-75.66466
0.910,380.9467,-75.75153
0.920,380.966,-76.01548
0.930,380.9094,-75.97507
0.940,380.8807,-75.56382
0.950,380.9308,-76.01048
0.960,381.0102,-75.73453
0.970,380.9156,-75.48081
0.980,381.0741,-75.46891
0.990,381.1115,-75.60793
1.000,381.0904,-75.42053
1.010,381.1298,-75.451
1.020,381.2578,-75.40067
1.030,381.482,-76.06579
1.040,381.6149,-75.75161
1.050,381.7349,-76.06805
1.060,381.9365,-76.02982
1.070,382.2127,-76.49146
1.080,382.417,-76.58845
1.090,382.5885,-76.46577
1.100,382.696,-76.37859
1.110,382.8092,-76.57341
1.120,382.8077,-76.67529
1.130,382.908,-76.88544
1.140,383.045,-76.55859
1.150,383.0768,-76.25744
1.160,383.2192,-76.35241
1.170,383.3368,-76.12434
1.180,383.4368,-76.51527
1.190,383.4803,-76.07689
1.200,383.5209,-76.55244
1.210,383.6181,-76.43633
1.220,383.6257,-76.26226
1.230,383.6646,-76.27818
1.240,383.819,-76.35807
1.250,383.7152,-75.79733
1.260,383.7231,-75.88126
1.270,383.7373,-75.88271
1.280,383.7177,-75.90511
1.290,383.7232,-75.70161
1.300,383.7135,-75.89087
1.310,383.7264,-75.93861
1.320,383.7224,-75.5079
1.330,383.7422,-75.70171
1.340,383.7113,-75.64584
1.350,383.7921,-75.71521
1.360,383.7696,-75.67924
1.370,383.7329,-75.69366
1.380,383.76,-75.75111
1.390,383.7212,-75.69575
1.400,383.7196,-75.78755
1.410,383.7758,-75.66389
1.420,383.8208,-75.59983
1.430,383.8145,-75.72739
1.440,383.6999,-75.72342
1.450,383.7367,-75.89893
1.460,383.5844,-75.70544
1.470,383.586,-75.94062
1.480,383.5418,-75.6415
1.490,383.5025,-75.90919
1.500,383.4434,-76.10255
1.510,383.4189,-75.86739
1.520,383.3471,-76.12323
1.530,383.4329,-76.17159
1.540,383.3541,-76.14742
1.550,383.2509,-75.93215
1.560,383.1398,-76.19961
1.570,383.2716,-76.35743
1.580,383.1377,-75.92377
1.590,383.0071,-76.05235
1.600,383.1192,-76.01725
1.610,382.9046,-75.47743
1.620,382.9493,-75.06153
1.630,382.6863,-74.24547
1.640,382.6477,-74.63739
1.650,382.5071,-74.30563
1.660,382.4367,-74.16148
1.670,382.285,-74.09517
1.680,382.1602,-74.11221
1.690,382.073,-74.32462
1.700,381.9114,-74.27802
1.710,381.8788,-75.00992
1.720,381.7838,-74.84142
1.730,381.5584,-75.15305
1.740,381.5662,-75.10705
1.750,381.3938,-75.95943
1.760,381.3082,-75.88821
1.770,381.4231,-76.33354
1.780,381.3013,-76.58253
1.790,381.2064,-76.8858
1.800,381.2723,-77.37749
1.810,381.1172,-78.13086
1.820,381.0121,-78.44041
1.830,381.071,-78.86077
1.840,380.9393,-79.49589
1.850,381.0507,-80.039
1.860,380.8939,-80.50896
1.870,380.8862,-81.08816
1.880,380.9158,-81.67201
1.890,380.9081,-82.19778
1.900,380.9511,-83.18798
1.910,380.829,-83.41241
1.920,380.8548,-83.95925
1.930,380.8055,-84.26645
1.940,380.7282,-84.82948
1.950,380.7345,-85.54585
1.960,380.7167,-85.52799
1.970,380.7033,-85.70273
1.980,380.5702,-86.74212
1.990,380.5365,-86.73676
2.000,380.4537,-87.2141
2.010,380.4633,-87.92527
2.020,380.3898,-88.20725
2.030,380.3664,-88.45346
2.040,380.3405,-88.76637
2.050,380.3726,-88.72313
2.060,380.2376,-89.69797
2.070,380.126,-89.97569
2.080,380.0099,-89.56561
2.090,379.9699,-89.98719
2.100,379.9696,-90.17824
2.110,379.8802,-90.44762
2.120,379.8789,-90.29202
2.130,379.8019,-90.49276
2.140,379.7772,-90.45918
2.150,379.8661,-90.5875
2.160,379.7028,-90.65298
2.170,379.7579,-90.4666
2.180,379.6538,-90.48571
2.190,379.5875,-90.50481
2.200,379.5681,-90.73829
2.210,379.5383,-90.59217
2.220,379.4806,-90.88044
2.230,379.5443,-90.89119
2.240,379.4553,-90.78071
2.250,379.4557,-90.86089
2.260,379.5158,-90.66331
2.270,379.4099,-90.65872
2.280,379.5258,-90.62997
2.290,379.4828,-90.25995
2.300,379.4444,-90.6932
2.310,379.3185,-90.24521
2.320,379.3681,-90.18649
2.330,379.3116,-89.83807
2.340,379.2812,-89.77498
2.350,379.2421,-89.71114
2.360,379.1076,-89.43748
2.370,379.1649,-89.24869
2.380,379.0979,-89.47387
2.390,379.1628,-88.93196
2.400,379.0421,-89.02082
2.410,379.1104,-89.24015
2.420,379.0641,-89.07043
2.430,379.1073,-89.17541
2.440,379.0549,-88.97253
2.450,379.0437,-89.09295
2.460,378.9742,-88.45374
2.470,378.9519,-88.43005
2.480,379.0069,-87.94836
2.490,379.0587,-88.05894
2.500,378.8801,-87.69433
2.510,378.839,-87.82138
2.520,378.8915,-87.68188
2.530,378.8808,-87.83397
2.540,378.8972,-87.63338
2.550,378.8349,-88.06937
2.560,378.8891,-88.2423
2.570,378.9566,-88.47668
2.580,378.8597,-88.33965
2.590,378.7892,-88.53515
2.600,378.9198,-88.59206
2.610,378.741,-88.51908
2.620,378.8129,-88.71811
2.630,378.814,-88.81306
2.640,378.826,-88.91701
2.650,378.7974,-88.78638
2.660,378.793,-88.80172
2.670,378.7485,-88.71916
2.680,378.8712,-88.70863
2.690,378.8598,-88.63657
2.700,378.936,-88.85328
2.710,378.8723,-88.68513
2.720,378.8723,-88.54298
2.730,378.9316,-88.85309
2.740,378.9929,-88.94954
2.750,378.8778,-88.70373
2.760,378.9337,-88.8081
2.770,378.9004,-88.78847
2.780,378.9669,-88.55796
2.790,378.9378,-88.51908
2.800,378.8848,-88.47149
2.810,378.8496,-88.42781
2.820,378.972,-88.92507
2.830,378.9769,-88.43155
2.840,378.8863,-88.55746
2.850,379.0399,-88.29622
2.860,378.9498,-88.09383
2.870,378.9607,-87.53083
2.880,379.0401,-87.63781
2.890,378.9927,-87.12569
2.900,379.0002,-86.88755
2.910,378.9326,-86.49557
2.920,378.9356,-86.06197
2.930,378.9189,-85.97038
2.940,379.07,-85.5335
2.950,379.055,-85.35882
2.960,379.1512,-85.16643
2.970,379.1188,-84.99053
2.980,379.2319,-83.96812
2.990,379.3662,-82.77341
3.000,379.3997,-82.13724
3.010,379.3219,-81.90551
3.020,379.4077,-80.72675
3.030,379.3577,-80.17273
3.040,379.2749,-79.79471
3.050,379.3843,-79.03194
3.060,379.3757,-77.41538
3.070,379.2323,-75.85964
3.080,379.3347,-73.77856
3.090,379.3399,-71.76869
3.100,379.2157,-69.86005
3.110,379.3897,-66.81838
3.120,379.4719,-64.54237
3.130,379.5813,-61.96896
3.140,379.5555,-59.04835
3.150,379.4852,-56.06686
3.160,379.6184,-52.49973
3.170,379.5271,-49.31951
3.180,379.4769,-44.74174
3.190,379.0959,-41.42754
3.200,378.541,-38.03644
3.210,378.0236,-35.92117
3.220,377.6781,-34.37179
3.230,377.28,-34.95422
3.240,376.6718,-35.59858
3.250,376.0792,-37.65705
3.260,376.1421,-39.87464
3.270,376.0301,-41.16365
3.280,375.79,-42.87354
3.290,375.7579,-44.32971
3.300,375.8004,-45.81396
3.310,375.8905,-47.46174
3.320,375.9399,-48.53035
3.330,376.2089,-49.91754
3.340,376.4309,-51.01519
3.350,376.9447,-50.69481
