Timestamp,X-coordinate,Y-coordinate
0.000,-35.15542,-39.93785
0.010,-34.14634,-39.83012
0.020,-33.1794,-40.14687
0.030,-32.48416,-39.97649
0.040,-31.70971,-39.98469
0.050,-30.7506,-39.68887
0.060,-29.73578,-39.43652
0.070,-28.40511,-39.31702
0.080,-27.36129,-39.51298
0.090,-26.46095,-39.83575
0.100,-25.09888,-39.99448
0.110,-24.0449,-41.29688
0.120,-22.83363,-42.63226
0.130,-21.80108,-44.02496
0.140,-20.38652,-46.01859
0.150,-19.61662,-47.96918
0.160,-18.07166,-50.82715
0.170,-17.47505,-54.19277
0.180,-16.96052,-57.83549
0.190,-16.51908,-61.4306
0.200,-16.21312,-65.70189
0.210,-15.94609,-70.17283
0.220,-15.75443,-74.62009
0.230,-15.08343,-79.4206
0.240,-14.35573,-83.94965
0.250,-13.93372,-89.19982
0.260,-13.55208,-94.31306
0.270,-13.04788,-99.1286
0.280,-12.6985,-103.7468
0.290,-12.75915,-108.8558
0.300,-12.6508,-112.8418
0.310,-12.56806,-116.8894
0.320,-13.04901,-121.3992
0.330,-13.94706,-124.3467
0.340,-14.43774,-127.2622
0.350,-15.73981,-130.0277
0.360,-16.28036,-132.2152
0.370,-17.27094,-135.4141
0.380,-18.39724,-137.7107
0.390,-19.65838,-139.5867
0.400,-20.93709,-141.411
0.410,-22.37355,-143.6137
0.420,-23.94324,-145.1816
0.430,-25.77544,-146.9463
0.440,-27.88496,-148.5097
0.450,-29.84535,-150.479
0.460,-31.85027,-152.1408
0.470,-33.6504,-153.5416
0.480,-35.4629,-155.6225
0.490,-36.86807,-156.2843
0.500,-38.71855,-158.6917
0.510,-40.54349,-159.8148
0.520,-42.29713,-161.7372
0.530,-43.64853,-163.1545
0.540,-45.38116,-164.6696
0.550,-46.47628,-165.4383
0.560,-47.81025,-166.5164
0.570,-48.62437,-167.4777
0.580,-49.14452,-168.1336
0.590,-49.94078,-169.1972
0.600,-50.45568,-170.1123
0.610,-50.54729,-170.8118
0.620,-50.97134,-171.4712
0.630,-51.54751,-171.5668
0.640,-52.04461,-172.0376
0.650,-52.10149,-172.1497
0.660,-51.96996,-172.2106
0.670,-51.94481,-172.5425
0.680,-51.91436,-173.2551
0.690,-51.33662,-173.3043
0.700,-51.33119,-173.4628
0.710,-51.05149,-173.9385
0.720,-51.29146,-173.6513
0.730,-51.13533,-173.6239
0.740,-51.14157,-173.7389
0.750,-50.90456,-173.5115
0.760,-50.68054,-173.9031
0.770,-50.36905,-173.8721
0.780,-50.16331,-173.8709
0.790,-49.92751,-173.9171
0.800,-49.59334,-173.168
0.810,-50.03193,-172.6183
0.820,-49.35142,-172.1433
0.830,-49.01325,-172.1407
0.840,-48.28051,-171.5929
0.850,-48.26233,-170.8817
0.860,-47.37407,-170.1577
0.870,-47.11191,-169.8979
0.880,-46.85534,-169.2682
0.890,-46.09721,-168.7238
0.900,-45.54908,-168.2316
0.910,-44.47174,-167.0554
0.920,-43.88037,-166.5506
0.930,-43.41694,-165.8494
0.940,-43.01915,-165.248
0.950,-42.30864,-164.39
0.960,-41.60468,-163.5049
0.970,-40.98233,-162.6017
0.980,-40.35962,-161.8795
0.990,-39.89049,-161.2198
1.000,-39.22546,-160.8576
1.010,-38.64014,-160.2688
1.020,-38.40129,-159.7941
1.030,-38.08384,-159.141
1.040,-37.8937,-158.4857
1.050,-37.30917,-158.5965
1.060,-36.65968,-158.4738
1.070,-36.30449,-158.2078
1.080,-35.65038,-157.977
1.090,-35.44375,-158.0681
1.100,-35.37793,-158.0156
1.110,-34.72729,-158.4487
1.120,-34.86106,-158.2917
1.130,-34.79909,-157.954
1.140,-34.27774,-157.5876
1.150,-33.7747,-157.1564
1.160,-33.62465,-156.8295
1.170,-32.93501,-156.3188
1.180,-32.58033,-155.7984
1.190,-31.96978,-154.6795
1.200,-31.52639,-154.1272
1.210,-30.73742,-153.2042
1.220,-29.41441,-152.289
1.230,-28.30015,-151.5034
1.240,-27.16254,-150.3763
1.250,-26.16349,-149.6746
1.260,-24.83086,-148.5484
1.270,-23.20458,-147.5951
1.280,-22.1921,-146.8247
1.290,-21.02806,-146.1413
1.300,-19.55721,-145.2236
1.310,-18.72071,-144.869
1.320,-17.55688,-144.1855
1.330,-16.85596,-143.6735
1.340,-16.08896,-143.7761
1.350,-15.05473,-143.449
1.360,-14.1666,-143.6452
1.370,-13.51003,-143.8608
1.380,-13.03378,-143.8183
1.390,-12.51397,-144.2522
1.400,-11.76363,-144.1939
1.410,-11.47683,-144.9384
1.420,-10.98363,-144.9515
1.430,-10.57655,-145.4454
1.440,-10.58897,-145.5226
1.450,-10.52963,-146.5028
1.460,-10.20912,-148.2445
1.470,-9.636988,-148.7132
1.480,-9.733636,-149.719
1.490,-9.946214,-150.704
1.500,-9.998409,-151.2297
1.510,-10.39409,-151.9668
1.520,-10.77346,-153.1772
1.530,-10.91763,-153.9633
1.540,-11.32466,-155.4517
1.550,-11.91194,-156.4178
1.560,-12.22782,-156.9221
1.570,-12.90438,-158.0232
1.580,-13.42275,-158.5495
1.590,-13.69868,-159.519
1.600,-14.014,-159.549
1.610,-14.34169,-160.4955
1.620,-14.98606,-160.6486
1.630,-15.09231,-161.1723
1.640,-15.25283,-162.0858
1.650,-15.80047,-162.27
1.660,-16.19892,-162.7584
1.670,-16.60334,-163.0379
1.680,-17.46427,-164.1795
1.690,-17.60601,-164.782
1.700,-17.79975,-165.2923
1.710,-19.02234,-166.0678
1.720,-18.99461,-166.635
1.730,-19.27475,-166.8385
1.740,-19.63445,-167.4937
1.750,-20.14348,-167.9256
1.760,-20.33631,-168.0439
1.770,-20.60763,-168.5323
1.780,-20.83029,-168.9236
1.790,-21.0292,-169.3281
1.800,-21.35835,-169.4575
1.810,-21.22089,-169.6486
1.820,-21.58668,-169.9393
1.830,-21.80361,-169.8394
1.840,-21.62757,-169.7758
1.850,-21.84101,-169.8575
1.860,-22.09636,-169.7559
1.870,-21.79364,-169.8766
1.880,-22.01046,-169.5241
1.890,-22.11973,-169.4696
1.900,-22.10542,-169.0349
1.910,-21.94955,-169.1082
1.920,-21.87111,-169.0327
1.930,-21.81532,-168.621
1.940,-21.88539,-168.6226
1.950,-21.73412,-168.3382
1.960,-21.93033,-168.0711
1.970,-21.59986,-167.9601
1.980,-21.18265,-167.383
1.990,-21.14803,-166.7997
2.000,-21.16838,-166.2753
2.010,-21.25163,-166.0582
2.020,-21.14857,-165.3352
2.030,-21.5067,-164.9428
2.040,-21.3917,-164.5243
2.050,-21.36315,-164.02
2.060,-21.61984,-164.0498
2.070,-21.64661,-163.6626
2.080,-21.63564,-163.6094
2.090,-21.99192,-163.0488
2.100,-22.00209,-162.7027
2.110,-22.36219,-162.6015
2.120,-22.48673,-162.1624
2.130,-22.76846,-162.26
2.140,-22.84647,-162.2198
2.150,-23.29136,-161.8573
2.160,-23.27716,-161.7285
2.170,-23.82941,-161.5579
2.180,-24.00533,-161.2976
2.190,-24.46689,-161.4561
2.200,-24.59961,-161.3411
2.210,-25.10645,-161.2202
2.220,-25.54715,-161.162
2.230,-25.61396,-161.1843
2.240,-26.40288,-161.3044
2.250,-26.70759,-161.2813
2.260,-26.82255,-161.1897
2.270,-27.43366,-161.0697
2.280,-27.83687,-161.0289
2.290,-27.67353,-160.8239
2.300,-28.08526,-160.6438
2.310,-28.42014,-160.0588
2.320,-28.70331,-159.914
2.330,-29.32882,-160.0618
2.340,-29.9563,-159.4104
2.350,-30.11866,-159.5958
2.360,-30.51929,-159.5749
2.370,-30.99448,-159.4118
2.380,-31.19885,-159.4073
2.390,-31.82992,-159.2097
2.400,-31.94552,-159.3709
2.410,-32.20342,-159.0308
2.420,-32.74865,-159.1059
2.430,-32.79905,-158.9364
2.440,-32.98713,-158.8188
2.450,-33.02585,-158.5243
2.460,-33.32284,-158.3772
2.470,-33.72042,-158.5081
2.480,-34.11885,-158.2476
2.490,-34.00517,-157.8194
2.500,-34.3797,-157.6204
2.510,-34.67137,-157.8347
2.520,-35.07401,-157.826
2.530,-35.23653,-157.7863
2.540,-35.69368,-157.3211
2.550,-35.90874,-157.1123
2.560,-36.21575,-156.9428
2.570,-36.64014,-156.9649
2.580,-36.93837,-156.675
