Timestamp,X-coordinate,Y-coordinate
0.000,-64.62157,100.8958
0.010,-64.60886,100.518
0.020,-64.40173,99.74268
0.030,-63.99064,99.03184
0.040,-64.18986,98.48872
0.050,-63.93893,98.04974
0.060,-64.03569,97.64997
0.070,-64.40112,96.86826
0.080,-64.11419,96.3046
0.090,-64.16459,95.8178
0.100,-64.17043,95.37466
0.110,-63.85871,94.74423
0.120,-63.97326,94.36011
0.130,-63.66336,93.44678
0.140,-63.72813,93.53901
0.150,-64.03759,93.09541
0.160,-63.32671,92.201
0.170,-63.46557,91.34109
0.180,-63.43565,91.14812
0.190,-63.95897,90.77178
0.200,-63.73852,89.87494
0.210,-63.83446,89.6117
0.220,-63.49885,88.65224
0.230,-63.39005,88.10532
0.240,-63.39491,87.70691
0.250,-63.28515,87.30891
0.260,-63.40846,87.01552
0.270,-63.43113,86.57925
0.280,-63.31363,86.28432
0.290,-63.20743,85.81275
0.300,-63.30725,85.37119
0.310,-63.39555,84.92014
0.320,-63.25781,84.61479
0.330,-63.11198,84.1939
0.340,-62.99075,83.71596
0.350,-62.98275,83.38297
0.360,-62.92807,83.26148
0.370,-63.03881,82.94931
0.380,-63.19051,82.80263
0.390,-63.12698,82.51476
0.400,-63.10151,82.32996
0.410,-63.18365,82.05164
0.420,-63.22134,82.1471
0.430,-62.9397,81.88417
0.440,-63.24643,81.69731
0.450,-63.27315,81.44672
0.460,-63.32641,81.54959
0.470,-63.1145,81.12093
0.480,-63.60924,81.35702
0.490,-63.54144,81.02107
0.500,-63.63877,80.84827
0.510,-63.59331,80.79996
0.520,-63.67091,80.8478
0.530,-63.61509,80.79797
0.540,-63.82694,80.6428
0.550,-64.28545,80.88129
0.560,-64.27769,80.73955
0.570,-64.21368,80.59111
0.580,-64.33582,80.7766
0.590,-64.45403,80.32346
0.600,-64.83219,80.17407
0.610,-64.52439,80.20332
0.620,-64.51276,79.79131
0.630,-64.64947,79.75486
0.640,-64.5263,79.55866
0.650,-64.84653,79.37652
0.660,-64.64439,79.49086
0.670,-64.59501,78.95274
0.680,-64.51137,79.27718
0.690,-64.9997,79.12813
0.700,-64.83427,79.11256
0.710,-64.98981,78.98515
0.720,-65.11832,79.10118
0.730,-64.89126,78.68687
0.740,-65.02863,78.94428
0.750,-65.05816,78.8252
0.760,-64.96937,78.32172
0.770,-65.29623,78.59647
0.780,-65.56719,78.33878
0.790,-65.78658,78.17142
0.800,-65.90454,77.92899
0.810,-66.30909,77.85248
0.820,-66.39391,77.44327
0.830,-66.85497,77.27074
0.840,-66.90028,77.21015
0.850,-67.37534,77.44624
0.860,-67.38097,77.10928
0.870,-67.84101,77.35606
0.880,-68.04814,76.85012
0.890,-68.55705,76.80248
0.900,-68.91885,76.50715
0.910,-69.23067,75.89274
0.920,-69.40623,75.69204
0.930,-69.82711,75.8463
0.940,-69.83767,75.79697
0.950,-69.7375,75.62182
0.960,-69.77163,75.77312
0.970,-70.07018,75.52647
0.980,-70.20055,75.49095
0.990,-70.11641,75.31573
1.000,-70.14392,75.36046
1.010,-70.56889,75.38046
1.020,-70.49274,74.94219
1.030,-70.52539,74.9138
1.040,-70.46938,75.21617
1.050,-70.72451,75.20935
1.060,-70.68966,75.19801
1.070,-70.81305,74.96368
1.080,-70.75035,74.97235
1.090,-70.83321,74.93832
1.100,-70.79131,74.87975
1.110,-70.82861,74.87437
1.120,-70.64073,75.08618
1.130,-70.67131,74.93195
1.140,-70.51418,74.82314
1.150,-70.46281,74.45533
1.160,-70.39856,74.4599
1.170,-70.58083,74.45048
1.180,-70.34712,74.51544
1.190,-70.40768,74.25598
1.200,-70.31597,74.24953
1.210,-70.14964,74.0826
1.220,-70.00097,74.00813
1.230,-69.9627,73.95573
1.240,-70.04993,73.83913
1.250,-70.11044,73.48526
1.260,-69.85071,73.76711
1.270,-69.74329,73.55609
1.280,-69.76952,73.39547
1.290,-69.58619,73.10314
1.300,-69.38987,73.19546
1.310,-69.41113,73.12517
1.320,-69.34498,72.90043
1.330,-69.50083,72.83491
1.340,-69.22787,72.67867
1.350,-69.23562,72.58124
1.360,-68.83717,72.04926
1.370,-68.64141,71.87734
1.380,-68.76845,71.87347
1.390,-68.30611,71.59523
1.400,-68.0549,71.4936
1.410,-67.91576,71.26591
1.420,-67.53757,70.6446
1.430,-67.40646,70.21228
1.440,-67.04617,70.15451
1.450,-67.05209,69.72376
1.460,-66.84571,69.32005
1.470,-66.10245,68.08688
1.480,-65.88316,67.62738
1.490,-65.61555,66.27305
1.500,-64.88787,65.22785
1.510,-64.81277,64.77847
1.520,-64.83418,64.01175
1.530,-64.61973,62.98602
1.540,-64.41665,62.2317
1.550,-64.03878,61.12144
1.560,-64.54542,60.49027
1.570,-64.27924,59.79969
1.580,-64.29619,58.83858
1.590,-64.72266,57.78093
1.600,-64.69387,56.74149
1.610,-65.0364,55.85294
1.620,-65.01494,54.79669
1.630,-65.19201,53.78834
1.640,-65.06525,52.94081
1.650,-65.37695,52.77417
1.660,-65.40385,51.98376
1.670,-65.70739,51.35159
1.680,-65.55556,50.52972
1.690,-65.31163,49.84501
1.700,-65.55524,49.12947
1.710,-65.53822,48.85232
1.720,-65.58676,48.44855
1.730,-65.76601,47.76278
1.740,-65.58528,47.24489
1.750,-66.21293,46.6365
1.760,-66.40703,46.28144
1.770,-66.84391,45.19393
1.780,-67.37728,44.46434
1.790,-67.52799,44.0678
1.800,-67.74426,43.52866
1.810,-67.68532,42.67395
1.820,-67.843,42.08826
1.830,-67.63807,41.92461
1.840,-67.79827,41.36768
1.850,-67.81219,40.9867
1.860,-68.271,40.44839
1.870,-68.10648,39.97598
1.880,-67.75195,39.32112
1.890,-67.7708,38.98601
1.900,-67.61729,38.92065
1.910,-67.8493,38.34862
