Timestamp,X-coordinate,Y-coordinate
0.000,-374.9988,118.1348
0.010,-374.9971,117.9788
0.020,-375.2365,117.1428
0.030,-375.1504,116.3598
0.040,-375.2087,115.6924
0.050,-375.226,115.3666
0.060,-375.2272,115.2468
0.070,-375.1634,114.4547
0.080,-375.1101,113.8264
0.090,-375.2813,113.1576
0.100,-375.3574,112.4174
0.110,-375.242,112.0945
0.120,-375.3214,111.8383
0.130,-375.4063,110.6216
0.140,-375.3655,110.5689
0.150,-375.346,109.9412
0.160,-375.2195,109.2674
0.170,-375.2123,108.5534
0.180,-375.1313,108.1794
0.190,-375.0526,108.0508
0.200,-375.0974,107.0419
0.210,-375.0741,106.6642
0.220,-375.259,105.429
0.230,-375.2424,105.1828
0.240,-375.1418,104.792
0.250,-375.0923,104.6983
0.260,-375.0847,104.212
0.270,-375.0859,103.9012
0.280,-375.0646,103.6408
0.290,-374.9002,103.2541
0.300,-374.9946,102.6355
0.310,-374.9841,101.9125
0.320,-375.0567,101.9506
0.330,-374.9648,101.2975
0.340,-375.0832,100.727
0.350,-375.0918,100.2432
0.360,-375.1281,100.3113
0.370,-375.0184,99.92471
0.380,-375.1684,99.76472
0.390,-375.1037,99.53616
0.400,-375.1501,99.18606
0.410,-375.0916,98.82201
0.420,-375.0696,98.95983
0.430,-375.1152,98.98263
0.440,-375.0951,98.60059
0.450,-375.2099,98.46584
0.460,-375.0911,98.2489
0.470,-374.9895,97.92903
0.480,-375.0691,98.09276
0.490,-375.1133,97.8994
0.500,-375.0837,97.75519
0.510,-375.1094,97.34305
0.520,-375.1857,97.65286
0.530,-375.127,97.65838
0.540,-375.1706,97.29671
0.550,-375.1929,97.43004
0.560,-375.0759,97.27685
0.570,-375.1811,97.17928
0.580,-375.1466,97.48421
0.590,-375.1371,96.5802
0.600,-375.2236,96.54178
0.610,-375.2883,96.73196
0.620,-375.3417,96.18009
0.630,-375.2733,96.01328
0.640,-375.4456,95.95788
0.650,-375.2715,95.82764
0.660,-375.3341,95.91573
0.670,-375.3394,95.02067
0.680,-375.2946,95.41383
0.690,-375.3523,95.25564
0.700,-375.3244,95.27036
0.710,-375.2976,95.30731
0.720,-375.3067,95.16541
0.730,-375.3167,94.91814
0.740,-375.4282,95.19125
0.750,-375.3143,94.82668
0.760,-375.4907,94.31822
0.770,-375.5586,94.68422
0.780,-375.5062,94.04757
0.790,-375.5115,93.80307
0.800,-375.5929,93.55411
0.810,-375.7018,93.46959
0.820,-375.6494,92.7888
0.830,-375.6658,92.77245
0.840,-375.7188,92.60526
0.850,-375.4292,92.98483
0.860,-375.4478,92.3681
0.870,-375.6127,92.44264
0.880,-375.4824,91.7166
0.890,-375.466,91.86279
0.900,-375.5839,91.31517
0.910,-375.5385,90.29922
0.920,-375.5744,89.95702
0.930,-375.5919,90.06036
0.940,-375.5208,90.02454
0.950,-375.5786,89.84082
0.960,-375.584,89.98052
0.970,-375.5501,89.75961
0.980,-375.5528,89.65275
0.990,-375.5982,89.48817
1.000,-375.5937,89.50556
1.010,-375.6507,89.60086
1.020,-375.5994,89.19817
1.030,-375.6086,89.19806
1.040,-375.673,89.42526
1.050,-375.6717,89.46024
1.060,-375.6863,89.59119
1.070,-375.6895,89.39845
1.080,-375.6675,89.39866
1.090,-375.6734,89.48605
1.100,-375.7547,89.3815
1.110,-375.688,89.52123
1.120,-375.7448,89.61755
1.130,-375.6,89.54817
1.140,-375.6177,89.62595
1.150,-375.538,89.13744
1.160,-375.5031,89.18961
1.170,-375.5243,89.00523
1.180,-375.4864,89.25915
1.190,-375.4202,89.15398
1.200,-375.5422,89.10212
1.210,-375.3183,88.76003
1.220,-375.322,88.73389
1.230,-375.2283,88.56707
1.240,-375.4073,88.75101
1.250,-375.1844,88.23474
1.260,-375.1717,88.71598
1.270,-375.1617,88.42693
1.280,-375.169,88.4178
1.290,-375.067,87.90023
1.300,-375.1281,88.12769
1.310,-375.0686,88.15422
1.320,-375.0247,87.55774
1.330,-375.0316,87.64464
1.340,-375.1333,87.50379
1.350,-374.8918,87.35506
1.360,-375.1494,86.55059
1.370,-374.9503,86.56025
1.380,-374.893,86.5426
1.390,-374.9028,86.71559
1.400,-374.888,86.59218
1.410,-374.8244,86.56496
1.420,-374.8609,85.68423
1.430,-374.7371,85.23004
1.440,-374.683,85.19917
1.450,-374.6709,84.93446
1.460,-374.6555,84.78581
1.470,-374.459,83.54687
1.480,-374.3139,83.2046
1.490,-374.4754,81.72382
1.500,-374.476,80.59427
1.510,-374.5055,80.3126
1.520,-374.4581,79.65118
1.530,-374.4446,78.77669
1.540,-374.432,78.09469
1.550,-374.4823,76.99933
1.560,-374.3638,76.30602
1.570,-374.4698,75.9087
1.580,-374.3995,74.8737
1.590,-374.3541,73.89452
1.600,-374.2046,73.31367
1.610,-374.1976,72.2193
1.620,-373.9858,71.20689
1.630,-374.0534,70.27802
1.640,-374.0115,69.54578
1.650,-374.1052,69.5578
1.660,-374.0042,69.10532
1.670,-374.1057,68.50842
1.680,-374.1472,67.58579
1.690,-373.7812,66.77395
1.700,-374.0235,66.01176
1.710,-373.8842,66.04395
1.720,-373.9661,65.46127
1.730,-373.9974,64.77551
1.740,-373.9973,64.29643
1.750,-374.0127,63.29064
1.760,-374.1215,63.36892
1.770,-373.9778,62.4188
1.780,-374.2273,61.54043
1.790,-374.162,61.36501
1.800,-374.0952,60.82771
1.810,-374.1761,60.06566
1.820,-374.2039,59.56843
1.830,-374.0848,59.48381
1.840,-374.1511,58.93031
1.850,-374.2231,58.48694
1.860,-374.205,58.01638
1.870,-374.2929,57.72109
1.880,-374.1428,57.17883
1.890,-374.2673,56.84388
1.900,-374.1995,56.95234
1.910,-374.2121,56.41559
1.920,-374.215,55.93571
1.930,-374.2306,55.63854
1.940,-374.2964,55.97628
1.950,-374.1953,55.37659
1.960,-374.2304,54.9759
1.970,-374.0816,54.97772
1.980,-374.1716,54.48795
1.990,-374.0804,54.31763
2.000,-374.1039,53.55815
2.010,-374.0863,53.50333
2.020,-374.1079,52.85006
2.030,-374.0421,52.89857
2.040,-374.0771,52.67958
2.050,-374.1442,52.37981
2.060,-374.0414,52.508
2.070,-374.059,52.54347
2.080,-374.047,52.18478
2.090,-374.196,51.68708
2.100,-374.1698,51.455
2.110,-374.2563,51.53649
2.120,-374.228,51.25455
2.130,-374.26,51.15506
2.140,-374.2489,50.80759
2.150,-374.2812,50.49093
2.160,-374.3296,50.29658
2.170,-374.2913,50.36595
2.180,-374.3048,50.00985
2.190,-374.332,49.45382
2.200,-374.2595,49.88275
2.210,-374.2098,49.42608
2.220,-374.2239,49.37471
2.230,-374.2215,49.04696
2.240,-374.21,48.83154
2.250,-374.1012,48.78484
2.260,-374.1035,48.43185
2.270,-373.9531,48.4553
2.280,-374.1003,47.98197
2.290,-373.9164,48.41102
2.300,-373.9897,48.26405
2.310,-373.9081,48.68678
2.320,-373.8552,48.40834
2.330,-373.8228,48.66842
2.340,-373.7967,48.19524
2.350,-373.7883,48.17091
2.360,-373.6904,48.50126
2.370,-373.6978,48.35945
2.380,-373.6732,48.1747
2.390,-373.6392,48.09756
2.400,-373.644,47.93074
2.410,-373.6085,48.22356
2.420,-373.5947,47.97005
2.430,-373.4307,47.79366
2.440,-373.4098,47.77721
2.450,-373.4839,47.27487
2.460,-373.4032,47.34256
2.470,-373.2816,47.57716
2.480,-373.322,47.51307
2.490,-373.2338,47.36947
2.500,-373.3272,47.21933
2.510,-373.2502,47.19144
2.520,-373.2014,47.06142
2.530,-373.082,47.22652
2.540,-373.0509,47.1522
2.550,-372.9901,46.80948
2.560,-372.9597,46.96055
2.570,-372.9225,47.03851
2.580,-372.8262,47.14924
2.590,-372.8849,46.72519
2.600,-372.8301,47.33333
2.610,-372.7149,47.08175
2.620,-372.8532,46.7736
2.630,-372.8282,46.88884
2.640,-372.7893,46.68966
2.650,-372.7591,47.13502
2.660,-372.6677,47.03265
2.670,-372.6369,47.56842
2.680,-372.5982,47.42633
2.690,-372.6067,47.46877
2.700,-372.5793,47.52537
2.710,-372.7128,47.58956
2.720,-372.541,47.82477
2.730,-372.5775,47.80703
2.740,-372.4936,47.57388
2.750,-372.5834,47.73376
2.760,-372.4746,47.48939
2.770,-372.4639,47.56972
2.780,-372.4733,47.58818
