Timestamp,X-coordinate,Y-coordinate
0.000,365.5072,77.00572
0.010,365.4949,76.32275
0.020,365.5251,75.67598
0.030,365.6562,75.10551
0.040,365.7278,74.70822
0.050,365.6161,74.15369
0.060,365.5839,73.35643
0.070,365.5244,72.53824
0.080,365.4007,72.10532
0.090,365.4322,71.87458
0.100,365.4887,71.84355
0.110,365.5487,70.81763
0.120,365.4417,70.25394
0.130,365.4696,69.80463
0.140,365.4531,70.0857
0.150,365.3771,69.85858
0.160,365.4242,68.74022
0.170,365.3489,67.66519
0.180,365.4462,67.71365
0.190,365.1988,66.93511
0.200,365.347,66.21711
0.210,365.3366,66.09787
0.220,365.263,65.57935
0.230,365.2491,64.63243
0.240,365.2062,64.21763
0.250,365.1642,63.41449
0.260,365.1161,63.37202
0.270,365.1505,62.75848
0.280,365.0839,62.43371
0.290,364.9061,61.85683
0.300,365.0434,61.64496
0.310,364.9467,61.56068
0.320,365.1233,60.79707
0.330,365.1136,60.70781
0.340,365.1081,60.3818
0.350,365.1296,60.25626
0.360,365.0954,59.88637
0.370,365.1812,59.64905
0.380,365.0328,59.52031
0.390,365.2119,59.14466
0.400,365.1523,59.19675
0.410,365.2037,59.0185
0.420,365.2073,59.04916
0.430,365.2847,58.42949
0.440,365.3207,58.46749
0.450,365.2059,58.06912
0.460,365.0793,58.60254
0.470,365.1365,58.04086
0.480,365.1177,58.32014
0.490,365.0486,57.8037
0.500,365.0984,57.57409
0.510,365.0425,58.03722
0.520,365.0855,57.71799
0.530,365.0046,57.59916
0.540,364.9903,57.70518
0.550,364.9424,58.03467
0.560,364.8829,57.9043
0.570,364.8578,57.70284
0.580,364.8306,57.70682
0.590,364.7962,57.86259
0.600,364.7397,57.52168
0.610,364.7793,57.3699
0.620,364.7681,57.15702
0.630,364.7556,57.27929
0.640,364.8619,56.9109
0.650,364.8037,56.60701
0.660,364.811,56.78735
0.670,364.8522,56.74695
0.680,364.7549,56.9886
0.690,364.6819,56.79969
0.700,364.7276,56.75833
0.710,364.6547,56.38589
0.720,364.6427,56.84447
0.730,364.6657,56.22656
0.740,364.7836,56.44701
0.750,364.709,56.65993
0.760,364.8455,56.17981
0.770,364.6488,56.30293
0.780,364.4601,56.54352
0.790,364.4799,56.45613
0.800,364.4085,56.21784
0.810,364.4534,56.10903
0.820,364.3143,56.07116
0.830,364.3479,55.62516
0.840,364.3618,55.71104
0.850,364.201,55.67705
0.860,364.3523,55.72516
0.870,364.1949,56.17821
0.880,364.1491,55.95053
0.890,364.1903,55.56719
0.900,364.0895,55.59835
0.910,364.0383,55.51493
0.920,363.9797,55.49973
0.930,363.9599,55.68089
0.940,364.1519,55.59755
0.950,364.0933,55.45239
0.960,364.2179,55.6109
0.970,364.1656,55.29424
0.980,364.1568,55.34609
0.990,364.1219,55.16979
1.000,364.1645,55.24804
1.010,364.1373,55.11803
1.020,364.2195,54.63046
1.030,364.1656,54.5612
1.040,364.2431,54.97766
1.050,364.2882,54.88019
1.060,364.2545,54.67244
1.070,364.2784,54.36373
1.080,364.2196,54.39297
1.090,364.3571,54.16998
1.100,364.3545,54.18753
1.110,364.3658,53.96563
1.120,364.4393,54.36439
1.130,364.2684,54.08389
1.140,364.218,53.73112
1.150,364.436,53.52531
1.160,364.4904,53.46452
1.170,364.4032,53.68899
1.180,364.4877,53.50512
1.190,364.472,53.01478
1.200,364.393,53.09621
1.210,364.407,53.18211
1.220,364.3555,53.05895
1.230,364.2743,53.17126
1.240,364.2894,52.62854
1.250,364.3581,52.4799
1.260,364.2404,52.5135
1.270,364.3365,52.42073
1.280,364.2428,52.04678
1.290,364.2916,52.08667
1.300,364.2128,52.01832
1.310,364.3547,51.79708
1.320,364.3372,52.10542
1.330,364.1531,51.81477
1.340,364.2363,51.67167
1.350,364.2204,51.63023
1.360,364.326,51.54261
1.370,364.1963,51.12929
1.380,364.0382,51.13387
1.390,364.1801,50.2664
1.400,364.2657,50.22004
1.410,364.1772,49.72657
1.420,364.2456,49.51424
1.430,364.1105,49.12613
1.440,364.1588,49.06688
1.450,364.2007,48.39979
1.460,364.145,47.66512
1.470,364.0866,46.5186
1.480,364.1237,45.90999
1.490,364.2538,44.76876
1.500,364.2915,43.92551
1.510,364.3264,43.25294
1.520,364.1938,42.34109
1.530,364.4284,41.11896
1.540,364.3149,40.29418
1.550,364.3759,39.20984
1.560,364.2571,38.60058
1.570,364.3964,37.53744
1.580,364.312,36.67569
1.590,364.3181,35.45314
1.600,364.513,33.7604
1.610,364.5145,33.1134
1.620,364.538,31.98209
1.630,364.5532,30.84484
1.640,364.4353,29.85638
1.650,364.4204,29.40876
1.660,364.3466,28.14064
1.670,364.215,27.43412
1.680,364.2804,26.77239
1.690,364.1044,26.27847
1.700,364.1635,25.61122
1.710,364.0427,24.9013
1.720,364.0882,24.74419
1.730,364.0833,24.03739
1.740,364.1693,23.48455
1.750,364.0191,23.35792
1.760,363.9041,22.38615
1.770,363.8821,21.03769
1.780,363.8401,20.46726
1.790,363.8174,19.73562
1.800,363.7624,19.16233
1.810,363.686,18.19593
1.820,363.7623,17.46197
1.830,363.7404,17.20689
1.840,363.8751,16.62067
1.850,363.8258,16.33428
1.860,363.8099,15.63654
1.870,363.7846,14.94562
1.880,363.7746,14.16999
1.890,363.7057,13.84624
1.900,363.687,13.55341
1.910,363.5808,12.90613
1.920,363.739,13.17816
1.930,363.5871,12.44668
1.940,363.659,12.50651
1.950,363.7517,12.07061
1.960,363.8014,11.80617
1.970,363.8246,11.42333
1.980,363.7799,11.01535
1.990,363.6704,11.49226
