Timestamp,X-coordinate,Y-coordinate
0.000,-232.0076,36.62301
0.010,-238.9221,34.20265
0.020,-245.7999,30.78476
0.030,-251.8216,28.63298
0.040,-257.0969,26.35837
0.050,-263.4617,24.77538
0.060,-267.6388,23.65066
0.070,-271.7127,22.91511
0.080,-275.2739,21.60066
0.090,-279.0263,20.79906
0.100,-282.1227,20.14339
0.110,-284.3497,20.47478
0.120,-287.0914,19.97226
0.130,-288.6116,20.01443
0.140,-290.7284,19.81054
0.150,-292.3783,20.27599
0.160,-293.7466,20.17664
0.170,-295.46,19.99131
0.180,-296.5735,19.63229
0.190,-297.69,19.73376
0.200,-298.6664,19.56382
0.210,-299.2757,19.79746
0.220,-299.7029,19.49969
0.230,-300.4272,19.63564
0.240,-300.8339,19.31659
0.250,-301.2254,19.78899
0.260,-301.2066,19.46173
0.270,-301.4682,19.54706
0.280,-302.0403,19.30536
0.290,-302.6619,18.90703
0.300,-303.0409,18.61628
0.310,-303.7175,18.25552
0.320,-304.3664,16.89178
0.330,-305.9668,15.06915
0.340,-308.4652,12.46267
0.350,-311.2989,9.907019
0.360,-313.8,8.014733
0.370,-316.7578,4.923761
0.380,-319.4999,2.242861
0.390,-322.2119,-0.0007606009
0.400,-324.6322,-1.799848
0.410,-326.8664,-3.544062
0.420,-328.6611,-5.311533
0.430,-329.7278,-6.328032
0.440,-331.7834,-7.987858
0.450,-333.3241,-9.441209
0.460,-334.5076,-10.67774
0.470,-335.5184,-12.0486
0.480,-335.1175,-12.63728
0.490,-335.2396,-13.54235
0.500,-334.8581,-14.2624
0.510,-334.5221,-14.72006
0.520,-333.944,-15.04358
0.530,-333.8431,-16.04368
0.540,-333.1117,-16.40047
0.550,-333.0016,-17.26921
0.560,-332.3854,-18.08564
0.570,-331.7498,-18.90381
0.580,-331.0618,-20.29036
0.590,-330.5328,-20.77116
0.600,-330.078,-21.84529
0.610,-329.9612,-22.43819
0.620,-329.5833,-22.7603
0.630,-329.2633,-23.37224
0.640,-328.914,-24.12436
0.650,-328.9932,-24.24401
0.660,-328.5765,-24.60819
0.670,-328.0912,-24.71109
0.680,-328.1329,-25.23266
0.690,-328.1666,-24.66902
0.700,-328.1964,-24.84432
0.710,-328.5709,-24.7878
0.720,-328.8065,-24.49809
0.730,-329.3989,-24.47796
0.740,-329.5095,-24.68594
0.750,-323.5605,-23.70135
0.760,-320.9109,-23.55188
