Timestamp,X-coordinate,Y-coordinate
0.000,-386.7042,-19.38352
0.010,-387.0102,-19.6311
0.020,-387.3964,-20.07104
0.030,-387.6147,-20.22915
0.040,-387.82,-20.86904
0.050,-387.994,-20.41218
0.060,-388.1798,-20.14146
0.070,-388.3873,-19.54819
0.080,-388.487,-19.07825
0.090,-388.754,-18.05907
0.100,-388.8765,-17.26865
0.110,-389.0385,-16.12466
0.120,-389.2625,-15.38738
0.130,-389.3685,-14.47606
0.140,-389.3848,-13.72422
0.150,-389.5955,-12.51408
0.160,-389.6729,-11.90309
0.170,-389.862,-11.11608
0.180,-389.9765,-10.7626
0.190,-390.1145,-9.872526
0.200,-390.1647,-9.479952
0.210,-390.2134,-8.953158
0.220,-390.2572,-8.706695
0.230,-390.3484,-8.045635
0.240,-390.4382,-8.135991
0.250,-390.5636,-7.3557
0.260,-390.6476,-7.345277
0.270,-390.8277,-6.986448
0.280,-391.0567,-7.102151
0.290,-391.218,-7.064127
0.300,-391.4015,-6.99011
0.310,-391.5596,-6.925708
0.320,-391.7447,-7.343395
0.330,-391.9875,-7.537453
0.340,-392.3777,-8.200686
0.350,-392.6,-8.320239
0.360,-392.9752,-8.603152
0.370,-393.289,-9.290531
0.380,-393.5319,-9.632377
0.390,-393.7936,-9.77995
0.400,-393.9207,-9.991565
0.410,-394.102,-10.2831
0.420,-394.3087,-10.44239
0.430,-394.3916,-10.53755
0.440,-394.5845,-10.57315
0.450,-394.6522,-10.71615
0.460,-394.7244,-11.09918
0.470,-394.6771,-11.62175
0.480,-394.7509,-12.0871
0.490,-394.858,-12.71069
0.500,-394.9107,-13.35437
0.510,-395.0499,-13.58052
0.520,-395.1419,-13.71224
0.530,-395.1853,-14.69543
0.540,-395.3881,-15.04262
0.550,-395.4676,-15.78887
0.560,-395.6631,-16.6213
0.570,-395.7616,-17.1725
0.580,-395.8608,-18.33872
0.590,-395.8899,-18.78265
0.600,-395.9823,-19.72508
0.610,-396.055,-20.11702
0.620,-396.0183,-20.44352
0.630,-396.0138,-21.09769
0.640,-396.011,-21.52523
0.650,-396.0483,-21.53878
0.660,-396.0126,-22.00407
0.670,-395.9834,-22.13314
0.680,-395.9449,-22.78296
0.690,-395.852,-22.41296
0.700,-395.8248,-22.59896
0.710,-395.6856,-22.92434
0.720,-395.5691,-23.08858
0.730,-395.4976,-23.35997
0.740,-395.392,-23.78005
0.750,-395.1469,-24.15539
0.760,-394.9965,-24.34887
0.770,-394.6565,-24.49091
0.780,-394.3876,-24.73112
0.790,-394.0356,-24.56797
0.800,-393.6628,-24.80258
0.810,-393.2467,-25.03802
0.820,-392.8809,-24.86957
0.830,-392.4987,-24.61158
0.840,-392.121,-24.82785
0.850,-391.5229,-23.81184
0.860,-390.9563,-23.4838
0.870,-390.4773,-22.19444
0.880,-389.8893,-20.69476
0.890,-389.3618,-19.33638
0.900,-388.8114,-18.17348
0.910,-388.3255,-17.26643
0.920,-387.7527,-16.33585
0.930,-387.1698,-14.96577
0.940,-386.7589,-13.52163
0.950,-386.1581,-11.87597
0.960,-385.6775,-9.813887
0.970,-385.103,-8.293155
0.980,-384.5558,-6.26915
0.990,-383.988,-4.633633
1.000,-383.632,-2.823997
1.010,-383.1123,-1.826513
1.020,-382.5381,-0.4524958
1.030,-382.3096,1.60781
1.040,-381.7573,3.207387
1.050,-381.4653,4.554332
1.060,-381.1895,6.101058
1.070,-381.0263,6.724298
1.080,-380.7281,8.087297
1.090,-380.5933,9.862354
1.100,-380.3389,10.418
1.110,-380.2823,11.15489
1.120,-380.1162,12.21959
1.130,-380.1142,12.94991
1.140,-380.1166,13.45936
1.150,-380.0699,14.40181
1.160,-380.1757,16.06546
1.170,-380.2328,17.74763
1.180,-380.1896,19.73155
