Timestamp,X-coordinate,Y-coordinate
0.000,327.087,239.0382
0.010,326.1266,239.6121
0.020,325.2926,235.8984
0.030,324.6934,236.0792
0.040,324.0938,236.33
0.050,322.4028,237.3609
0.060,321.9431,237.8436
0.070,320.609,238.4887
0.080,319.0117,235.1351
0.090,317.8741,232.1807
0.100,316.4702,229.9209
0.110,315.4608,230.17
0.120,314.742,228.2562
0.130,314.0059,226.2989
0.140,312.9453,225.0081
0.150,311.7855,224.0525
0.160,311.2945,222.5147
0.170,309.9752,219.4946
0.180,308.945,216.678
0.190,308.1568,213.8042
0.200,307.0105,211.8204
0.210,306.1313,211.201
0.220,305.3205,207.9557
0.230,304.3146,205.7991
0.240,303.2979,204.4079
0.250,302.4473,203.2098
0.260,301.6125,200.1368
0.270,300.6146,198.3236
0.280,299.2124,197.672
0.290,298.5247,195.219
0.300,297.8188,192.7416
0.310,297.5221,190.6093
0.320,298.284,184.0424
0.330,298.5825,173.9471
0.340,300.3413,162.3805
0.350,303.0891,147.6494
0.360,2147483647,0
0.370,2147483647,0
0.380,2147483647,0
0.390,2147483647,0
0.400,2147483647,0
0.410,2147483647,0
0.420,2147483647,0
0.430,2147483647,0
0.440,2147483647,0
0.450,2147483647,0
0.460,2147483647,0
0.470,2147483647,0
0.480,2147483647,0
0.490,2147483647,0
0.500,2147483647,0
0.510,2147483647,0
0.520,2147483647,0
0.530,2147483647,0
0.540,2147483647,0
0.550,2147483647,0
0.560,2147483647,0
0.570,2147483647,0
0.580,2147483647,0
0.590,2147483647,0
0.600,2147483647,0
0.610,2147483647,0
0.620,2147483647,0
0.630,2147483647,0
0.640,2147483647,0
0.650,2147483647,0
0.660,2147483647,0
0.670,2147483647,0
0.680,2147483647,0
0.690,2147483647,0
0.700,2147483647,0
0.710,2147483647,0
0.720,2147483647,0
0.730,2147483647,0
0.740,2147483647,0
0.750,2147483647,0
0.760,2147483647,0
0.770,2147483647,0
0.780,2147483647,0
0.790,2147483647,0
0.800,2147483647,0
0.810,2147483647,0
0.820,2147483647,0
0.830,374.6172,-10.11929
0.840,372.7411,-0.1630563
0.850,370.2497,12.0399
0.860,368.2628,19.0442
0.870,365.2754,27.54759
0.880,363.5742,32.92308
0.890,362.1757,34.99905
0.900,361.3619,32.32083
0.910,359.9898,29.00088
0.920,358.3943,18.77815
0.930,357.4134,11.48269
0.940,356.7395,3.309685
0.950,356.8889,-0.9270884
0.960,356.8981,-5.487918
0.970,357.6746,-9.814099
0.980,358.4669,-12.22735
0.990,359.7611,-15.243
1.000,360.853,-18.68769
1.010,362.4001,-20.46291
1.020,363.5229,-22.53323
1.030,365.0949,-25.17446
1.040,366.2711,-27.55755
1.050,367.2761,-31.57877
1.060,368.2285,-35.38907
1.070,369.0253,-38.71893
1.080,369.3061,-42.21244
1.090,369.155,-46.44725
1.100,369.0134,-48.02859
1.110,369.102,-50.25093
1.120,368.8919,-53.8173
1.130,368.2989,-54.57077
1.140,367.831,-54.42436
1.150,367.2656,-54.45147
1.160,366.7597,-53.87889
1.170,365.8907,-51.6161
1.180,365.6978,-50.67803
1.190,365.5292,-48.59557
1.200,365.4074,-46.1748
1.210,365.0492,-44.54436
1.220,364.5751,-41.23833
1.230,364.4788,-37.9546
1.240,364.1754,-34.44171
1.250,363.8288,-30.99672
1.260,363.6458,-27.64981
1.270,363.5428,-22.49055
1.280,363.4109,-18.47759
1.290,363.3761,-14.5236
1.300,363.1126,-10.9528
1.310,362.9052,-7.019696
1.320,362.5293,-4.331861
1.330,362.0162,-1.388974
1.340,361.4709,0.8925691
1.350,361.0024,2.614813
1.360,360.6096,4.742419
1.370,360.5998,6.23566
1.380,360.2662,6.464128
1.390,360.1665,6.871076
1.400,360.0818,8.409781
1.410,360.2997,9.207796
1.420,360.3551,10.51558
1.430,360.3241,11.76416
1.440,360.515,13.1909
1.450,360.6726,14.1577
1.460,361.0988,15.42189
1.470,361.1996,16.19448
1.480,361.3924,17.47742
1.490,361.6337,18.11105
1.500,361.7747,19.09711
1.510,361.9209,19.9554
1.520,362.0704,21.04926
1.530,362.1472,21.85998
1.540,362.4673,23.40955
1.550,362.7302,23.82579
1.560,362.9986,24.93273
1.570,363.1,25.49041
1.580,363.3286,25.98343
1.590,363.4557,26.84296
1.600,363.6025,27.81377
1.610,363.5933,29.29221
1.620,363.8457,31.18971
1.630,363.9026,32.98898
1.640,364.0168,34.92633
1.650,364.0564,37.09285
1.660,364.1071,39.29593
1.670,364.1616,42.5176
1.680,364.3018,45.76465
1.690,364.4326,48.38737
1.700,364.6746,50.73183
1.710,364.6522,53.49268
1.720,364.7231,55.64283
1.730,364.8806,56.67969
1.740,365.0501,58.2142
1.750,365.0936,59.37079
1.760,365.3315,60.18116
1.770,365.4663,60.26907
1.780,365.8476,60.52144
1.790,366.2479,59.97536
1.800,366.7365,58.80487
1.810,367.0922,57.86147
1.820,367.8688,55.06037
1.830,368.7242,52.31521
1.840,370.109,48.70417
1.850,370.9636,45.79457
1.860,371.9144,42.49848
1.870,372.8515,38.49996
1.880,373.9155,34.05844
1.890,374.8778,28.36226
1.900,375.8243,23.58022
1.910,376.8851,18.10123
1.920,377.6831,12.28889
1.930,378.6514,7.849683
1.940,379.2762,3.424622
1.950,380.0183,-1.019886
1.960,380.5009,-3.777107
1.970,380.9922,-7.400988
1.980,381.2728,-8.197995
1.990,381.4209,-9.956698
2.000,381.4895,-10.73764
2.010,381.4748,-10.68518
2.020,381.2832,-11.04502
2.030,381.1104,-10.61318
2.040,380.8247,-10.29977
2.050,380.4402,-9.622854
2.060,380.2297,-9.466251
2.070,379.9631,-8.822313
2.080,379.5842,-8.150023
2.090,379.1708,-7.634824
2.100,378.8368,-7.672785
2.110,378.4939,-8.222743
2.120,378.2934,-8.350598
2.130,377.998,-9.11875
2.140,377.918,-9.579459
2.150,377.6904,-10.31373
2.160,377.6403,-11.0332
2.170,377.6782,-12.12392
2.180,377.6531,-12.88002
2.190,377.6544,-13.82577
2.200,377.7757,-14.70881
2.210,377.7995,-15.55009
2.220,377.8724,-16.25748
2.230,377.9757,-17.77201
2.240,378.0938,-19.25282
2.250,378.2776,-20.56379
2.260,378.3538,-22.0768
2.270,378.4568,-23.24365
2.280,378.4955,-24.43708
2.290,378.5543,-25.00855
2.300,378.5347,-25.92333
2.310,378.5642,-26.73748
2.320,378.5801,-27.45091
2.330,378.5356,-27.59842
2.340,378.5777,-27.75917
2.350,378.4924,-27.82088
2.360,378.4956,-27.85772
2.370,378.4601,-28.20686
2.380,378.4298,-28.21161
2.390,378.3458,-27.56627
2.400,378.1391,-27.30029
2.410,378.0664,-27.19588
2.420,378.0237,-26.7216
2.430,377.919,-26.17407
2.440,377.8679,-25.42455
2.450,377.6948,-25.04392
2.460,377.6027,-24.82235
2.470,377.5957,-24.45654
2.480,377.4289,-24.60691
2.490,377.4983,-23.52591
2.500,377.5173,-23.75894
2.510,377.5854,-23.89502
2.520,377.4525,-24.09588
2.530,377.6071,-23.80409
2.540,377.5556,-24.02704
2.550,377.7144,-23.76281
2.560,377.637,-24.79642
2.570,377.645,-24.79899
2.580,377.8606,-24.49193
2.590,377.8694,-24.75654
2.600,377.9758,-25.8719
2.610,378.098,-26.18593
2.620,378.2928,-26.62481
2.630,378.2512,-27.23355
2.640,378.4213,-27.19832
2.650,378.516,-27.58895
2.660,378.8452,-28.19641
2.670,378.9992,-28.65116
2.680,379.1294,-28.7794
2.690,379.2248,-29.43043
2.700,379.3424,-29.69605
2.710,379.3987,-30.25503
2.720,379.4688,-30.26564
2.730,379.7309,-30.13696
2.740,379.7967,-30.83466
2.750,379.9953,-31.18891
2.760,379.7574,-31.0531
2.770,379.8672,-31.63415
2.780,379.8016,-32.24503
2.790,379.7258,-31.23825
2.800,379.8682,-31.62608
2.810,379.696,-31.41538
2.820,379.7193,-31.1323
2.830,379.7439,-31.29288
2.840,379.58,-30.9461
2.850,379.4337,-31.70334
2.860,379.2703,-30.9876
2.870,379.089,-30.239
2.880,379.2635,-30.2609
2.890,378.9365,-30.6939
2.900,378.9824,-30.73674
2.910,378.7617,-30.41261
2.920,378.6744,-30.54715
2.930,378.8838,-30.31019
2.940,378.8703,-29.92861
2.950,378.8655,-30.87131
2.960,378.7799,-30.91705
2.970,378.6973,-30.4667
2.980,378.6955,-30.63941
2.990,378.6284,-31.14198
3.000,378.6292,-30.64237
3.010,378.5826,-30.86274
3.020,378.4822,-30.42062
3.030,378.4537,-30.24452
3.040,378.4086,-29.93865
3.050,378.3588,-30.26188
3.060,378.2033,-29.1767
3.070,378.1205,-28.5423
3.080,377.9573,-28.46762
3.090,377.7852,-27.23216
3.100,377.4644,-25.8334
3.110,377.2533,-25.4564
3.120,376.9434,-24.17847
3.130,376.7878,-23.45725
3.140,376.5711,-22.1717
3.150,376.3702,-21.32155
3.160,376.2101,-20.38207
3.170,375.995,-20.04162
3.180,375.9235,-19.27137
3.190,375.7589,-18.42794
3.200,375.6096,-17.53524
3.210,375.4022,-17.04919
3.220,375.1203,-16.27112
3.230,374.994,-15.39219
3.240,374.7948,-14.79431
3.250,374.7927,-14.51066
3.260,374.7443,-14.68409
3.270,374.574,-14.45918
3.280,374.6731,-14.04686
3.290,374.5491,-14.16775
3.300,374.4933,-14.30455
3.310,374.534,-14.26681
3.320,374.5677,-14.28373
3.330,374.4716,-15.03972
3.340,374.3513,-15.42082
3.350,374.4572,-14.97373
3.360,374.4647,-15.41511
3.370,374.6525,-14.8331
3.380,374.5293,-14.62804
3.390,374.4792,-14.68227
3.400,374.5364,-14.61718
3.410,374.572,-14.28524
3.420,374.5627,-14.4822
3.430,374.5302,-14.73836
3.440,374.6102,-14.55663
3.450,374.6431,-14.48098
3.460,374.6092,-14.63899
3.470,374.599,-14.72561
3.480,374.7267,-14.92804
3.490,374.6813,-14.61291
3.500,374.6984,-14.17613
3.510,374.5597,-14.06003
3.520,374.4059,-14.00197
3.530,374.3976,-13.81778
