Timestamp,X-coordinate,Y-coordinate
0.000,104.8536,-54.06809
0.010,105.2211,-54.31845
0.020,105.2901,-54.26777
0.030,105.4345,-53.86801
0.040,105.621,-53.61832
0.050,105.7115,-53.85865
0.060,105.9918,-53.89479
0.070,106.0285,-53.61693
0.080,106.0786,-53.57265
0.090,106.0268,-53.34345
0.100,106.2155,-53.43386
0.110,106.1738,-53.61023
0.120,106.048,-53.51329
0.130,106.3201,-53.41915
0.140,106.4005,-53.17124
0.150,106.6197,-53.27794
0.160,106.5243,-53.15046
0.170,106.4881,-52.96677
0.180,106.7698,-53.00643
0.190,106.9018,-53.49236
0.200,107.0205,-52.87724
0.210,107.0227,-53.0653
0.220,107.1603,-53.0771
0.230,107.3125,-53.21183
0.240,107.5375,-53.20274
0.250,107.5392,-53.34862
0.260,107.4261,-53.29768
0.270,107.6154,-53.25949
0.280,107.9206,-53.08978
0.290,107.8669,-53.09224
0.300,107.9697,-53.05667
0.310,107.9116,-53.13684
0.320,108.2678,-53.13394
0.330,108.132,-53.10116
0.340,108.2142,-53.09643
0.350,108.292,-53.05542
0.360,108.4254,-53.19041
0.370,108.3929,-53.00121
0.380,108.4033,-53.12842
0.390,108.3608,-53.24156
0.400,108.323,-53.34455
0.410,108.4322,-53.51716
0.420,108.468,-53.53158
0.430,108.1111,-53.61065
0.440,108.0678,-53.70221
0.450,108.2156,-54.52824
0.460,108.2832,-55.30434
0.470,108.9239,-56.98645
0.480,108.91,-58.19238
0.490,108.9804,-59.4314
0.500,109.1118,-59.88997
0.510,109.0378,-60.98291
0.520,109.6714,-62.24393
0.530,109.7692,-63.4473
0.540,109.5203,-64.21648
0.550,109.5742,-64.80584
0.560,109.4045,-65.22868
0.570,109.0765,-66.05906
0.580,108.6623,-66.1963
0.590,108.7332,-66.1703
0.600,108.6627,-66.45527
0.610,108.5154,-66.12949
0.620,108.6682,-66.20313
0.630,108.5185,-65.65456
0.640,108.2451,-65.69796
