Timestamp,X-coordinate,Y-coordinate
0.000,-351.2039,5.308595
0.010,-351.2766,5.160697
0.020,-351.1726,5.078752
0.030,-351.1798,5.916689
0.040,-351.1511,6.975914
0.050,-351.1482,6.525589
0.060,-351.2313,6.564728
0.070,-351.1828,7.650936
0.080,-351.0967,7.556309
0.090,-351.066,8.141521
0.100,-351.1248,8.083344
0.110,-351.1479,7.797558
0.120,-351.2266,8.043118
0.130,-350.957,8.523202
0.140,-351.0732,8.768458
0.150,-351.0347,8.719837
0.160,-351.0841,8.830752
0.170,-351.1477,9.340669
0.180,-351.0108,9.527045
0.190,-351.1242,8.684168
0.200,-350.9997,10.13419
0.210,-351.1582,9.596135
0.220,-351.1227,9.51266
0.230,-351.2177,9.079438
0.240,-351.243,8.915564
0.250,-351.2738,8.835129
0.260,-351.2363,8.887889
0.270,-351.3022,9.082947
0.280,-351.1036,9.329418
0.290,-351.263,9.314488
0.300,-351.1685,9.575194
0.310,-351.3405,9.162797
0.320,-351.2831,9.165983
0.330,-351.1892,8.84875
0.340,-351.2695,8.920028
0.350,-351.384,8.906233
0.360,-351.4798,8.405527
0.370,-351.3018,8.58674
0.380,-351.4124,8.487898
0.390,-351.515,7.961986
0.400,-351.5173,7.875922
0.410,-351.5493,7.644645
0.420,-351.532,7.714012
0.430,-351.6166,7.07457
0.440,-351.7565,6.457736
0.450,-351.9018,4.449733
0.460,-352.5976,2.322961
0.470,-353.1991,-1.683297
0.480,-353.649,-4.656271
0.490,-353.9623,-7.754493
0.500,-354.3466,-9.709851
0.510,-355.0038,-12.82781
0.520,-355.6192,-15.64314
0.530,-356.0318,-17.81416
0.540,-356.3311,-19.75767
0.550,-356.537,-21.0619
0.560,-356.7395,-21.92446
0.570,-356.8336,-23.6814
0.580,-357.0362,-23.8688
0.590,-357.023,-24.06339
0.600,-357.1198,-24.49418
0.610,-357.2252,-23.89208
0.620,-357.1809,-24.23633
0.630,-357.3122,-23.31858
0.640,-357.5204,-23.20822
0.650,-357.3328,-20.84215
0.660,-357.6412,-22.03884
0.670,-357.6978,-22.08289
0.680,-358.0486,-22.81676
0.690,-358.2496,-23.23847
0.700,-358.5466,-23.16203
0.710,-358.7976,-24.67254
0.720,-359.0595,-24.60176
0.730,-359.3162,-26.33385
0.740,-359.8427,-27.29768
0.750,-359.9838,-28.28114
0.760,-360.2353,-27.93542
0.770,-360.3249,-28.58359
0.780,-360.4966,-28.7347
0.790,-360.688,-28.13004
0.800,-360.621,-27.41922
0.810,-360.6183,-26.73917
0.820,-360.7004,-24.55244
0.830,-360.6122,-22.86267
0.840,-360.6046,-20.98034
0.850,-360.5009,-19.60382
0.860,-360.1669,-17.93523
0.870,-360.1225,-17.26122
0.880,-360.1137,-17.59945
0.890,-360.0086,-16.78192
0.900,-360.1665,-16.37435
0.910,-360.1812,-15.98063
0.920,-360.1226,-16.23409
0.930,-360.2073,-16.28327
0.940,-360.2956,-16.14008
0.950,-360.3882,-16.68635
0.960,-360.4746,-16.84056
0.970,-360.6338,-16.20167
0.980,-360.7127,-15.54162
0.990,-360.7504,-15.55809
1.000,-360.8573,-14.98985
1.010,-360.8198,-13.61128
1.020,-360.6873,-13.7784
1.030,-360.7252,-13.41538
1.040,-360.6071,-11.69338
1.050,-360.6023,-10.60217
1.060,-360.3465,-9.527372
1.070,-360.3659,-8.56467
1.080,-360.5278,-7.568338
1.090,-360.5635,-6.797779
1.100,-360.5489,-4.872961
1.110,-360.4488,-3.579821
1.120,-360.369,-2.870262
1.130,-360.0723,-1.595998
1.140,-360.0442,-0.6661611
1.150,-359.8378,-0.4050824
1.160,-359.7014,-1.266934
1.170,-359.5165,-1.49125
1.180,-359.2304,-1.700112
1.190,-359.2401,-1.731284
1.200,-359.1849,-1.990625
1.210,-359.0724,-1.456022
1.220,-358.7108,-1.516306
1.230,-358.3583,-0.7561124
1.240,-358.1246,-0.3411679
1.250,-358.0626,-0.6859834
1.260,-358.002,-1.397158
1.270,-358.0833,-2.762681
1.280,-358.0251,-2.808257
1.290,-358.0878,-3.38699
1.300,-358.0082,-3.771023
1.310,-357.995,-4.902907
1.320,-357.925,-5.949307
1.330,-357.8344,-6.712767
1.340,-357.781,-7.547359
1.350,-357.5921,-8.420504
1.360,-357.5643,-8.635544
1.370,-357.4602,-9.361374
1.380,-357.3497,-9.917538
1.390,-357.3879,-10.85063
1.400,-357.3472,-11.32457
1.410,-357.1854,-11.42404
1.420,-357.2418,-12.42535
1.430,-357.1375,-12.68744
1.440,-357.1518,-13.23737
1.450,-357.193,-14.11618
1.460,-357.3274,-14.66621
1.470,-357.4828,-15.40224
1.480,-357.623,-16.35446
1.490,-357.5142,-16.67665
1.500,-357.5702,-17.54581
1.510,-357.5945,-18.21833
1.520,-357.5847,-18.70735
1.530,-357.4322,-18.87392
1.540,-357.441,-19.7425
1.550,-357.4099,-20.48744
1.560,-357.5252,-21.33602
1.570,-357.4737,-21.21768
1.580,-357.5884,-21.62624
1.590,-357.6472,-23.03331
1.600,-357.674,-23.28414
1.610,-357.7706,-23.57465
1.620,-357.9054,-24.35848
1.630,-357.9049,-24.8739
1.640,-357.8573,-26.21557
1.650,-358.0843,-27.9466
1.660,-358.2537,-29.31497
1.670,-358.8423,-32.15623
1.680,-359.4046,-35.89412
1.690,-360.0849,-39.83359
1.700,-360.9621,-44.88817
1.710,-361.5758,-52.09637
1.720,-362.8032,-59.95205
1.730,-364.2585,-72.49158
1.740,-365.9212,-84.1513
1.750,-367.8207,-99.34711
1.760,-369.3879,-114.8933
1.770,-369.6328,-129.1045
1.780,-371.2587,-147.9889
1.790,-373.2134,-167.5407
1.800,-373.5257,-187.9973
1.810,-373.9615,-208.8472
1.820,-374.6171,-225.0856
1.830,-375.1046,-241.5755
1.840,-375.5119,-251.9027
1.850,-375.6109,-258.3352
1.860,-375.4393,-262.6941
1.870,-375.1331,-266.6503
1.880,-374.609,-268.7248
1.890,-374.4232,-269.7307
1.900,-374.3186,-272.229
1.910,-374.9585,-274.0433
1.920,-375.2611,-275.3519
1.930,-375.398,-277.2499
1.940,-375.4189,-278.5476
1.950,-376.0046,-278.0776
1.960,-376.0289,-278.0659
1.970,-375.9248,-278.6848
1.980,-375.6923,-278.1698
1.990,-375.6542,-276.3541
2.000,-375.097,-273.1829
2.010,-374.1134,-262.4586
2.020,-371.6826,-224.0819
2.030,-368.5067,-197.4662
2.040,-366.2944,-176.1538
2.050,-364.2799,-160.0522
2.060,-362.7323,-144.2915
2.070,-361.5479,-130.5476
2.080,-360.5702,-120.0896
2.090,-359.7292,-112.3149
2.100,-359.1282,-105.586
2.110,-358.7822,-100.8071
2.120,-358.623,-96.38477
2.130,-358.3712,-93.11087
2.140,-358.2997,-88.48735
2.150,-357.9934,-84.75729
2.160,-357.6922,-82.06763
2.170,-357.3733,-79.72496
2.180,-357.5988,-79.11948
2.190,-357.4497,-77.56367
2.200,-357.3288,-76.30862
2.210,-357.1846,-74.77875
2.220,-357.2876,-75.24051
2.230,-357.2864,-72.50737
2.240,-357.1015,-71.81634
2.250,-357.3208,-71.14289
2.260,-357.4543,-69.50719
2.270,-357.3731,-68.0657
2.280,-357.4974,-66.72738
2.290,-357.6255,-65.6958
2.300,-357.7687,-65.10045
2.310,-357.7452,-63.7514
2.320,-357.7186,-63
2.330,-357.6884,-61.54532
2.340,-357.682,-60.16588
2.350,-357.7986,-59.40123
2.360,-357.7468,-58.43417
2.370,-357.6263,-57.84066
2.380,-357.5199,-56.52078
2.390,-357.4115,-55.90644
2.400,-357.0808,-53.97714
2.410,-356.922,-53.27711
2.420,-356.6053,-52.74633
2.430,-356.3617,-51.67543
2.440,-356.3857,-51.44344
2.450,-356.0936,-50.56756
2.460,-356.0718,-50.3848
2.470,-355.8711,-50.56766
2.480,-355.6812,-49.74483
2.490,-355.5009,-49.38529
2.500,-355.5303,-49.73199
2.510,-354.9887,-49.74181
2.520,-354.7011,-50.82594
2.530,-354.6861,-52.56151
2.540,-354.451,-54.47169
2.550,-354.3282,-56.09805
2.560,-354.1675,-57.7675
2.570,-353.8434,-59.70013
2.580,-353.9891,-62.12678
2.590,-353.4324,-64.31853
2.600,-353.3549,-64.82075
2.610,-353.3291,-64.85898
2.620,-353.3585,-65.21051
2.630,-353.3677,-65.11786
2.640,-353.4117,-65.49994
2.650,-353.3074,-65.00666
2.660,-353.3429,-64.67889
2.670,-353.2878,-64.01989
2.680,-353.4924,-63.71816
2.690,-353.4422,-63.32413
2.700,-353.515,-62.3979
2.710,-353.7286,-62.19308
2.720,-353.9285,-61.47748
2.730,-354.3195,-62.47443
2.740,-354.6791,-62.34893
2.750,-355.2716,-64.85344
2.760,-355.693,-65.40741
2.770,-356.6595,-68.86121
2.780,-358.1761,-74.93684
2.790,-359.8797,-81.95526
2.800,-361.6774,-92.25108
2.810,-364.3896,-106.4931
2.820,-366.3535,-120.6083
2.830,-368.5283,-135.4821
2.840,-370.5719,-155.0533
2.850,-373.0227,-177.625
2.860,-374.8611,-204.1826
2.870,-376.3326,-222.1223
2.880,-377.253,-233.7783
2.890,-378.2147,-244.6077
2.900,-378.4158,-255.6189
2.910,-378.8318,-262.1871
2.920,-379.0375,-267.7849
2.930,-379.2308,-274.1545
2.940,-379.7172,-276.2867
2.950,-379.8802,-279.1536
2.960,-379.7065,-281.7356
2.970,-379.8565,-282.1065
2.980,-379.5826,-282.7252
2.990,-379.3517,-283.7855
3.000,-379.2969,-283.4174
3.010,-379.1746,-281.8576
3.020,-378.9073,-278.1046
3.030,-379.0874,-270.1299
3.040,-378.0792,-243.971
3.050,-376.6894,-215.5734
3.060,-372.9526,-181.3211
3.070,-369.9632,-144.7875
3.080,-367.0867,-112.5481
3.090,-364.6076,-78.99026
3.100,-363.0141,-50.05279
3.110,-361.9276,-22.69148
3.120,-361.9075,4.994317
3.130,-362.5165,27.51229
3.140,-363.0351,49.76518
3.150,-363.9417,69.45473
3.160,-364.5039,89.55809
3.170,-365.0421,108.35
