Timestamp,X-coordinate,Y-coordinate
0.000,375.1546,-89.26008
0.010,375.2153,-89.4972
0.020,375.2585,-89.36742
0.030,375.1859,-89.18664
0.040,375.1903,-89.37869
0.050,375.1865,-89.4758
0.060,375.2667,-89.50152
0.070,375.2514,-89.69368
0.080,375.1987,-89.55671
0.090,375.2678,-89.55988
0.100,375.28,-89.62594
0.110,375.2939,-89.74689
0.120,375.3661,-89.76777
0.130,375.3926,-89.86746
0.140,375.3223,-89.58194
0.150,375.377,-89.68611
0.160,375.3707,-89.5646
0.170,375.4364,-89.58426
0.180,375.4212,-89.70457
0.190,375.4351,-89.94546
0.200,375.4685,-89.80856
0.210,375.4515,-89.77599
0.220,375.411,-89.71331
0.230,375.4521,-89.63857
0.240,375.4884,-89.48295
0.250,375.5396,-89.67118
0.260,375.494,-89.64241
0.270,375.4605,-89.64536
0.280,375.4929,-89.47488
0.290,375.58,-89.48085
0.300,375.508,-89.55206
0.310,375.5741,-89.44647
0.320,375.5352,-89.36657
0.330,375.5548,-89.1692
0.340,375.5004,-89.172
0.350,375.4716,-89.06967
0.360,375.525,-88.96353
0.370,375.4621,-88.78199
0.380,375.4696,-88.91589
0.390,375.462,-88.78929
0.400,375.4378,-88.90665
0.410,375.5006,-89.02811
0.420,375.4163,-89.07377
0.430,375.4125,-88.8951
0.440,375.377,-88.67492
0.450,375.3417,-88.76852
0.460,375.3093,-88.69256
0.470,375.2807,-88.86186
0.480,375.1875,-89.01104
0.490,375.1274,-89.14059
0.500,375.0348,-88.6823
0.510,374.9476,-88.57725
0.520,374.8964,-88.80732
0.530,374.7652,-89.40816
0.540,374.7287,-89.52679
0.550,374.537,-89.67225
0.560,374.4645,-89.85246
0.570,374.3058,-90.18345
0.580,374.2546,-90.33607
0.590,374.273,-90.17655
0.600,374.17,-90.3741
0.610,374.1264,-90.21741
0.620,374.1342,-90.11806
0.630,374.144,-89.79533
0.640,374.232,-89.96278
0.650,374.1321,-89.75016
0.660,374.1914,-89.69517
0.670,374.205,-90.09885
0.680,374.1158,-89.68775
0.690,374.219,-89.66598
0.700,374.1699,-89.86838
0.710,374.349,-89.48123
0.720,374.3557,-89.41315
0.730,374.3726,-89.51315
0.740,374.4456,-89.41039
0.750,374.4844,-89.52129
0.760,374.5796,-89.41991
0.770,374.6281,-89.19583
0.780,374.8029,-89.24549
0.790,374.9377,-88.94308
0.800,375.0003,-88.46476
0.810,375.1929,-87.98749
0.820,375.1819,-87.4059
0.830,375.3452,-86.92469
0.840,375.4379,-86.38644
0.850,375.5505,-85.41759
0.860,375.7942,-84.6274
0.870,375.909,-83.77532
0.880,375.912,-83.38046
0.890,375.8906,-82.88061
0.900,375.8813,-81.90662
0.910,375.9381,-81.11671
0.920,375.9398,-80.33625
0.930,375.8876,-79.93334
0.940,375.6812,-78.91653
0.950,375.5586,-78.80019
0.960,375.4934,-77.64541
0.970,375.3786,-76.89678
0.980,375.2266,-77.12521
0.990,375.2379,-76.43095
1.000,375.0586,-75.34973
1.010,375.0155,-75.29478
1.020,374.8764,-74.68637
1.030,374.9159,-74.20643
1.040,374.7362,-73.0881
1.050,374.5126,-72.01141
1.060,374.2337,-71.54347
1.070,373.9713,-71.24716
1.080,373.589,-69.8538
1.090,373.4065,-69.08755
1.100,373.2693,-68.17695
1.110,372.9529,-67.17758
1.120,372.7807,-65.85512
1.130,372.4075,-65.21075
1.140,372.1217,-64.00615
1.150,371.6523,-63.25727
1.160,371.2737,-61.87943
1.170,370.9241,-60.86452
1.180,370.5706,-59.65192
1.190,370.2406,-58.92731
1.200,369.902,-58.20395
1.210,369.6935,-57.74714
1.220,369.3699,-57.02276
1.230,369.1752,-56.35399
1.240,368.9309,-55.35076
1.250,368.591,-54.40625
1.260,368.3732,-53.53564
1.270,368.3046,-53.39307
1.280,368.0939,-52.58661
1.290,367.9602,-52.54251
1.300,367.6264,-52.17419
1.310,367.5037,-52.31913
1.320,367.1218,-52.28976
1.330,366.8967,-51.8776
1.340,366.7219,-51.71344
1.350,366.2227,-51.80453
1.360,366.0136,-52.00115
1.370,365.8775,-52.28381
1.380,365.6516,-52.53218
1.390,365.2867,-53.00794
1.400,365.0567,-53.54873
1.410,364.9548,-54.12457
1.420,364.8282,-54.42525
1.430,364.7126,-55.05819
1.440,364.563,-56.12255
1.450,364.4315,-56.67288
1.460,364.3257,-57.12904
1.470,364.0378,-58.0295
1.480,363.7242,-59.02933
1.490,363.6127,-59.53839
1.500,363.5154,-60.34953
1.510,363.3736,-60.94721
1.520,363.2507,-61.26194
1.530,363.2055,-61.91901
1.540,363.064,-62.36082
1.550,362.9149,-63.3012
1.560,362.7623,-63.79938
1.570,362.8357,-64.40882
1.580,362.6816,-64.4837
1.590,362.7603,-64.6566
1.600,362.6967,-64.9365
1.610,362.6727,-65.15377
1.620,362.7352,-65.36662
1.630,362.7548,-65.52939
1.640,362.6923,-65.58943
1.650,362.6848,-65.54989
1.660,362.6877,-65.51185
1.670,362.6752,-65.60059
1.680,362.7435,-65.92123
1.690,362.7399,-65.93851
1.700,362.747,-66.23123
1.710,362.7666,-65.94109
1.720,362.7687,-65.64024
1.730,362.6792,-66.01237
1.740,362.6769,-65.50185
1.750,362.6784,-64.91852
1.760,362.6907,-64.62823
1.770,362.6931,-64.12293
1.780,362.5857,-63.9585
1.790,362.5273,-63.43803
1.800,362.5767,-63.50039
1.810,362.4464,-62.92518
1.820,362.3465,-62.64287
1.830,362.2317,-62.42672
1.840,362.1675,-62.47618
1.850,361.8912,-62.54586
1.860,361.6761,-61.96967
1.870,361.4312,-62.12115
1.880,361.1146,-61.59522
1.890,360.9301,-61.64658
1.900,360.7367,-61.52137
1.910,360.6295,-60.92501
1.920,360.4344,-60.51507
1.930,360.2449,-60.64562
1.940,359.9836,-60.30153
1.950,359.8661,-59.42104
1.960,359.6604,-59.32698
1.970,359.6824,-58.92894
1.980,359.5853,-58.8527
1.990,359.4029,-58.49542
2.000,359.3473,-57.93438
2.010,359.1265,-57.65132
2.020,359.2443,-57.39592
2.030,359.1223,-57.26975
2.040,359.0819,-56.91511
2.050,359.0307,-56.84076
2.060,358.9581,-56.01445
2.070,358.9413,-55.97694
2.080,358.9081,-55.71431
2.090,358.89,-54.80449
